"MacroTrends Data Download"
"BABA - Historical Price and Volume Data"
"Historical prices are adjusted for both splits and dividends"

"Disclaimer and Terms of Use: Historical stock data is provided 'as is' and solely for informational purposes, not for trading purposes or advice."
"MacroTrends LLC expressly disclaims the accuracy, adequacy, or completeness of any data and shall not be liable for any errors, omissions or other defects in, "
"delays or interruptions in such data, or for any actions taken in reliance thereon.  Neither MacroTrends LLC nor any of our information providers will be liable"
"for any damages relating to your use of the data provided."


date,open,high,low,close,volume
2014-09-19,92.7000,99.7000,89.9500,93.8900,271879400
2014-09-22,92.7000,92.9500,89.5000,89.8900,66332498
2014-09-23,88.9400,90.4800,86.6200,87.1700,38861975
2014-09-24,88.4700,90.5700,87.2200,90.5700,31864232
2014-09-25,91.0900,91.5000,88.5000,88.9200,28526179
2014-09-26,89.7300,90.4600,88.6600,90.4600,18339716
2014-09-29,89.6200,89.7000,88.0200,88.7500,25279264
2014-09-30,89.0000,90.8800,88.4600,88.8500,24408983
2014-10-01,88.7000,88.9400,86.0400,86.1000,24012926
2014-10-02,86.2700,88.2000,85.6110,87.0600,21469688
2014-10-03,88.1000,89.9400,87.6500,88.1000,18472777
2014-10-06,89.1500,89.6500,88.0600,88.3100,9276113
2014-10-07,87.9500,89.7000,87.0600,87.6700,12791745
2014-10-08,88.0000,88.5000,87.0600,88.3000,10255103
2014-10-09,88.5100,90.3500,88.0000,88.7900,21492810
2014-10-10,88.2500,88.7400,85.2400,85.8800,15424490
2014-10-13,86.8500,86.8900,84.9200,85.1200,14845004
2014-10-14,85.8100,85.8800,83.2200,84.9500,15567286
2014-10-15,84.0400,86.4900,82.8100,85.6000,16824274
2014-10-16,84.9800,89.1750,84.0150,88.8500,15216307
2014-10-17,90.4000,90.9000,87.6701,87.9100,17360731
2014-10-20,88.0000,89.5000,87.8600,88.2600,9861999
2014-10-21,89.1000,92.5000,88.5000,90.9000,23207990
2014-10-22,92.2500,93.5000,91.0100,91.6300,20331868
2014-10-23,92.9200,94.7000,92.8200,94.4500,20576847
2014-10-24,95.0700,98.0000,94.7800,95.7600,32112882
2014-10-27,97.0000,98.8500,96.3000,97.7900,28236381
2014-10-28,99.8400,100.6700,98.6100,99.6800,32127642
2014-10-29,99.8800,100.0000,96.8200,98.3100,28655356
2014-10-30,98.4800,99.4400,97.3000,98.7300,15460454
2014-10-31,100.1000,100.2200,98.1356,98.6000,18128280
2014-11-03,99.6700,102.8000,99.0500,101.8000,40787875
2014-11-04,100.4250,106.3590,99.5100,106.0700,67721166
2014-11-05,108.4800,110.1400,106.4800,108.6700,48283787
2014-11-06,109.3000,111.7000,107.2100,111.5700,33485283
2014-11-07,112.9300,114.7700,111.7500,114.5600,51457292
2014-11-10,117.2700,119.4500,115.2000,119.1500,75636276
2014-11-11,117.2500,117.5500,113.6900,114.5400,71152418
2014-11-12,115.0500,119.0700,114.0200,118.2000,53801203
2014-11-13,119.3000,120.0000,114.5500,114.8400,62162512
2014-11-14,115.0600,115.3900,113.3500,115.1000,29799885
2014-11-17,115.4400,115.6300,113.1300,114.2500,22539966
2014-11-18,114.3300,114.3800,110.4100,110.8100,41097971
2014-11-19,109.8300,110.6800,107.2200,108.8200,46810415
2014-11-20,107.8100,112.4400,107.2600,109.8200,36452611
2014-11-21,113.2100,113.5000,110.4354,110.7300,27404233
2014-11-24,112.0000,113.9300,111.5500,113.9200,20598015
2014-11-25,114.9400,115.1700,112.3300,113.4700,23484800
2014-11-26,113.3300,113.7400,112.3300,112.6700,11832909
