"MacroTrends Data Download"
"OSBCP - Historical Price and Volume Data"
"Historical prices are adjusted for both splits and dividends"

"Disclaimer and Terms of Use: Historical stock data is provided 'as is' and solely for informational purposes, not for trading purposes or advice."
"MacroTrends LLC expressly disclaims the accuracy, adequacy, or completeness of any data and shall not be liable for any errors, omissions or other defects in, "
"delays or interruptions in such data, or for any actions taken in reliance thereon.  Neither MacroTrends LLC nor any of our information providers will be liable"
"for any damages relating to your use of the data provided."


date,open,high,low,close,volume
2003-06-30,4.5535,4.5956,4.5324,4.5745,89400
2003-07-01,4.5745,4.5956,4.5324,4.5745,34700
2003-07-02,4.5745,4.6378,4.5745,4.5745,11300
2003-07-03,4.5956,4.6378,4.5956,4.6378,7900
2003-07-07,4.6589,4.6589,4.5324,4.6378,39000
2003-07-08,4.5956,4.6293,4.5535,4.6083,64100
2003-07-09,4.6083,4.6293,4.5745,4.5745,5700
2003-07-10,4.5956,4.5956,4.5577,4.5577,600
2003-07-11,4.6041,4.6167,4.5535,4.5535,22200
2003-07-14,4.5535,4.6293,4.5535,4.6167,27700
2003-07-15,4.6293,4.6293,4.6209,4.6293,4300
2003-07-16,4.6293,4.6293,4.6293,4.6293,3200
2003-07-17,4.6167,4.6167,4.6167,4.6167,2000
2003-07-18,4.6167,4.6167,4.6167,4.6167,200
2003-07-21,4.6167,4.6167,4.5956,4.5956,2300
2003-07-22,4.5197,4.5830,4.5197,4.5745,11800
2003-07-23,4.5956,4.5956,4.5745,4.5745,1400
2003-07-24,4.5745,4.5745,4.5745,4.5745,700
2003-07-25,4.5745,4.5745,4.5745,4.5745,3000
2003-07-28,4.5956,4.5956,4.5197,4.5703,3900
2003-07-29,4.5703,4.5745,4.5324,4.5324,20500
2003-07-30,4.5745,4.5745,4.5324,4.5745,14000
2003-07-31,4.5703,4.5703,4.5703,4.5703,700
2003-08-01,4.5324,4.5324,4.5324,4.5324,13000
2003-08-04,4.5745,4.5745,4.5535,4.5745,13300
2003-08-05,4.5745,4.5745,4.5745,4.5745,2100
2003-08-06,4.5745,4.5745,4.5324,4.5366,10500
2003-08-07,4.5745,4.5745,4.5324,4.5745,1900
2003-08-08,4.5745,4.5745,4.5745,4.5745,0
2003-08-11,4.5745,4.5745,4.5535,4.5741,3500
2003-08-12,4.5745,4.5745,4.5745,4.5745,300
2003-08-13,4.5745,4.5745,4.5745,4.5745,0
2003-08-14,4.5535,4.5745,4.5535,4.5745,3000
2003-08-15,4.5745,4.5745,4.5745,4.5745,0
2003-08-18,4.5745,4.5745,4.5745,4.5745,7200
2003-08-19,4.5741,4.5741,4.5741,4.5741,300
2003-08-20,4.5745,4.5745,4.5745,4.5745,4000
2003-08-21,4.5535,4.5535,4.5535,4.5535,1400
2003-08-22,4.5535,4.5956,4.5113,4.5745,83100
2003-08-25,4.5366,4.5366,4.5113,4.5324,1700
2003-08-26,4.5366,4.5703,4.5366,4.5703,600
2003-08-27,4.5324,4.5745,4.5324,4.5745,6100
2003-08-28,4.5745,4.6167,4.5113,4.6167,15100
2003-08-29,4.6167,4.6167,4.6167,4.6167,2700
2003-09-02,4.5535,4.6163,4.5535,4.5535,2300
2003-09-03,4.5956,4.5956,4.5956,4.5956,1800
2003-09-04,4.6159,4.6167,4.5535,4.5535,1900
2003-09-05,4.5745,4.5745,4.5745,4.5745,4000
2003-09-08,4.5745,4.5745,4.5745,4.5745,900
2003-09-09,4.5745,4.5745,4.5745,4.5745,0
2003-09-10,4.5535,4.5535,4.5535,4.5535,1700
2003-09-11,4.5741,4.5741,4.5535,4.5535,1200
2003-09-12,4.5745,4.5745,4.5745,4.5745,2100
2003-09-15,4.5745,4.5745,4.5745,4.5745,0
2003-09-16,4.5745,4.5745,4.5745,4.5745,0
2003-09-17,4.5366,4.6799,4.5324,4.6799,1100
2003-09-18,4.5745,4.5745,4.5745,4.5745,200
2003-09-19,4.6589,4.7010,4.5956,4.7010,6100
2003-09-22,4.7010,4.7010,4.7010,4.7010,0
2003-09-23,4.6589,4.6589,4.6378,4.6378,3100
