Date,Open,High,Low,Close,Adjusted_close,Volume
1972-06-01,86.2800,86.5000,85.5000,86.5000,2.3549,106200.00
1972-06-02,86.5000,87.3800,86.2500,86.2500,2.3481,46800.00
1972-06-05,86.2500,86.3800,83.3700,85.0000,2.3140,156600.00
1972-06-06,84.2500,84.2500,84.0000,84.2500,2.2936,46800.00
1972-06-07,84.2500,84.3800,83.5000,83.7500,2.2800,59400.00
1972-06-08,83.7500,84.0000,83.2500,83.7500,2.2800,144000.00
1972-06-09,83.7500,84.0000,83.6200,83.8700,2.2833,66600.00
1972-06-12,83.8700,84.0000,83.5000,83.6200,2.2765,61200.00
1972-06-13,83.7500,84.6300,83.7500,84.6300,2.3040,138600.00
1972-06-14,84.8800,85.7500,84.8800,85.5000,2.3276,72000.00
1972-06-15,85.5000,85.7500,85.1300,85.2500,2.3208,59400.00
1972-06-16,85.2500,85.7500,84.7500,85.1300,2.3176,61200.00
1972-06-19,85.1300,85.5000,84.2500,84.8800,2.3108,108000.00
1972-06-20,84.8800,85.0000,84.5000,84.8800,2.3108,43200.00
1972-06-21,84.8800,85.5000,84.6300,85.0000,2.3140,118800.00
1972-06-22,85.0000,85.6300,84.7500,85.5000,2.3276,108000.00
1972-06-23,85.5000,86.1300,85.5000,86.0000,2.3412,91800.00
1972-06-26,86.0000,86.0000,85.2500,85.2500,2.3208,64800.00
1972-06-27,85.2500,85.5000,84.7500,84.7500,2.3072,223200.00
1972-06-28,84.7500,84.8800,84.5000,84.6300,2.3040,25200.00
1972-06-29,84.6300,85.1300,83.5000,84.6300,2.3040,93600.00
1972-06-30,84.6300,85.0000,83.6200,83.8700,2.2833,45000.00
1972-07-03,83.8700,84.0000,83.2500,83.7500,2.2800,72000.00
1972-07-05,83.7500,83.8700,82.7500,83.8700,2.2833,124200.00
1972-07-06,83.8700,85.6300,83.8700,84.7500,2.3072,264600.00
1972-07-07,84.6300,84.6300,83.5000,83.5000,2.2732,86400.00
1972-07-10,83.5000,84.2500,82.7500,83.5000,2.2732,124200.00
1972-07-11,83.5000,84.3800,83.1200,84.1200,2.2901,360000.00
1972-07-12,84.1200,84.6300,84.1200,84.2500,2.2936,122400.00
1972-07-13,84.2500,84.7500,83.7500,84.7500,2.3072,100800.00
1972-07-14,84.8800,88.0000,84.8800,87.7500,2.3889,331200.00
1972-07-17,87.7500,88.5000,86.8800,87.2500,2.3753,187200.00
1972-07-18,87.2500,87.2500,86.0000,86.2500,2.3481,100800.00
1972-07-19,86.2500,86.5000,85.2500,85.2500,2.3208,118800.00
1972-07-20,85.0000,85.0000,84.5000,84.5000,2.3004,81000.00
1972-07-21,84.5000,85.1300,84.2500,84.7500,2.3072,91800.00
1972-07-24,84.7500,85.2500,84.7500,84.8800,2.3108,136800.00
1972-07-25,85.0000,85.6300,85.0000,85.1300,2.3176,156600.00
1972-07-26,85.1300,85.7500,85.1300,85.7500,2.3344,48600.00
1972-07-27,85.7500,88.6200,85.5000,88.5000,2.4093,246600.00
1972-07-28,88.5000,88.7500,87.5000,87.5000,2.3821,106200.00
1972-07-31,87.5000,88.0000,87.1300,87.3800,2.3788,55800.00
1972-08-01,87.3800,88.2500,87.1300,88.2500,2.4025,261000.00
1972-08-02,88.2500,89.5000,88.0000,89.0000,2.4229,174600.00
1972-08-03,89.0000,89.1200,87.7500,88.0000,2.3957,136800.00
1972-08-04,88.0000,88.0000,86.5000,88.0000,2.3957,144000.00
1972-08-07,87.8700,87.8700,87.0000,87.8700,2.3922,50400.00
1972-08-08,87.8700,87.8700,87.1300,87.3800,2.3788,109800.00
1972-08-09,87.3800,87.6300,86.1300,87.5000,2.3821,223200.00
1972-08-10,87.5000,87.5000,87.1300,87.5000,2.3821,124200.00
1972-08-11,87.5000,88.0000,87.2500,87.6300,2.3856,160200.00
