Date,Open,High,Low,Close,Adjusted_close,Volume
1992-12-16,1.2300,1.2300,1.2300,1.2300,0.0927,7996.00
1992-12-17,1.5200,1.6300,1.2300,1.5200,0.1145,655997.00
1992-12-18,1.5200,1.5200,1.5200,1.5200,0.1145,56394.00
1992-12-21,1.2300,1.2300,1.1100,1.2300,0.0927,129602.00
1992-12-22,1.2300,1.5200,1.2300,1.5200,0.1145,248395.00
1992-12-23,1.2300,1.2300,1.2300,1.2300,0.0927,56394.00
1992-12-24,1.6300,1.7500,1.6300,1.6300,0.1228,248395.00
1992-12-28,1.6300,1.6300,1.6300,1.6300,0.1228,248395.00
1992-12-29,1.6200,1.6200,1.6200,1.6200,0.1221,0.00
1992-12-30,1.6200,1.6200,1.6200,1.6200,0.1221,0.00
1992-12-31,1.7500,1.8700,1.7500,1.7500,0.1319,162794.00
1993-01-04,1.7500,1.8700,1.6300,1.8700,0.1409,462801.00
1993-01-05,1.8700,2.0000,1.8700,1.8700,0.1409,121196.00
1993-01-06,1.8700,2.0000,1.7500,1.7500,0.1319,572401.00
1993-01-07,1.7500,1.8700,1.7500,1.8700,0.1409,648798.00
1993-01-08,2.1100,2.1100,2.1100,2.1100,0.1590,797.00
1993-01-11,2.1100,2.1100,2.0000,2.0000,0.1507,491596.00
1993-01-12,2.0000,2.1100,1.8700,2.0000,0.1507,171201.00
1993-01-13,2.0000,2.0000,2.0000,2.0000,0.1507,0.00
1993-01-14,2.0000,2.0000,2.0000,2.0000,0.1507,0.00
1993-01-15,2.0000,2.0000,1.7500,1.8700,0.1409,430394.00
1993-01-18,1.8800,1.8800,1.8800,1.8800,0.1417,0.00
1993-01-19,1.8700,1.8700,1.8700,1.8700,0.1409,98004.00
1993-01-20,1.8700,1.8700,1.7500,1.8700,0.1409,316796.00
1993-01-21,1.7500,2.0000,1.7500,1.8700,0.1409,384000.00
1993-01-22,2.1100,2.1100,1.8700,2.1100,0.1590,421202.00
1993-01-25,2.1100,2.1100,2.1100,2.1100,0.1590,29604.00
1993-01-26,2.2300,2.2300,2.0000,2.2300,0.1681,899996.00
1993-01-27,2.2300,2.2300,2.0000,2.0000,0.1507,729205.00
1993-01-28,2.1100,2.1100,2.1100,2.1100,0.1590,7996.00
1993-01-29,2.1100,2.1100,2.1100,2.1100,0.1590,7996.00
1993-02-01,2.1100,2.1100,2.1100,2.1100,0.1590,0.00
1993-02-02,2.1100,2.1100,2.1100,2.1100,0.1590,56394.00
1993-02-03,2.1100,2.1100,2.1100,2.1100,0.1590,7996.00
1993-02-04,2.1100,2.1100,2.1100,2.1100,0.1590,0.00
1993-02-05,2.1100,2.1100,1.6300,1.6300,0.1228,384000.00
1993-02-08,2.1100,2.1100,2.1100,2.1100,0.1590,797.00
1993-02-09,2.0000,2.0000,2.0000,2.0000,0.1507,56394.00
1993-02-10,2.0000,2.1100,2.0000,2.0000,0.1507,1228399.00
1993-02-11,1.8700,2.1100,1.8700,2.1100,0.1590,189596.00
1993-02-12,2.1100,2.2300,2.1100,2.2300,0.1681,621199.00
1993-02-16,2.1100,2.5200,2.1100,2.3600,0.1779,347994.00
1993-02-17,2.2300,2.3600,2.2300,2.2300,0.1681,486003.00
1993-02-18,2.2300,2.3600,2.2300,2.2300,0.1681,576001.00
1993-02-19,2.2300,2.6300,2.2300,2.3600,0.1779,421202.00
1993-02-22,2.3600,2.5200,2.3600,2.5200,0.1899,146403.00
1993-02-23,2.2300,2.2300,2.2300,2.2300,0.1681,81203.00
1993-02-24,2.5200,2.5200,2.3600,2.3600,0.1779,430394.00
1993-02-25,2.3600,2.3600,2.3600,2.3600,0.1779,98004.00
1993-02-26,2.2300,2.2300,2.2300,2.2300,0.1681,56394.00
1993-03-01,2.2300,2.7500,2.2300,2.7500,0.2072,72797.00
1993-03-02,2.2300,2.3600,2.2300,2.3600,0.1779,146403.00
1993-03-03,2.3600,2.3600,2.3600,2.3600,0.1779,0.00
1993-03-04,2.2300,2.5200,2.2300,2.5200,0.1899,421202.00
1993-03-05,2.5200,2.5200,2.5200,2.5200,0.1899,0.00
1993-03-08,2.5200,2.7500,2.5200,2.7500,0.2072,272395.00
1993-03-09,2.7500,2.7500,2.1100,2.3600,0.1779,54002.00
1993-03-10,2.2300,2.2300,2.2300,2.2300,0.1681,72797.00
1993-03-11,2.1100,2.2300,2.1100,2.2300,0.1681,81203.00
1993-03-12,2.6300,2.6300,2.1100,2.1100,0.1590,56394.00
1993-03-15,2.1100,2.1100,2.1100,2.1100,0.1590,0.00
1993-03-16,2.5200,2.6300,2.3600,2.5200,0.1899,376403.00
1993-03-17,3.0000,3.0000,3.0000,3.0000,0.2261,7996.00
1993-03-18,2.5200,2.7500,2.5200,2.5200,0.1899,199996.00
1993-03-19,3.0000,3.0000,3.0000,3.0000,0.2261,11595.00
1993-03-22,3.0000,3.0000,2.5200,2.5200,0.1899,72797.00
1993-03-23,2.7500,3.0000,2.5200,2.5200,0.1899,408798.00
1993-03-24,2.7500,2.7500,2.7500,2.7500,0.2072,146403.00
1993-03-25,3.2300,3.2300,2.7500,2.8700,0.2163,809998.00
1993-03-26,3.2300,3.2300,3.0000,3.0000,0.2261,230398.00
1993-03-29,3.1100,3.1100,2.7500,2.7500,0.2072,376403.00
1993-03-30,3.1100,3.1100,2.8700,3.0000,0.2261,226798.00
1993-03-31,3.0000,3.0000,2.7500,3.0000,0.2261,157202.00
1993-04-01,2.7500,3.1100,2.7500,3.0000,0.2261,199996.00
1993-04-02,3.0000,3.1100,3.0000,3.0000,0.2261,199996.00
1993-04-05,3.0000,3.0000,3.0000,3.0000,0.2261,0.00
1993-04-06,2.7500,3.0000,2.7500,3.0000,0.2261,1566803.00
1993-04-07,2.7500,3.0000,2.7500,2.7500,0.2072,376403.00
1993-04-08,3.0000,3.0000,2.7500,3.0000,0.2261,2462402.00
1993-04-12,3.1100,4.7500,2.7500,4.0000,0.3014,11580005.00
1993-04-13,4.5200,4.7500,3.7500,4.0000,0.3014,4476800.00
1993-04-14,4.0000,4.2300,3.7500,4.0000,0.3014,5132399.00
1993-04-15,4.2300,4.6300,4.1100,4.3600,0.3286,3418804.00
1993-04-16,4.2300,4.3600,3.8800,4.2300,0.3188,4138794.00
1993-04-19,4.2300,4.2300,3.8800,3.8800,0.2924,372803.00
1993-04-20,3.6200,4.1100,3.5200,3.8800,0.2924,721994.00
1993-04-21,4.1100,4.1100,3.8800,4.0000,0.3014,718395.00
1993-04-22,4.0000,4.1100,3.7500,4.1100,0.3097,5740396.00
1993-04-23,4.1100,4.5200,4.0000,4.1100,0.3097,1082405.00
1993-04-26,4.0000,4.3600,3.6200,4.0000,0.3014,1239197.00
1993-04-27,3.5200,4.2300,3.5200,4.0000,0.3014,2352801.00
1993-04-28,4.1100,4.1100,3.8800,4.1100,0.3097,821594.00
1993-04-29,4.1100,4.2300,4.0000,4.0000,0.3014,704396.00
1993-04-30,4.2300,4.2300,4.0000,4.0000,0.3014,686000.00
1993-05-03,4.1100,4.1100,3.8800,3.8800,0.2924,56394.00
1993-05-04,3.8800,4.1100,3.8800,4.0000,0.3014,583200.00
1993-05-05,3.8800,4.5200,3.8800,4.2300,0.3188,6135195.00
1993-05-06,4.0000,5.0000,4.0000,4.8800,0.3678,4865596.00
1993-05-07,4.7500,5.0000,4.6300,4.6300,0.3489,802799.00
1993-05-10,4.6300,4.8800,4.2300,4.2300,0.3188,1542803.00
1993-05-11,4.3600,4.6300,4.1100,4.5200,0.3406,1077200.00
1993-05-12,4.6300,4.7500,4.2300,4.2300,0.3188,2139204.00
1993-05-13,4.5200,4.5200,4.0000,4.0000,0.3014,1323602.00
1993-05-14,4.0000,4.2300,4.0000,4.0000,0.3014,299596.00
1993-05-17,4.0000,4.0000,4.0000,4.0000,0.3014,37999.00
1993-05-18,4.0000,4.1100,4.0000,4.1100,0.3097,321204.00
1993-05-19,4.1100,5.0000,4.1100,4.7500,0.3580,7893201.00
1993-05-20,5.0000,5.2300,4.8800,5.1100,0.3851,7452794.00
1993-05-21,5.1100,5.3600,5.0000,5.2300,0.3941,2662399.00
1993-05-24,5.2300,5.2300,5.0000,5.1100,0.3851,1785594.00
1993-05-25,5.2300,5.5200,5.1100,5.3600,0.4039,1374005.00
1993-05-26,5.2300,5.5200,5.2300,5.5200,0.4160,162794.00
1993-05-27,5.2300,5.5200,5.2300,5.5200,0.4160,2243600.00
1993-05-28,5.5200,5.6200,5.2300,5.6200,0.4235,904404.00
1993-06-01,5.6200,5.6200,5.3600,5.3600,0.4039,238394.00
1993-06-02,5.3600,5.6200,5.3600,5.6200,0.4235,681204.00
1993-06-03,5.3600,5.5200,5.2300,5.3600,0.4039,1155601.00
