Date,Open,High,Low,Close,Adjusted_close,Volume
1980-12-12,28.7500,28.8700,28.7500,28.7500,0.4179,117258517.00
1980-12-15,27.3800,27.3800,27.2500,27.2500,0.3961,43971243.00
1980-12-16,25.3700,25.3700,25.2500,25.2500,0.3670,26432026.00
1980-12-17,25.8700,26.0000,25.8700,25.8700,0.3760,21610421.00
1980-12-18,26.6300,26.7500,26.6300,26.6300,0.3871,18362418.00
1980-12-19,28.2500,28.3800,28.2500,28.2500,0.4106,12157612.00
1980-12-22,29.6300,29.7500,29.6300,29.6300,0.4307,9340809.00
1980-12-23,30.8800,31.0000,30.8800,30.8800,0.4488,11737611.00
1980-12-24,32.5000,32.6300,32.5000,32.5000,0.4724,12000812.00
1980-12-26,35.5000,35.6200,35.5000,35.5000,0.5160,13893613.00
1980-12-29,36.0000,36.1300,36.0000,36.0000,0.5233,23290423.00
1980-12-30,35.2500,35.2500,35.1200,35.1200,0.5105,17220017.00
1980-12-31,34.2500,34.2500,34.1300,34.1300,0.4961,8937608.00
1981-01-02,34.5000,34.7500,34.5000,34.5000,0.5015,5415205.00
1981-01-05,33.8700,33.8700,33.7500,33.7500,0.4906,8932008.00
1981-01-06,32.3700,32.3700,32.2500,32.2500,0.4688,11289611.00
1981-01-07,31.0000,31.0000,30.8800,30.8800,0.4488,13921613.00
1981-01-08,30.3700,30.3700,30.2500,30.2500,0.4397,9956809.00
1981-01-09,31.8800,32.0000,31.8800,31.8800,0.4634,5376005.00
1981-01-12,31.8800,31.8800,31.6200,31.6200,0.4596,5924805.00
1981-01-13,30.6300,30.6300,30.5000,30.5000,0.4433,5762405.00
1981-01-14,30.6300,30.7500,30.6300,30.6300,0.4452,3572803.00
1981-01-15,31.2500,31.5000,31.2500,31.2500,0.4542,3516803.00
1981-01-16,31.1200,31.1200,31.0000,31.0000,0.4506,3348803.00
1981-01-19,32.8700,33.0000,32.8700,32.8700,0.4778,10393610.00
1981-01-20,32.0000,32.0000,31.8800,31.8800,0.4634,7520807.00
1981-01-21,32.5000,32.7500,32.5000,32.5000,0.4724,3976003.00
1981-01-22,32.8700,33.1300,32.8700,32.8700,0.4778,8887208.00
1981-01-23,32.8700,33.0000,32.7500,32.7500,0.4760,2805602.00
1981-01-26,32.3700,32.3700,32.2500,32.2500,0.4688,6160006.00
1981-01-27,32.2500,32.2500,32.0000,32.0000,0.4651,5924805.00
1981-01-28,31.1200,31.1200,31.0000,31.0000,0.4506,7039207.00
1981-01-29,30.0000,30.0000,29.8700,29.8700,0.4342,10976010.00
1981-01-30,28.5000,28.5000,28.2500,28.2500,0.4106,11547211.00
1981-02-02,26.7500,26.7500,26.6300,26.6300,0.3871,5941605.00
1981-02-03,27.6200,27.7500,27.6200,27.6200,0.4015,4788004.00
1981-02-04,28.6200,28.7500,28.6200,28.6200,0.4160,6966406.00
1981-02-05,28.6200,28.8700,28.6200,28.6200,0.4160,1982401.00
1981-02-06,28.7500,28.8700,28.7500,28.7500,0.4179,3466403.00
1981-02-09,27.5000,27.5000,27.2500,27.2500,0.3961,4188804.00
1981-02-10,27.2500,27.3800,27.2500,27.2500,0.3961,4586404.00
1981-02-11,26.5000,26.5000,26.3700,26.3700,0.3833,3460803.00
1981-02-12,26.2500,26.2500,26.1300,26.1300,0.3798,3640003.00
1981-02-13,25.7500,25.7500,25.5000,25.5000,0.3706,2788802.00
1981-02-17,26.1300,26.2500,26.1300,26.1300,0.3798,3068803.00
1981-02-18,27.2500,27.5000,27.2500,27.2500,0.3961,4810404.00
1981-02-19,25.7500,25.7500,25.6300,25.6300,0.3725,5577605.00
1981-02-20,24.3800,24.3800,24.2500,24.2500,0.3525,6092806.00
1981-02-23,24.6200,24.7500,24.6200,24.6200,0.3579,3528003.00
1981-02-24,24.0000,24.0000,23.7500,23.7500,0.3452,4244804.00
1981-02-25,25.2500,25.3700,25.2500,25.2500,0.3670,4872004.00
1981-02-26,25.6300,25.7500,25.6300,25.6300,0.3725,2710402.00
1981-02-27,26.5000,26.7500,26.5000,26.5000,0.3852,3690403.00
