Date,Open,High,Low,Close,Adjusted_close,Volume
1992-01-23,15.5000,17.5000,14.5000,15.7500,14.7184,2249000.00
1992-01-24,16.0000,16.5000,15.5000,15.7500,14.7184,361800.00
1992-01-27,16.0000,16.0000,14.0000,14.7500,13.7839,251600.00
1992-01-28,15.2500,15.2500,14.7500,15.0000,14.0176,78600.00
1992-01-29,15.2500,15.5000,14.7500,14.7500,13.7839,193100.00
1992-01-30,15.0000,15.2500,14.2500,14.2500,13.3167,110400.00
1992-01-31,14.2500,14.7500,12.5000,13.2500,12.3822,331700.00
1992-02-03,12.7500,13.2500,12.2500,12.7500,11.9149,149700.00
1992-02-04,12.7500,13.2500,12.7500,13.0000,12.1485,79400.00
1992-02-05,13.2500,13.5000,13.0000,13.5000,12.6158,70500.00
1992-02-06,13.0000,14.5000,13.0000,14.2500,13.3167,117500.00
1992-02-07,14.2500,14.5000,13.7500,13.7500,12.8494,8600.00
1992-02-10,14.5000,14.5000,13.5000,13.5000,12.6158,20300.00
1992-02-11,14.2500,14.2500,12.7500,13.1300,12.2700,130300.00
1992-02-12,13.5000,13.5000,12.0000,12.0000,11.2140,17500.00
1992-02-13,12.5000,12.5000,11.5000,11.5000,10.7468,63800.00
1992-02-14,12.2500,12.2500,10.5000,11.0000,10.2795,167200.00
1992-02-18,10.7500,10.7500,9.6250,10.2500,9.5787,50700.00
1992-02-19,9.5000,10.0000,9.5000,9.7500,9.1114,104700.00
1992-02-20,9.5000,10.0000,9.5000,10.0000,9.3450,18300.00
1992-02-21,10.0000,10.0000,9.5000,10.0000,9.3450,19100.00
1992-02-24,9.5000,10.0000,9.5000,9.5000,8.8778,86700.00
1992-02-25,9.7500,10.0000,9.5000,9.5000,8.8778,110200.00
1992-02-26,10.2500,10.5000,9.7500,10.0000,9.3450,77700.00
1992-02-27,10.2500,10.2500,9.5000,10.0000,9.3450,34700.00
1992-02-28,10.2500,10.2500,9.5000,10.2500,9.5787,45000.00
1992-03-02,10.1300,10.2500,9.5000,10.0000,9.3450,25500.00
1992-03-03,9.5000,10.0000,9.5000,10.0000,9.3450,11500.00
1992-03-04,9.3750,10.0000,9.2500,9.2500,8.6442,151100.00
1992-03-05,9.7500,9.7500,9.2500,9.7500,9.1114,6500.00
1992-03-06,9.2500,9.5000,9.0000,9.0000,8.4105,48800.00
1992-03-09,9.0000,9.5000,8.2500,8.2500,7.7097,18700.00
1992-03-10,8.2500,8.7500,8.0000,8.2500,7.7097,46100.00
1992-03-11,8.5000,8.7500,8.0000,8.7500,8.1769,436200.00
1992-03-12,8.2500,8.7500,8.2500,8.6250,8.0601,47500.00
1992-03-13,8.7500,8.7500,8.0000,8.5000,7.9433,5100.00
1992-03-16,8.5000,8.5000,8.5000,8.5000,7.9433,1900.00
1992-03-17,8.0000,8.5000,8.0000,8.2500,7.7097,21100.00
1992-03-18,7.7500,8.2500,7.7500,8.2500,7.7097,19000.00
1992-03-19,8.2500,8.2500,8.0000,8.1250,7.5928,21200.00
1992-03-20,8.2500,8.5000,8.0000,8.3750,7.8265,153000.00
1992-03-23,8.2500,8.5000,8.0000,8.0000,7.4760,32300.00
1992-03-24,8.2500,8.2500,8.0000,8.2500,7.7097,9300.00
1992-03-25,8.0000,8.2500,8.0000,8.2500,7.7097,18300.00
1992-03-26,8.2500,8.2500,8.0000,8.2500,7.7097,32800.00
1992-03-27,8.2500,8.2500,7.7500,7.7500,7.2424,20300.00
1992-03-30,8.0000,8.0000,6.0000,7.0000,6.5415,187500.00
