Date,Open,High,Low,Close,Adjusted_close,Volume
2015-06-22,2.4000,2.4000,2.4000,2.4000,2.4000,25.00
2015-06-23,2.9000,2.9899,2.1420,2.6000,2.6000,14512.00
2015-06-24,2.6000,2.6000,2.2200,2.4800,2.4800,5850.00
2015-06-25,2.3000,2.3338,2.3000,2.3300,2.3300,1005.00
2015-06-26,2.2300,2.2300,2.0000,2.0500,2.0500,3300.00
2015-06-29,2.0200,2.0530,2.0200,2.0300,2.0300,530.00
2015-06-30,1.8500,1.9500,1.7200,1.9000,1.9000,13249.00
2015-07-01,1.9000,1.9900,1.6500,1.6500,1.6500,4669.00
2015-07-02,1.5000,1.6100,1.1000,1.4800,1.4800,15290.00
2015-07-06,1.3000,1.3000,1.0700,1.2400,1.2400,500.00
2015-07-07,1.2400,1.9500,1.2400,1.6500,1.6500,9654.00
2015-07-08,2.5400,2.5400,1.5000,1.5600,1.5600,32143.00
2015-07-09,1.6000,1.9400,1.5500,1.7000,1.7000,16740.00
2015-07-10,1.9500,2.2100,1.9500,2.0500,2.0500,16018.00
2015-07-13,2.3000,2.7500,2.3000,2.5600,2.5600,24297.00
2015-07-14,3.0000,3.0000,2.5000,2.5000,2.5000,24988.00
2015-07-15,2.8500,2.8500,2.3501,2.4000,2.4000,12574.00
2015-07-16,2.1600,2.2000,1.6000,1.9500,1.9500,11346.00
2015-07-17,1.9700,2.0100,1.8600,1.9500,1.9500,7825.00
2015-07-20,2.2100,2.3400,1.9000,1.9723,1.9723,5714.00
2015-07-21,2.0100,2.0100,1.9840,1.9840,1.9840,372.00
2015-07-22,1.8300,2.0000,1.8300,1.9000,1.9000,4976.00
2015-07-23,1.9000,1.9000,1.9000,1.9000,1.9000,70.00
2015-07-24,2.0900,2.0900,1.9300,1.9300,1.9300,450.00
2015-07-27,1.6500,1.6500,1.6500,1.6500,1.6500,285.00
2015-07-28,2.0000,2.8000,1.6500,2.0700,2.0700,42825.00
2015-07-29,2.3000,2.5900,2.0800,2.1900,2.1900,10821.00
2015-07-30,2.1500,2.1500,2.1500,2.1500,2.1500,114.00
2015-07-31,2.6000,2.6000,2.2510,2.4500,2.4500,6585.00
2015-08-03,2.4300,2.6700,2.4300,2.5000,2.5000,2928.00
2015-08-04,2.4500,2.8000,2.4500,2.5501,2.5501,1556.00
2015-08-05,2.3000,2.8000,2.3000,2.4000,2.4000,9249.00
2015-08-06,2.3200,2.3200,2.2999,2.2999,2.2999,2553.00
2015-08-07,2.0800,2.1000,2.0700,2.0700,2.0700,2113.00
2015-08-10,2.1200,2.7500,2.1200,2.7500,2.7500,1370.00
2015-08-11,2.5900,2.7400,2.1400,2.2590,2.2590,3027.00
2015-08-12,2.2600,2.5153,2.0700,2.3500,2.3500,10378.00
2015-08-13,2.1200,2.1700,2.0800,2.1200,2.1200,2498.00
2015-08-14,2.1000,2.2596,2.0700,2.1300,2.1300,2092.00
2015-08-17,2.0900,2.3500,2.0500,2.3500,2.3500,1888.00
2015-08-18,2.1300,2.5300,1.5800,1.5800,1.5800,8694.00
2015-08-19,2.2500,2.2500,1.7300,2.1800,2.1800,10027.00
2015-08-20,1.8100,1.8100,1.6900,1.6900,1.6900,4087.00
2015-08-21,1.6901,2.0700,1.6901,2.0000,2.0000,4681.00
2015-08-24,1.5000,1.8600,1.2600,1.2600,1.2600,3299.00
2015-08-25,1.6700,2.0500,1.6200,1.8500,1.8500,22802.00
2015-08-26,2.0000,2.0000,1.6200,1.6737,1.6737,3780.00
2015-08-27,1.7200,1.7300,1.3457,1.5500,1.5500,4306.00
2015-08-28,1.8600,1.8800,1.5800,1.8300,1.8300,4942.00
2015-08-31,2.0000,2.0000,1.8000,1.8000,1.8000,3545.00
2015-09-01,1.6001,1.6001,1.6001,1.6001,1.6001,600.00
2015-09-02,2.0000,2.0000,1.6600,1.6700,1.6700,1505.00
2015-09-03,1.9900,2.0000,1.7100,1.7747,1.7747,10501.00
2015-09-04,1.8000,1.8700,1.8000,1.8300,1.8300,1705.00
2015-09-08,1.7101,1.7800,1.7101,1.7800,1.7800,400.00
2015-09-09,1.9500,2.0000,1.7300,2.0000,2.0000,9460.00
2015-09-10,2.0000,2.3500,2.0000,2.2000,2.2000,5507.00
2015-09-11,2.1200,2.2100,2.1000,2.2100,2.2100,809.00
2015-09-14,2.0200,2.1693,2.0100,2.1693,2.1693,1610.00
2015-09-15,2.1693,2.1693,2.1693,2.1693,2.1693,0.00
2015-09-16,1.7600,2.1200,1.7600,1.8600,1.8600,6384.00
2015-09-17,1.8600,1.8600,1.8600,1.8600,1.8600,0.00
2015-09-18,2.0000,2.3950,1.8100,2.0800,2.0800,9468.00
2015-09-21,2.0800,2.0800,2.0800,2.0800,2.0800,0.00
2015-09-22,2.0800,2.0800,2.0800,2.0800,2.0800,0.00
2015-09-23,1.7100,1.9000,1.7100,1.7259,1.7259,459.00
2015-09-24,2.3500,2.3500,1.8200,2.0000,2.0000,16338.00
2015-09-25,1.9400,1.9400,1.8400,1.8400,1.8400,2398.00
2015-09-28,1.7300,1.7600,1.6900,1.6900,1.6900,6597.00
2015-09-29,1.6200,1.6200,1.5000,1.5000,1.5000,5545.00
2015-09-30,1.4800,1.4800,1.4800,1.4800,1.4800,200.00
2015-10-01,1.5400,1.5400,1.4800,1.4800,1.4800,1300.00
2015-10-02,1.6660,1.6660,1.4500,1.4660,1.4660,2425.00
2015-10-05,1.7046,1.7046,1.5600,1.6999,1.6999,6649.00
2015-10-06,1.2900,1.6000,1.2900,1.6000,1.6000,1270.00
2015-10-07,1.6000,1.6000,1.6000,1.6000,1.6000,0.00
2015-10-08,1.5500,1.5500,1.5000,1.5200,1.5200,2901.00
2015-10-09,1.6100,1.7000,1.6100,1.6900,1.6900,2710.00
2015-10-12,1.3400,1.8000,1.3400,1.8000,1.8000,1100.00
2015-10-13,1.7000,1.7000,1.7000,1.7000,1.7000,100.00
2015-10-14,1.5800,1.5800,1.5800,1.5800,1.5800,540.00
2015-10-15,1.6000,1.6000,1.5800,1.6000,1.6000,1400.00
2015-10-16,1.5800,1.5800,1.5800,1.5800,1.5800,110.00
2015-10-19,1.6000,1.6000,1.4600,1.4700,1.4700,4411.00
2015-10-20,1.4600,1.4600,1.4600,1.4600,1.4600,130.00
2015-10-21,1.4000,1.4000,1.4000,1.4000,1.4000,210.00
2015-10-22,1.3900,1.4000,1.3501,1.3600,1.3600,1202.00
2015-10-23,1.5170,1.5170,1.4000,1.4100,1.4100,3563.00
2015-10-26,1.6100,1.6100,1.4100,1.4100,1.4100,1003.00
2015-10-27,1.5400,1.7200,1.5400,1.7200,1.7200,2732.00
2015-10-28,1.7200,1.7200,1.7200,1.7200,1.7200,0.00
2015-10-29,1.6824,1.6824,1.4200,1.4703,1.4703,2310.00
2015-10-30,1.4400,1.4400,1.4100,1.4100,1.4100,596.00
2015-11-02,1.5450,1.5450,1.4300,1.4300,1.4300,1500.00
2015-11-03,1.4100,1.6600,1.4100,1.6600,1.6600,9937.00
2015-11-04,1.6600,1.6600,1.6600,1.6600,1.6600,100.00
2015-11-05,1.7260,1.7260,1.6999,1.6999,1.6999,1111.00
2015-11-06,1.6000,1.6414,1.5500,1.5500,1.5500,4277.00
2015-11-09,1.5500,1.5500,1.5500,1.5500,1.5500,6085.00
2015-11-10,1.5500,1.5500,1.5500,1.5500,1.5500,50.00
2015-11-11,1.7300,1.7300,1.7300,1.7300,1.7300,302.00
2015-11-12,1.4500,1.7800,1.4500,1.6493,1.6493,7400.00
2015-11-13,1.6493,1.6493,1.6493,1.6493,1.6493,0.00
2015-11-16,1.6493,1.6493,1.6493,1.6493,1.6493,0.00
2015-11-17,1.5400,1.5400,1.5000,1.5000,1.5000,2055.00
2015-11-18,1.5000,1.5000,1.5000,1.5000,1.5000,55.00
2015-11-19,1.5000,1.5000,1.5000,1.5000,1.5000,295.00
2015-11-20,1.5000,1.7790,1.5000,1.7790,1.7790,13233.00
2015-11-23,1.5000,1.7200,1.5000,1.6900,1.6900,14523.00
2015-11-24,1.6900,1.6900,1.6900,1.6900,1.6900,2.00
2015-11-25,1.5700,1.6500,1.5500,1.6500,1.6500,3902.00
2015-11-27,1.6400,1.7700,1.6400,1.7600,1.7600,4402.00
2015-11-30,1.5500,1.5500,1.5400,1.5400,1.5400,864.00
2015-12-01,1.5500,1.6100,1.5400,1.6100,1.6100,2800.00
2015-12-02,1.5300,1.6000,1.4800,1.5500,1.5500,3892.00
2015-12-03,1.5200,1.5200,1.4100,1.4200,1.4200,2320.00
2015-12-04,1.4100,1.4640,1.2500,1.3300,1.3300,4651.00
2015-12-07,1.3200,1.3500,1.3200,1.3500,1.3500,1400.00
2015-12-08,1.3000,1.3449,1.3000,1.3449,1.3449,2300.00
2015-12-09,1.3449,1.3449,1.3449,1.3449,1.3449,0.00
2015-12-10,1.3449,1.3449,1.3449,1.3449,1.3449,4.00
2015-12-11,1.2800,1.2800,1.2500,1.2700,1.2700,1305.00
2015-12-14,1.3100,1.3100,1.2500,1.3000,1.3000,1288.00
2015-12-15,1.3000,1.3000,1.3000,1.3000,1.3000,300.00
2015-12-16,1.3000,1.3944,1.3000,1.3000,1.3000,707.00
2015-12-17,1.2500,1.2501,1.2500,1.2501,1.2501,1100.00
2015-12-18,1.2501,1.2501,1.2501,1.2501,1.2501,0.00
2015-12-21,1.2500,1.5700,0.8900,1.3600,1.3600,5268.00
2015-12-22,1.4000,1.4000,1.4000,1.4000,1.4000,1002.00
2015-12-23,1.4000,1.4000,1.4000,1.4000,1.4000,52.00
