Date,Open,High,Low,Close,Adjusted_close,Volume
1987-07-30,11.0000,11.1300,10.8800,11.1300,5.5650,107000.00
1987-07-31,11.1300,11.1300,11.0000,11.1300,5.5650,35400.00
1987-08-03,11.1300,11.1300,11.0000,11.1300,5.5650,23800.00
1987-08-04,11.1300,11.1300,11.0000,11.1300,5.5650,35800.00
1987-08-05,11.1300,11.1300,11.0000,11.0000,5.5000,23800.00
1987-08-06,11.0000,11.1300,11.0000,11.0000,5.5000,34000.00
1987-08-07,11.0000,11.1300,11.0000,11.1300,5.5650,11400.00
1987-08-10,11.0000,11.1200,11.0000,11.1200,5.5600,0.00
1987-08-11,11.1300,11.3800,11.1300,11.2500,5.6250,58200.00
1987-08-12,11.2500,12.0000,11.0000,11.8800,5.9400,30800.00
1987-08-13,12.0000,12.5000,12.0000,12.2500,6.1250,34000.00
1987-08-14,12.2500,12.5000,12.1300,12.3800,6.1900,20400.00
1987-08-17,12.3800,12.3800,12.0000,12.1300,6.0650,22400.00
1987-08-18,12.1300,12.2500,11.7500,11.7500,5.8750,28400.00
1987-08-19,11.7500,12.0000,11.7500,11.7500,5.8750,15200.00
1987-08-20,12.0000,12.6300,12.0000,12.5000,6.2500,72600.00
1987-08-21,12.7500,15.2500,12.7500,13.8800,6.9400,48400.00
1987-08-24,13.8800,14.1300,13.5000,13.5000,6.7500,36800.00
1987-08-25,13.5000,14.2500,13.5000,13.8800,6.9400,34000.00
1987-08-26,13.7500,13.7500,13.1300,13.1300,6.5650,22400.00
1987-08-27,13.1300,13.2500,12.6300,12.6300,6.3150,21000.00
1987-08-28,12.7500,13.1300,12.7500,12.8800,6.4400,4000.00
1987-08-31,12.8800,13.0000,12.7500,12.7500,6.3750,4200.00
1987-09-01,12.7500,12.8800,12.7500,12.7500,6.3750,5600.00
1987-09-02,12.7500,12.7500,12.5000,12.7500,6.3750,2200.00
1987-09-03,12.5000,12.5000,12.2500,12.5000,6.2500,6000.00
1987-09-04,12.5000,12.5000,11.7500,11.7500,5.8750,16600.00
1987-09-08,11.7500,11.7500,10.8800,10.8800,5.4400,15200.00
1987-09-09,10.8800,11.0000,10.7500,10.8800,5.4400,5800.00
1987-09-10,10.8800,11.0000,10.8800,10.8800,5.4400,3000.00
1987-09-11,11.1300,11.8800,11.1300,11.6300,5.8150,13800.00
1987-09-14,11.7500,11.8800,11.7500,11.8800,5.9400,2800.00
1987-09-15,11.7500,11.7500,11.6300,11.7500,5.8750,3000.00
1987-09-16,11.6300,11.6300,11.2500,11.2500,5.6250,6000.00
1987-09-17,11.1300,11.1300,11.0000,11.0000,5.5000,2400.00
1987-09-18,11.0000,11.0000,11.0000,11.0000,5.5000,1000.00
1987-09-21,11.0000,11.0000,11.0000,11.0000,5.5000,4200.00
1987-09-22,11.0000,11.2500,11.0000,11.2500,5.6250,8200.00
1987-09-23,11.2500,11.2500,11.1300,11.2500,5.6250,5200.00
1987-09-24,11.2500,11.2500,11.1200,11.2500,5.6250,0.00
1987-09-25,11.2500,11.3800,11.2500,11.2500,5.6250,400.00
1987-09-28,11.3800,11.5000,11.3800,11.3800,5.6900,2800.00
1987-09-29,11.2500,11.2500,10.7500,10.7500,5.3750,5600.00
1987-09-30,10.7500,10.7500,10.7500,10.7500,5.3750,1600.00
1987-10-01,10.7500,11.7500,10.7500,11.7500,5.8750,14000.00
1987-10-02,11.8800,12.1300,11.8800,12.0000,6.0000,10600.00
1987-10-05,12.0000,12.1300,11.7500,11.8800,5.9400,13600.00
1987-10-06,11.8800,11.8800,11.7500,11.7500,5.8750,2600.00
1987-10-07,11.7500,11.7500,11.5000,11.5000,5.7500,3000.00
1987-10-08,11.5000,11.8800,11.5000,11.5000,5.7500,6800.00
1987-10-09,11.3800,11.3800,11.3800,11.3800,5.6900,1000.00
1987-10-12,11.2500,11.2500,11.0000,11.0000,5.5000,8600.00
1987-10-13,11.0000,11.0000,10.7500,10.7500,5.3750,5200.00
1987-10-14,10.7500,11.0000,10.1300,10.1300,5.0650,10600.00
1987-10-15,10.1300,10.3800,9.5000,9.6300,4.8150,16600.00
1987-10-16,9.6300,9.8800,9.0000,9.0000,4.5000,24800.00
1987-10-19,8.6300,8.6300,5.7500,6.5000,3.2500,67400.00
1987-10-20,6.5000,7.0000,6.1300,6.7500,3.3750,34600.00
1987-10-21,7.1300,8.2500,7.1300,8.0000,4.0000,30200.00
1987-10-22,8.0000,8.0000,6.7500,6.7500,3.3750,19600.00
1987-10-23,6.8800,7.2500,6.8800,7.2500,3.6250,5000.00
1987-10-26,7.1300,7.1300,6.7500,6.7500,3.3750,5000.00
1987-10-27,6.7500,7.0000,6.6300,6.8800,3.4400,4400.00
1987-10-28,6.8800,6.8800,6.5000,6.8800,3.4400,8600.00
1987-10-29,6.6300,6.6300,6.1300,6.3800,3.1900,8800.00
1987-10-30,6.6300,7.3800,6.6300,7.3800,3.6900,5200.00
1987-11-02,7.6300,7.8800,7.6300,7.7500,3.8750,4000.00
1987-11-03,7.7500,7.7500,7.6300,7.6300,3.8150,2000.00
1987-11-04,7.6300,7.7500,7.6300,7.7500,3.8750,4800.00
1987-11-05,7.6300,7.6300,7.6300,7.6300,3.8150,600.00
1987-11-06,7.6300,7.8800,7.6300,7.6300,3.8150,3200.00
1987-11-09,7.5000,7.5000,6.7500,6.8800,3.4400,6600.00
1987-11-10,6.7500,6.7500,6.7500,6.7500,3.3750,600.00
1987-11-11,6.7500,7.0000,6.7500,7.0000,3.5000,5400.00
1987-11-12,7.1300,7.3800,7.1300,7.2500,3.6250,1800.00
1987-11-13,7.2500,7.3800,7.1200,7.2500,3.6250,0.00
1987-11-16,7.2500,7.2500,7.1300,7.1300,3.5650,2200.00
1987-11-17,7.1300,7.3800,7.0000,7.1300,3.5650,16600.00
1987-11-18,7.1300,7.3800,7.1300,7.3800,3.6900,4200.00
1987-11-19,7.3800,7.5000,7.2500,7.3800,3.6900,5600.00
1987-11-20,7.2500,7.2500,7.0000,7.0000,3.5000,7000.00
1987-11-23,7.0000,7.2500,7.0000,7.0000,3.5000,8800.00
1987-11-24,7.0000,7.1300,6.8800,7.0000,3.5000,2600.00
1987-11-25,7.0000,7.1300,7.0000,7.0000,3.5000,6800.00
1987-11-27,7.0000,7.1300,6.7500,6.7500,3.3750,1200.00
1987-11-30,6.6300,6.6300,6.3800,6.3800,3.1900,2800.00
1987-12-01,6.2500,6.2500,6.1300,6.1300,3.0650,4000.00
1987-12-02,6.1300,6.3800,6.1300,6.1300,3.0650,25400.00
1987-12-03,6.0000,6.0000,6.0000,6.0000,3.0000,2000.00
1987-12-04,6.0000,6.1300,5.7500,5.7500,2.8750,8800.00
1987-12-07,5.6300,5.6300,5.5000,5.5000,2.7500,5400.00
1987-12-08,5.3800,5.3800,5.1300,5.1300,2.5650,5600.00
1987-12-09,5.1300,5.3800,5.0000,5.3800,2.6900,27800.00
1987-12-10,5.3800,5.8800,5.3800,5.5000,2.7500,8000.00
1987-12-11,5.5000,5.8800,5.3800,5.3800,2.6900,13600.00
1987-12-14,5.3800,5.5000,5.2500,5.3800,2.6900,9600.00
1987-12-15,5.3800,5.5000,5.3800,5.5000,2.7500,16400.00
1987-12-16,5.5000,5.5000,5.3800,5.3800,2.6900,9400.00
1987-12-17,5.3800,5.5000,5.1300,5.2500,2.6250,16600.00
1987-12-18,5.2500,5.3800,5.0000,5.2500,2.6250,35800.00
1987-12-21,5.2500,5.3800,4.7500,4.7500,2.3750,30400.00
1987-12-22,4.7500,5.3800,4.7500,5.3800,2.6900,20200.00
1987-12-23,5.3800,5.5000,5.2500,5.3800,2.6900,23800.00
1987-12-24,5.3800,5.3800,5.2500,5.2500,2.6250,11000.00
1987-12-28,5.2500,5.3800,5.1300,5.3800,2.6900,26800.00
1987-12-29,5.2500,5.2500,5.0000,5.1300,2.5650,29200.00
1987-12-30,5.1300,5.2500,4.8800,5.2500,2.6250,23000.00
1987-12-31,5.2500,6.8800,4.8800,6.7500,3.3750,87400.00
1988-01-04,6.7500,7.8800,6.6300,7.8800,3.9400,48000.00
1988-01-05,7.8800,8.3800,7.7500,8.1300,4.0650,47800.00
1988-01-06,8.1300,9.5000,8.1300,9.5000,4.7500,14000.00
1988-01-07,9.5000,9.5000,9.3800,9.3800,4.6900,22600.00
1988-01-08,9.3800,9.3800,9.1300,9.1300,4.5650,17600.00
1988-01-11,8.7500,8.7500,8.3800,8.6300,4.3150,10200.00
1988-01-12,8.5000,8.5000,7.8800,8.0000,4.0000,13200.00
1988-01-13,8.0000,8.1300,7.8800,8.1300,4.0650,4000.00
1988-01-14,8.2500,8.3800,8.2500,8.3800,4.1900,1400.00
1988-01-15,8.6300,8.7500,8.6300,8.6300,4.3150,8800.00
1988-01-18,8.6200,8.7500,8.6200,8.6200,4.3100,0.00
1988-01-19,8.6300,8.8800,8.6300,8.7500,4.3750,16000.00
1988-01-20,8.6300,8.6300,8.1300,8.1300,4.0650,6000.00
