Date,Open,High,Low,Close,Adjusted_close,Volume
2011-02-11,5.0000,5.0900,4.5100,4.5500,4.5500,1899700.00
2011-02-14,4.5300,4.7300,4.3500,4.3800,4.3800,66300.00
2011-02-15,4.4999,4.4999,4.0800,4.3100,4.3100,37400.00
2011-02-16,4.3729,4.3729,4.1509,4.2400,4.2400,9500.00
2011-02-17,4.1400,4.2200,3.8500,3.8500,3.8500,60000.00
2011-02-18,3.8100,3.9700,3.6500,3.6500,3.6500,110800.00
2011-02-22,3.7000,4.0900,3.7000,3.8600,3.8600,51600.00
2011-02-23,4.0000,4.2700,3.7500,3.9600,3.9600,34900.00
2011-02-24,4.0000,4.0000,3.6500,3.7500,3.7500,32700.00
2011-02-25,3.6200,3.7500,3.5600,3.5900,3.5900,9600.00
2011-02-28,3.9400,3.9400,3.6000,3.6200,3.6200,37700.00
2011-03-01,3.6900,3.7000,3.5600,3.5900,3.5900,76400.00
2011-03-02,3.5700,3.6800,3.4500,3.4500,3.4500,25100.00
2011-03-03,3.4600,3.4600,3.2500,3.4000,3.4000,51900.00
2011-03-04,3.3501,3.4230,3.2500,3.3000,3.3000,41900.00
2011-03-07,3.3600,3.3600,3.0900,3.0900,3.0900,35500.00
2011-03-08,3.1300,3.2400,2.9900,3.1100,3.1100,34100.00
2011-03-09,3.1200,3.8600,3.1200,3.5000,3.5000,115900.00
2011-03-10,3.4600,3.6300,3.2500,3.2500,3.2500,36100.00
2011-03-11,3.4900,3.4900,3.0600,3.1700,3.1700,3500.00
2011-03-14,3.1900,3.3007,3.1900,3.3007,3.3007,1000.00
2011-03-15,3.3600,3.5400,3.3000,3.4900,3.4900,13200.00
2011-03-16,3.5500,3.7000,3.2400,3.5100,3.5100,17000.00
2011-03-17,3.3600,3.4300,3.3500,3.4300,3.4300,4900.00
2011-03-18,3.4200,3.4200,3.1200,3.1200,3.1200,15600.00
2011-03-21,3.2800,3.6000,3.1600,3.5900,3.5900,48700.00
2011-03-22,3.6500,3.6500,3.3900,3.3900,3.3900,4500.00
2011-03-23,3.5600,3.5600,2.9700,3.3300,3.3300,68400.00
2011-03-24,3.4200,3.4900,3.3701,3.3701,3.3701,5400.00
