Date,Open,High,Low,Close,Adjusted_close,Volume
2002-12-16,3.4000,3.4000,1.7900,1.8500,1.6698,14200.00
2002-12-17,2.0000,2.2000,1.6500,2.0000,1.8052,47000.00
2002-12-18,2.5000,2.6500,1.8000,1.8700,1.6878,138200.00
2002-12-19,1.8800,1.9500,1.8100,1.8800,1.6969,139500.00
2002-12-20,1.9800,2.3300,1.8100,1.9100,1.7239,327200.00
2002-12-23,1.8000,1.9800,1.7600,1.8500,1.6698,239600.00
2002-12-24,1.8500,1.9400,1.8500,1.9300,1.7420,41800.00
2002-12-26,1.8500,1.9800,1.8500,1.9600,1.7691,78200.00
2002-12-27,1.8000,1.9900,1.8000,1.9600,1.7691,46700.00
2002-12-30,1.8500,2.0500,1.8100,1.9600,1.7691,103200.00
2002-12-31,1.8800,2.7000,1.8800,2.4100,2.1752,233600.00
2003-01-02,2.4000,2.4000,1.9500,2.1900,1.9767,53600.00
2003-01-03,2.0500,2.1400,1.9900,2.1000,1.8954,22700.00
2003-01-06,2.0400,2.1800,1.9600,2.0900,1.8864,62000.00
2003-01-07,2.0000,2.0100,1.9500,2.0000,1.8052,113100.00
2003-01-08,2.1300,2.1300,1.8800,1.9400,1.7510,59900.00
2003-01-09,1.9000,1.9500,1.7800,1.9000,1.7149,46100.00
2003-01-10,1.8000,1.9600,1.8000,1.9600,1.7691,62000.00
2003-01-13,1.9000,1.9800,1.8100,1.8200,1.6427,16200.00
2003-01-14,1.8000,1.9600,1.7800,1.9000,1.7149,43000.00
2003-01-15,1.8200,1.9000,1.5500,1.7000,1.5344,67400.00
2003-01-16,1.6000,1.7500,1.5000,1.6900,1.5254,45300.00
2003-01-17,1.5300,1.6500,1.5000,1.5900,1.4351,72400.00
2003-01-21,1.5050,1.5900,1.1500,1.4300,1.2907,48600.00
2003-01-22,1.1800,1.4100,1.1700,1.3200,1.1914,70000.00
2003-01-23,1.3300,1.7100,1.2400,1.6400,1.4802,137500.00
2003-01-24,1.4800,1.6000,1.3500,1.4400,1.2997,75200.00
2003-01-27,1.3500,1.4400,1.3000,1.3500,1.2185,60200.00
2003-01-28,1.2800,1.4400,1.2800,1.3700,1.2365,72300.00
2003-01-29,1.2800,1.4400,1.2800,1.3700,1.2365,106800.00
2003-01-30,1.3900,1.5500,1.3900,1.5300,1.3810,97400.00
2003-01-31,1.4000,1.5900,1.4000,1.5900,1.4351,85200.00
2003-02-03,1.4600,1.7000,1.4500,1.4700,1.3268,38400.00
2003-02-04,1.5000,1.5500,1.4000,1.4300,1.2907,58300.00
2003-02-05,1.3700,1.5000,1.2500,1.4900,1.3449,74800.00
2003-02-06,1.4400,1.5000,1.1900,1.4600,1.3178,93300.00
2003-02-07,1.4500,1.5100,1.4000,1.4900,1.3449,48700.00
2003-02-10,1.4500,1.5700,1.4100,1.5700,1.4171,111000.00
2003-02-11,1.5100,1.6000,1.2500,1.3400,1.2095,67000.00
2003-02-12,1.3500,1.4000,1.2600,1.2600,1.1373,35100.00
2003-02-13,1.2600,1.3500,1.2600,1.3100,1.1824,18400.00
2003-02-14,1.3500,1.5600,1.3100,1.4000,1.2636,67300.00
2003-02-18,1.3500,1.5000,1.2500,1.4900,1.3449,20900.00
2003-02-19,1.4300,1.5000,1.3200,1.3600,1.2275,27800.00
2003-02-20,1.5000,1.5000,1.3000,1.4500,1.3087,18700.00
2003-02-21,1.3600,1.4500,1.3500,1.4000,1.2636,33500.00
2003-02-24,1.4000,1.4000,1.3100,1.3700,1.2365,19700.00
2003-02-25,1.4000,1.4000,1.2500,1.3400,1.2095,46600.00
2003-02-26,1.3100,1.4000,1.2500,1.4000,1.2636,23100.00
2003-02-27,1.3000,1.5000,1.2500,1.4800,1.3358,62000.00
2003-02-28,1.3600,1.4500,1.2500,1.3000,1.1734,108200.00
2003-03-03,1.3000,1.3600,1.2700,1.3600,1.2275,28800.00
2003-03-04,1.2800,1.3200,1.2000,1.3200,1.1914,68200.00
2003-03-05,1.1600,1.2600,1.1500,1.2200,1.1012,67000.00
2003-03-06,1.2000,1.2500,1.1200,1.1200,1.0109,85100.00
2003-03-07,1.2000,1.3300,1.1100,1.2200,1.1012,116900.00
2003-03-10,1.1000,1.2200,1.0800,1.0800,0.9748,84500.00
2003-03-11,1.0800,1.1800,1.0600,1.0700,0.9658,130800.00
2003-03-12,1.0600,1.1000,0.9600,1.0100,0.9116,28500.00
2003-03-13,1.0000,1.1000,0.9700,1.0900,0.9838,27500.00
2003-03-14,1.0300,1.3000,1.0300,1.2100,1.0921,26300.00
2003-03-17,1.0800,1.3600,1.0700,1.3300,1.2004,69800.00
2003-03-18,1.2700,1.3790,1.2700,1.3600,1.2275,53100.00
2003-03-19,1.3000,1.3900,1.3000,1.3500,1.2185,69200.00
2003-03-20,1.2800,1.3700,1.1600,1.1700,1.0560,72900.00
2003-03-21,1.3000,1.3600,1.1600,1.2700,1.1463,101600.00
2003-03-24,1.3200,1.3200,1.1800,1.1800,1.0651,44900.00
2003-03-25,1.2000,1.3400,1.1600,1.2400,1.1192,58900.00
2003-03-26,1.2800,1.4400,1.2100,1.2100,1.0921,35400.00
2003-03-27,1.2000,1.2200,1.0200,1.2000,1.0831,55600.00
2003-03-28,1.1900,1.3000,1.1810,1.2000,1.0831,51700.00
2003-03-31,1.1500,1.2600,1.1400,1.2100,1.0921,49700.00
2003-04-01,1.1400,1.2600,1.1400,1.2600,1.1373,28200.00
2003-04-02,1.1600,1.3800,1.1600,1.3800,1.2456,58600.00
2003-04-03,1.3900,1.3900,1.2400,1.2410,1.1201,52400.00
2003-04-04,1.2400,1.2800,1.1600,1.1600,1.0470,63900.00
2003-04-07,1.2000,1.2200,1.1600,1.1800,1.0651,25900.00
2003-04-08,1.1900,1.2400,1.1300,1.1800,1.0651,36700.00
2003-04-09,1.2000,1.2000,1.1200,1.1500,1.0380,79600.00
2003-04-10,1.1200,1.1800,1.1200,1.1400,1.0289,113400.00
2003-04-11,1.1800,1.1800,1.0800,1.1500,1.0380,32500.00
2003-04-14,1.0700,1.1900,1.0700,1.1600,1.0470,32300.00
2003-04-15,1.1500,1.1700,1.0500,1.0500,0.9477,68900.00
2003-04-16,1.1500,1.1700,1.0800,1.1300,1.0199,50000.00
2003-04-17,1.2000,1.2000,1.0900,1.1000,0.9928,85700.00
2003-04-21,1.1500,1.1700,1.1000,1.1600,1.0470,91600.00
2003-04-22,1.1000,1.1800,1.1000,1.1600,1.0470,30300.00
2003-04-23,1.1200,1.1500,1.1000,1.1400,1.0289,44000.00
2003-04-24,1.1300,1.1500,1.0900,1.1400,1.0289,200700.00
2003-04-25,1.1500,1.2400,1.0500,1.1100,1.0019,56500.00
2003-04-28,1.0600,1.1600,1.0100,1.0500,0.9477,81100.00
2003-04-29,1.0400,1.1500,1.0400,1.0800,0.9748,53400.00
2003-04-30,1.0300,1.1100,1.0000,1.0400,0.9387,137900.00
2003-05-01,0.9900,1.0900,0.9900,1.0700,0.9658,18500.00
2003-05-02,1.0700,1.1400,1.0300,1.1200,1.0109,21700.00
2003-05-05,1.1500,1.1600,1.0900,1.1000,0.9928,25900.00
2003-05-06,1.0600,1.1200,1.0400,1.0600,0.9567,55500.00
2003-05-07,1.2000,1.4500,1.0900,1.3900,1.2546,215600.00
2003-05-08,1.3900,1.3900,1.1500,1.2000,1.0831,85000.00
2003-05-09,1.2000,1.2700,1.0700,1.2090,1.0912,58900.00
2003-05-12,1.1500,1.2000,1.1100,1.1700,1.0560,35200.00
2003-05-13,1.1700,1.3200,1.1600,1.2600,1.1373,44300.00
2003-05-14,1.3100,1.3200,1.2200,1.3000,1.1734,54200.00
2003-05-15,1.3200,1.3800,1.2500,1.3100,1.1824,82900.00
2003-05-16,1.2200,1.3500,1.2100,1.2900,1.1643,179100.00
2003-05-19,1.2900,1.3500,1.2500,1.2700,1.1463,78000.00
2003-05-20,1.2500,1.2900,1.2100,1.2500,1.1282,52500.00
2003-05-21,1.2800,1.2900,1.2200,1.2400,1.1192,60100.00
2003-05-22,1.2400,1.2400,1.1500,1.2300,1.1102,117900.00
2003-05-23,1.2200,1.2200,1.1800,1.2000,1.0831,68700.00
2003-05-27,1.2000,1.2200,1.1500,1.2000,1.0831,128300.00
2003-05-28,1.2300,1.3900,1.2000,1.3100,1.1824,215800.00
2003-05-29,1.3500,1.4600,1.3400,1.3900,1.2546,159000.00
2003-05-30,1.3800,1.4600,1.2500,1.3000,1.1734,153900.00
2003-06-02,1.4100,1.4200,1.2600,1.2800,1.1553,90500.00
2003-06-03,1.3000,1.4000,1.3000,1.3890,1.2537,75900.00
2003-06-04,1.3900,1.4700,1.3400,1.4500,1.3087,158000.00
2003-06-05,1.4500,1.7000,1.4400,1.5700,1.4171,269900.00
2003-06-06,1.6400,1.6600,1.5500,1.6500,1.4893,113000.00
2003-06-09,1.6900,1.7500,1.5500,1.5500,1.3990,53900.00
2003-06-10,1.5500,1.5500,1.3600,1.3700,1.2365,81500.00
2003-06-11,1.3800,1.4900,1.3700,1.4700,1.3268,56500.00
