Date,Open,High,Low,Close,Adjusted_close,Volume
1986-08-14,7.1300,7.3800,7.1300,7.1300,0.2053,2080000.00
1986-08-15,7.1300,7.1300,7.0000,7.0000,0.2015,2166400.00
1986-08-18,7.0000,7.0000,6.7500,6.7500,0.1943,1414400.00
1986-08-19,6.8700,7.0000,6.8700,6.8700,0.1978,1030400.00
1986-08-20,6.8700,7.2500,6.8700,6.8700,0.1978,342400.00
1986-08-21,7.1300,7.5000,7.1300,7.1300,0.2053,441600.00
1986-08-22,7.1300,7.3800,7.1300,7.1300,0.2053,867200.00
1986-08-25,7.1300,7.1300,6.8700,6.8700,0.1978,313600.00
1986-08-26,6.8700,7.1300,6.8700,6.8700,0.1978,396800.00
1986-08-27,6.8700,7.0000,6.8700,6.8700,0.1978,1270400.00
1986-08-28,6.8700,7.0000,6.5600,6.5600,0.1889,777600.00
1986-08-29,6.5600,7.0000,6.5600,6.5600,0.1889,774400.00
1986-09-02,7.1300,7.3800,7.1300,7.1300,0.2053,534400.00
1986-09-03,7.1300,7.5000,7.1300,7.1300,0.2053,201600.00
1986-09-04,8.0000,8.2500,8.0000,8.0000,0.2303,902400.00
1986-09-05,8.0000,8.2500,7.8700,7.8700,0.2266,1068800.00
1986-09-08,7.8700,8.1300,7.7500,7.7500,0.2231,246400.00
1986-09-09,8.0000,8.3800,8.0000,8.0000,0.2303,249600.00
1986-09-10,8.3800,8.7500,8.3800,8.3800,0.2413,467200.00
1986-09-11,7.7500,7.7500,7.3800,7.3800,0.2125,899200.00
1986-09-12,7.5000,7.7500,7.5000,7.5000,0.2159,643200.00
1986-09-15,8.2500,8.5600,8.2500,8.2500,0.2375,499200.00
1986-09-16,8.5600,9.0000,8.5600,8.5600,0.2465,627200.00
1986-09-17,9.2500,9.5000,9.2500,9.2500,0.2663,678400.00
1986-09-18,9.2500,9.5600,9.2500,9.2500,0.2663,176000.00
1986-09-19,9.2500,9.5600,9.2500,9.2500,0.2663,512000.00
1986-09-22,9.2500,9.2500,8.8700,8.8700,0.2554,390400.00
1986-09-23,8.8700,9.0000,8.5600,8.5600,0.2465,899200.00
