Date,Open,High,Low,Close,Adjusted_close,Volume
2004-07-19,14.0000,14.0000,14.0000,14.0000,5.0356,2600.00
2004-07-20,14.0000,14.0000,13.0000,14.0000,5.0356,15800.00
2004-07-21,14.0000,14.0000,14.0000,14.0000,5.0356,0.00
2004-07-22,14.1500,14.1500,14.1500,14.1500,5.0896,400.00
2004-07-23,14.1500,14.1500,14.1500,14.1500,5.0896,1400.00
2004-07-26,14.2300,14.4800,14.0000,14.0000,5.0356,4200.00
2004-07-27,13.9000,13.9000,13.6500,13.6500,4.9097,7800.00
2004-07-28,13.3500,13.6500,13.3500,13.6500,4.9097,1200.00
2004-07-29,13.6500,13.6500,13.6500,13.6500,4.9097,0.00
2004-07-30,13.5500,13.5500,12.5100,12.7500,4.5860,10800.00
2004-08-02,12.7490,13.0100,12.7490,13.0000,4.6759,1800.00
2004-08-03,13.4500,13.4500,13.4490,13.4490,4.8374,1000.00
2004-08-04,13.9000,13.9400,13.4900,13.5000,4.8558,98800.00
2004-08-05,13.4900,14.2000,13.4900,13.5000,4.8558,28200.00
2004-08-06,13.5000,13.5000,13.5000,13.5000,4.8558,0.00
2004-08-09,14.2000,14.6900,14.2000,14.6900,5.2838,1000.00
2004-08-10,14.9300,14.9500,14.9300,14.9500,5.3773,4600.00
2004-08-11,14.7000,14.7500,13.9000,14.0000,5.0356,6600.00
2004-08-12,14.5000,14.5000,14.0200,14.0200,5.0428,8200.00
2004-08-13,14.0800,14.0800,14.0100,14.0100,5.0392,3600.00
2004-08-16,14.0800,14.0800,14.0100,14.0100,5.0392,1800.00
2004-08-17,14.5800,14.5800,14.5800,14.5800,5.2442,400.00
2004-08-18,14.1000,14.1000,13.5200,13.7500,4.9457,35600.00
2004-08-19,13.6010,13.7000,13.6010,13.7000,4.9277,2200.00
2004-08-20,13.5900,13.7000,13.5900,13.7000,4.9277,2000.00
2004-08-23,13.5100,13.5200,13.5100,13.5200,4.8630,4200.00
2004-08-24,13.6000,13.6600,13.5300,13.5300,4.8666,7600.00
2004-08-25,13.5600,13.9000,13.5600,13.7400,4.9421,12000.00
2004-08-26,14.0000,14.1000,13.8500,14.0000,5.0356,13600.00
2004-08-27,14.0000,14.0100,13.9200,13.9700,5.0248,10600.00
2004-08-30,13.9700,13.9700,13.9700,13.9700,5.0248,0.00
2004-08-31,14.0000,14.0000,13.8500,13.8500,4.9817,3200.00
2004-09-01,14.2400,14.2400,13.8500,14.0000,5.0356,41200.00
2004-09-02,14.0000,14.0100,13.9600,14.0000,5.0356,18400.00
2004-09-03,14.0000,14.0000,14.0000,14.0000,5.0356,8200.00
2004-09-07,14.0000,14.0000,13.9990,14.0000,5.0356,11400.00
2004-09-08,14.0000,14.5000,13.8700,14.1100,5.0752,29200.00
2004-09-09,14.1000,14.5000,14.1000,14.2000,5.1076,4800.00
2004-09-10,14.4000,14.4000,14.1200,14.2000,5.1076,5200.00
2004-09-13,14.2000,14.2500,14.2000,14.2500,5.1255,400.00
2004-09-14,14.1400,14.2500,14.1400,14.2400,5.1220,12400.00
2004-09-15,14.2500,14.4000,14.1200,14.3000,5.1435,9800.00
2004-09-16,14.1700,14.2500,14.1100,14.1300,5.0824,15200.00
2004-09-17,14.1500,14.1500,14.1500,14.1500,5.0896,200.00
2004-09-20,14.1500,14.1500,14.1500,14.1500,5.0896,0.00
2004-09-21,14.1500,14.1500,14.1500,14.1500,5.0896,0.00
2004-09-22,14.1500,14.2500,14.1500,14.2500,5.1255,6600.00
2004-09-23,14.2500,14.2500,14.2100,14.2100,5.1112,2200.00
2004-09-24,14.1100,14.2500,14.1100,14.1600,5.0932,4800.00
2004-09-27,14.1600,14.1600,14.1200,14.1200,5.0788,4200.00
2004-09-28,14.1200,14.1200,14.1200,14.1200,5.0788,0.00
2004-09-29,14.1200,14.1200,14.1200,14.1200,5.0788,0.00
2004-09-30,14.1500,14.1500,14.1100,14.1200,5.0788,3000.00
2004-10-01,14.1100,14.1100,14.1100,14.1100,5.0752,1000.00
2004-10-04,14.1100,14.1100,14.1100,14.1100,5.0752,0.00
2004-10-05,14.1100,14.1500,14.1100,14.1100,5.0752,4600.00
2004-10-06,14.6500,14.6500,14.1200,14.1200,5.0788,1400.00
2004-10-07,14.1100,14.1100,14.1100,14.1100,5.0752,3200.00
2004-10-08,14.1100,14.1400,14.1100,14.1400,5.0860,2200.00
2004-10-11,14.1100,14.2000,14.1100,14.1500,5.0896,18600.00
2004-10-12,14.2500,14.2500,14.1500,14.1500,5.0896,3800.00
2004-10-13,14.1200,14.1200,14.1000,14.1000,5.0716,2800.00
2004-10-14,14.1000,14.1000,14.0100,14.0100,5.0392,6200.00
2004-10-15,14.0100,14.2000,14.0100,14.2000,5.1076,8200.00
2004-10-18,14.2500,14.2500,14.0800,14.2500,5.1255,10400.00
2004-10-19,13.9600,14.1200,13.9600,14.0110,5.0396,15400.00
2004-10-20,14.0110,14.0110,14.0110,14.0110,5.0396,0.00
2004-10-21,14.1000,14.2500,14.1000,14.2400,5.1220,9600.00
2004-10-22,13.9600,13.9600,13.9600,13.9600,5.0212,200.00
2004-10-25,13.9600,13.9600,13.9600,13.9600,5.0212,0.00
2004-10-26,14.0000,14.0000,13.9200,13.9200,5.0069,8800.00
2004-10-27,13.8900,13.8900,13.3000,13.5300,4.8666,27800.00
2004-10-28,13.5000,13.6900,13.2600,13.2600,4.7695,21600.00
2004-10-29,13.5880,13.5900,13.4000,13.5300,4.8666,12600.00
2004-11-01,13.3000,13.5800,13.3000,13.5800,4.8846,6000.00
2004-11-02,13.4900,13.5300,13.4900,13.5000,4.8558,10400.00
2004-11-03,13.9990,14.0000,13.3800,13.5000,4.8558,23800.00
2004-11-04,14.1000,14.1000,13.8400,13.9900,5.0320,18000.00
2004-11-05,13.9900,14.0000,13.3000,13.3000,4.7838,5600.00
2004-11-08,13.2600,13.2600,13.0600,13.1200,4.7191,6200.00
2004-11-09,13.1900,13.2200,13.1900,13.2000,4.7479,5400.00
2004-11-10,13.2000,13.2000,13.1500,13.1900,4.7443,4400.00
2004-11-11,13.2000,13.2500,13.1700,13.2000,4.7479,12400.00
2004-11-12,13.1300,13.1300,13.1000,13.1000,4.7119,1600.00
2004-11-15,13.2000,13.2300,13.2000,13.2200,4.7551,6400.00
2004-11-16,13.2480,13.2500,13.2000,13.2000,4.7479,2400.00
2004-11-17,13.2200,13.2900,13.2100,13.2900,4.7802,6000.00
2004-11-18,13.2100,13.2100,12.9000,13.0100,4.6795,9400.00
2004-11-19,12.9100,13.1390,12.9100,13.1000,4.7119,2000.00
2004-11-22,13.1200,13.1800,13.1100,13.1800,4.7407,3400.00
2004-11-23,13.2000,13.2000,13.1800,13.1800,4.7407,1000.00
2004-11-24,13.2000,13.3400,13.1800,13.3400,4.7982,10600.00
2004-11-26,13.3000,13.3000,13.2100,13.2100,4.7515,3000.00
2004-11-29,13.3000,13.3200,13.2300,13.3200,4.7910,5800.00
2004-11-30,13.3300,13.3500,13.2500,13.3500,4.8018,12600.00
2004-12-01,13.3500,13.4900,13.2500,13.4900,4.8522,16600.00
2004-12-02,13.3500,13.4500,13.3500,13.4500,4.8378,7400.00
2004-12-03,13.5000,13.5000,13.4800,13.5000,4.8558,2000.00
2004-12-06,13.9000,14.0000,13.5700,13.7500,4.9457,25200.00
2004-12-07,13.7500,13.8400,13.7000,13.8400,4.9781,6200.00
2004-12-08,13.6500,14.0500,13.6500,14.0500,5.0536,6400.00
2004-12-09,14.1500,14.2100,14.1500,14.1500,5.0896,2600.00
2004-12-10,14.0000,14.2500,14.0000,14.2500,5.1255,2000.00
2004-12-13,14.1600,14.1600,14.1500,14.1500,5.0896,2800.00
2004-12-14,14.1000,14.1000,14.0800,14.0800,5.0644,1200.00
2004-12-15,14.1000,14.2500,14.1000,14.2500,5.1255,1200.00
2004-12-16,14.2500,14.2500,14.0210,14.0210,5.0432,3200.00
2004-12-17,14.0110,14.1600,14.0100,14.0100,5.0392,4400.00
2004-12-20,14.1600,14.1600,14.1600,14.1600,5.0932,1000.00
2004-12-21,14.2500,14.2500,14.0000,14.0000,5.0356,5000.00
2004-12-22,14.0000,14.0000,14.0000,14.0000,5.0356,0.00
2004-12-23,14.0000,14.0000,14.0000,14.0000,5.0356,600.00
2004-12-27,14.0000,14.0000,14.0000,14.0000,5.0356,200.00
2004-12-28,14.0000,14.0000,13.9500,14.0000,5.0356,3600.00
2004-12-29,13.9500,14.2700,13.7500,14.2700,5.1327,3800.00
2004-12-30,13.7500,14.1400,13.7500,14.1400,5.0860,6400.00
2004-12-31,14.1400,14.1400,14.1400,14.1400,5.0860,0.00
2005-01-03,14.0000,14.0000,13.7500,13.7700,4.9529,2000.00
2005-01-04,13.7700,13.7700,13.7700,13.7700,4.9529,0.00
2005-01-05,13.7700,13.7700,13.7700,13.7700,4.9529,0.00
2005-01-06,13.7700,14.0000,13.7700,14.0000,5.0356,36800.00
2005-01-07,13.7500,13.8000,13.7400,13.7500,4.9457,12600.00
2005-01-10,13.7100,13.7500,13.7100,13.7500,4.9457,9400.00
2005-01-11,13.7500,13.7500,13.7500,13.7500,4.9457,0.00
2005-01-12,13.5500,13.5690,13.5500,13.5500,4.8738,2200.00
2005-01-13,13.5500,13.7400,13.5500,13.5600,4.8774,5200.00
2005-01-14,13.5100,13.5900,13.5100,13.5900,4.8882,10200.00
2005-01-18,13.5900,13.5900,13.5900,13.5900,4.8882,0.00
2005-01-19,13.5900,13.5900,13.5900,13.5900,4.8882,0.00
2005-01-20,13.4700,13.4700,13.4690,13.4690,4.8446,1000.00
2005-01-21,13.4690,13.4690,13.4690,13.4690,4.8446,0.00
2005-01-24,13.4690,13.4690,13.4690,13.4690,4.8446,0.00
2005-01-25,13.4690,13.4690,13.4690,13.4690,4.8446,0.00
2005-01-26,13.5500,13.6500,13.1500,13.5000,4.8558,9000.00
2005-01-27,13.5000,13.5000,13.5000,13.5000,4.8558,600.00
2005-01-28,13.4600,13.7500,13.4500,13.5200,4.8630,8800.00
2005-01-31,13.7400,13.7490,13.7400,13.7490,4.9453,800.00
2005-02-01,13.7490,13.7490,13.7490,13.7490,4.9453,0.00
2005-02-02,13.7490,13.7490,13.7490,13.7490,4.9453,0.00
2005-02-03,13.4990,13.7000,13.4990,13.7000,4.9277,3200.00
2005-02-04,13.7500,13.7500,13.7000,13.7000,4.9277,3200.00
2005-02-07,13.7000,13.7000,13.7000,13.7000,4.9277,0.00
2005-02-08,13.7000,13.7000,13.7000,13.7000,4.9277,0.00
2005-02-09,13.5000,13.5000,13.5000,13.5000,4.8558,2000.00
2005-02-10,13.5000,13.5000,13.5000,13.5000,4.8558,0.00
2005-02-11,13.5500,13.5500,13.5500,13.5500,4.8738,2000.00
2005-02-14,13.6190,13.6190,13.6190,13.6190,4.8986,800.00
2005-02-15,13.6200,13.6200,13.5100,13.5200,4.8630,5200.00
2005-02-16,13.5000,13.5000,13.5000,13.5000,4.8558,600.00
2005-02-17,13.6700,13.6700,13.5100,13.6700,4.9169,4000.00
2005-02-18,13.4600,13.4990,13.1500,13.1800,4.7407,13600.00
2005-02-22,13.3600,13.3600,13.2900,13.2900,4.7802,2200.00
2005-02-23,13.7400,13.7400,13.2800,13.5200,4.8630,3200.00
2005-02-24,13.5200,13.5200,13.5200,13.5200,4.8630,0.00
2005-02-25,13.5100,13.5200,13.3500,13.3546,4.8035,28000.00
2005-02-28,13.2000,13.2000,12.7000,12.8100,4.6076,33600.00
2005-03-01,12.9400,13.0000,12.6000,12.7000,4.5680,33600.00
2005-03-02,12.9700,12.9900,12.7100,12.7100,4.5716,600.00
2005-03-03,12.6000,12.8000,12.6000,12.8000,4.6040,5600.00
2005-03-04,13.0500,13.0500,12.6900,12.7000,4.5680,17600.00
2005-03-07,12.9800,13.0000,12.8100,12.8100,4.6076,8000.00
2005-03-08,12.9900,13.0000,12.9900,13.0000,4.6759,3800.00
2005-03-09,13.0000,13.0000,12.7600,12.7600,4.5896,2000.00
2005-03-10,12.7600,12.7600,12.7600,12.7600,4.5896,0.00
2005-03-11,12.7600,12.7600,12.7600,12.7600,4.5896,0.00
2005-03-14,12.9900,13.0000,12.8400,13.0000,4.6759,30200.00
2005-03-15,13.0000,13.1800,13.0000,13.1800,4.7407,66200.00
2005-03-16,12.8400,13.1000,12.8000,13.1000,4.7119,15800.00
2005-03-17,13.1500,13.4800,13.0400,13.4800,4.8486,4800.00
2005-03-18,13.5000,13.9400,13.5000,13.9400,5.0140,10000.00
2005-03-21,13.7500,14.0000,13.7500,14.0000,5.0356,11200.00
2005-03-22,13.2500,14.6800,13.2500,14.3100,5.1471,11000.00
2005-03-23,14.3100,14.9400,14.0300,14.1900,5.1040,13000.00
2005-03-24,14.1900,14.1900,14.1900,14.1900,5.1040,400.00
2005-03-28,13.7500,14.0800,13.7500,14.0800,5.0644,5600.00
2005-03-29,13.7700,13.8600,13.7600,13.7600,4.9493,1200.00
2005-03-30,13.7600,13.7600,13.7600,13.7600,4.9493,0.00
2005-03-31,13.7600,13.7600,13.7600,13.7600,4.9493,0.00
2005-04-01,13.8300,13.8300,13.7500,13.8300,4.9745,1600.00
2005-04-04,13.7400,13.8400,13.6420,13.8400,4.9781,3000.00
2005-04-05,13.7500,13.9700,13.7500,13.9700,5.0248,800.00
2005-04-06,13.9700,13.9700,13.9700,13.9700,5.0248,0.00
2005-04-07,13.8000,14.5000,13.8000,14.3600,5.1651,12600.00
2005-04-08,14.0000,14.3800,14.0000,14.3800,5.1723,14600.00
2005-04-11,14.3800,14.3800,14.3800,14.3800,5.1723,0.00
2005-04-12,13.9000,13.9000,13.6500,13.7100,4.9313,1400.00
2005-04-13,13.7500,13.7500,13.6600,13.6600,4.9133,1200.00
2005-04-14,13.6600,13.6600,13.6600,13.6600,4.9133,0.00
2005-04-15,13.6500,13.6500,13.3000,13.4000,4.8198,1600.00
2005-04-18,13.0900,13.0900,13.0900,13.0900,4.7083,600.00
2005-04-19,13.4000,13.6700,13.4000,13.5500,4.8738,1200.00
2005-04-20,13.4800,13.4800,13.4800,13.4800,4.8486,600.00
2005-04-21,13.4800,13.4800,13.4800,13.4800,4.8486,0.00
2005-04-22,13.2800,13.2800,13.2800,13.2800,4.7767,1000.00
2005-04-25,13.0700,13.1000,13.0700,13.1000,4.7119,2000.00
2005-04-26,13.2200,13.2200,13.2200,13.2200,4.7551,2000.00
