Date,Open,High,Low,Close,Adjusted_close,Volume
1996-06-21,12.1200,12.3800,12.0000,12.0000,3.0000,1881200.00
1996-06-24,12.2500,12.8800,12.0000,12.8800,3.2200,1606000.00
1996-06-25,12.8800,13.1200,12.6200,12.6200,3.1550,1895600.00
1996-06-26,12.7500,12.7500,12.5000,12.6200,3.1550,399200.00
1996-06-27,12.7500,13.3800,12.6200,13.0000,3.2500,348400.00
1996-06-28,13.0000,13.3800,13.0000,13.1200,3.2800,157200.00
1996-07-01,13.2500,13.2500,12.8800,12.8800,3.2200,117200.00
1996-07-02,12.8800,13.0000,12.8800,13.0000,3.2500,85600.00
1996-07-03,12.7500,13.6200,12.7500,13.6200,3.4050,370400.00
1996-07-05,13.2500,13.2500,12.8800,13.0000,3.2500,238800.00
1996-07-08,12.7500,13.1200,12.7500,13.1200,3.2800,55200.00
1996-07-09,13.1200,13.2500,12.7500,13.0600,3.2650,739600.00
1996-07-10,13.0000,13.1200,12.7500,13.1200,3.2800,184000.00
1996-07-11,13.0000,13.1200,12.3800,12.5000,3.1250,367600.00
1996-07-12,12.3800,12.5000,12.2500,12.3800,3.0950,54800.00
1996-07-15,12.1200,12.3800,11.7500,11.8800,2.9700,158800.00
1996-07-16,11.8800,12.0000,10.8800,10.8800,2.7200,190800.00
1996-07-17,11.1200,12.3800,11.0000,12.1200,3.0300,117600.00
1996-07-18,12.1200,12.7500,12.1200,12.7500,3.1875,127600.00
1996-07-19,12.8800,12.8800,12.6200,12.8800,3.2200,30800.00
1996-07-22,12.6200,12.8800,12.5000,12.7500,3.1875,177600.00
1996-07-23,12.7500,12.8800,12.3800,12.3800,3.0950,83200.00
1996-07-24,12.2500,12.8750,12.0000,12.8750,3.2188,46400.00
1996-07-25,12.8750,13.1250,12.6250,12.6250,3.1563,25600.00
1996-07-26,12.7500,12.7500,12.5000,12.6250,3.1563,159600.00
1996-07-29,12.2500,12.3100,12.2500,12.2500,3.0625,27200.00
1996-07-30,12.2500,12.2500,11.7500,11.7500,2.9375,145200.00
1996-07-31,11.6200,11.8800,11.6200,11.6200,2.9050,118800.00
1996-08-01,13.2500,13.2500,12.8750,12.8750,3.2188,15600.00
1996-08-02,12.8750,13.0000,12.8750,13.0000,3.2500,134400.00
1996-08-05,13.2500,13.2500,12.8750,13.0000,3.2500,60400.00
1996-08-06,12.5000,12.7500,12.3800,12.7500,3.1875,152000.00
1996-08-07,12.8800,13.1200,12.5000,12.8800,3.2200,180400.00
1996-08-08,12.7500,13.1250,12.7500,13.1250,3.2813,136800.00
1996-08-09,13.1250,13.2500,12.7500,13.0625,3.2656,233200.00
1996-08-12,12.3750,12.5000,12.2500,12.3750,3.0938,179600.00
1996-08-13,13.1200,13.3800,13.0000,13.3800,3.3450,93200.00
1996-08-14,13.3800,13.3800,13.1200,13.1200,3.2800,131200.00
1996-08-15,12.1250,12.3750,11.7500,11.8750,2.9688,36400.00
1996-08-16,11.8750,12.0000,10.8750,10.8750,2.7188,40400.00
1996-08-19,12.8750,12.8750,12.6250,12.8750,3.2188,92000.00
1996-08-20,12.5000,12.5000,12.1200,12.1200,3.0300,32800.00
1996-08-21,12.1200,12.2500,11.5000,11.5000,2.8750,60400.00
1996-08-22,12.6250,12.8750,12.5000,12.7500,3.1875,421600.00
1996-08-23,12.7500,12.8750,12.3750,12.3750,3.0938,102000.00
1996-08-26,12.3750,12.5000,12.3750,12.3750,3.0938,44800.00
1996-08-27,11.0000,11.0000,10.5000,11.0000,2.7500,153600.00
1996-08-28,10.5000,11.2500,10.5000,11.2500,2.8125,28400.00
1996-08-29,12.2500,12.3125,12.2500,12.2500,3.0625,23600.00
1996-08-30,12.2500,12.2500,11.7500,11.7500,2.9375,297200.00
1996-09-03,11.0000,11.0000,11.0000,11.0000,2.7500,11200.00
1996-09-04,11.3800,11.6200,11.2500,11.2500,2.8125,767600.00
1996-09-05,12.2500,12.5000,12.2500,12.5000,3.1250,332000.00
1996-09-06,12.5000,12.7500,12.3750,12.7500,3.1875,31600.00
1996-09-09,13.2500,13.3750,13.1250,13.3750,3.3438,80000.00
1996-09-10,10.6200,10.7500,10.6200,10.7500,2.6875,123600.00
1996-09-11,11.0000,11.0000,10.2500,10.8800,2.7200,609200.00
1996-09-12,13.5000,13.5000,13.2500,13.5000,3.3750,74000.00
1996-09-13,13.1250,13.3750,13.0000,13.3750,3.3438,628400.00
1996-09-16,13.0000,13.0000,12.7500,12.9375,3.2344,315200.00
1996-09-17,11.2500,12.3800,11.2500,12.2500,3.0625,590000.00
1996-09-18,12.2500,12.3800,12.0000,12.0000,3.0000,167200.00
1996-09-19,13.0000,13.1250,12.3750,12.3750,3.0938,156000.00
1996-09-20,12.5000,12.5000,12.1250,12.1250,3.0313,36000.00
1996-09-23,11.1250,11.5000,11.0000,11.1250,2.7813,216800.00
1996-09-24,11.3800,11.7500,11.2500,11.2500,2.8125,57600.00
1996-09-25,11.2500,11.7500,11.2500,11.2500,2.8125,8400.00
1996-09-26,10.8750,11.0000,10.8750,10.8750,2.7188,548000.00
1996-09-27,11.0000,11.0000,10.5000,11.0000,2.7500,304800.00
1996-09-30,11.2500,11.5000,11.0000,11.3750,2.8438,44000.00
1996-10-01,11.5000,11.7500,11.5000,11.5000,2.8750,90400.00
1996-10-02,11.7500,12.0000,11.5000,11.7500,2.9375,20000.00
1996-10-03,11.0000,11.0000,11.0000,11.0000,2.7500,152000.00
1996-10-04,11.3750,11.6250,11.2500,11.2500,2.8125,38000.00
1996-10-07,13.2500,13.2500,12.7500,13.1200,3.2800,90400.00
1996-10-08,13.0000,13.2500,13.0000,13.2500,3.3125,51200.00
1996-10-09,11.0000,11.0000,10.6250,11.0000,2.7500,57600.00
1996-10-10,10.6250,10.7500,10.6250,10.7500,2.6875,220800.00
1996-10-11,10.8750,11.0000,10.2500,10.8750,2.7188,226400.00
1996-10-14,14.2500,14.2500,13.7500,14.1200,3.5300,298400.00
1996-10-15,14.0000,15.1200,14.0000,15.0000,3.7500,142800.00
1996-10-16,11.1250,11.5000,11.0000,11.1250,2.7813,208800.00
1996-10-17,11.2500,12.3750,11.2500,12.2500,3.0625,250000.00
1996-10-18,12.2500,12.3750,12.0000,12.0000,3.0000,276400.00
1996-10-21,15.5000,15.5000,14.8800,14.8800,3.7200,277600.00
1996-10-22,14.5000,14.8800,13.3800,13.7500,3.4375,146800.00
1996-10-23,12.0000,12.0000,11.3750,11.6250,2.9063,105200.00
1996-10-24,11.3750,11.7500,11.2500,11.2500,2.8125,10800.00
1996-10-25,11.2500,11.7500,11.2500,11.2500,2.8125,121600.00
1996-10-28,13.0000,13.1200,13.0000,13.1200,3.2800,381200.00
1996-10-29,13.0000,13.0000,12.5000,13.0000,3.2500,122400.00
1996-10-30,11.7500,11.7500,11.5000,11.6250,2.9063,82000.00
1996-10-31,12.0000,12.2500,11.7500,12.2500,3.0625,44800.00
1996-11-01,11.5000,11.7500,11.5000,11.5000,2.8750,40000.00
1996-11-04,12.7500,13.1250,12.7500,12.7500,3.1875,45200.00
1996-11-05,12.3800,12.3800,12.0600,12.3800,3.0950,364800.00
1996-11-06,12.3800,12.7500,12.2500,12.5000,3.1250,304400.00
1996-11-07,13.2500,13.2500,12.7500,13.1250,3.2813,60800.00
1996-11-08,13.0000,13.2500,13.0000,13.2500,3.3125,32800.00
1996-11-11,13.3750,14.2500,13.0000,13.7500,3.4375,6800.00
1996-11-12,12.5000,12.5000,12.0000,12.1200,3.0300,18800.00
1996-11-13,12.0000,12.2500,12.0000,12.1900,3.0475,137600.00
1996-11-14,14.2500,14.2500,13.7500,14.1250,3.5313,69200.00
