Date,Open,High,Low,Close,Adjusted_close,Volume
2016-09-23,23.4000,24.6000,22.5000,22.5500,22.5500,6612306.00
2016-09-26,22.7100,23.4700,21.5000,21.5000,21.5000,1208956.00
2016-09-27,21.3700,21.8700,20.9117,21.1900,21.1900,560594.00
2016-09-28,21.8800,23.4400,21.3501,23.1000,23.1000,1128807.00
2016-09-29,23.1000,23.4000,21.4300,21.6000,21.6000,819662.00
2016-09-30,21.6000,22.1150,21.4200,21.7000,21.7000,382857.00
2016-10-03,21.9600,22.0500,21.5301,21.6600,21.6600,203825.00
2016-10-04,21.7200,22.1000,19.9000,20.3900,20.3900,681604.00
2016-10-05,20.0000,20.2300,19.0000,19.0000,19.0000,947555.00
2016-10-06,19.0000,19.8200,18.7770,19.7000,19.7000,482078.00
2016-10-07,19.9300,19.9300,19.3750,19.7600,19.7600,236160.00
2016-10-10,20.0000,20.4973,19.7500,20.0300,20.0300,208681.00
2016-10-11,19.8400,20.5000,19.8400,20.4900,20.4900,141066.00
2016-10-12,20.4000,20.5239,19.7200,20.0800,20.0800,147839.00
2016-10-13,20.0400,20.4200,19.0900,20.3900,20.3900,183412.00
2016-10-14,20.6800,21.1899,20.3000,20.7100,20.7100,97100.00
2016-10-17,20.5800,20.8820,20.2600,20.5200,20.5200,200875.00
2016-10-18,20.0800,20.6300,19.7900,20.5500,20.5500,234765.00
2016-10-19,20.7100,20.7100,19.9600,20.2600,20.2600,76752.00
2016-10-20,20.0700,20.1900,19.7100,19.9200,19.9200,68739.00
2016-10-21,19.8000,20.1500,19.8000,20.0200,20.0200,43941.00
2016-10-24,19.9100,20.0600,19.1200,19.8600,19.8600,189346.00
2016-10-25,19.7400,19.9100,19.0400,19.6100,19.6100,379910.00
2016-10-26,19.4100,19.5500,19.1500,19.2400,19.2400,205156.00
2016-10-27,19.1400,19.5000,18.2600,18.4500,18.4500,279994.00
2016-10-28,19.0200,19.9000,19.0200,19.3600,19.3600,276537.00
2016-10-31,20.1200,20.6463,19.7000,19.7300,19.7300,327113.00
2016-11-01,20.5000,20.5000,19.0200,19.1000,19.1000,406335.00
2016-11-02,19.3200,19.9100,19.1038,19.3100,19.3100,136281.00
2016-11-03,20.2600,20.2600,18.1800,18.2900,18.2900,239481.00
2016-11-04,18.1400,19.2200,17.5200,18.8600,18.8600,150940.00
2016-11-07,19.8800,20.4800,19.2503,19.8900,19.8900,197729.00
2016-11-08,19.8600,20.5000,19.3500,20.2600,20.2600,94569.00
2016-11-09,19.6700,19.8500,19.1000,19.5500,19.5500,181163.00
2016-11-10,19.6300,19.7000,19.1300,19.2300,19.2300,134435.00
2016-11-11,19.2100,19.7390,19.1500,19.2000,19.2000,136808.00
2016-11-14,19.3000,19.4400,18.0600,18.1400,18.1400,169671.00
2016-11-15,18.2300,18.5500,17.7800,18.0600,18.0600,142711.00
2016-11-16,17.9500,18.2000,17.8000,17.9800,17.9800,66963.00
2016-11-17,18.0000,18.1800,17.5600,17.8500,17.8500,63781.00
2016-11-18,18.0000,18.8600,17.8850,18.7500,18.7500,149582.00
2016-11-21,19.3400,20.2100,19.0000,20.0000,20.0000,119948.00
2016-11-22,20.0100,20.0400,19.1100,19.4300,19.4300,90205.00
2016-11-23,19.3400,19.4500,18.7601,19.0700,19.0700,88032.00
2016-11-25,19.3200,19.5000,18.7700,19.3800,19.3800,47559.00
2016-11-28,19.3600,19.4728,18.7800,19.1200,19.1200,79094.00
2016-11-29,18.9100,19.9500,18.9100,19.6100,19.6100,131158.00
2016-11-30,19.6700,19.8500,19.0900,19.8100,19.8100,130102.00
2016-12-01,19.9000,20.2000,18.0500,18.5700,18.5700,151550.00
2016-12-02,18.5500,18.8500,17.6500,18.2400,18.2400,190912.00
2016-12-05,18.1800,19.1500,18.1482,18.7100,18.7100,104834.00
2016-12-06,18.7400,18.7400,17.7600,18.1800,18.1800,97052.00
2016-12-07,18.3000,18.7200,17.2700,18.2300,18.2300,331056.00
2016-12-08,18.0400,18.5200,17.6100,17.8000,17.8000,94048.00
2016-12-09,17.7900,17.8500,16.8900,17.0200,17.0200,181143.00
2016-12-12,16.8600,16.8600,15.8500,16.1600,16.1600,158131.00
2016-12-13,16.0400,16.7000,15.3000,16.5800,16.5800,146799.00
2016-12-14,16.4900,16.5000,16.0100,16.0300,16.0300,146221.00
2016-12-15,16.0800,17.8100,16.0800,17.3600,17.3600,171305.00
2016-12-16,17.1900,18.4700,16.9000,17.6700,17.6700,920642.00
2016-12-19,17.6700,18.2500,17.1400,18.2000,18.2000,76614.00
2016-12-20,18.3700,19.5500,18.0100,19.2000,19.2000,123352.00
2016-12-21,19.1100,19.7100,18.8000,19.6000,19.6000,123097.00
2016-12-22,19.0473,19.9400,18.7800,19.6600,19.6600,79132.00
2016-12-23,19.6900,19.7000,19.1200,19.4200,19.4200,61715.00
2016-12-27,19.4800,19.7500,19.3200,19.7200,19.7200,69010.00
2016-12-28,19.6900,19.7300,19.1300,19.7000,19.7000,72638.00
2016-12-29,19.6100,19.9692,18.7601,19.2200,19.2200,151280.00
2016-12-30,19.2800,19.6200,18.0700,18.5300,18.5300,149291.00
2017-01-03,18.6000,18.9700,18.4000,18.7800,18.7800,70325.00
2017-01-04,18.8100,18.9500,18.0600,18.6200,18.6200,114276.00
2017-01-05,18.6000,18.7500,18.2242,18.4100,18.4100,79260.00
2017-01-06,18.5200,18.6000,17.7410,17.8800,17.8800,147655.00
2017-01-09,17.6200,18.4000,17.6186,17.8900,17.8900,80048.00
2017-01-10,17.9000,18.2600,16.6860,17.3800,17.3800,256515.00
2017-01-11,17.4100,17.7400,17.1600,17.6100,17.6100,80020.00
2017-01-12,17.7300,17.7300,16.7500,17.0000,17.0000,54283.00
2017-01-13,17.0100,17.0600,16.5000,16.6200,16.6200,156874.00
2017-01-17,16.5700,16.6999,16.0300,16.0500,16.0500,66796.00
2017-01-18,16.0200,16.5300,16.0100,16.4200,16.4200,57774.00
2017-01-19,16.5700,16.7400,16.3000,16.4300,16.4300,61431.00
2017-01-20,16.5500,16.5535,16.2854,16.4500,16.4500,21927.00
2017-01-23,16.4800,16.4800,15.8100,15.9700,15.9700,100789.00
2017-01-24,15.9800,16.0899,15.4000,15.6600,15.6600,198251.00
2017-01-25,15.7400,16.3900,15.3000,16.2100,16.2100,226520.00
2017-01-26,16.2600,16.3250,14.9150,15.0300,15.0300,269580.00
