Date,Open,High,Low,Close,Adjusted_close,Volume
1995-03-16,24.7500,25.5000,23.7500,24.7500,1.5332,21964458.00
1995-03-17,24.8700,24.8700,23.7500,23.8700,1.4787,16486117.00
1995-03-20,23.7500,23.8700,23.2500,23.7500,1.4712,6859379.00
1995-03-21,23.7500,25.1300,23.5000,24.8700,1.5406,7874750.00
1995-03-22,25.0000,29.7500,25.0000,27.8800,1.7271,17497361.00
1995-03-23,27.6200,28.3700,27.1200,27.2500,1.6880,8171839.00
1995-03-24,27.5000,27.6200,26.8800,27.3800,1.6961,1968108.00
1995-03-27,27.2500,27.7500,26.8800,27.7500,1.7190,2427144.00
1995-03-28,27.8800,29.7500,27.7500,28.6300,1.7735,13433962.00
1995-03-29,29.0000,29.6300,28.2500,28.7500,1.7810,4914799.00
1995-03-30,28.5000,28.5000,26.3800,27.1200,1.6800,2905581.00
1995-03-31,26.7500,28.1200,26.3800,28.1200,1.7419,4421958.00
1995-04-03,28.0000,28.0000,27.1200,27.5000,1.7035,3083857.00
1995-04-04,27.3800,27.5000,25.6300,25.8800,1.6032,2538856.00
1995-04-05,25.8800,25.8800,25.0000,25.2500,1.5641,4671982.00
1995-04-06,25.5000,25.8800,25.2500,25.2500,1.5641,2534720.00
1995-04-07,25.2500,25.6300,24.8700,25.2500,1.5641,1497836.00
1995-04-10,25.2500,27.0000,24.8700,26.5000,1.6416,2876958.00
1995-04-11,26.5000,26.8800,26.2500,26.5000,1.6416,2343095.00
1995-04-12,26.6200,27.1900,26.6200,27.0000,1.6726,3963978.00
1995-04-13,27.2500,27.2500,26.2500,26.5000,1.6416,750933.00
1995-04-17,26.2500,26.7500,25.6300,25.6300,1.5877,961000.00
1995-04-18,25.6300,26.0000,24.8700,25.1300,1.5567,1298046.00
1995-04-19,25.1300,25.3700,24.8700,24.8700,1.5406,1696668.00
1995-04-20,25.0000,25.3700,24.8700,24.8700,1.5406,1637213.00
1995-04-21,25.2500,25.3700,25.2500,25.3700,1.5716,627025.00
1995-04-24,25.3700,28.7500,25.3700,28.5000,1.7655,5486506.00
1995-04-25,28.1200,28.3700,27.3800,27.3800,1.6961,1227355.00
1995-04-26,27.3800,28.6300,27.3800,28.3700,1.7574,2601284.00
1995-04-27,28.2500,28.7500,28.1200,28.5000,1.7655,2161748.00
1995-04-28,28.3700,28.3700,27.0000,27.3800,1.6961,1019399.00
1995-05-01,27.6200,27.6200,27.1200,27.2500,1.6880,1023535.00
1995-05-02,27.6200,27.6200,27.1200,27.3800,1.6961,340125.00
1995-05-03,27.1200,28.2500,27.1200,28.1200,1.7419,1929208.00
1995-05-04,28.2500,31.0000,28.2500,29.8700,1.8503,8410530.00
1995-05-05,29.8700,30.8800,29.8700,30.2500,1.8739,2352317.00
1995-05-08,30.1300,31.1200,30.0000,30.7500,1.9049,1513208.00
1995-05-09,30.7500,30.7500,29.6300,29.8700,1.8503,2564399.00
1995-05-10,29.5000,29.5000,28.7500,28.8700,1.7884,4216017.00
1995-05-11,29.1300,29.1300,28.2500,28.2500,1.7500,935360.00
1995-05-12,28.2500,30.5000,28.2500,29.8700,1.8503,2389202.00
1995-05-15,30.2500,31.0000,30.0000,30.7500,1.9049,1778595.00
1995-05-16,30.6200,30.8800,30.5000,30.7500,1.9049,669005.00
1995-05-17,32.1200,34.2500,31.7500,33.8700,2.0981,6902406.00
1995-05-18,35.0000,35.8800,34.1300,34.8800,2.1607,3510134.00
1995-05-19,33.6300,34.5000,33.6300,33.7500,2.0907,2213047.00
1995-05-22,34.0000,34.2500,32.7500,33.2500,2.0597,758139.00
1995-05-23,33.3700,34.5000,32.6200,34.5000,2.1372,3336952.00
1995-05-24,35.2500,36.3800,35.1200,35.5000,2.1991,6581691.00
1995-05-25,36.1200,36.2500,34.3700,34.3700,2.1291,2240711.00
1995-05-26,34.5000,34.7500,34.1300,34.1300,2.1142,635191.00
1995-05-30,34.3700,34.8800,32.6200,32.8300,2.0337,1769374.00
1995-05-31,32.2500,32.7500,31.3800,32.2500,1.9978,2813367.00
1995-06-01,32.3800,32.6900,32.0000,32.6900,2.0250,364709.00
1995-06-02,32.1200,33.5000,31.8800,33.2500,2.0597,1707904.00
1995-06-05,33.3700,33.7500,33.2500,33.6300,2.0833,958986.00
1995-06-06,33.2500,33.5000,32.8700,32.8700,2.0362,607527.00
1995-06-07,33.3700,33.6300,32.8700,33.1300,2.0523,698684.00
1995-06-08,33.5000,33.7500,33.3700,33.3700,2.0672,313517.00
1995-06-09,33.7500,34.1300,33.3700,33.7500,2.0907,221303.00
