Date,Open,High,Low,Close,Adjusted_close,Volume
1986-04-02,21.5000,21.5000,20.5000,20.5000,1.2750,10240.00
1986-04-03,20.5000,21.5000,20.5000,20.5000,1.2750,12560.00
1986-04-04,20.5000,21.2500,20.5000,20.5000,1.2750,6320.00
1986-04-07,20.5000,20.7500,20.0000,20.0000,1.2439,6000.00
1986-04-08,20.2500,21.0000,20.2500,20.2500,1.2594,9440.00
1986-04-09,20.2500,21.0000,20.2500,20.2500,1.2594,6000.00
1986-04-10,20.5000,21.2500,20.5000,20.5000,1.2750,10480.00
1986-04-11,21.2500,22.2500,21.2500,21.2500,1.3216,7520.00
1986-04-14,21.2500,22.2500,21.2500,21.2500,1.3216,13600.00
1986-04-15,21.2500,21.5000,20.5000,20.5000,1.2750,10000.00
1986-04-16,20.7500,21.7500,20.7500,20.7500,1.2905,8880.00
1986-04-17,21.0000,22.0000,21.0000,21.0000,1.3061,10320.00
1986-04-18,21.0000,21.5000,20.5000,20.5000,1.2750,7360.00
1986-04-21,21.2500,22.0000,21.2500,21.2500,1.3216,7680.00
1986-04-22,21.2500,22.2500,21.2500,21.2500,1.3216,7200.00
1986-04-23,21.7500,22.7500,21.7500,21.7500,1.3527,10720.00
1986-04-24,21.7500,22.5000,21.5000,21.5000,1.3372,5040.00
1986-04-25,21.7500,22.7500,21.7500,21.7500,1.3527,9600.00
1986-04-28,21.7500,22.2500,21.5000,21.5000,1.3372,9760.00
1986-04-29,21.5000,22.0000,21.2500,21.2500,1.3216,9760.00
1986-04-30,21.5000,22.2500,21.5000,21.5000,1.3372,5040.00
1986-05-01,21.5000,22.0000,21.2500,21.2500,1.3216,3360.00
1986-05-02,21.2500,21.7500,21.0000,21.0000,1.3061,10000.00
1986-05-05,21.0000,21.7500,21.0000,21.0000,1.3061,4480.00
1986-05-06,21.0000,21.7500,20.7500,21.7500,1.3527,11200.00
1986-05-07,21.7500,22.5000,21.2500,21.7500,1.3527,17040.00
1986-05-08,21.7500,22.5000,21.7500,22.5000,1.3994,6080.00
1986-05-09,22.5000,22.5000,21.7500,22.5000,1.3994,12160.00
1986-05-12,22.2500,22.2500,21.5000,21.8800,1.3608,13520.00
1986-05-13,21.8800,22.2500,21.5000,22.2500,1.3838,9440.00
1986-05-14,22.2500,22.2500,21.5000,22.0000,1.3683,6720.00
1986-05-15,22.0000,22.5000,21.7500,21.7500,1.3527,13680.00
1986-05-16,21.7500,22.2500,21.2500,21.7500,1.3527,24960.00
1986-05-19,21.7500,22.0000,21.2500,21.2500,1.3216,8480.00
1986-05-20,21.2500,22.0000,21.0000,21.7500,1.3527,17440.00
1986-05-21,21.7500,21.7500,20.7500,21.5000,1.3372,9040.00
1986-05-22,21.5000,21.5000,20.7500,21.5000,1.3372,12240.00
1986-05-23,21.5000,21.5000,20.7500,21.5000,1.3372,6560.00
1986-05-27,21.5000,21.5000,20.5000,20.5000,1.2750,8960.00
1986-05-28,20.5000,21.5000,20.5000,21.2500,1.3216,12400.00
1986-05-29,21.2500,21.5000,20.7500,21.5000,1.3372,5920.00
1986-05-30,21.5000,21.7500,21.2500,21.2500,1.3216,3600.00
1986-06-02,21.2500,21.7500,20.7500,21.5000,1.3372,13520.00
1986-06-03,21.5000,21.7500,20.7500,21.5000,1.3372,10560.00
1986-06-04,21.5000,21.5000,20.5000,21.2500,1.3216,9360.00
1986-06-05,21.2500,21.2500,20.6200,21.1200,1.3136,11200.00
1986-06-06,21.1200,21.2500,20.5000,21.0000,1.3061,6400.00
1986-06-09,21.0000,21.0000,20.3800,20.6200,1.2825,8720.00
1986-06-10,20.6200,20.8800,20.2500,20.7500,1.2905,5840.00
1986-06-11,20.7500,20.8800,20.2500,20.8800,1.2986,13520.00
1986-06-12,20.8800,21.2500,20.6200,21.2500,1.3216,5200.00
1986-06-13,21.2500,22.0000,20.7500,22.0000,1.3683,26480.00
1986-06-16,22.0000,22.0000,20.2500,20.5000,1.2750,16560.00
1986-06-17,20.5000,20.5000,20.0000,20.5000,1.2750,9520.00
1986-06-18,20.5000,20.7500,20.0000,20.0000,1.2439,5440.00
1986-06-19,20.0000,20.7500,19.5000,20.5000,1.2750,12400.00
1986-06-20,20.5000,20.5000,19.5000,20.1200,1.2514,19520.00
1986-06-23,20.1200,21.0000,19.7500,21.0000,1.3061,9680.00
1986-06-24,21.0000,21.0000,20.2500,21.0000,1.3061,3440.00
1986-06-25,21.0000,21.0000,20.2500,20.5000,1.2750,2080.00
1986-06-26,20.5000,21.2500,20.0000,20.5000,1.2750,13120.00
1986-06-27,20.5000,20.7500,20.0000,20.1200,1.2514,4080.00
1986-06-30,20.2500,21.0000,20.2500,20.2500,1.2594,4560.00
1986-07-01,20.2500,21.0000,20.2500,20.5000,1.2750,9360.00
1986-07-02,20.5000,20.5000,19.7500,20.5000,1.2750,9040.00
1986-07-03,20.2500,20.2500,19.7500,20.2500,1.2594,14320.00
1986-07-07,20.2500,20.5000,19.7500,20.5000,1.2750,1040.00
1986-07-08,20.5000,20.7500,19.7500,20.0000,1.2439,5120.00
1986-07-09,20.0000,20.7500,20.0000,20.0000,1.2439,7360.00
1986-07-10,20.0000,20.7500,20.0000,20.7500,1.2905,6480.00
1986-07-11,20.7500,20.7500,20.0000,20.7500,1.2905,3120.00
1986-07-14,20.7500,20.7500,20.0000,20.7500,1.2905,4960.00
1986-07-15,20.7500,20.7500,20.0000,20.0000,1.2439,2160.00
1986-07-16,20.0000,20.7500,20.0000,20.0000,1.2439,4000.00
1986-07-17,20.0000,20.7500,20.0000,20.0000,1.2439,9840.00
1986-07-18,20.0000,20.7500,20.0000,20.2500,1.2594,9600.00
1986-07-21,20.2500,20.5000,20.0000,20.5000,1.2750,3520.00
1986-07-22,20.5000,21.0000,20.2500,21.0000,1.3061,6160.00
1986-07-23,21.0000,21.0000,20.2500,21.0000,1.3061,9520.00
1986-07-24,21.0000,21.0000,20.2500,21.0000,1.3061,8080.00
1986-07-25,21.0000,21.0000,20.2500,21.0000,1.3061,1760.00
1986-07-28,21.0000,21.0000,20.2500,20.3800,1.2675,6720.00
1986-07-29,20.3800,20.7500,20.0000,20.7500,1.2905,2320.00
1986-07-30,20.7500,20.7500,20.2500,20.2500,1.2594,2880.00
1986-07-31,20.2500,21.0000,20.0000,21.0000,1.3061,2720.00
1986-08-01,21.0000,21.0000,20.0000,20.3800,1.2675,6160.00
1986-08-04,20.3800,20.7500,20.0000,20.7500,1.2905,7520.00
1986-08-05,20.7500,20.7500,20.0000,20.7500,1.2905,880.00
1986-08-06,20.7500,20.7500,20.2500,20.3800,1.2675,6000.00
