Date,Open,High,Low,Close,Adjusted_close,Volume
1991-05-08,4.5000,4.5000,4.5000,4.5000,4.5000,1900.00
1991-05-09,4.5000,4.5000,4.5000,4.5000,4.5000,0.00
1991-05-10,4.5000,4.5000,4.5000,4.5000,4.5000,0.00
1991-05-13,4.5000,4.5000,4.5000,4.5000,4.5000,0.00
1991-05-14,3.5000,3.5000,3.5000,3.5000,3.5000,900.00
1991-05-15,3.5000,3.5000,3.5000,3.5000,3.5000,800.00
1991-05-16,3.0000,3.0000,3.0000,3.0000,3.0000,11300.00
1991-05-17,3.0000,3.0000,3.0000,3.0000,3.0000,0.00
1991-05-20,3.0000,3.0000,3.0000,3.0000,3.0000,0.00
1991-05-21,3.0000,3.0000,3.0000,3.0000,3.0000,0.00
1991-05-22,3.0000,3.0000,3.0000,3.0000,3.0000,0.00
1991-05-23,3.0000,3.0000,3.0000,3.0000,3.0000,0.00
1991-05-24,3.0000,3.0000,3.0000,3.0000,3.0000,0.00
1991-05-28,3.2500,3.2500,3.2500,3.2500,3.2500,5500.00
1991-05-29,3.2500,3.2500,3.2500,3.2500,3.2500,5000.00
1991-05-30,3.2500,3.2500,3.2500,3.2500,3.2500,0.00
1991-05-31,3.2500,3.2500,3.2500,3.2500,3.2500,200.00
1991-06-03,3.2500,3.2500,3.2500,3.2500,3.2500,0.00
1991-06-04,3.2500,3.2500,3.2500,3.2500,3.2500,0.00
1991-06-05,3.2500,3.2500,3.2500,3.2500,3.2500,0.00
1991-06-06,3.2500,3.2500,3.2500,3.2500,3.2500,0.00
1991-06-07,3.0000,3.0000,3.0000,3.0000,3.0000,100.00
1991-06-10,3.0000,3.0000,3.0000,3.0000,3.0000,0.00
1991-06-11,3.0000,3.0000,3.0000,3.0000,3.0000,800.00
1991-06-12,2.7500,2.7500,2.7500,2.7500,2.7500,1300.00
1991-06-13,2.7500,2.7500,2.7500,2.7500,2.7500,0.00
1991-06-14,2.7500,2.7500,2.7500,2.7500,2.7500,0.00
1991-06-17,2.7500,2.7500,2.7500,2.7500,2.7500,500.00
1991-06-18,2.7500,2.7500,2.7500,2.7500,2.7500,0.00
1991-06-19,2.7500,2.7500,2.7500,2.7500,2.7500,0.00
1991-06-20,2.7500,2.7500,2.7500,2.7500,2.7500,0.00
1991-06-21,2.7500,2.7500,2.7500,2.7500,2.7500,0.00
1991-06-24,2.7500,2.7500,2.7500,2.7500,2.7500,0.00
1991-06-25,2.7500,2.7500,2.7500,2.7500,2.7500,0.00
1991-06-26,3.0000,3.0000,3.0000,3.0000,3.0000,2300.00
1991-06-27,3.0000,3.0000,3.0000,3.0000,3.0000,0.00
1991-06-28,3.0000,3.0000,3.0000,3.0000,3.0000,0.00
1991-07-01,3.0000,3.0000,3.0000,3.0000,3.0000,0.00
1991-07-02,3.0000,3.0000,3.0000,3.0000,3.0000,0.00
1991-07-03,3.0000,3.0000,3.0000,3.0000,3.0000,0.00
1991-07-05,3.0000,3.0000,3.0000,3.0000,3.0000,0.00
1991-07-08,3.0000,3.0000,3.0000,3.0000,3.0000,0.00
1991-07-09,3.0000,3.0000,3.0000,3.0000,3.0000,0.00
1991-07-10,3.0000,3.0000,3.0000,3.0000,3.0000,0.00
1991-07-11,3.0000,3.0000,3.0000,3.0000,3.0000,5500.00
1991-07-12,3.0000,3.0000,3.0000,3.0000,3.0000,0.00
1991-07-15,3.0000,3.0000,3.0000,3.0000,3.0000,0.00
1991-07-16,3.0000,3.0000,3.0000,3.0000,3.0000,6800.00
1991-07-17,3.0000,3.0000,3.0000,3.0000,3.0000,0.00
1991-07-18,3.0000,3.0000,3.0000,3.0000,3.0000,0.00
1991-07-19,3.0000,3.0000,3.0000,3.0000,3.0000,0.00
1991-07-22,3.0000,3.0000,3.0000,3.0000,3.0000,100.00
1991-07-23,3.0000,3.0000,3.0000,3.0000,3.0000,2300.00
1991-07-24,3.0000,3.0000,3.0000,3.0000,3.0000,4600.00
1991-07-25,3.0000,3.0000,3.0000,3.0000,3.0000,0.00
1991-07-26,3.0000,3.0000,3.0000,3.0000,3.0000,0.00
1991-07-29,3.0000,3.0000,3.0000,3.0000,3.0000,0.00
1991-07-30,3.0000,3.0000,3.0000,3.0000,3.0000,0.00
1991-07-31,3.0000,3.0000,3.0000,3.0000,3.0000,0.00
1991-08-01,2.7500,2.7500,2.7500,2.7500,2.7500,3600.00
1991-08-02,2.7500,2.7500,2.7500,2.7500,2.7500,0.00
1991-08-05,2.7500,2.7500,2.7500,2.7500,2.7500,0.00
1991-08-06,2.7500,2.7500,2.7500,2.7500,2.7500,0.00
1991-08-07,2.7500,2.7500,2.7500,2.7500,2.7500,0.00
1991-08-08,2.7500,2.7500,2.7500,2.7500,2.7500,0.00
1991-08-09,2.7500,2.7500,2.7500,2.7500,2.7500,0.00
1991-08-12,2.7500,2.7500,2.7500,2.7500,2.7500,0.00
1991-08-13,2.7500,2.7500,2.7500,2.7500,2.7500,0.00
1991-08-14,2.7500,2.7500,2.7500,2.7500,2.7500,0.00
1991-08-15,2.7500,2.7500,2.7500,2.7500,2.7500,0.00
1991-08-16,2.7500,2.7500,2.7500,2.7500,2.7500,0.00
1991-08-19,2.7500,2.7500,2.7500,2.7500,2.7500,0.00
1991-08-20,2.7500,2.7500,2.7500,2.7500,2.7500,0.00
1991-08-21,2.7500,2.7500,2.7500,2.7500,2.7500,0.00
1991-08-22,2.7500,2.7500,2.7500,2.7500,2.7500,0.00
1991-08-23,2.7500,2.7500,2.7500,2.7500,2.7500,0.00
1991-08-26,2.7500,2.7500,2.7500,2.7500,2.7500,0.00
1991-08-27,2.7500,2.7500,2.7500,2.7500,2.7500,0.00
1991-08-28,2.7500,2.7500,2.7500,2.7500,2.7500,0.00
1991-08-29,2.7500,2.7500,2.7500,2.7500,2.7500,0.00
1991-08-30,2.7500,2.7500,2.7500,2.7500,2.7500,0.00
1991-09-03,2.7500,2.7500,2.7500,2.7500,2.7500,0.00
1991-09-04,2.7500,2.7500,2.7500,2.7500,2.7500,0.00
1991-09-05,2.7500,2.7500,2.7500,2.7500,2.7500,1400.00
1991-09-06,2.7500,2.7500,2.7500,2.7500,2.7500,0.00
1991-09-09,2.7500,2.7500,2.7500,2.7500,2.7500,1500.00
1991-09-10,2.7500,2.7500,2.7500,2.7500,2.7500,0.00
1991-09-11,2.7500,2.7500,2.7500,2.7500,2.7500,0.00
1991-09-12,2.5000,2.5000,2.5000,2.5000,2.5000,2000.00
1991-09-13,2.5000,2.5000,2.5000,2.5000,2.5000,2200.00
1991-09-16,2.5000,2.5000,2.5000,2.5000,2.5000,1100.00
1991-09-17,2.5000,2.5000,2.5000,2.5000,2.5000,0.00
1991-09-18,2.5000,2.5000,2.5000,2.5000,2.5000,0.00
1991-09-19,2.5000,2.5000,2.5000,2.5000,2.5000,500.00
1991-09-20,2.5000,2.5000,2.5000,2.5000,2.5000,0.00
1991-09-23,2.7500,2.7500,2.7500,2.7500,2.7500,15400.00
1991-09-24,2.7500,2.7500,2.7500,2.7500,2.7500,0.00
1991-09-25,2.7500,2.7500,2.7500,2.7500,2.7500,0.00
1991-09-26,2.7500,2.7500,2.7500,2.7500,2.7500,0.00
1991-09-27,2.7500,2.7500,2.7500,2.7500,2.7500,3100.00
1991-09-30,2.7500,2.7500,2.7500,2.7500,2.7500,0.00
1991-10-01,3.0000,3.0000,3.0000,3.0000,3.0000,8400.00
1991-10-02,3.0000,3.0000,3.0000,3.0000,3.0000,1000.00
1991-10-03,3.2500,3.2500,3.2500,3.2500,3.2500,7500.00
1991-10-04,3.2500,3.2500,3.2500,3.2500,3.2500,0.00
1991-10-07,3.2500,3.2500,3.2500,3.2500,3.2500,0.00
1991-10-08,3.2500,3.2500,3.2500,3.2500,3.2500,0.00
1991-10-09,3.2500,3.2500,3.2500,3.2500,3.2500,0.00
1991-10-10,3.2500,3.2500,3.2500,3.2500,3.2500,0.00
1991-10-11,3.2500,3.2500,3.2500,3.2500,3.2500,0.00
1991-10-14,3.2500,3.2500,3.2500,3.2500,3.2500,0.00
1991-10-15,3.2500,3.2500,3.2500,3.2500,3.2500,0.00
1991-10-16,3.2500,3.2500,3.2500,3.2500,3.2500,0.00
1991-10-17,3.2500,3.2500,3.2500,3.2500,3.2500,0.00
1991-10-18,3.2500,3.2500,3.2500,3.2500,3.2500,1000.00
1991-10-21,3.2500,3.2500,3.2500,3.2500,3.2500,0.00
1991-10-22,3.2500,3.2500,3.2500,3.2500,3.2500,0.00
1991-10-23,3.5000,3.5000,3.5000,3.5000,3.5000,4000.00
1991-10-24,3.5000,3.5000,3.5000,3.5000,3.5000,2100.00
1991-10-25,3.5000,3.5000,3.5000,3.5000,3.5000,0.00
1991-10-28,3.5000,3.5000,3.5000,3.5000,3.5000,600.00
1991-10-29,3.5000,3.5000,3.5000,3.5000,3.5000,0.00
1991-10-30,3.5000,3.5000,3.5000,3.5000,3.5000,0.00
1991-10-31,3.5000,3.5000,3.5000,3.5000,3.5000,0.00
1991-11-01,3.5000,3.5000,3.5000,3.5000,3.5000,0.00
1991-11-04,4.7500,4.7500,4.7500,4.7500,4.7500,100.00
1991-11-05,4.7500,4.7500,4.7500,4.7500,4.7500,0.00
1991-11-06,4.7500,4.7500,4.7500,4.7500,4.7500,600.00
1991-11-07,5.0000,5.0000,5.0000,5.0000,5.0000,1000.00
1991-11-08,5.0000,5.0000,5.0000,5.0000,5.0000,0.00
1991-11-11,5.2500,5.2500,5.2500,5.2500,5.2500,3500.00
