Date,Open,High,Low,Close,Adjusted_close,Volume
1996-11-19,7.6200,7.6200,7.2500,7.2500,29.0000,413400.00
1996-11-20,7.3800,7.3800,7.2500,7.2500,29.0000,107700.00
1996-11-21,7.3800,7.3800,7.2500,7.3100,29.2400,96800.00
1996-11-22,7.3800,7.3800,7.2500,7.2500,29.0000,26400.00
1996-11-25,7.3800,7.7500,7.2500,7.6200,7.6200,337600.00
1996-11-26,7.8800,8.3800,7.7500,8.1200,8.1200,104100.00
1996-11-27,8.2500,8.2500,8.0000,8.1200,8.1200,34300.00
1996-11-29,8.2500,8.2500,8.0000,8.0600,8.0600,8000.00
1996-12-02,8.2500,8.2500,8.0000,8.0000,8.0000,18200.00
1996-12-03,8.0000,8.1200,8.0000,8.0000,8.0000,26000.00
1996-12-04,8.0000,8.1200,8.0000,8.0000,8.0000,32100.00
1996-12-05,8.0000,8.1200,8.0000,8.1200,8.1200,15300.00
1996-12-06,8.0000,8.1200,8.0000,8.0000,8.0000,23300.00
1996-12-09,8.1200,8.1200,8.0000,8.0600,8.0600,43700.00
1996-12-10,8.1200,8.1900,7.9800,8.0600,8.0600,195600.00
1996-12-11,8.2500,8.3800,8.0600,8.3800,8.3800,48200.00
1996-12-12,8.3800,9.5000,8.3100,9.5000,9.5000,166300.00
1996-12-13,9.5000,10.5000,9.5000,10.0000,10.0000,175600.00
1996-12-16,10.2500,10.7500,10.1200,10.2500,10.2500,167100.00
1996-12-17,10.5000,10.6200,9.8800,9.8800,9.8800,135100.00
1996-12-18,10.0000,10.1200,9.8800,9.8800,9.8800,79400.00
1996-12-19,10.1200,10.1200,9.8800,10.0000,10.0000,33200.00
1996-12-20,9.8800,10.3800,9.8800,10.3800,10.3800,45600.00
1996-12-23,10.3800,11.0000,10.1200,11.0000,11.0000,95500.00
1996-12-24,11.0000,12.6200,11.0000,12.5000,12.5000,256000.00
1996-12-26,12.7500,20.3800,12.7500,20.3800,20.3800,1349000.00
1996-12-27,24.0000,24.8800,20.8800,21.5000,21.5000,3114100.00
1996-12-30,25.1200,30.6200,16.1200,16.3800,16.3800,4690300.00
1996-12-31,17.2500,21.0000,13.6200,19.5600,19.5600,2550600.00
1997-01-02,21.3800,22.5000,20.0000,21.2500,21.2500,1040900.00
1997-01-03,23.5000,23.5000,18.5000,19.6200,19.6200,1121500.00
1997-01-06,19.3800,21.6200,17.8800,18.3800,18.3800,693200.00
1997-01-07,19.0000,19.3800,16.0000,17.5000,17.5000,725800.00
1997-01-08,17.7500,17.8800,15.3800,15.7500,15.7500,471000.00
1997-01-09,14.5000,15.0000,13.7500,14.5000,14.5000,541300.00
1997-01-10,13.6200,16.2500,13.3800,15.5000,15.5000,450900.00
1997-01-13,16.1200,17.3800,15.5000,16.6200,16.6200,233000.00
1997-01-14,17.0000,18.1200,16.7500,16.8800,16.8800,292400.00
1997-01-15,17.0000,17.5000,16.3800,16.8800,16.8800,311900.00
1997-01-16,17.2500,17.8800,16.6200,16.8800,16.8800,79300.00
1997-01-17,17.0000,17.7500,16.2500,17.2500,17.2500,116200.00
1997-01-20,17.5000,18.5000,17.2500,17.8800,17.8800,216700.00
1997-01-21,18.1200,18.2500,17.3800,18.0000,18.0000,66400.00
1997-01-22,17.7500,18.1200,17.6200,17.7500,17.7500,58800.00
1997-01-23,18.0000,18.1200,17.6200,17.6200,17.6200,86100.00
1997-01-24,17.6200,17.6200,16.5000,16.6200,16.6200,81800.00
1997-01-27,16.7500,17.1200,16.5000,16.7500,16.7500,76300.00
1997-01-28,16.6200,17.0000,16.2500,16.5000,16.5000,95200.00
1997-01-29,16.6200,17.3800,16.5000,16.6200,16.6200,70200.00
1997-01-30,16.6200,17.0000,16.3800,16.7500,16.7500,77600.00
1997-01-31,16.6200,17.0000,15.2500,15.6200,15.6200,158100.00
1997-02-03,15.6200,15.8800,13.7500,13.8800,13.8800,243800.00
1997-02-04,14.0000,14.3800,12.1200,12.8800,12.8800,317100.00
1997-02-05,12.8800,14.0000,12.7500,13.3800,13.3800,178000.00
1997-02-06,13.4400,13.8800,13.2500,13.3800,13.3800,123500.00
1997-02-07,13.5000,14.7500,13.3800,14.7500,14.7500,79400.00
1997-02-10,15.5000,16.5000,14.5000,14.5000,14.5000,158200.00
1997-02-11,15.0000,15.2500,13.7500,14.1200,14.1200,69200.00
1997-02-12,14.3800,14.5000,13.8800,14.1200,14.1200,102200.00
1997-02-13,14.2500,14.6200,14.0000,14.0000,14.0000,187300.00
1997-02-14,14.0000,14.2500,13.2500,13.5900,13.5900,64100.00
1997-02-18,13.3800,13.5000,12.6200,12.7500,12.7500,119300.00
1997-02-19,12.8800,15.5000,12.8800,14.7500,14.7500,548200.00
1997-02-20,15.2500,16.6200,15.0000,15.7500,15.7500,303000.00
1997-02-21,16.0000,16.0000,15.5000,16.0000,16.0000,158000.00
1997-02-24,16.0000,16.1200,15.0000,15.4400,15.4400,41600.00
1997-02-25,15.7500,15.8800,15.0000,15.6200,15.6200,106000.00
1997-02-26,15.8800,16.0000,15.5000,15.7500,15.7500,109300.00
1997-02-27,16.0000,16.0000,15.5000,15.6200,15.6200,107300.00
1997-02-28,15.6200,15.7500,15.1200,15.1200,15.1200,86400.00
1997-03-03,15.0000,15.3800,14.3800,14.3800,14.3800,89000.00
1997-03-04,14.3800,14.8800,13.5000,14.3800,14.3800,305200.00
1997-03-05,14.5000,14.5000,13.7500,13.8800,13.8800,57200.00
1997-03-06,13.8800,15.1200,13.8800,14.3100,14.3100,123100.00
1997-03-07,14.2500,14.8800,14.2500,14.6200,14.6200,90000.00
1997-03-10,15.0000,15.5000,14.7500,14.8800,14.8800,43300.00
1997-03-11,15.1200,15.5000,14.6200,14.6200,14.6200,50900.00
