Date,Open,High,Low,Close,Adjusted_close,Volume
1990-03-27,4.7500,4.7500,4.7500,4.7500,3.8700,326.00
1990-03-28,4.2500,4.2500,4.2500,4.2500,3.4600,81.00
1990-03-29,4.2500,4.2500,4.2500,4.2500,3.4600,0.00
1990-03-30,4.2500,4.7500,4.2500,4.2500,3.4600,1711.00
1990-04-02,4.2500,4.2500,4.2500,4.2500,3.4600,0.00
1990-04-03,4.2500,4.5000,4.2500,4.5000,3.6700,2037.00
1990-04-04,4.2500,4.2500,4.2500,4.2500,3.4600,2282.00
1990-04-05,4.2500,4.7500,4.2500,4.7500,3.8700,5379.00
1990-04-06,4.1250,4.3750,4.1250,4.3750,3.5659,5460.00
1990-04-09,4.1250,4.1250,4.1250,4.1250,3.3641,815.00
1990-04-10,4.1250,4.1250,4.1250,4.1250,3.3641,815.00
1990-04-11,4.1250,4.1250,4.1250,4.1250,3.3641,1630.00
1990-04-12,4.1200,4.1200,4.1200,4.1200,3.3600,0.00
1990-04-16,4.5000,4.5000,4.1250,4.1250,3.3641,489.00
1990-04-17,4.1250,4.6250,4.1250,4.4380,3.6184,16789.00
1990-04-18,4.1250,4.5000,4.1250,4.5000,3.6700,9780.00
1990-04-19,4.6250,4.6250,4.6250,4.6250,3.7741,163.00
1990-04-20,4.6250,4.6250,4.2500,4.5000,3.6700,13040.00
1990-04-23,4.5000,4.6250,4.5000,4.6250,3.7741,3260.00
1990-04-24,4.2500,4.6250,4.2500,4.6250,3.7741,3015.00
1990-04-25,4.6250,4.7500,4.2500,4.2500,3.4600,4727.00
1990-04-26,4.7500,5.0000,4.7500,5.0000,4.0800,4319.00
1990-04-27,5.2500,5.2500,5.2500,5.2500,4.2800,163.00
1990-04-30,4.8750,5.1250,4.7500,4.7500,3.8700,1711.00
1990-05-01,4.5000,5.0000,4.5000,4.5000,3.6700,1467.00
1990-05-02,4.7500,4.7500,4.7500,4.7500,3.8700,978.00
1990-05-03,4.7500,4.7500,4.7500,4.7500,3.8700,163.00
1990-05-04,4.7500,4.7500,4.7500,4.7500,3.8700,0.00
1990-05-07,4.6250,5.0000,4.6250,5.0000,4.0800,1141.00
1990-05-08,4.5000,4.5000,4.5000,4.5000,3.6700,1630.00
1990-05-09,4.5000,5.0000,4.5000,5.0000,4.0800,326.00
1990-05-10,5.0000,5.0000,4.5000,4.5000,3.6700,815.00
1990-05-11,4.7500,5.0000,4.7500,5.0000,4.0800,652.00
1990-05-14,5.0000,5.0000,5.0000,5.0000,4.0800,0.00
1990-05-15,4.5000,4.6250,4.5000,4.6250,3.7741,1222.00
1990-05-16,4.5000,5.0000,4.5000,4.6250,3.7741,2852.00
1990-05-17,4.5000,4.5000,4.5000,4.5000,3.6700,896.00
1990-05-18,4.5000,4.5000,4.5000,4.5000,3.6700,407.00
1990-05-21,4.5000,4.5000,4.5000,4.5000,3.6700,163.00
1990-05-22,4.5000,5.0000,4.5000,5.0000,4.0800,244.00
1990-05-23,4.5000,4.5000,4.5000,4.5000,3.6700,81.00
1990-05-24,4.5000,4.5000,4.5000,4.5000,3.6700,1467.00
1990-05-25,4.5000,4.5000,4.5000,4.5000,3.6700,326.00
1990-05-29,4.5000,4.5000,4.5000,4.5000,3.6700,0.00
1990-05-30,4.5000,4.5000,4.5000,4.5000,3.6700,489.00
1990-05-31,4.6250,4.6250,4.5000,4.5000,3.6700,2200.00
