Date,Open,High,Low,Close,Adjusted_close,Volume
2014-12-17,25.5000,26.7000,25.5000,26.7000,26.0014,6375.00
2014-12-18,27.7700,27.9400,27.1800,27.6578,26.9341,14115.00
2014-12-19,28.1900,28.2400,27.5800,28.2300,27.4914,14809.00
2014-12-22,28.7500,28.7500,27.7990,28.1700,27.4329,36513.00
2014-12-23,27.9900,27.9900,26.2000,26.3700,25.6800,85092.00
2014-12-24,27.0000,27.3599,26.7500,26.8500,26.1475,57794.00
2014-12-26,27.1500,27.6100,27.1500,27.3900,26.6733,107118.00
2014-12-29,27.9700,27.9700,27.3000,27.4599,26.7414,13290.00
2014-12-30,27.6300,27.8700,27.3500,27.4900,26.7707,12986.00
2014-12-31,27.8900,28.1799,27.7400,27.7400,27.0142,23164.00
2015-01-02,28.0000,28.6299,27.7500,28.4000,27.6569,15961.00
2015-01-05,28.5700,29.1000,28.3200,28.5800,27.8322,31253.00
2015-01-06,28.5800,28.9200,27.4600,27.7200,26.9947,17055.00
2015-01-07,28.2899,28.5900,28.0200,28.5690,27.8215,13664.00
2015-01-08,29.5200,29.5200,28.7004,29.0800,28.3191,25042.00
2015-01-09,29.0600,29.4900,28.8000,29.3124,28.5454,15711.00
2015-01-12,29.9800,29.9800,29.0100,29.3400,28.5723,16765.00
2015-01-13,29.7000,29.8200,28.5193,28.9100,28.1536,38772.00
2015-01-14,29.1300,29.5200,28.8820,29.4600,28.6892,11477.00
2015-01-15,29.3899,29.3899,27.8000,27.8990,27.1690,10510.00
2015-01-16,27.2000,28.8600,27.2000,28.8500,28.0951,13708.00
2015-01-20,30.6100,30.6100,28.0800,28.9599,28.2022,9999.00
2015-01-21,29.2700,29.2700,27.9100,27.9500,27.2187,10250.00
2015-01-22,28.4200,28.8000,27.1000,28.2300,27.4914,9530.00
2015-01-23,28.2800,28.6400,28.1600,28.5399,27.7931,12401.00
2015-01-26,29.1500,29.4600,28.4400,29.4600,28.6892,7342.00
2015-01-27,28.9800,30.1100,28.9800,29.7900,29.0105,17652.00
2015-01-28,30.5000,30.5000,28.9752,29.0000,28.2412,37838.00
2015-01-29,29.0200,29.1701,28.5000,29.1701,28.4069,3857.00
2015-01-30,29.6900,29.6900,28.7900,28.7900,28.0367,14823.00
2015-02-02,28.7300,28.7300,27.7300,28.0500,27.3161,4634.00
2015-02-03,27.6100,27.8700,27.1000,27.8500,27.1213,8213.00
2015-02-04,27.1600,27.5199,26.8000,27.3966,26.6798,8224.00
2015-02-05,27.3000,28.2074,27.3000,28.2074,27.4693,3744.00
2015-02-06,28.9100,28.9100,27.5301,27.6509,26.9274,5174.00
2015-02-09,28.0800,28.0800,27.3600,27.4600,26.7415,9392.00
2015-02-10,27.6681,28.2000,27.4700,28.2000,27.4621,7548.00
2015-02-11,28.4500,28.9799,28.1100,28.2985,27.5581,7765.00
2015-02-12,28.1367,28.8000,28.1367,28.7978,28.0443,3850.00
2015-02-13,28.8500,28.9820,28.6191,28.9820,28.2237,4900.00
2015-02-17,28.8000,29.8600,28.8000,29.7099,28.9325,12817.00
2015-02-18,30.1900,30.2400,29.7100,30.2399,29.4487,7257.00
2015-02-19,30.5500,30.5500,30.3500,30.5000,29.7020,5037.00
2015-02-20,30.9000,30.9000,30.3800,30.6610,29.8587,61898.00
2015-02-23,30.8100,31.6900,30.8100,31.1400,30.3252,105477.00
2015-02-24,31.4300,31.4300,30.3000,30.5199,29.7213,8244.00
2015-02-25,30.5200,31.4400,30.5000,31.1700,30.3544,11741.00
2015-02-26,31.0700,31.6350,30.7400,31.6350,30.8073,21531.00
2015-02-27,32.0200,32.0200,30.8100,31.0700,30.2570,84548.00
2015-03-02,31.9200,31.9200,31.2200,31.5400,30.7147,21075.00
2015-03-03,31.8800,31.8800,31.0300,31.5500,30.7245,9319.00
2015-03-04,31.6900,32.4400,31.1900,32.3600,31.5133,28041.00
2015-03-05,33.1200,33.4000,32.7700,33.2600,32.3897,60239.00
2015-03-06,33.8000,33.8000,32.3800,32.8000,31.9418,36905.00
2015-03-09,33.3200,33.3200,32.1200,32.7700,31.9126,47748.00
2015-03-10,32.0270,33.2900,32.0270,32.9000,32.0392,15168.00
2015-03-11,33.0900,33.6500,32.6800,33.2900,32.4190,16018.00
2015-03-12,33.6900,33.7300,32.9000,33.3999,32.5260,23036.00
2015-03-13,33.2400,33.8100,32.9400,33.4500,32.5748,15302.00
2015-03-16,34.2900,34.2900,33.6500,33.9500,33.0617,58377.00
2015-03-17,34.2200,34.4500,33.7000,34.4300,33.5291,36632.00
2015-03-18,34.5700,34.7200,33.9400,34.4000,33.4999,55674.00
2015-03-19,34.6400,35.8125,34.6400,35.6500,34.7172,88014.00
2015-03-20,36.8400,37.6685,34.8800,35.0700,34.1524,174909.00
2015-03-23,35.0400,35.2500,33.7101,34.1000,33.2078,84643.00
2015-03-24,34.1000,34.9199,33.7000,33.7600,32.8767,63781.00
2015-03-25,33.7600,33.7600,31.2500,31.3900,30.5687,105962.00
2015-03-26,30.5100,31.9390,30.3500,31.3300,30.5102,85502.00
2015-03-27,31.1600,32.3499,31.1600,32.1600,31.3185,24608.00
2015-03-30,32.5600,33.4600,32.1801,33.4600,32.5845,50071.00
2015-03-31,33.8600,33.8600,32.8000,32.8342,31.9751,63745.00
2015-04-01,32.5000,32.8300,31.6500,32.8300,31.9710,35311.00
2015-04-02,33.1900,33.3255,32.2900,32.5700,31.7178,27978.00
2015-04-06,32.7100,32.9599,32.3500,32.3976,31.5499,23871.00
2015-04-07,32.2600,33.2700,32.2600,32.6464,31.7922,15577.00
2015-04-08,32.6000,33.5900,32.6000,33.4000,32.5261,15358.00
2015-04-09,33.5900,33.8600,32.7300,33.2000,32.3313,12015.00
2015-04-10,32.7400,33.9500,32.7400,33.8490,32.9633,36110.00
2015-04-13,34.0100,34.6210,33.9900,34.2100,33.3149,43204.00
2015-04-14,34.8500,34.8500,33.9303,34.4100,33.5097,24678.00
2015-04-15,34.8800,34.9500,34.2500,34.7500,33.8408,18253.00
2015-04-16,34.8700,35.3495,34.7100,35.1200,34.2011,17144.00
