Date,Open,High,Low,Close,Adjusted_close,Volume
2016-05-10,15.2400,15.2799,15.2400,15.2799,14.7871,450.00
2016-05-11,15.1599,15.1599,15.1599,15.1599,14.6709,100.00
2016-05-12,15.1599,15.1599,15.1599,15.1599,14.6709,0.00
2016-05-13,15.1599,15.1599,15.1599,15.1599,14.6709,0.00
2016-05-16,14.8700,14.8700,14.8700,14.8700,14.3904,251.00
2016-05-17,14.9300,14.9300,14.8400,14.8400,14.3614,551.00
2016-05-18,14.8400,14.8400,14.8400,14.8400,14.3614,0.00
2016-05-19,14.8400,14.8400,14.8400,14.8400,14.3614,0.00
2016-05-20,14.8400,14.8400,14.8400,14.8400,14.3614,0.00
2016-05-23,14.9000,14.9000,14.9000,14.9000,14.4194,1010.00
2016-05-24,14.9000,14.9000,14.9000,14.9000,14.4194,0.00
2016-05-25,14.9000,14.9000,14.9000,14.9000,14.4194,0.00
2016-05-26,14.9000,14.9000,14.9000,14.9000,14.4194,0.00
2016-05-27,14.9000,14.9000,14.9000,14.9000,14.4194,30.00
2016-05-31,14.9000,14.9000,14.9000,14.9000,14.4194,0.00
2016-06-01,14.9000,14.9000,14.9000,14.9000,14.4194,0.00
2016-06-02,15.0400,15.0400,15.0400,15.0400,14.5549,200.00
2016-06-03,15.0400,15.0400,15.0400,15.0400,14.5549,46.00
2016-06-06,15.0400,15.0400,15.0400,15.0400,14.5549,0.00
2016-06-07,15.0400,15.0400,15.0400,15.0400,14.5549,0.00
2016-06-08,15.3546,15.3546,15.3546,15.3546,14.8594,100.00
2016-06-09,15.3546,15.3546,15.3546,15.3546,14.8594,0.00
2016-06-10,15.3546,15.3546,15.3546,15.3546,14.8594,65.00
2016-06-13,15.0900,15.1000,15.0900,15.1000,14.6130,1006.00
2016-06-14,15.1000,15.1000,15.1000,15.1000,14.6130,0.00
2016-06-15,15.1000,15.1000,15.1000,15.1000,14.6130,0.00
2016-06-16,15.1000,15.1000,15.1000,15.1000,14.6130,49.00
2016-06-17,15.1000,15.1000,15.1000,15.1000,14.6130,0.00
2016-06-20,15.1538,15.1538,15.1538,15.1538,14.6650,175.00
2016-06-21,15.1538,15.1538,15.1538,15.1538,14.6650,0.00
2016-06-22,15.1538,15.1538,15.1538,15.1538,14.6650,1.00
2016-06-23,15.1538,15.1538,15.1538,15.1538,14.6650,20.00
2016-06-24,15.1538,15.1538,15.1538,15.1538,14.6650,0.00
2016-06-27,15.1538,15.1538,15.1538,15.1538,14.6650,10.00
2016-06-28,15.1538,15.1538,15.1538,15.1538,14.6650,0.00
2016-06-29,15.1538,15.1538,15.1538,15.1538,14.6650,0.00
2016-06-30,15.1499,15.1499,15.1499,15.1499,14.6613,650.00
2016-07-01,15.1499,15.1499,15.1499,15.1499,14.6613,0.00
2016-07-05,15.1499,15.1499,15.1499,15.1499,14.6613,4.00
2016-07-06,15.0100,15.0299,15.0100,15.0299,14.5451,201.00
2016-07-07,15.0299,15.0299,15.0299,15.0299,14.5451,34.00
2016-07-08,15.2900,15.4600,15.2900,15.4600,14.9614,2094.00
2016-07-11,15.4600,15.4600,15.4600,15.4600,14.9614,0.00
2016-07-12,15.7058,15.7058,15.7058,15.7058,15.1992,1000.00
2016-07-13,15.7058,15.7058,15.7058,15.7058,15.1992,0.00
2016-07-14,15.7800,15.7800,15.7800,15.7800,15.2710,100.00
2016-07-15,15.7800,15.7800,15.7800,15.7800,15.2710,0.00
2016-07-18,15.7001,15.7001,15.7001,15.7001,15.1937,1022.00
2016-07-19,15.7001,15.7001,15.7001,15.7001,15.1937,8.00
2016-07-20,15.7001,15.7001,15.7001,15.7001,15.1937,1.00
2016-07-21,15.9190,15.9190,15.9190,15.9190,15.4056,100.00
2016-07-22,15.9190,15.9190,15.9190,15.9190,15.4056,0.00
2016-07-25,15.9190,15.9190,15.9190,15.9190,15.4056,1.00
2016-07-26,15.9190,15.9190,15.9190,15.9190,15.4056,0.00
2016-07-27,15.9190,15.9190,15.9190,15.9190,15.4056,0.00
2016-07-28,15.7850,15.7850,15.7850,15.7850,15.2759,113.00
2016-07-29,15.9600,15.9600,15.9600,15.9600,15.4452,100.00
2016-08-01,15.9600,15.9600,15.9600,15.9600,15.4452,22.00
2016-08-02,15.9600,15.9600,15.9600,15.9600,15.4452,10.00
2016-08-03,15.9600,15.9600,15.9600,15.9600,15.4452,6.00
2016-08-04,15.9600,15.9600,15.9600,15.9600,15.4452,0.00
2016-08-05,15.9600,15.9600,15.9600,15.9600,15.4452,3.00
2016-08-08,15.9600,15.9600,15.9600,15.9600,15.4452,0.00
2016-08-09,15.9600,15.9600,15.9600,15.9600,15.4452,0.00
2016-08-10,15.9600,15.9600,15.9600,15.9600,15.4452,1.00
2016-08-11,15.9600,15.9600,15.9600,15.9600,15.4452,2.00
2016-08-12,15.9600,15.9600,15.9600,15.9600,15.4452,60.00
2016-08-15,15.9600,15.9600,15.9600,15.9600,15.4452,0.00
2016-08-16,15.9600,15.9600,15.9600,15.9600,15.4452,0.00
2016-08-17,15.9600,15.9600,15.9600,15.9600,15.4452,0.00
2016-08-18,15.9600,15.9600,15.9600,15.9600,15.4452,0.00
2016-08-19,15.9600,15.9600,15.9600,15.9600,15.4452,0.00
2016-08-22,15.9600,15.9600,15.9600,15.9600,15.4452,0.00
2016-08-23,15.9600,15.9600,15.9600,15.9600,15.4452,50.00
2016-08-24,15.9600,15.9600,15.9600,15.9600,15.4452,0.00
2016-08-25,15.9600,15.9600,15.9600,15.9600,15.4452,12.00
2016-08-26,15.9600,15.9600,15.9600,15.9600,15.4452,60.00
2016-08-29,15.9600,15.9600,15.9600,15.9600,15.4452,16.00
2016-08-30,15.9600,15.9600,15.9600,15.9600,15.4452,0.00
2016-08-31,15.9600,15.9600,15.9600,15.9600,15.4452,0.00
2016-09-01,15.9600,15.9600,15.9600,15.9600,15.4452,0.00
2016-09-02,15.9600,15.9600,15.9600,15.9600,15.4452,0.00
2016-09-06,16.1699,16.1699,16.1699,16.1699,15.6484,210.00
2016-09-07,16.1699,16.1699,16.1699,16.1699,15.6484,0.00
2016-09-08,15.9900,16.0419,15.9900,16.0419,15.5245,1000.00
2016-09-09,16.0419,16.0419,16.0419,16.0419,15.5245,100.00
2016-09-12,16.0419,16.0419,16.0419,16.0419,15.5245,0.00
2016-09-13,15.6299,15.6299,15.6299,15.6299,15.1258,133.00
2016-09-14,15.6699,15.6699,15.6699,15.6699,15.1645,200.00
2016-09-15,15.7000,15.7000,15.7000,15.7000,15.1936,200.00
2016-09-16,15.7000,15.7000,15.7000,15.7000,15.1936,0.00
2016-09-19,15.7000,15.7000,15.7000,15.7000,15.1936,0.00
2016-09-20,15.8199,15.8199,15.8199,15.8199,15.3097,120.00
2016-09-21,15.9000,15.9000,15.8999,15.8999,15.3871,501.00
2016-09-22,15.8999,15.8999,15.8999,15.8999,15.3871,0.00
2016-09-23,15.8999,15.8999,15.8999,15.8999,15.3871,0.00
2016-09-26,15.8799,15.8799,15.7300,15.7301,15.2228,700.00
2016-09-27,15.9600,15.9600,15.9600,15.9600,15.4452,110.00
2016-09-28,15.9600,15.9600,15.9600,15.9600,15.4452,63.00
2016-09-29,15.9600,15.9600,15.9600,15.9600,15.4452,14.00
2016-09-30,15.9600,15.9600,15.9600,15.9600,15.4452,60.00
2016-10-03,15.8100,15.8100,15.8100,15.8100,15.3001,167.00
2016-10-04,15.8100,15.8100,15.8100,15.8100,15.3001,0.00
2016-10-05,15.8100,15.8100,15.8100,15.8100,15.3001,0.00
2016-10-06,15.8100,15.8100,15.8100,15.8100,15.3001,2.00
2016-10-07,15.8100,15.8100,15.8100,15.8100,15.3001,1.00
2016-10-10,15.8100,15.8100,15.8100,15.8100,15.3001,0.00
2016-10-11,15.8100,15.8100,15.8100,15.8100,15.3001,1.00
2016-10-12,15.8100,15.8100,15.8100,15.8100,15.3001,1.00
2016-10-13,15.2630,15.2630,15.2630,15.2630,14.7707,152.00
2016-10-14,15.2630,15.2630,15.2630,15.2630,14.7707,30.00
2016-10-17,15.3000,15.3000,15.3000,15.3000,14.8065,501.00
2016-10-18,15.3000,15.3000,15.3000,15.3000,14.8065,0.00
2016-10-19,15.3000,15.3000,15.3000,15.3000,14.8065,0.00
2016-10-20,15.3000,15.3000,15.3000,15.3000,14.8065,0.00
2016-10-21,15.3000,15.3000,15.3000,15.3000,14.8065,0.00
2016-10-24,15.3000,15.3000,15.3000,15.3000,14.8065,0.00
2016-10-25,15.3000,15.3000,15.3000,15.3000,14.8065,0.00
2016-10-26,15.1459,15.1459,15.1459,15.1459,14.6574,100.00
2016-10-27,15.1459,15.1459,15.1459,15.1459,14.6574,1.00
2016-10-28,15.1459,15.1459,15.1459,15.1459,14.6574,0.00
2016-10-31,15.1459,15.1459,15.1459,15.1459,14.6574,1.00
2016-11-01,15.1400,15.1400,14.9530,14.9530,14.4707,402.00
2016-11-02,14.9530,14.9530,14.9530,14.9530,14.4707,1.00
2016-11-03,14.9530,14.9530,14.9530,14.9530,14.4707,3.00
2016-11-04,14.9530,14.9530,14.9530,14.9530,14.4707,1.00
2016-11-07,14.9530,14.9530,14.9530,14.9530,14.4707,0.00
2016-11-08,14.9530,14.9530,14.9530,14.9530,14.4707,0.00
2016-11-09,14.5500,14.5500,14.5500,14.5500,14.0807,675.00
2016-11-10,14.5500,14.5500,14.5500,14.5500,14.0807,0.00
2016-11-11,14.5500,14.5500,14.5500,14.5500,14.0807,0.00
2016-11-14,14.5500,14.5500,14.5500,14.5500,14.0807,92.00
2016-11-15,14.5500,14.5500,14.5500,14.5500,14.0807,19.00
2016-11-16,14.5500,14.5500,14.5500,14.5500,14.0807,1.00
2016-11-17,14.5500,14.5500,14.5500,14.5500,14.0807,0.00
2016-11-18,14.5500,14.5500,14.5500,14.5500,14.0807,0.00
2016-11-21,14.5500,14.5500,14.5500,14.5500,14.0807,0.00
2016-11-22,14.5500,14.5500,14.5500,14.5500,14.0807,0.00
2016-11-23,14.5500,14.5500,14.5500,14.5500,14.0807,0.00
2016-11-25,14.5500,14.5500,14.5500,14.5500,14.0807,0.00
2016-11-28,14.5500,14.5500,14.5500,14.5500,14.0807,0.00
2016-11-29,14.5500,14.5500,14.5500,14.5500,14.0807,0.00
2016-11-30,14.5500,14.5500,14.5500,14.5500,14.0807,97.00
2016-12-01,14.5500,14.5500,14.5500,14.5500,14.0807,117.00
2016-12-02,14.5500,14.5500,14.5500,14.5500,14.0807,119.00
2016-12-05,14.5500,14.5500,14.5500,14.5500,14.0807,68.00
2016-12-06,14.5500,14.5500,14.5500,14.5500,14.0807,50.00
2016-12-07,14.5500,14.5500,14.5500,14.5500,14.0807,0.00
2016-12-08,14.5500,14.5500,14.5500,14.5500,14.0807,0.00
2016-12-09,15.0650,15.0650,15.0650,15.0650,14.5791,195.00
2016-12-12,15.0650,15.0650,15.0650,15.0650,14.5791,0.00
2016-12-13,15.0650,15.0650,15.0650,15.0650,14.5791,232.00
2016-12-14,15.0650,15.0650,15.0650,15.0650,14.5791,0.00
2016-12-15,15.0650,15.0650,15.0650,15.0650,14.5791,44.00
2016-12-16,15.0650,15.0650,15.0650,15.0650,14.5791,0.00
2016-12-19,14.8099,14.8099,14.8099,14.8099,14.3322,1000.00
2016-12-20,14.8099,14.8099,14.8099,14.8099,14.3322,0.00
2016-12-21,14.8099,14.8099,14.8099,14.8099,14.3322,0.00
2016-12-22,14.8099,14.8099,14.8099,14.8099,14.3322,69.00
2016-12-23,14.8099,14.8099,14.8099,14.8099,14.3322,0.00
2016-12-27,14.6300,14.6300,14.6300,14.6300,14.1581,1052.00
2016-12-28,14.6300,14.6300,14.6300,14.6300,14.2308,69.00
2016-12-29,14.4873,14.4873,14.4873,14.4873,14.0920,214.00
2016-12-30,14.5383,14.5383,14.5383,14.5383,14.1416,166.00
2017-01-03,14.5383,14.5383,14.5383,14.5383,14.1416,0.00
2017-01-04,14.5383,14.5383,14.5383,14.5383,14.1416,0.00
2017-01-05,14.5383,14.5383,14.5383,14.5383,14.1416,0.00
2017-01-06,14.5383,14.5383,14.5383,14.5383,14.1416,0.00
2017-01-09,14.8000,14.8000,14.8000,14.8000,14.3962,188.00
2017-01-10,14.8000,14.8000,14.8000,14.8000,14.3962,0.00
2017-01-11,14.8000,14.8000,14.8000,14.8000,14.3962,0.00
2017-01-12,14.8000,14.8000,14.8000,14.8000,14.3962,34.00
2017-01-13,14.8000,14.8000,14.8000,14.8000,14.3962,0.00
2017-01-17,14.9500,15.0285,14.9500,15.0285,14.6184,200.00
2017-01-18,15.0285,15.0285,15.0285,15.0285,14.6184,36.00
2017-01-19,15.0285,15.0285,15.0285,15.0285,14.6184,191.00
2017-01-20,15.0000,15.0000,15.0000,15.0000,14.5907,170.00
2017-01-23,14.9300,14.9300,14.8500,14.8900,14.4837,2284.00
2017-01-24,14.8900,14.8900,14.8900,14.8900,14.4837,86.00
2017-01-25,15.0150,15.0150,15.0150,15.0150,14.6053,234.00
