Date,Open,High,Low,Close,Adjusted_close,Volume
2016-02-03,28.9700,29.4900,27.0500,28.3200,28.3200,2064816.00
2016-02-04,28.1500,31.4000,27.6100,30.5000,30.5000,361668.00
2016-02-05,31.3000,35.6000,30.6300,33.9100,33.9100,376530.00
2016-02-08,34.0000,34.2450,31.3700,31.5200,31.5200,102653.00
2016-02-09,30.8600,30.8600,27.0000,27.6600,27.6600,360876.00
2016-02-10,27.9800,27.9800,25.3000,26.8800,26.8800,469833.00
2016-02-11,26.4800,26.7400,22.5100,24.1000,24.1000,497030.00
2016-02-12,24.0900,24.6100,23.2000,23.9800,23.9800,128000.00
2016-02-16,24.5200,26.4000,23.6000,25.1300,25.1300,228015.00
2016-02-17,25.4400,26.7400,24.6003,26.0600,26.0600,244807.00
2016-02-18,26.9400,27.7700,25.4100,26.6500,26.6500,283316.00
2016-02-19,26.0000,27.5300,25.6000,27.0300,27.0300,159503.00
2016-02-22,27.0000,29.0000,27.0000,27.4700,27.4700,106313.00
2016-02-23,26.7000,28.3958,26.6400,27.1500,27.1500,269441.00
2016-02-24,26.5000,28.0339,26.5000,27.8400,27.8400,76445.00
2016-02-25,28.4400,29.6800,27.8000,28.9500,28.9500,206060.00
2016-02-26,30.2700,30.2700,28.3800,29.7500,29.7500,131353.00
2016-02-29,29.5000,30.5135,28.6800,29.2700,29.2700,246950.00
2016-03-01,29.9400,30.4990,29.4100,29.8900,29.8900,176175.00
2016-03-02,29.8000,31.2500,29.7500,31.1800,31.1800,218019.00
2016-03-03,31.0000,32.2400,30.9500,32.1500,32.1500,398498.00
2016-03-04,32.9700,33.5000,31.4200,32.3700,32.3700,164880.00
2016-03-07,31.3543,32.5000,29.3100,29.7900,29.7900,198548.00
2016-03-08,29.7900,29.8500,28.0200,28.7000,28.7000,212570.00
2016-03-09,28.4300,29.4800,27.7600,28.7700,28.7700,96638.00
2016-03-10,29.0000,29.7100,27.1750,28.0000,28.0000,163859.00
2016-03-11,27.9800,28.1000,26.7000,27.8800,27.8800,95609.00
2016-03-14,28.8700,28.8700,27.0000,27.0000,27.0000,168218.00
2016-03-15,27.0000,27.8526,26.5200,26.7800,26.7800,78345.00
2016-03-16,26.5300,26.8900,25.5000,25.9800,25.9800,102387.00
2016-03-17,25.8200,26.8000,25.2800,26.0300,26.0300,50019.00
2016-03-18,26.8500,27.8100,25.2850,27.6900,27.6900,111591.00
2016-03-21,27.0000,30.6750,27.0000,29.3000,29.3000,138215.00
2016-03-22,29.4200,30.7900,28.7425,30.5200,30.5200,132051.00
2016-03-23,30.9900,31.6600,27.0500,28.2500,28.2500,172646.00
2016-03-24,26.9740,29.4450,26.9600,28.0300,28.0300,54855.00
2016-03-28,27.9000,27.9000,26.7900,27.0300,27.0300,36003.00
2016-03-29,27.0000,28.2400,27.0000,27.6700,27.6700,27090.00
2016-03-30,28.0000,29.0100,28.0000,28.6000,28.6000,35380.00
2016-03-31,28.2700,29.8800,28.2700,29.3100,29.3100,50703.00
2016-04-01,29.1300,29.7800,28.5000,29.2100,29.2100,48244.00
2016-04-04,28.7001,30.5000,28.7001,29.9700,29.9700,48659.00
