Date,Open,High,Low,Close,Adjusted_close,Volume
2013-06-04,50.6000,50.6000,50.2400,50.3000,46.0759,44301.00
2013-06-05,50.4000,50.4000,50.3000,50.3600,46.1309,62433.00
2013-06-06,50.3400,50.3500,50.2700,50.2900,46.0667,106771.00
2013-06-07,50.3300,50.3300,50.1850,50.1850,45.9706,70801.00
2013-06-10,50.2600,50.2600,49.7999,49.8260,45.6417,128791.00
2013-06-11,50.1000,50.1000,49.8000,49.8200,45.6362,50782.00
2013-06-12,50.0000,50.2000,49.8850,50.0200,45.8194,196153.00
2013-06-13,50.0100,50.0400,49.8500,49.8500,45.6637,105318.00
2013-06-14,50.1300,50.1300,49.9700,49.9700,45.7736,99832.00
2013-06-17,50.1000,50.1000,49.9000,50.0100,45.8103,99386.00
2013-06-18,50.0500,50.0500,49.8400,49.9300,45.7370,138333.00
2013-06-19,50.1100,50.1100,49.7000,49.8100,45.6270,86066.00
2013-06-20,49.7000,49.7000,49.4450,49.6500,45.4805,125215.00
2013-06-21,50.0000,50.0000,49.4100,49.5500,45.3889,217883.00
2013-06-24,49.4900,49.5500,49.1200,49.5290,45.3696,312891.00
2013-06-25,49.5900,49.5900,49.3400,49.3700,45.2240,262830.00
2013-06-26,49.4600,49.5190,49.3350,49.3450,45.2011,1222932.00
2013-06-27,49.6300,49.6300,49.3000,49.4700,45.3156,2004412.00
2013-06-28,49.4500,49.4500,49.3000,49.4100,45.2606,2443104.00
2013-07-01,49.5300,49.5300,49.4500,49.4600,45.3559,2230945.00
2013-07-02,49.3100,49.5100,49.3100,49.4200,45.3192,89912.00
2013-07-03,49.6213,49.6299,49.4000,49.5799,45.4659,37162.00
2013-07-05,49.4200,49.4200,49.0671,49.3400,45.2459,139319.00
2013-07-08,49.5900,49.5900,49.4500,49.4900,45.3834,202790.00
2013-07-09,49.6300,49.6300,49.4500,49.5299,45.4200,62365.00
2013-07-10,49.8000,49.8000,49.4810,49.5500,45.4384,57002.00
2013-07-11,49.7000,49.7499,49.5200,49.6200,45.5026,88904.00
2013-07-12,49.6500,49.7000,49.5400,49.5700,45.4568,423253.00
2013-07-15,49.6800,49.7890,49.5000,49.5500,45.4384,1037882.00
2013-07-16,49.7000,49.7602,49.5300,49.6550,45.5347,586121.00
2013-07-17,49.7100,49.7200,49.6400,49.6999,45.5759,229973.00
2013-07-18,49.7200,49.7390,49.5000,49.6800,45.5577,161470.00
2013-07-19,49.7100,49.7196,49.4710,49.5026,45.3950,91063.00
2013-07-22,49.7200,49.7399,49.5500,49.6481,45.5284,53958.00
2013-07-23,49.7600,49.7800,49.5100,49.7400,45.6127,88100.00
2013-07-24,49.6900,49.6900,49.5000,49.6200,45.5026,97988.00
2013-07-25,49.6366,49.6366,49.3001,49.5600,45.4476,108876.00
2013-07-26,49.5010,49.7000,49.3410,49.7000,45.5760,52982.00
2013-07-29,49.6900,49.6900,49.5000,49.6200,45.5026,635104.00
2013-07-30,49.6000,49.6329,49.4500,49.6000,45.4843,80148.00
2013-07-31,49.6400,49.6490,49.3000,49.4900,45.3834,76501.00
2013-08-01,49.6900,49.6900,49.4000,49.4500,45.4109,65555.00
2013-08-02,49.5900,49.6400,49.4500,49.6400,45.5854,57054.00
2013-08-05,49.6400,49.6400,49.5001,49.5600,45.5119,71444.00
2013-08-06,49.6000,49.6000,49.4700,49.5400,45.4936,86077.00
2013-08-07,49.6200,49.6400,49.4500,49.5500,45.5028,65485.00
2013-08-08,49.6100,49.6100,49.5000,49.5700,45.5211,45777.00
2013-08-09,49.3700,49.6400,49.3700,49.6300,45.5762,43078.00
2013-08-12,49.6700,49.6700,49.5300,49.6400,45.5854,47482.00
2013-08-13,49.5300,49.5990,49.3600,49.4900,45.4477,56556.00
2013-08-14,49.4900,49.5190,49.1900,49.4500,45.4109,64226.00
2013-08-15,49.3698,49.3799,49.1510,49.3600,45.3283,54828.00
2013-08-16,49.3100,49.3900,49.1100,49.3400,45.3099,57371.00
2013-08-19,49.4100,49.4100,49.0610,49.1500,45.1354,94079.00
2013-08-20,49.1400,49.4000,49.0600,49.3100,45.2824,71762.00
2013-08-21,49.3100,49.3200,49.0800,49.1804,45.1633,63187.00
2013-08-22,49.2200,49.3290,48.9200,49.0900,45.0803,131196.00
2013-08-23,49.1500,49.1500,48.9201,49.0700,45.0620,118275.00
2013-08-26,49.1500,49.1500,48.9600,49.0600,45.0528,58910.00
2013-08-27,49.0500,49.3899,49.0500,49.1300,45.1171,38359.00
2013-08-28,49.1700,49.3390,49.0900,49.1000,45.0895,52387.00
2013-08-29,49.1100,49.4000,49.1100,49.2501,45.2274,75309.00
2013-08-30,49.3900,49.4055,49.1600,49.3300,45.3007,79656.00
2013-09-03,49.3000,49.3000,48.9800,49.0200,45.0610,152666.00
2013-09-04,49.3400,49.3400,49.2000,49.2600,45.2817,84257.00
2013-09-05,49.1200,49.1200,48.8301,48.8500,44.9048,35465.00
2013-09-06,49.0000,49.1800,48.9800,49.1200,45.1530,66037.00
2013-09-09,49.1800,49.1800,48.8710,49.0700,45.1070,51808.00
2013-09-10,49.3300,49.3300,48.5110,48.9500,44.9967,540351.00
2013-09-11,49.0800,49.1000,48.9000,49.0900,45.1254,85014.00
2013-09-12,48.9300,49.2590,48.9300,49.1600,45.1897,137400.00
2013-09-13,48.9100,49.1799,48.8804,49.1500,45.1805,87306.00
2013-09-16,49.3500,49.3500,49.0601,49.2100,45.2357,43105.00
2013-09-17,49.2900,49.2900,49.1400,49.2300,45.2541,77505.00
2013-09-18,49.2800,49.6900,48.9500,49.6099,45.6033,116894.00
2013-09-19,49.6900,49.6900,49.4700,49.5500,45.5482,75486.00
2013-09-20,49.2600,49.4600,49.0300,49.4300,45.4379,101130.00
2013-09-23,49.5500,49.6300,49.4600,49.6300,45.6218,76716.00
2013-09-24,49.6700,49.7200,49.5000,49.6700,45.6586,115470.00
2013-09-25,49.6000,49.7000,49.5654,49.7000,45.6861,40623.00
2013-09-26,49.7000,49.7000,49.5700,49.6500,45.6402,256659.00
2013-09-27,49.7400,49.7600,49.5129,49.7200,45.7045,66719.00
2013-09-30,49.6700,49.6700,49.5700,49.6500,45.6402,86736.00
2013-10-01,49.6300,49.6600,49.5000,49.6500,45.7036,91211.00
2013-10-02,49.7200,49.8090,49.6100,49.7500,45.7956,208472.00
2013-10-03,49.5900,49.7200,49.5807,49.6700,45.7220,112881.00
2013-10-04,49.7200,49.7200,49.5400,49.6500,45.7036,228003.00
2013-10-07,49.8300,49.8400,49.5600,49.7400,45.7864,82148.00
2013-10-08,49.3100,49.6800,49.3000,49.6600,45.7128,53516.00
2013-10-09,49.7600,49.7600,49.3500,49.6600,45.7128,100500.00
2013-10-10,49.6000,49.7000,49.5500,49.6000,45.6576,40594.00
2013-10-11,49.4800,49.6800,49.4300,49.4800,45.5471,52566.00
2013-10-14,49.6300,49.7600,49.5000,49.5400,45.6023,54225.00
2013-10-15,49.6400,49.7200,49.5000,49.5400,45.6023,64405.00
2013-10-16,49.6200,49.7300,49.3602,49.6500,45.7036,90349.00
2013-10-17,49.8500,49.8500,49.5500,49.7000,45.7496,53900.00
2013-10-18,49.6500,49.7800,49.6000,49.6200,45.6760,93264.00
2013-10-21,49.7200,49.8200,49.6001,49.6900,45.7404,64184.00
2013-10-22,49.8900,49.9300,49.6900,49.9100,45.9429,54500.00
2013-10-23,49.9100,49.9699,49.7600,49.9300,45.9613,68465.00
2013-10-24,49.9000,50.0000,49.8500,49.8500,45.8877,107623.00
2013-10-25,49.9700,50.0000,49.9101,49.9800,46.0074,43379.00
2013-10-28,50.0400,50.0400,49.9000,49.9700,45.9982,49200.00
2013-10-29,50.0200,50.0400,49.9100,50.0400,46.0626,89800.00
2013-10-30,49.9900,50.1680,49.9600,49.9700,45.9982,69311.00
2013-10-31,50.0900,50.1700,49.9000,50.0500,46.0718,454261.00
2013-11-01,50.0800,50.0900,50.0000,50.0800,46.1583,99900.00
2013-11-04,50.0200,50.0800,50.0000,50.0500,46.1307,71100.00
2013-11-05,49.9300,49.9800,49.8800,49.9500,46.0385,120300.00
2013-11-06,49.8500,49.9900,49.8001,49.8400,45.9371,68099.00
2013-11-07,49.9900,50.0600,49.9000,49.9600,46.0477,85400.00
2013-11-08,49.9200,50.0300,49.8110,49.9100,46.0016,79714.00
2013-11-11,49.8600,50.0100,49.8600,49.9300,46.0201,79200.00
2013-11-12,49.9300,49.9400,49.8400,49.9300,46.0201,88500.00
2013-11-13,49.8900,49.9800,49.8800,49.9700,46.0569,112700.00
2013-11-14,49.9600,49.9999,49.8500,49.9600,46.0477,72825.00
2013-11-15,49.9900,50.0000,49.9000,49.9800,46.0662,163700.00
2013-11-18,50.0000,50.0200,49.9100,50.0000,46.0846,133400.00
2013-11-19,49.9200,50.0000,49.9000,49.9500,46.0385,130789.00
2013-11-20,49.9900,50.0300,49.8800,49.9100,46.0016,73224.00
2013-11-21,49.8500,49.9500,49.8110,49.8900,45.9832,88808.00
2013-11-22,49.9200,49.9500,49.8500,49.9000,45.9924,86500.00
2013-11-25,49.9400,50.0096,49.9200,49.9700,46.0569,102902.00
2013-11-26,50.0000,50.0500,49.9700,50.0400,46.1215,78000.00
2013-11-27,50.0400,50.0400,49.9400,49.9900,46.0754,70700.00
2013-11-29,50.0500,50.0500,49.9700,50.0200,46.1030,56860.00
2013-12-02,49.9800,49.9800,49.8228,49.8800,46.0201,295202.00
2013-12-03,49.9500,49.9600,49.8900,49.9400,46.0754,105284.00
2013-12-04,49.8500,49.8599,49.7400,49.7900,45.9370,717942.00
2013-12-05,49.6900,49.7600,49.6800,49.7100,45.8632,70975.00
2013-12-06,49.7600,49.7799,49.7010,49.7600,45.9094,77357.00
2013-12-09,49.8300,49.8330,49.7700,49.7900,45.9370,184800.00
2013-12-10,49.8200,49.8700,49.7800,49.8300,45.9739,80210.00
2013-12-11,49.8700,49.8890,49.8001,49.8500,45.9924,99757.00
2013-12-12,49.8300,49.8500,49.7500,49.8200,45.9647,234913.00
2013-12-13,49.8400,49.8700,49.8200,49.8600,46.0016,69340.00
2013-12-16,49.8800,49.9000,49.8300,49.8500,45.9924,189246.00
2013-12-17,49.8700,49.9099,49.8101,49.8386,45.9819,96927.00
2013-12-18,49.8600,49.8890,49.7401,49.8400,45.9832,626351.00
2013-12-19,49.7800,49.8100,49.7200,49.7400,45.8909,222000.00
2013-12-20,49.7200,49.8200,49.7200,49.7400,45.8909,86388.00
2013-12-23,49.8000,49.8399,49.6700,49.7750,45.9232,238952.00
2013-12-24,49.7200,49.7200,49.6200,49.7100,45.9306,55295.00
2013-12-26,49.6600,49.7100,49.6200,49.7100,45.9306,103355.00
2013-12-27,49.6300,49.6498,49.5300,49.5700,45.8012,111323.00
2013-12-30,49.6900,49.6900,49.5250,49.5990,45.8280,122612.00
2013-12-31,49.6400,49.6400,49.5300,49.6200,45.8474,93256.00
2014-01-02,49.6700,49.6800,49.5800,49.6400,45.8659,123627.00
2014-01-03,49.7000,49.7100,49.5516,49.6000,45.8289,82374.00
2014-01-06,49.6900,49.7600,49.6401,49.7200,45.9398,134259.00
2014-01-07,49.8300,49.8400,49.7600,49.8400,46.0507,148365.00
2014-01-08,49.8200,49.8600,49.6801,49.7200,45.9398,139768.00
2014-01-09,49.7700,49.8099,49.6810,49.7600,45.9768,154587.00
2014-01-10,49.8700,49.8900,49.7710,49.8900,46.0969,73148.00
2014-01-13,49.9500,49.9800,49.8500,49.9300,46.1339,103732.00
2014-01-14,49.9800,49.9800,49.9000,49.9100,46.1154,135397.00
2014-01-15,49.9300,49.9699,49.8529,49.8900,46.0969,109242.00
2014-01-16,49.9800,50.0500,49.9500,50.0200,46.2170,108324.00
2014-01-17,50.0500,50.0600,49.9400,50.0600,46.2540,106535.00
