Date,Open,High,Low,Close,Adjusted_close,Volume
2009-04-15,10.5000,11.6800,9.7500,11.1000,11.1000,7324300.00
2009-04-16,11.5400,12.2900,11.1600,12.0500,12.0500,1087000.00
2009-04-17,12.6200,12.6200,12.0000,12.0100,12.0100,333100.00
2009-04-20,11.8800,12.0000,11.5300,11.6500,11.6500,190300.00
2009-04-21,11.5000,11.5100,10.6000,11.0000,11.0000,598900.00
2009-04-22,11.0000,11.1200,10.6400,10.8000,10.8000,338400.00
2009-04-23,11.0000,11.2400,10.0500,10.3000,10.3000,732900.00
2009-04-24,10.3100,10.5700,10.1600,10.2800,10.2800,303300.00
2009-04-27,10.0800,10.4100,9.5600,10.3000,10.3000,300200.00
2009-04-28,10.4000,10.9900,10.2900,10.7300,10.7300,201800.00
2009-04-29,11.0000,11.1700,10.7100,10.7100,10.7100,109700.00
2009-04-30,10.7200,11.0500,10.6900,10.8500,10.8500,146800.00
2009-05-01,11.1000,11.1400,10.7500,10.8500,10.8500,132700.00
2009-05-04,10.9200,11.0700,10.0201,10.2300,10.2300,476300.00
2009-05-05,10.2000,10.3200,9.9000,10.1900,10.1900,210800.00
2009-05-06,10.1100,10.7900,10.1043,10.7400,10.7400,276700.00
2009-05-07,10.5400,10.7600,9.6000,10.2500,10.2500,199000.00
2009-05-08,10.2500,10.4900,10.0350,10.2500,10.2500,196800.00
2009-05-11,10.2500,10.3170,9.9900,10.1600,10.1600,227400.00
2009-05-12,10.0600,10.6700,10.0600,10.3950,10.3950,350200.00
2009-05-13,10.5000,10.5700,10.1400,10.2200,10.2200,176800.00
2009-05-14,10.3000,10.5970,10.2800,10.4200,10.4200,233500.00
2009-05-15,10.5200,10.8700,10.1900,10.1900,10.1900,484500.00
2009-05-18,10.5000,10.6300,10.2300,10.4200,10.4200,132700.00
2009-05-19,10.4000,10.4600,10.1400,10.1900,10.1900,244600.00
2009-05-20,10.1900,10.2200,9.9500,10.1100,10.1100,270400.00
2009-05-21,11.6700,13.4800,11.2500,12.6800,12.6800,2737400.00
2009-05-22,12.8000,13.6800,11.8300,12.1000,12.1000,1480600.00
2009-05-26,12.2900,12.9400,11.8000,12.4600,12.4600,750100.00
2009-05-27,12.6700,12.7600,11.8600,12.0900,12.0900,352300.00
2009-05-28,12.1900,12.3500,11.8800,12.2800,12.2800,239800.00
2009-05-29,12.4500,12.8000,12.0800,12.5500,12.5500,508700.00
2009-06-01,13.4400,13.4500,12.6800,12.8900,12.8900,544300.00
2009-06-02,13.0000,13.3000,12.7300,12.9500,12.9500,335200.00
2009-06-03,12.9000,13.4700,12.9000,13.4400,13.4400,384200.00
2009-06-04,13.6000,14.7400,13.0000,14.3900,14.3900,707700.00
2009-06-05,14.5000,14.6600,14.1100,14.6400,14.6400,497600.00
2009-06-08,14.6300,15.0800,14.4000,14.8100,14.8100,505000.00
2009-06-09,14.8800,15.2400,14.4000,14.6700,14.6700,349800.00
2009-06-10,14.8100,15.0600,14.4900,14.8200,14.8200,162800.00
2009-06-11,14.8200,14.9901,13.8820,14.2300,14.2300,210500.00
2009-06-12,14.0400,14.6100,14.0400,14.5800,14.5800,143300.00
2009-06-15,14.6000,14.7200,13.6000,14.2400,14.2400,170500.00
2009-06-16,14.6000,14.9000,14.3800,14.7800,14.7800,166100.00
2009-06-17,14.7300,16.5000,14.5801,15.9500,15.9500,619700.00
2009-06-18,15.8900,16.1400,15.6830,15.8900,15.8900,262400.00
2009-06-19,15.7800,16.7400,15.7700,16.7400,16.7400,479100.00
2009-06-22,16.5300,16.5700,15.8100,15.9500,15.9500,265800.00
2009-06-23,15.2300,15.3000,14.6600,14.8400,14.8400,306500.00
2009-06-24,15.2400,16.1100,15.0000,15.9600,15.9600,233100.00
2009-06-25,15.5200,16.2500,15.3100,16.0600,16.0600,267000.00
2009-06-26,16.1600,16.9400,15.7500,16.8500,16.8500,1490900.00
2009-06-29,16.7800,16.7800,15.9300,15.9900,15.9900,266500.00
2009-06-30,16.2500,17.1500,16.2500,17.0000,17.0000,526700.00
2009-07-01,16.7300,16.7300,16.1600,16.2800,16.2800,321700.00
2009-07-02,16.2200,16.2200,15.2800,15.4400,15.4400,190000.00
2009-07-06,15.4400,15.8200,14.9000,15.8000,15.8000,152600.00
2009-07-07,15.9100,15.9600,15.5100,15.6000,15.6000,130200.00
2009-07-08,15.5100,15.8000,15.3000,15.5700,15.5700,550900.00
2009-07-09,15.6000,15.6000,15.1800,15.2600,15.2600,415800.00
2009-07-10,15.2300,16.2400,15.1801,15.8500,15.8500,98300.00
2009-07-13,15.8000,16.1800,15.6600,16.0000,16.0000,285800.00
2009-07-14,16.0500,16.1500,15.8100,15.9800,15.9800,278500.00
2009-07-15,16.0200,16.1500,15.8800,15.9900,15.9900,112800.00
2009-07-16,15.8500,16.2400,15.8500,16.0000,16.0000,108200.00
2009-07-17,16.0300,16.1100,16.0000,16.0700,16.0700,47100.00
2009-07-20,16.1000,17.0000,15.9900,16.8400,16.8400,171000.00
2009-07-21,16.8500,17.3700,16.5100,17.3300,17.3300,235000.00
2009-07-22,17.2700,17.9600,16.8900,17.6900,17.6900,226400.00
2009-07-23,17.8000,18.1300,17.4500,18.1200,18.1200,184800.00
2009-07-24,17.8600,18.3000,17.8600,18.2700,18.2700,193300.00
2009-07-27,18.3000,18.4500,17.8200,18.1200,18.1200,164900.00
2009-07-28,18.1400,18.2000,17.6301,18.1200,18.1200,169000.00
2009-07-29,17.9000,18.2400,17.7400,17.9100,17.9100,84900.00
2009-07-30,17.9900,18.2000,17.6800,17.7800,17.7800,175100.00
2009-07-31,17.7800,18.5500,17.7800,18.1600,18.1600,122400.00
2009-08-03,18.2000,18.5600,17.7600,18.1700,18.1700,129600.00
2009-08-04,18.0100,19.1900,18.0100,19.1700,19.1700,174800.00
2009-08-05,19.2000,19.2000,18.6400,19.0800,19.0800,221900.00
2009-08-06,18.9900,19.0900,18.7200,18.7400,18.7400,61100.00
2009-08-07,19.2000,19.4000,18.8500,19.1400,19.1400,160300.00
2009-08-10,19.1500,19.3400,19.0000,19.3400,19.3400,180300.00
2009-08-11,21.3000,21.5986,19.5800,20.2100,20.2100,540400.00
2009-08-12,20.8600,21.3000,20.3300,20.3600,20.3600,379300.00
2009-08-13,20.7500,21.3500,20.6800,21.3300,21.3300,252300.00
2009-08-14,21.5000,21.6200,20.0100,20.5900,20.5900,181100.00
2009-08-17,20.2400,21.4700,19.7000,21.3200,21.3200,331800.00
2009-08-18,21.4800,21.8900,21.2360,21.5200,21.5200,199800.00
2009-08-19,21.4900,21.9000,20.9500,21.1900,21.1900,165200.00
2009-08-20,21.0000,21.5000,21.0000,21.0500,21.0500,108800.00
2009-08-21,21.2000,21.4700,21.1300,21.3500,21.3500,125600.00
2009-08-24,21.3500,21.5000,20.7900,21.0200,21.0200,161800.00
2009-08-25,21.0400,21.2000,20.6300,20.7900,20.7900,165100.00
2009-08-26,18.9300,19.6000,17.9000,19.5900,19.5900,638000.00
2009-08-27,19.4200,19.5000,18.4200,19.1000,19.1000,183200.00
2009-08-28,19.1100,19.1700,18.2000,18.5100,18.5100,198000.00
2009-08-31,18.3900,18.7500,18.2400,18.3700,18.3700,111400.00
2009-09-01,18.1400,18.7000,18.0000,18.0300,18.0300,98800.00
2009-09-02,18.0300,18.3800,17.8100,18.0800,18.0800,92600.00
2009-09-03,18.2300,18.4400,18.0000,18.2300,18.2300,86500.00
2009-09-04,17.8700,17.9300,13.7600,15.5700,15.5700,5391300.00
2009-09-08,15.3600,16.5300,15.1900,15.8700,15.8700,847500.00
2009-09-09,15.9400,16.2975,15.5500,15.5600,15.5600,299100.00
2009-09-10,15.4800,16.0200,15.4800,15.9700,15.9700,338700.00
2009-09-11,16.5800,16.8000,15.7700,16.2600,16.2600,510800.00
2009-09-14,15.9800,16.4500,15.9800,16.3500,16.3500,160900.00
2009-09-15,16.4200,16.4700,15.5948,16.0300,16.0300,281400.00
