Date,Open,High,Low,Close,Adjusted_close,Volume
2016-08-22,25.5000,25.5000,25.5000,25.5000,25.4134,201001.00
2016-08-23,25.6500,25.6799,25.6500,25.6799,25.5926,1487.00
2016-08-24,25.5000,25.5000,25.5000,25.5000,25.4134,100.00
2016-08-25,25.5000,25.5000,25.5000,25.5000,25.4134,0.00
2016-08-26,25.5000,25.5000,25.5000,25.5000,25.4134,0.00
2016-08-29,25.5000,25.5000,25.5000,25.5000,25.4134,2.00
2016-08-30,24.8700,24.8700,24.6700,24.6700,24.5862,489.00
2016-08-31,24.6700,24.6700,24.6700,24.6700,24.5862,0.00
2016-09-01,24.6700,24.6700,24.6700,24.6700,24.5862,9.00
2016-09-02,24.6700,24.6700,24.6700,24.6700,24.5862,7.00
2016-09-06,24.6700,24.6700,24.6700,24.6700,24.5862,0.00
2016-09-07,25.3500,25.4000,25.3500,25.4000,25.3137,200.00
2016-09-08,25.4000,25.4000,25.4000,25.4000,25.3137,0.00
2016-09-09,25.3211,25.3211,25.3211,25.3211,25.2351,107.00
2016-09-12,25.3211,25.3211,25.3211,25.3211,25.2351,0.00
2016-09-13,24.9653,24.9653,24.9653,24.9653,24.8805,215.00
2016-09-14,25.4799,25.4799,25.4719,25.4719,25.3853,200.00
2016-09-15,25.4719,25.4719,25.4719,25.4719,25.3853,40.00
2016-09-16,25.4719,25.4719,25.4719,25.4719,25.3853,0.00
2016-09-19,26.4600,26.4600,26.4500,26.4500,26.3601,3500.00
2016-09-20,26.4500,26.4500,26.4500,26.4500,26.3601,0.00
2016-09-21,26.4100,26.4100,26.4100,26.4100,26.3203,100.00
2016-09-22,26.4100,26.4100,26.4100,26.4100,26.3203,0.00
2016-09-23,26.4100,26.4100,26.4100,26.4100,26.3203,0.00
2016-09-26,26.4100,26.4100,26.4100,26.4100,26.3203,0.00
2016-09-27,27.0040,27.1399,27.0040,27.1399,27.0477,540.00
2016-09-28,27.1399,27.1399,27.1399,27.1399,27.0477,0.00
2016-09-29,26.5000,26.5000,26.5000,26.5000,26.4100,200.00
2016-09-30,26.0000,26.2999,26.0000,26.2999,26.2105,318.00
2016-10-03,26.8800,26.8800,25.9799,25.9799,25.8916,421.00
2016-10-04,26.0500,26.0500,26.0499,26.0500,25.9615,580.00
2016-10-05,26.3200,26.3800,26.2900,26.3800,26.2904,314.00
2016-10-06,26.0800,26.0800,26.0800,26.0800,25.9914,100.00
2016-10-07,25.2400,25.2400,25.2400,25.2400,25.1542,140.00
2016-10-10,25.5801,25.5801,25.5801,25.5801,25.4932,308.00
2016-10-11,25.6000,25.6000,25.0000,25.0000,24.9151,302.00
2016-10-12,25.0000,25.0000,25.0000,25.0000,24.9151,0.00
2016-10-13,24.3090,24.3090,24.3090,24.3090,24.2264,401.00
2016-10-14,24.1500,24.1500,24.1500,24.1500,24.0679,200.00
2016-10-17,23.5000,23.5000,23.5000,23.5000,23.4201,200.00
