Date,Open,High,Low,Close,Adjusted_close,Volume
1992-06-05,14.0000,16.7500,14.0000,16.7500,2.7917,4575000.00
1992-06-08,16.5000,17.2500,16.2500,16.2500,2.7083,1802400.00
1992-06-09,16.0000,16.7500,15.7500,16.1200,2.6867,1360200.00
1992-06-10,15.7500,16.2500,15.7500,15.7500,2.6250,203400.00
1992-06-11,16.2500,17.0000,16.0000,16.2500,2.7083,751800.00
1992-06-12,17.0000,17.0000,16.2500,17.0000,2.8333,579000.00
1992-06-15,16.5000,17.0000,16.5000,16.5000,2.7500,238800.00
1992-06-16,16.8800,17.0000,16.5000,16.7500,2.7917,815400.00
1992-06-17,16.5000,17.0000,15.7500,15.7500,2.6250,1240800.00
1992-06-18,15.7500,16.5000,15.7500,16.0000,2.6667,666000.00
1992-06-19,15.7500,16.0000,15.7500,16.0000,2.6667,30600.00
1992-06-22,15.7500,16.0000,15.7500,16.0000,2.6667,252000.00
1992-06-23,16.2500,16.2500,15.7500,15.7500,2.6250,123600.00
1992-06-24,16.0000,16.7500,16.0000,16.0000,2.6667,12600.00
1992-06-25,16.7500,17.2500,16.0000,17.0000,2.8333,573600.00
1992-06-26,17.2500,17.2500,16.2500,17.2500,2.8750,50400.00
1992-06-29,17.2500,18.5000,17.0000,17.7500,2.9583,237000.00
1992-06-30,17.7500,18.5000,17.7500,17.7500,2.9583,23400.00
1992-07-01,18.5000,18.5000,17.7500,18.2500,3.0417,19800.00
1992-07-02,18.0000,18.5000,17.7500,18.0000,3.0000,180600.00
1992-07-06,18.0000,18.2500,18.0000,18.2500,3.0417,169800.00
1992-07-07,18.5000,18.5000,18.0000,18.3800,3.0633,97800.00
1992-07-08,18.0000,18.2500,18.0000,18.0000,3.0000,43800.00
1992-07-09,18.0000,18.5000,18.0000,18.5000,3.0833,150600.00
1992-07-10,18.5000,19.5000,18.2500,19.5000,3.2500,93600.00
1992-07-13,20.0000,20.5000,19.2500,19.2500,3.2083,351600.00
1992-07-14,19.6200,20.0000,19.2500,20.0000,3.3333,718800.00
1992-07-15,20.0000,20.0000,18.7500,18.7500,3.1250,274200.00
1992-07-16,18.7500,19.5000,18.7500,19.5000,3.2500,21000.00
1992-07-17,19.5000,19.5000,19.1200,19.1200,3.1867,5400.00
1992-07-20,18.7500,18.7500,18.7500,18.7500,3.1250,2400.00
1992-07-21,18.7500,19.2500,18.7500,19.2500,3.2083,41400.00
1992-07-22,19.5000,19.5000,18.7500,18.7500,3.1250,3000.00
1992-07-23,18.7500,19.1200,18.7500,18.7500,3.1250,15000.00
1992-07-24,18.7500,18.7500,18.7500,18.7500,3.1250,6000.00
1992-07-27,19.5000,19.5000,19.2500,19.2500,3.2083,18000.00
1992-07-28,19.7500,20.7500,19.7500,20.3700,3.3950,300000.00
1992-07-29,21.0000,22.2500,20.7500,21.7500,3.6250,336000.00
1992-07-30,21.7500,22.5000,21.7500,21.7500,3.6250,259800.00
1992-07-31,21.7500,22.2500,21.7500,22.2500,3.7083,51600.00
1992-08-03,21.7500,22.2500,21.7500,22.0000,3.6667,13200.00
1992-08-04,21.7500,22.2500,21.7500,21.7500,3.6250,27600.00
1992-08-05,21.7500,21.7500,21.7500,21.7500,3.6250,2400.00
1992-08-06,21.7500,22.0000,21.7500,22.0000,3.6667,39000.00
1992-08-07,21.7500,22.2500,21.7500,22.2500,3.7083,74400.00
1992-08-10,22.0000,22.5000,21.7500,22.0000,3.6667,361200.00
1992-08-11,21.7500,22.2500,21.7500,22.2500,3.7083,12600.00
1992-08-12,21.7500,21.7500,21.7500,21.7500,3.6250,16800.00
1992-08-13,21.7500,22.2500,21.7500,21.7500,3.6250,34200.00
1992-08-14,21.7500,22.2500,21.7500,22.2500,3.7083,43200.00
1992-08-17,21.7500,22.2500,21.7500,22.0000,3.6667,487200.00
1992-08-18,22.2500,22.2500,21.7500,22.2500,3.7083,121800.00
1992-08-19,21.7500,22.2500,21.7500,22.2500,3.7083,211200.00
1992-08-20,21.7500,21.7500,21.7500,21.7500,3.6250,30000.00
1992-08-21,22.7500,23.5000,22.2500,23.5000,3.9167,120000.00
1992-08-24,23.2500,24.0000,22.7500,23.1300,3.8550,244200.00
1992-08-25,22.5000,23.2500,21.7500,22.1200,3.6867,162600.00
1992-08-26,21.7500,22.7500,21.7500,22.2500,3.7083,37800.00
1992-08-27,22.7500,22.7500,22.7500,22.7500,3.7917,3600.00
1992-08-28,22.7500,23.0000,22.0000,22.5000,3.7500,450600.00
1992-08-31,23.0000,23.0000,23.0000,23.0000,3.8333,10200.00
1992-09-01,23.0000,23.2500,22.5000,23.2500,3.8750,92400.00
1992-09-02,23.2500,23.2500,22.5000,22.7500,3.7917,130200.00
1992-09-03,22.7500,23.8800,22.7500,23.2500,3.8750,58800.00
1992-09-04,23.2500,25.0000,23.2500,25.0000,4.1667,370800.00
1992-09-08,25.0000,25.0000,24.2500,25.0000,4.1667,49200.00
1992-09-09,25.0000,25.0000,24.5000,24.8700,4.1450,136800.00
1992-09-10,25.0000,25.0000,24.2500,25.0000,4.1667,63600.00
1992-09-11,24.2500,25.0000,24.2500,25.0000,4.1667,102000.00
1992-09-14,24.2500,25.0000,24.2500,24.5000,4.0833,39600.00
1992-09-15,25.0000,25.0000,25.0000,25.0000,4.1667,23400.00
1992-09-16,24.2500,24.6300,24.0000,24.0000,4.0000,719400.00
1992-09-17,24.1200,24.5000,24.0000,24.0000,4.0000,27000.00
1992-09-18,24.2500,24.5000,24.0000,24.2500,4.0417,24000.00
1992-09-21,24.5000,24.5000,24.0000,24.5000,4.0833,644400.00
1992-09-22,24.0000,24.5000,24.0000,24.5000,4.0833,216600.00
1992-09-23,23.7500,24.0000,23.7500,24.0000,4.0000,90000.00
1992-09-24,23.8800,24.2500,23.2500,24.0000,4.0000,175800.00
1992-09-25,23.2500,24.2500,23.2500,24.2500,4.0417,451800.00
1992-09-28,23.2500,24.7500,23.2500,24.6300,4.1050,93600.00
1992-09-29,24.7500,24.7500,24.0000,24.0000,4.0000,13200.00
1992-09-30,24.0000,24.2500,23.6200,24.2500,4.0417,697800.00
1992-10-01,23.7500,24.2500,23.7500,24.2500,4.0417,12000.00
1992-10-02,24.2500,24.2500,23.7500,23.7500,3.9583,148800.00
1992-10-05,23.7500,24.2500,23.7500,24.0000,4.0000,646200.00
1992-10-06,24.2500,24.2500,24.2500,24.2500,4.0417,13200.00
1992-10-07,24.5000,24.8700,24.0000,24.2500,4.0417,268200.00
1992-10-08,24.7500,27.5000,24.2500,27.0000,4.5000,234000.00
1992-10-09,26.7500,26.7500,26.0000,26.5000,4.4167,163200.00
1992-10-12,26.5000,26.5000,25.7500,26.5000,4.4167,99600.00
1992-10-13,26.5000,28.7500,25.7500,28.2500,4.7083,375600.00
1992-10-14,28.2500,28.7500,27.2500,28.0000,4.6667,70200.00
1992-10-15,28.2500,28.2500,26.5000,27.0000,4.5000,198000.00
1992-10-16,27.2500,27.2500,26.5000,27.0000,4.5000,18000.00
1992-10-19,27.2500,28.2500,26.5000,28.2500,4.7083,128400.00
1992-10-20,28.5000,28.5000,27.5000,28.5000,4.7500,69600.00
1992-10-21,28.5000,31.0000,28.0000,30.2500,5.0417,321000.00
1992-10-22,31.0000,31.0000,29.2500,29.5000,4.9167,181800.00
1992-10-23,29.7500,29.7500,29.0000,29.2500,4.8750,54600.00
1992-10-26,29.7500,29.7500,29.0000,29.0000,4.8333,22200.00
1992-10-27,29.0000,29.7500,29.0000,29.7500,4.9583,9600.00
1992-10-28,29.0000,29.7500,29.0000,29.0000,4.8333,5400.00
1992-10-29,29.7500,29.7500,29.0000,29.2500,4.8750,13800.00
1992-10-30,30.0000,30.0000,29.2500,29.5000,4.9167,43200.00
1992-11-02,30.0000,30.0000,29.2500,30.0000,5.0000,19200.00
1992-11-03,30.0000,30.0000,29.2500,29.2500,4.8750,62400.00
1992-11-04,30.0000,30.0000,27.7500,28.0000,4.6667,90000.00
1992-11-05,28.2500,29.0000,28.0000,29.0000,4.8333,161400.00
1992-11-06,29.0000,29.0000,28.8800,29.0000,4.8333,48600.00
1992-11-09,29.5000,29.7500,29.0000,29.7500,4.9583,158400.00
1992-11-10,29.7500,29.7500,29.6200,29.6200,4.9367,8400.00
1992-11-11,29.7500,30.0000,29.2500,30.0000,5.0000,139800.00
1992-11-12,30.0000,30.0000,29.0000,30.0000,5.0000,67800.00
1992-11-13,29.2500,30.0000,29.2500,30.0000,5.0000,12600.00
1992-11-16,29.0000,30.0000,29.0000,30.0000,5.0000,43200.00
1992-11-17,30.0000,30.0000,29.0000,29.7500,4.9583,33000.00
1992-11-18,30.0000,30.7500,29.7500,30.2500,5.0417,204000.00
1992-11-19,30.2500,30.7500,30.0000,30.0000,5.0000,33600.00
1992-11-20,30.7500,30.7500,30.0000,30.0000,5.0000,42000.00
1992-11-23,30.0000,30.5000,30.0000,30.0000,5.0000,13200.00
1992-11-24,30.0000,30.5000,30.0000,30.2500,5.0417,72000.00
1992-11-25,30.0000,30.7500,30.0000,30.0000,5.0000,9000.00
1992-11-27,30.0000,30.7500,30.0000,30.0000,5.0000,14400.00
1992-11-30,30.7500,30.7500,30.0000,30.7500,5.1250,22200.00
1992-12-01,30.0000,30.5000,30.0000,30.5000,5.0833,25200.00
1992-12-02,30.5000,30.5000,30.0000,30.0000,5.0000,15000.00
1992-12-03,30.2500,30.5000,30.0000,30.5000,5.0833,21600.00
1992-12-04,30.5000,30.5000,30.0000,30.2500,5.0417,6000.00
1992-12-07,30.5000,30.5000,29.5000,29.5000,4.9167,48000.00
1992-12-08,30.5000,30.5000,30.5000,30.5000,5.0833,1200.00
1992-12-09,29.5000,30.2500,29.5000,30.2500,5.0417,49200.00
1992-12-10,30.0000,30.1200,29.5000,29.5000,4.9167,45600.00
1992-12-11,30.5000,30.5000,28.7500,29.2500,4.8750,110400.00
1992-12-14,29.2500,29.2500,28.0000,28.2500,4.7083,115800.00
1992-12-15,27.7500,28.2500,27.7500,28.2500,4.7083,58200.00
1992-12-16,27.7500,28.2500,27.7500,28.0000,4.6667,40200.00
1992-12-17,27.7500,28.2500,27.7500,28.2500,4.7083,285600.00
1992-12-18,28.2500,28.2500,28.1200,28.2500,4.7083,57600.00
1992-12-21,28.2500,29.0000,28.2500,29.0000,4.8333,49200.00
1992-12-22,29.0000,30.0000,29.0000,30.0000,5.0000,49800.00
1992-12-23,30.0000,32.7500,30.0000,31.5000,5.2500,337800.00
1992-12-24,31.5000,32.0000,31.5000,32.0000,5.3333,7800.00
1992-12-28,31.5000,32.0000,31.5000,32.0000,5.3333,16200.00
1992-12-29,31.5000,33.0000,31.5000,32.7500,5.4583,82200.00
1992-12-30,32.7500,32.7500,32.0000,32.7500,5.4583,33600.00
1992-12-31,33.0000,33.7500,32.7500,33.7500,5.6250,111600.00
1993-01-04,34.0000,34.2500,33.5000,33.5000,5.5833,122400.00
1993-01-05,34.2500,35.5000,34.2500,34.5000,5.7500,253200.00
1993-01-06,35.2500,35.2500,34.5000,35.0000,5.8333,61200.00
1993-01-07,34.5000,35.0000,33.5000,33.5000,5.5833,76800.00
1993-01-08,33.2500,34.0000,29.7500,31.7500,5.2917,272400.00
1993-01-11,32.0000,32.0000,31.2500,32.0000,5.3333,16800.00
1993-01-12,31.2500,32.0000,31.2500,31.5000,5.2500,105600.00
1993-01-13,31.2500,31.7500,31.2500,31.2500,5.2083,154800.00
1993-01-14,31.7500,31.7500,31.2500,31.3800,5.2300,28200.00
1993-01-15,32.0000,35.7500,31.2500,34.0000,5.6667,543600.00
1993-01-18,34.5000,35.0000,34.5000,35.0000,5.8333,42000.00
1993-01-19,35.0000,35.2500,34.5000,35.0000,5.8333,121800.00
1993-01-20,34.5000,35.0000,33.0000,33.0000,5.5000,149400.00
1993-01-21,32.7500,33.2500,31.7500,32.2500,5.3750,130200.00
1993-01-22,32.2500,32.2500,31.2500,32.2500,5.3750,48000.00
1993-01-25,32.2500,32.2500,31.7500,31.7500,5.2917,45600.00
1993-01-26,32.2500,33.5000,32.2500,33.5000,5.5833,123000.00
1993-01-27,33.5000,34.5000,33.2500,34.0000,5.6667,1129800.00
1993-01-28,34.2500,34.2500,33.5000,34.2500,5.7083,24600.00
1993-01-29,34.2500,34.2500,33.5000,34.1200,5.6867,37200.00
1993-02-01,34.2500,34.2500,33.5000,33.5000,5.5833,34800.00
1993-02-02,34.0000,34.2500,33.5000,34.0000,5.6667,125400.00
1993-02-03,34.2500,34.2500,33.5000,34.2500,5.7083,50400.00
1993-02-04,34.2500,34.2500,33.5000,34.0000,5.6667,152400.00
1993-02-05,33.5000,34.2500,33.5000,33.5000,5.5833,16800.00
1993-02-08,33.5000,34.2500,33.5000,33.5000,5.5833,12600.00
1993-02-09,33.5000,34.2500,33.2500,33.2500,5.5417,86400.00
1993-02-10,33.0000,33.5000,33.0000,33.0000,5.5000,24000.00
1993-02-11,33.5000,33.5000,33.0000,33.5000,5.5833,7800.00
1993-02-12,33.5000,35.5000,33.5000,35.5000,5.9167,171600.00
1993-02-16,35.7500,35.7500,32.7500,33.0000,5.5000,262800.00
1993-02-17,32.5000,33.2500,32.5000,33.2500,5.5417,90600.00
1993-02-18,33.2500,34.2500,33.0000,34.2500,5.7083,112800.00
1993-02-19,34.2500,34.2500,33.7500,33.7500,5.6250,24600.00
1993-02-22,33.7500,34.2500,33.7500,33.7500,5.6250,22800.00
1993-02-23,33.2500,34.0000,33.2500,34.0000,5.6667,139200.00
1993-02-24,34.0000,34.0000,33.5000,33.5000,5.5833,270000.00
1993-02-25,34.0000,34.0000,33.2500,34.0000,5.6667,327000.00
1993-02-26,34.0000,34.2500,33.2500,33.2500,5.5417,24600.00
1993-03-01,34.2500,34.2500,33.2500,33.2500,5.5417,15000.00
1993-03-02,34.2500,36.0000,34.2500,35.2500,5.8750,107400.00
1993-03-03,36.0000,38.0000,35.2500,38.0000,6.3333,200400.00
1993-03-04,38.0000,38.0000,37.0000,37.3800,6.2300,35400.00
1993-03-05,38.0000,38.0000,37.2500,38.0000,6.3333,179400.00
1993-03-08,37.0000,38.0000,37.0000,37.6200,6.2700,30600.00
1993-03-09,38.0000,38.2500,37.5000,38.2500,6.3750,182400.00
1993-03-10,38.7500,40.2500,38.0000,39.6300,6.6050,318000.00
1993-03-11,40.2500,40.2500,39.0000,40.2500,6.7083,161400.00
1993-03-12,39.0000,40.0000,38.7500,39.7500,6.6250,53400.00
1993-03-15,39.7500,39.7500,38.5000,38.5000,6.4167,13800.00
1993-03-16,39.7500,39.7500,38.5000,39.7500,6.6250,12000.00
1993-03-17,39.7500,39.7500,38.5000,39.7500,6.6250,72600.00
1993-03-18,20.2500,20.2500,19.5000,20.2500,6.7500,47199.00
1993-03-19,20.2500,21.0000,20.2500,20.8700,6.9567,51600.00
1993-03-22,20.5000,22.5000,20.2500,21.7500,7.2500,139800.00
1993-03-23,22.7500,25.5000,22.7500,24.7500,8.2500,375801.00
1993-03-24,24.7500,27.0000,24.5000,26.0000,8.6667,617400.00
1993-03-25,25.2500,26.0000,24.0000,24.7500,8.2500,381000.00
1993-03-26,24.0000,24.7500,22.2500,22.7500,7.5833,343401.00
1993-03-29,22.7500,24.2500,22.0000,23.7500,7.9167,140001.00
1993-03-30,23.7500,24.0000,23.2500,24.0000,8.0000,90801.00
1993-03-31,24.2500,24.5000,23.5000,24.5000,8.1667,57000.00
1993-04-01,24.5000,24.5000,23.5000,24.5000,8.1667,20400.00
1993-04-02,24.5000,24.5000,23.0000,23.0000,7.6667,164601.00
1993-04-05,23.0000,23.5000,22.5000,23.0000,7.6667,84000.00
1993-04-06,22.5000,23.0000,22.2500,22.2500,7.4167,54600.00
1993-04-07,22.0000,22.5000,22.0000,22.5000,7.5000,151401.00
1993-04-08,22.5000,24.0000,22.0000,24.0000,8.0000,41001.00
1993-04-12,24.2500,24.2500,23.5000,24.2500,8.0833,25401.00
1993-04-13,24.2500,24.2500,24.2500,24.2500,8.0833,3000.00
1993-04-14,24.2500,25.0000,23.5000,24.7500,8.2500,80001.00
1993-04-15,24.5000,25.0000,24.5000,25.0000,8.3333,18600.00
1993-04-16,25.0000,25.2500,24.5000,25.2500,8.4167,182400.00
1993-04-19,24.5000,25.0000,24.2500,24.5000,8.1667,42000.00
1993-04-20,24.2500,24.7500,24.0000,24.0000,8.0000,185001.00
1993-04-21,24.0000,24.7500,24.0000,24.0000,8.0000,37200.00
1993-04-22,24.2500,24.7500,24.0000,24.0000,8.0000,62001.00
1993-04-23,24.0000,24.7500,24.0000,24.0000,8.0000,43200.00
1993-04-26,24.0000,24.5000,23.2500,23.2500,7.7500,58200.00
1993-04-27,23.2500,23.5000,22.5000,22.5000,7.5000,41400.00
1993-04-28,22.2500,22.7500,21.2500,21.5000,7.1667,259200.00
1993-04-29,21.2500,22.0000,20.0000,20.5000,6.8333,249000.00
