Date,Open,High,Low,Close,Adjusted_close,Volume
2013-10-22,35.0000,35.0000,34.0000,34.8700,7.0228,17760.00
2013-10-23,35.0000,35.0000,35.0000,35.0000,7.0490,960.00
2013-10-24,34.0000,34.0000,33.1500,33.1500,6.6764,2400.00
2013-10-25,33.1500,33.1500,32.2500,32.2500,6.4951,3360.00
2013-10-28,32.2500,32.5700,29.0000,32.0000,6.4448,34560.00
2013-10-29,32.0000,32.0000,32.0000,32.0000,6.4448,0.00
2013-10-30,30.5000,30.5000,30.5000,30.5000,6.1427,480.00
2013-10-31,31.7500,32.0000,31.7500,32.0000,6.4448,1440.00
2013-11-01,32.0000,32.0000,32.0000,32.0000,6.4448,0.00
2013-11-04,32.0000,32.0000,32.0000,32.0000,6.4448,0.00
2013-11-05,32.0000,32.0000,32.0000,32.0000,6.4448,0.00
2013-11-06,32.0000,39.0000,32.0000,39.0000,7.8546,4800.00
2013-11-07,39.0000,40.0000,39.0000,40.0000,8.0560,960.00
2013-11-08,40.0000,40.0000,40.0000,40.0000,8.0560,0.00
2013-11-11,40.0000,40.0000,40.0000,40.0000,8.0560,0.00
2013-11-12,34.2000,34.2000,32.0000,32.0000,6.4448,94320.00
2013-11-13,35.0000,35.0000,35.0000,35.0000,7.0490,936.00
2013-11-14,35.0000,35.0000,33.0000,33.0000,6.6462,6264.00
2013-11-15,33.0000,33.0000,33.0000,33.0000,6.6462,0.00
2013-11-18,33.0000,33.0000,33.0000,33.0000,6.6462,0.00
2013-11-19,34.0000,34.0000,32.0000,32.0000,6.4448,1507.00
2013-11-20,34.0000,34.0000,34.0000,34.0000,6.8476,984.00
2013-11-21,35.0000,35.0000,32.0000,32.0000,6.4448,3384.00
2013-11-22,31.1000,31.7400,31.1000,31.7400,6.3924,7488.00
2013-11-25,31.7400,31.7400,31.7400,31.7400,6.3924,0.00
2013-11-26,31.1000,31.1000,31.1000,31.1000,6.2635,960.00
2013-11-27,31.1000,31.1000,31.1000,31.1000,6.2635,0.00
2013-11-29,31.1000,31.1000,31.1000,31.1000,6.2635,0.00
2013-12-02,31.1000,31.2500,31.1000,31.2500,6.2937,19560.00
2013-12-03,31.1000,31.2500,31.1000,31.2500,6.3139,30355.00
2013-12-04,31.1000,31.1000,31.1000,31.1000,6.2835,4641.00
2013-12-05,32.5000,32.7500,32.5000,32.7500,6.6169,6720.00
2013-12-06,32.7500,32.7500,32.7500,32.7500,6.6169,0.00
2013-12-09,32.7500,32.7500,32.7500,32.7500,6.6169,0.00
2013-12-10,32.1000,32.1000,32.1000,32.1000,6.4856,480.00
2013-12-11,32.1000,32.1000,32.1000,32.1000,6.4856,960.00
2013-12-12,32.0000,32.2500,32.0000,32.2500,6.5159,7080.00
2013-12-13,33.0000,33.0000,31.7600,31.7600,6.4169,5760.00
2013-12-16,32.5000,32.5000,32.5000,32.5000,6.5664,4800.00
2013-12-17,32.0000,32.0000,31.0000,31.0000,6.2633,4320.00
2013-12-18,31.0200,31.0200,31.0200,31.0200,6.2674,480.00
2013-12-19,31.0000,31.5000,30.8700,31.0000,6.2633,8640.00
2013-12-20,31.0200,31.0200,31.0200,31.0200,6.2674,480.00
2013-12-23,31.2600,31.3700,31.2600,31.3700,6.3381,6720.00
2013-12-24,31.2600,31.2600,31.2600,31.2600,6.3159,960.00
2013-12-26,31.2600,31.4000,31.0000,31.0000,6.2633,3840.00
2013-12-27,31.2000,31.5000,31.2000,31.5000,6.3644,1440.00
2013-12-30,31.5000,32.0000,31.5000,31.7000,6.4048,10416.00
2013-12-31,31.4600,31.9000,31.0000,31.5100,6.3664,13632.00
2014-01-02,30.9000,30.9000,30.9000,30.9000,6.2431,2544.00
2014-01-03,32.0000,32.0000,32.0000,32.0000,6.4654,2880.00
2014-01-06,30.7500,30.7500,30.7500,30.7500,6.2128,2280.00
2014-01-07,30.7500,30.7500,30.7500,30.7500,6.2128,480.00
2014-01-08,30.7500,30.7500,30.7500,30.7500,6.2128,0.00
2014-01-09,30.7500,30.7500,30.7500,30.7500,6.2128,0.00
2014-01-10,30.7500,30.7500,30.7500,30.7500,6.2128,0.00
2014-01-13,30.7500,30.7500,30.7500,30.7500,6.2128,0.00
2014-01-14,30.7500,30.7500,30.7500,30.7500,6.2128,0.00
2014-01-15,31.0000,31.2500,31.0000,31.2500,6.3139,2520.00
2014-01-16,32.0000,32.0000,32.0000,32.0000,6.4654,1440.00
2014-01-17,32.0000,32.0000,32.0000,32.0000,6.4654,1440.00
2014-01-21,32.0000,32.0000,32.0000,32.0000,6.4654,4608.00
2014-01-22,32.2500,32.2500,32.2500,32.2500,6.5159,6744.00
2014-01-23,33.0000,33.0000,32.5000,32.5000,6.5664,5040.00
2014-01-24,32.5000,32.5000,32.5000,32.5000,6.5664,0.00
2014-01-27,33.0000,34.9900,32.5000,32.5000,6.5664,21480.00
2014-01-28,34.0000,34.0000,34.0000,34.0000,6.8695,1440.00
2014-01-29,34.5000,34.5000,34.5000,34.5000,6.9705,2419.00
2014-01-30,34.5000,34.5000,34.5000,34.5000,6.9705,0.00
2014-01-31,35.0100,35.5100,35.0100,35.1100,7.0937,36571.00
2014-02-03,34.6100,35.0600,34.6100,35.0100,7.0735,22857.00
2014-02-04,34.9900,35.0000,34.9900,35.0000,7.0715,2880.00
2014-02-05,35.0000,35.0000,35.0000,35.0000,7.0715,0.00
2014-02-06,35.0500,35.0500,35.0500,35.0500,7.0816,11040.00
2014-02-07,35.5000,35.5000,35.5000,35.5000,7.1725,2400.00
2014-02-10,35.7000,37.0000,35.7000,37.0000,7.4756,25776.00
2014-02-11,37.5000,38.0000,37.0000,38.0000,7.6776,20160.00
2014-02-12,39.0000,39.0000,36.1000,36.1000,7.2938,3806.00
2014-02-13,36.1000,36.1000,36.1000,36.1000,7.2938,0.00
2014-02-14,36.1000,36.1000,36.1000,36.1000,7.2938,0.00
2014-02-18,37.1300,38.7500,37.1300,38.7500,7.8292,9024.00
