Date,Open,High,Low,Close,Adjusted_close,Volume
2010-04-22,13.0000,13.8000,12.6200,13.2600,13.2600,3331300.00
2010-04-23,13.3800,14.2000,13.2800,14.0400,14.0400,324800.00
2010-04-26,14.5000,14.8600,14.2000,14.4500,14.4500,235900.00
2010-04-27,14.2300,14.9800,14.1200,14.3000,14.3000,109600.00
2010-04-28,14.1600,14.7400,13.8700,13.8800,13.8800,94000.00
2010-04-29,13.5600,14.2400,13.0500,13.5000,13.5000,188400.00
2010-04-30,13.6300,14.0200,13.2600,13.6200,13.6200,94400.00
2010-05-03,14.0900,14.5000,13.7100,14.1100,14.1100,36900.00
2010-05-04,14.0000,14.0600,13.2700,13.7000,13.7000,54800.00
2010-05-05,13.4400,13.9000,13.2500,13.4000,13.4000,33100.00
2010-05-06,13.4100,13.5500,13.0000,13.1100,13.1100,61300.00
2010-05-07,13.1500,13.8500,13.0000,13.2000,13.2000,17000.00
2010-05-10,13.8600,13.9500,13.1200,13.7600,13.7600,35700.00
2010-05-11,13.7600,13.7600,13.4000,13.6300,13.6300,18600.00
2010-05-12,13.4200,13.4200,13.0000,13.0400,13.0400,101200.00
2010-05-13,13.0100,13.4800,13.0000,13.0200,13.0200,138600.00
2010-05-14,13.0000,13.1500,12.9800,13.0300,13.0300,220000.00
2010-05-17,13.2100,13.2700,12.9800,13.0300,13.0300,260100.00
2010-05-18,13.1800,13.4000,13.0000,13.0000,13.0000,114000.00
2010-05-19,13.0500,13.1200,12.7500,12.7800,12.7800,270000.00
2010-05-20,12.5000,12.9700,12.5000,12.9100,12.9100,160600.00
2010-05-21,12.8400,13.0900,12.7500,13.0000,13.0000,137900.00
2010-05-24,13.0000,13.1900,12.7200,12.9300,12.9300,28400.00
2010-05-25,12.7000,12.9100,12.5000,12.6400,12.6400,20200.00
2010-05-26,12.8000,12.9900,11.2500,11.4000,11.4000,129800.00
2010-05-27,11.6700,11.8400,10.5900,10.8800,10.8800,124000.00
2010-05-28,10.8900,10.8900,10.2000,10.3400,10.3400,206200.00
2010-06-01,10.3200,10.9400,10.1100,10.8000,10.8000,77400.00
2010-06-02,10.8200,10.8200,10.3200,10.5800,10.5800,12600.00
2010-06-03,10.5200,10.9700,10.4000,10.7200,10.7200,21000.00
2010-06-04,10.6000,10.9300,10.3400,10.6400,10.6400,40000.00
2010-06-07,10.7500,10.7500,9.8000,9.8400,9.8400,39800.00
2010-06-08,9.9400,10.5600,9.7700,9.9700,9.9700,32600.00
2010-06-09,10.1500,10.8100,9.7800,9.7900,9.7900,19000.00
2010-06-10,10.0400,10.2753,9.5500,10.0300,10.0300,69400.00
2010-06-11,10.0000,10.1480,9.1500,10.0100,10.0100,81000.00
2010-06-14,10.0200,10.3700,9.8000,10.0300,10.0300,20400.00
2010-06-15,10.0300,10.2800,9.8200,10.1500,10.1500,14700.00
2010-06-16,10.1500,10.9700,10.1100,10.5600,10.5600,41600.00
2010-06-17,10.5400,10.9400,10.2100,10.2800,10.2800,18800.00
2010-06-18,10.2400,10.3600,9.4500,9.5000,9.5000,32600.00
2010-06-21,9.5500,10.7800,9.4300,10.4100,10.4100,183900.00
2010-06-22,10.3700,10.6799,9.8300,10.2500,10.2500,96200.00
2010-06-23,10.3000,10.4300,9.9500,9.9800,9.9800,41800.00
2010-06-24,9.9900,10.5500,9.9599,10.0800,10.0800,126000.00
2010-06-25,10.2600,10.2600,8.8600,9.0000,9.0000,930000.00
2010-06-28,9.0100,9.0400,8.7000,8.9000,8.9000,43000.00
2010-06-29,8.8400,9.0000,8.6500,8.6900,8.6900,100600.00
2010-06-30,8.7200,9.1000,8.7200,8.7600,8.7600,14800.00
2010-07-01,8.8200,9.1850,8.4900,8.5000,8.5000,88300.00
2010-07-02,8.5500,8.5500,7.8100,7.8700,7.8700,90600.00
2010-07-06,7.9200,8.5200,7.0900,7.2500,7.2500,317400.00
2010-07-07,7.2400,7.5100,6.8800,7.1100,7.1100,292200.00
2010-07-08,7.2300,7.5000,6.9100,7.2400,7.2400,238600.00
2010-07-09,7.2200,7.4500,7.2200,7.4000,7.4000,40300.00
2010-07-12,7.4300,7.4300,7.3000,7.3200,7.3200,44300.00
2010-07-13,7.4000,8.5900,7.3900,8.4400,8.4400,78800.00
2010-07-14,8.9400,10.1300,8.6400,9.7000,9.7000,211600.00
2010-07-15,9.7000,9.8600,9.3000,9.6500,9.6500,142100.00
2010-07-16,9.6700,9.9400,9.3500,9.6600,9.6600,65400.00
2010-07-19,9.8300,9.8300,9.4300,9.6900,9.6900,37300.00
2010-07-20,9.6900,9.8190,9.4600,9.6200,9.6200,30700.00
2010-07-21,9.6600,10.2200,9.6600,9.7700,9.7700,28400.00
2010-07-22,9.9100,9.9100,9.2600,9.4900,9.4900,97800.00
2010-07-23,9.4300,9.4400,9.0500,9.4200,9.4200,68100.00
2010-07-26,9.4200,9.8400,9.2400,9.5300,9.5300,150400.00
2010-07-27,9.6300,9.6300,9.1100,9.3000,9.3000,24600.00
2010-07-28,9.3100,9.3375,9.0700,9.0800,9.0800,55900.00
2010-07-29,9.1200,9.4000,8.9100,9.0000,9.0000,24100.00
2010-07-30,8.9100,9.0310,8.5500,8.9500,8.9500,56700.00
2010-08-02,9.1000,9.1100,8.5500,8.6200,8.6200,29400.00
2010-08-03,8.5000,8.5500,8.2200,8.3300,8.3300,50700.00
2010-08-04,8.3500,8.4100,8.2400,8.3400,8.3400,17500.00
2010-08-05,8.2800,8.7300,8.1200,8.3400,8.3400,49800.00
2010-08-06,8.2600,9.0800,7.5800,7.9900,7.9900,264600.00
2010-08-09,8.0000,8.0900,7.7700,7.8800,7.8800,59600.00
2010-08-10,7.8200,8.0600,7.8200,8.0000,8.0000,66000.00
2010-08-11,7.9900,7.9900,7.5000,7.5800,7.5800,154600.00
2010-08-12,7.5000,8.0400,7.5000,7.9400,7.9400,92900.00
2010-08-13,7.9700,8.2800,7.7800,7.7800,7.7800,89400.00
2010-08-16,7.8200,8.3100,7.8000,7.9800,7.9800,79500.00
2010-08-17,8.0600,8.4700,8.0000,8.4500,8.4500,58400.00
2010-08-18,8.4200,8.4200,8.0000,8.0900,8.0900,24500.00
2010-08-19,8.0200,8.1600,7.7400,7.7500,7.7500,38200.00
2010-08-20,7.7100,8.4900,7.5000,7.5000,7.5000,45800.00
2010-08-23,8.0900,8.0900,7.7100,7.7600,7.7600,48200.00
2010-08-24,7.7000,7.7200,7.5000,7.5300,7.5300,41300.00
2010-08-25,7.5100,7.5200,7.3750,7.4700,7.4700,26000.00
2010-08-26,7.5300,7.5600,7.4400,7.5200,7.5200,41300.00
2010-08-27,7.5900,7.8500,7.4400,7.8100,7.8100,77500.00
2010-08-30,7.8000,8.2750,7.8000,7.9000,7.9000,52400.00
