Date,Open,High,Low,Close,Adjusted_close,Volume
2014-07-02,35.2540,35.2540,34.9200,34.9200,33.1559,2774.00
2014-07-03,34.9600,35.0700,34.9600,35.0700,33.2983,632.00
2014-07-07,35.0800,35.0800,34.9610,34.9720,33.2052,4000.00
2014-07-08,34.8200,34.8200,34.7710,34.7780,33.0210,6776.00
2014-07-09,34.8458,34.8700,34.8399,34.8700,33.1084,91471.00
2014-07-10,34.7500,34.7500,34.7200,34.7200,32.9660,3972.00
2014-07-11,34.6200,34.6200,34.6200,34.6200,32.8710,293.00
2014-07-14,34.8300,34.8300,34.7980,34.8040,33.0457,3649.00
2014-07-15,34.6995,34.7900,34.6900,34.7400,32.9850,3600.00
2014-07-16,34.7400,34.8500,34.7300,34.8000,33.0419,63473.00
2014-07-17,34.7400,34.8100,34.4112,34.4400,32.7001,11462.00
2014-07-18,34.7158,34.7158,34.7158,34.7158,32.9620,725.00
2014-07-21,34.6591,34.7052,34.5800,34.6900,32.9375,1650.00
2014-07-22,34.8700,34.8900,34.8300,34.8400,33.0799,1148.00
2014-07-23,34.8700,34.8700,34.8000,34.8000,33.0419,45114.00
2014-07-24,34.8700,34.9000,34.8400,34.8800,33.1179,32989.00
2014-07-25,34.8300,34.8300,34.7599,34.7700,33.0134,3293.00
2014-07-28,34.7661,34.7661,34.7661,34.7661,33.0097,1888.00
2014-07-29,34.6600,34.6800,34.5700,34.5700,32.8235,1100.00
2014-07-30,34.5200,34.5525,34.4800,34.5525,32.8069,3086.00
2014-07-31,34.3000,34.3400,33.9299,33.9299,32.2158,20749.00
2014-08-01,33.9100,34.0000,33.6800,33.9000,32.1874,14259.00
2014-08-04,33.8199,33.9300,33.8000,33.9300,32.2159,2002.00
2014-08-05,33.9000,34.0400,33.7600,33.7800,32.0735,5705.00
2014-08-06,33.7800,33.7800,33.7800,33.7800,32.0735,0.00
2014-08-07,33.6800,33.6800,33.5800,33.5800,31.8836,1107.00
2014-08-08,33.5800,33.5800,33.5800,33.5800,31.8836,0.00
2014-08-11,34.1800,34.1900,34.1800,34.1900,32.4627,4150.00
2014-08-12,34.2000,34.2199,34.1799,34.1800,32.4532,2627.00
2014-08-13,34.3100,34.3100,34.2800,34.2800,32.5482,4739.00
2014-08-14,34.3900,34.4400,34.3900,34.4400,32.7001,67970.00
2014-08-15,34.6000,34.6000,34.3200,34.3920,32.6545,86205.00
2014-08-18,34.7376,34.7400,34.7300,34.7300,32.9755,1630.00
2014-08-19,34.8899,34.9400,34.8899,34.9035,33.1402,3557.00
2014-08-20,34.9700,35.0800,34.9700,35.0600,33.2888,14985.00
2014-08-21,35.6600,35.6600,35.0900,35.1600,33.3837,18494.00
2014-08-22,35.0923,35.1799,35.0000,35.1080,33.3344,19471.00
2014-08-25,35.2600,35.2700,35.2400,35.2600,33.4787,5965.00
2014-08-26,35.3100,35.3169,35.2520,35.2520,33.4711,147352.00
2014-08-27,35.2400,35.2600,35.2210,35.2210,33.4417,14024.00
2014-08-28,35.1600,35.2800,35.1470,35.2500,33.4692,35298.00
