Date,Open,High,Low,Close,Adjusted_close,Volume
2002-12-06,39.0000,43.2000,38.9000,42.9000,5.5002,27551000.00
2002-12-09,42.7000,42.8000,41.1400,42.0200,5.3874,3149500.00
2002-12-10,42.0500,43.3000,41.6500,42.7500,5.4809,1723000.00
2002-12-11,42.7000,45.5000,42.3000,45.0600,5.7771,2549000.00
2002-12-12,45.0600,45.0600,43.6000,43.9100,5.6297,1355500.00
2002-12-13,43.9100,43.9700,43.2500,43.6500,5.5963,987500.00
2002-12-16,43.5000,43.7500,42.9500,43.1000,5.5258,798000.00
2002-12-17,43.0000,44.0000,42.8000,43.2700,5.5476,1646000.00
2002-12-18,43.2000,43.2000,42.5500,42.6700,5.4707,742000.00
2002-12-19,42.5500,42.7000,42.1700,42.3000,5.4233,684000.00
2002-12-20,42.4000,44.6000,42.0000,44.4500,5.6989,904500.00
2002-12-23,44.3500,44.5500,43.3500,43.4000,5.5643,638500.00
2002-12-24,43.6000,43.6000,42.9600,43.0500,5.5194,218000.00
2002-12-26,43.1000,43.1500,42.5500,42.6000,5.4617,325000.00
2002-12-27,42.5000,42.5000,41.7500,42.0000,5.3848,830500.00
2002-12-30,42.3000,42.8500,42.1000,42.3200,5.4258,1076500.00
2002-12-31,42.2700,43.8000,42.2700,43.6600,5.5976,1778000.00
2003-01-02,43.6600,43.9500,43.4500,43.7200,5.6053,315000.00
2003-01-03,43.7200,45.8000,43.5200,45.8000,5.8720,861500.00
2003-01-06,45.0300,48.3500,45.0300,48.1000,6.1669,1874500.00
2003-01-07,48.0000,48.6000,47.2500,48.0200,6.1566,1383000.00
2003-01-08,48.0300,48.2700,47.6700,48.0100,6.1553,411000.00
2003-01-09,48.1000,49.2000,47.6600,49.0500,6.2887,649000.00
2003-01-10,48.8500,49.3500,48.7100,48.9900,6.2810,844000.00
2003-01-13,49.0000,49.6800,48.8700,49.6200,6.3617,810000.00
2003-01-14,49.6200,50.0000,49.0700,49.1000,6.2951,554000.00
2003-01-15,48.4000,48.4000,46.7600,47.0500,6.0322,1459000.00
2003-01-16,47.0000,47.0000,45.2700,45.3800,5.8181,725000.00
2003-01-17,45.2500,45.5200,44.8000,45.0200,5.7720,590500.00
2003-01-21,45.0500,45.2000,44.2600,44.4500,5.6989,468000.00
2003-01-22,44.3000,44.4000,44.1000,44.1500,5.6604,163500.00
2003-01-23,44.2000,45.7500,44.1300,45.4300,5.8245,476000.00
2003-01-24,45.3500,47.1000,45.0000,46.9900,6.0246,685000.00
2003-01-27,46.7900,46.9000,46.2000,46.2500,5.9297,209000.00
2003-01-28,46.3000,46.5800,46.0000,46.0100,5.8989,364500.00
2003-01-29,46.3000,46.5800,46.0000,46.0100,5.8989,401500.00
2003-01-30,46.5000,46.5900,43.8000,44.2000,5.6668,735000.00
2003-01-31,44.0000,44.0500,42.0100,42.5000,5.4489,2886000.00
2003-02-03,42.4500,42.9000,42.1600,42.3500,5.4297,780000.00
2003-02-04,42.2000,42.2000,41.5500,42.0000,5.3848,740000.00
2003-02-05,41.9500,42.0000,41.3500,41.7400,5.3515,1159000.00
2003-02-06,41.7000,42.0200,41.4500,41.5000,5.3207,1077500.00
2003-02-07,41.6000,42.1500,41.5500,42.1100,5.3989,744500.00
2003-02-10,42.1100,43.4000,42.0500,43.0000,5.5130,278500.00
2003-02-11,43.0000,43.5300,42.9000,42.9100,5.5015,222500.00
2003-02-12,42.7500,42.9500,42.4800,42.9100,5.5015,355500.00
2003-02-13,42.8500,43.7200,42.8200,43.5000,5.5771,265500.00
2003-02-14,43.7000,44.8000,43.7000,44.5000,5.7053,958000.00
2003-02-18,44.7500,44.8000,44.1500,44.5200,5.7079,753500.00
2003-02-19,44.5300,45.0000,44.4000,44.7700,5.7399,420500.00
2003-02-20,44.8000,45.1000,44.7000,45.0300,5.7733,159000.00
