Date,Open,High,Low,Close,Adjusted_close,Volume
1992-02-18,5.5000,5.5000,5.0000,5.0000,1.0831,7263.00
1992-02-19,5.2500,5.2500,5.2500,5.2500,1.1372,3284.00
1992-02-20,5.0000,5.1250,5.0000,5.1250,1.1102,26865.00
1992-02-21,5.0000,5.1250,5.0000,5.1250,1.1102,16119.00
1992-02-24,5.2500,5.5000,5.0000,5.0000,1.0831,102687.00
1992-02-25,5.1250,5.1250,5.1250,5.1250,1.1102,16717.00
1992-02-26,5.0000,5.0000,5.0000,5.0000,1.0831,1491.00
1992-02-27,5.0000,5.0000,5.0000,5.0000,1.0831,0.00
1992-02-28,5.5000,5.5000,5.5000,5.5000,1.1914,4876.00
1992-03-02,5.7500,6.1250,5.5000,6.1250,1.3268,61293.00
1992-03-03,5.5000,6.5000,5.5000,6.5000,1.4080,37611.00
1992-03-04,6.0000,7.5000,6.0000,7.5000,1.6246,235024.00
1992-03-05,7.5000,7.5000,6.8750,7.5000,1.6246,105672.00
1992-03-06,7.5000,7.5000,7.0000,7.3750,1.5976,30448.00
1992-03-09,7.1250,7.5000,7.1250,7.5000,1.6246,66368.00
1992-03-10,7.5000,7.5000,7.1250,7.3750,1.5976,111442.00
1992-03-11,7.2500,7.3750,7.2500,7.3750,1.5976,82088.00
1992-03-12,7.2500,7.2500,7.0000,7.0000,1.5163,23682.00
1992-03-13,7.0000,7.0000,7.0000,7.0000,1.5163,20297.00
1992-03-16,7.0000,7.1250,6.7500,6.8750,1.4893,79401.00
1992-03-17,7.1250,7.1250,6.8750,7.0000,1.5163,36416.00
1992-03-18,7.2500,7.2500,7.0000,7.0000,1.5163,22785.00
1992-03-19,7.0000,7.0000,6.8750,6.8750,1.4893,44875.00
1992-03-20,6.8750,6.8750,6.8750,6.8750,1.4893,28356.00
1992-03-23,6.8750,7.0000,6.6250,6.6250,1.4351,12935.00
1992-03-24,6.7500,7.0000,6.7500,6.7500,1.4622,44476.00
1992-03-25,6.7500,6.7500,6.7500,6.7500,1.4622,0.00
1992-03-26,7.1250,7.1250,6.8750,6.8750,1.4893,6269.00
1992-03-27,6.8750,6.8750,6.3750,6.3750,1.3809,21593.00
1992-03-30,6.3750,7.0000,6.3750,7.0000,1.5163,26069.00
1992-03-31,7.0000,7.0000,7.0000,7.0000,1.5163,0.00
1992-04-01,6.3750,6.3750,6.3750,6.3750,1.3809,17610.00
1992-04-02,6.5000,6.5000,6.5000,6.5000,1.4080,13432.00
1992-04-03,6.3750,6.3750,6.3750,6.3750,1.3809,8160.00
1992-04-06,6.3750,6.7500,6.3750,6.3750,1.3809,4177.00
1992-04-07,6.3750,6.5000,6.1250,6.3750,1.3809,15622.00
1992-04-08,6.1250,6.1250,6.1250,6.1250,1.3268,8160.00
1992-04-09,6.1250,6.1250,6.1250,6.1250,1.3268,11642.00
1992-04-10,6.1250,6.1250,6.1250,6.1250,1.3268,4876.00
1992-04-13,6.1250,6.2500,6.0000,6.0000,1.2997,80697.00
1992-04-14,5.8750,6.0000,5.7500,6.0000,1.2997,17016.00
1992-04-15,5.7500,6.1250,5.7500,6.0000,1.2997,32836.00
1992-04-16,5.6250,6.1250,5.6250,5.6250,1.2185,12636.00
