Date,Open,High,Low,Close,Adjusted_close,Volume
1990/3/26,3.75,3.75,3.75,3.75,0.989,1498
1990/3/27,3.75,3.75,3.5,3.5,0.923,11701
1990/3/28,3.5,4,3.5,4,1.0549,16200
1990/3/29,4,4,3.5,3.5,0.923,6699
1990/3/30,4,4.25,3.75,4.25,1.1208,32400
1990/4/2,4.25,4.25,3.75,4,1.0549,16800
1990/4/3,4,4.12,4,4.12,1.0866,1900
1990/4/4,4.25,4.25,4.25,4.25,1.1208,1498
1990/4/5,4.62,4.62,4.25,4.25,1.1208,3999
1990/4/6,4.62,4.87,4.38,4.87,1.2843,69700
1990/4/9,4.5,5,4.5,5,1.3186,15400
1990/4/10,5,5.13,5,5.13,1.3529,20199
1990/4/11,4.75,4.75,4.75,4.75,1.2527,600
1990/4/12,5,5,4.87,4.87,1.2843,11701
1990/4/16,5.13,5.13,4.5,4.5,1.1868,16301
1990/4/17,4.5,4.81,4.5,4.81,1.2685,600
1990/4/18,4.5,4.5,4.5,4.5,1.1868,2200
1990/4/19,4.5,5,4.5,4.5,1.1868,10300
1990/4/20,5,5.13,5,5.13,1.3529,16200
1990/4/23,4.62,5.13,4.62,5.13,1.3529,2200
1990/4/24,5.13,5.13,5.13,5.13,1.3529,4600
1990/4/25,4.62,4.62,4.62,4.62,1.2184,6699
1990/4/26,4.62,5.13,4.62,4.62,1.2184,2200
1990/4/27,4.62,4.62,4.62,4.62,1.2184,0
1990/4/30,4.62,4.62,4.62,4.62,1.2184,101
1990/5/1,5.13,5.5,4.62,5.5,1.4505,66700
1990/5/2,5.63,6,5,6,1.5824,267300
1990/5/3,6.25,6.25,5.75,5.75,1.5164,14799
1990/5/4,6.25,6.25,6,6,1.5824,12298
1990/5/7,5.5,6,5.5,6,1.5824,11701
1990/5/8,6,6,5.63,5.63,1.4848,14100
1990/5/9,6,6.25,5.63,6.25,1.6483,29200
1990/5/10,6.25,6.25,5.75,6.25,1.6483,21100
1990/5/11,5.75,5.75,5.75,5.75,1.5164,3300
1990/5/14,5.75,6.25,5.75,5.75,1.5164,5501
1990/5/15,6,6,5.63,5.63,1.4848,31600
1990/5/16,5.63,5.63,5.63,5.63,1.4848,0
1990/5/17,5.63,5.87,5.63,5.87,1.5481,5501
1990/5/18,5.63,6,5.63,5.75,1.5164,25599
1990/5/21,5.5,5.87,5.5,5.87,1.5481,10901
1990/5/22,5.87,6,5.87,5.87,1.5481,39298
1990/5/23,5.5,6,5.37,6,1.5824,30300
1990/5/24,5.5,6,5.5,5.63,1.4848,68100
1990/5/25,6,6,5.5,5.5,1.4505,8700
1990/5/29,6,6.25,5.5,6.25,1.6483,15400
1990/5/30,6.25,6.25,5.75,6,1.5824,14998
1990/5/31,5.75,6.25,5.75,5.87,1.5481,86400
1990/6/1,6.25,6.25,6,6,1.5824,16800
1990/6/4,5.87,6.5,5.87,6.5,1.7142,6699
1990/6/5,6.5,6.75,6,6.75,1.7801,55498
1990/6/6,6.5,8.5,6.5,7.5,1.9779,468399
1990/6/7,7.5,8.75,7.5,7.87,2.0755,351101
1990/6/8,7.5,8.25,7.5,8.13,2.1441,67000
1990/6/11,8.25,8.25,7.63,7.75,2.0439,99400
1990/6/12,7.63,8.25,7.63,8,2.1098,90598
1990/6/13,7.5,8,7.25,7.25,1.912,108901
1990/6/14,7.5,7.63,7.25,7.25,1.912,46500
1990/6/15,7.63,7.75,7.25,7.75,2.0439,20199
1990/6/18,7.75,7.75,7,7,1.8461,34300
1990/6/19,7,7.5,7,7.5,1.9779,30300
1990/6/20,7.5,8,7.38,7.75,2.0439,184899
1990/6/21,7.5,8,7.5,8,2.1098,85198
1990/6/22,7.75,8.25,7.75,7.75,2.0439,42700
1990/6/25,7.75,8.25,7.75,8.25,2.1757,5400
1990/6/26,7.75,8.25,7.75,8.25,2.1757,36001
1990/6/27,7.75,7.87,7.5,7.87,2.0755,24900
1990/6/28,7.5,7.75,7.25,7.75,2.0439,36598
1990/6/29,7.63,8,7.5,7.75,2.0439,16200
1990/7/2,7.5,7.75,7.25,7.75,2.0439,41998
1990/7/3,7.75,7.75,7.25,7.75,2.0439,13000
1990/7/5,7.75,7.75,7.25,7.75,2.0439,28498
1990/7/6,7.75,8.25,7.5,8.25,2.1757,64800
1990/7/9,8,8.37,8,8.13,2.1441,96700
1990/7/10,8.75,9.25,8.25,8.75,2.3076,211501
1990/7/11,8.75,9.25,8.75,8.75,2.3076,195301
1990/7/12,9,9.25,8.75,9,2.3735,109299
1990/7/13,8.75,9.25,8.75,8.75,2.3076,258700
1990/7/16,8.75,9.25,8.75,9.25,2.4395,109299
1990/7/17,8.75,9,8.5,9,2.3735,59400
1990/7/18,9,9,8.25,8.25,2.1757,51300
1990/7/19,8,8.5,8,8.13,2.1441,21100
1990/7/20,8.25,8.5,8,8.5,2.2417,57601
1990/7/23,8,8.25,7.87,8,2.1098,87301
1990/7/24,8.25,9.25,8.25,9.25,2.4395,147099
1990/7/25,9.25,9.5,8.75,8.75,2.3076,542801
1990/7/26,9.25,9.25,8.75,8.75,2.3076,175000
1990/7/27,8.75,9.25,8.75,8.75,2.3076,99900
1990/7/30,8.75,9.25,8.75,9,2.3735,90598
1990/7/31,8.75,9.25,8.75,9,2.3735,222699
1990/8/1,8.75,9,8.5,9,2.3735,55900
1990/8/2,8.5,9,8,8,2.1098,58900
1990/8/3,8,8.5,7.5,8,2.1098,49899
1990/8/6,7.75,7.75,7,7.75,2.0439,23500
1990/8/7,7.25,7.75,7.25,7.5,1.9779,71698
1990/8/8,7.5,8,7.5,8,2.1098,600
1990/8/9,8,8,7.63,7.63,2.0122,3999
1990/8/10,8,8,7.5,7.87,2.0755,35700
1990/8/13,7.5,8,7.5,8,2.1098,3999
1990/8/14,8,8.25,8,8.25,2.1757,8201
1990/8/15,8.5,8.5,7.75,7.75,2.0439,19500
1990/8/16,7.75,8.25,7.75,8,2.1098,15400
1990/8/17,7.5,8,7.25,8,2.1098,19500
1990/8/20,7.5,8,7.5,8,2.1098,20398
1990/8/21,7.5,8,7.25,7.75,2.0439,93700
1990/8/22,7.75,7.75,7.25,7.25,1.912,174700
1990/8/23,7.5,7.5,6.5,6.62,1.7459,23500
