Date,Open,High,Low,Close,Adjusted_close,Volume
1994-03-17,13.5000,14.8800,13.0000,14.6300,0.6096,47085600.00
1994-03-18,15.0000,15.2500,14.3800,15.2500,0.6354,9048000.00
1994-03-21,15.2500,15.7500,14.8800,15.2500,0.6354,2292000.00
1994-03-22,15.7500,16.0000,15.2500,15.2500,0.6354,3621600.00
1994-03-23,15.5000,15.5000,15.0000,15.2500,0.6354,1608000.00
1994-03-24,15.3800,15.3800,15.0000,15.3800,0.6408,1303200.00
1994-03-25,15.3800,16.0000,15.0000,16.0000,0.6667,1293600.00
1994-03-28,16.0000,16.0000,15.0000,15.1300,0.6304,2419200.00
1994-03-29,15.2500,15.2500,14.2500,14.2500,0.5938,849600.00
1994-03-30,14.2500,14.7500,14.2500,14.5000,0.6042,1144800.00
1994-03-31,14.3800,14.3800,13.5000,13.8800,0.5783,986400.00
1994-04-04,13.7500,13.7500,13.2500,13.6300,0.5679,2080800.00
1994-04-05,13.6300,14.0000,13.5000,14.0000,0.5833,484800.00
1994-04-06,14.1300,14.5000,14.0000,14.1300,0.5888,436800.00
1994-04-07,14.5000,14.7500,14.3800,14.7500,0.6146,98400.00
1994-04-08,14.7500,15.0000,14.5000,14.6300,0.6096,189600.00
1994-04-11,15.0000,15.0000,14.6300,15.0000,0.6250,148800.00
1994-04-12,15.0000,15.1300,14.7500,14.8800,0.6200,842400.00
1994-04-13,14.8800,14.8800,14.5000,14.8800,0.6200,744000.00
1994-04-14,14.5000,14.7500,14.5000,14.7500,0.6146,16800.00
1994-04-15,14.6300,14.6300,14.2500,14.6300,0.6096,828000.00
1994-04-18,14.2500,14.6300,14.1300,14.5000,0.6042,880800.00
1994-04-19,14.5000,14.5000,13.7500,14.2500,0.5938,422400.00
1994-04-20,14.0000,14.2500,14.0000,14.0000,0.5833,76800.00
1994-04-21,14.0000,14.1300,13.7500,14.0000,0.5833,3355200.00
1994-04-22,13.7500,14.0000,13.7500,14.0000,0.5833,516000.00
1994-04-25,14.0000,14.2500,13.8100,14.0000,0.5833,4816800.00
1994-04-26,14.2500,14.5000,14.0000,14.5000,0.6042,2601600.00
1994-04-28,14.7500,14.7500,14.5000,14.6300,0.6096,192000.00
1994-04-29,14.6300,15.0000,14.5000,14.5000,0.6042,1262400.00
1994-05-02,14.8800,15.0000,14.7500,15.0000,0.6250,600000.00
1994-05-03,15.0000,15.7500,15.0000,15.5000,0.6458,1214400.00
1994-05-04,15.2500,15.7500,15.2500,15.7500,0.6563,2052000.00
1994-05-05,15.7500,16.0000,15.6300,16.0000,0.6667,2388000.00
1994-05-06,16.0000,16.0000,15.5000,15.7500,0.6563,528000.00
1994-05-09,15.5000,15.7500,15.5000,15.5000,0.6458,204000.00
1994-05-10,15.7500,16.0000,15.5000,16.0000,0.6667,158400.00
1994-05-11,15.7500,15.7500,15.1300,15.5000,0.6458,5947200.00
1994-05-12,15.5000,15.7500,15.2500,15.2500,0.6354,1833600.00
1994-05-13,15.7500,15.7500,15.7500,15.7500,0.6563,9600.00
1994-05-16,15.2500,15.7500,15.2500,15.2500,0.6354,415200.00
1994-05-17,15.2500,15.7500,15.2500,15.2500,0.6354,194400.00
1994-05-18,15.7500,15.7500,15.2500,15.2500,0.6354,453600.00
1994-05-19,15.2500,15.2500,15.2500,15.2500,0.6354,81600.00
1994-05-20,15.2500,15.7500,15.2500,15.3800,0.6408,763200.00
1994-05-23,15.2500,15.2500,15.2500,15.2500,0.6354,180000.00
1994-05-24,15.2500,15.2500,15.2500,15.2500,0.6354,4800.00
1994-05-25,15.2500,15.6300,15.2500,15.6300,0.6513,45600.00
1994-05-26,15.7500,15.7500,15.2500,15.5000,0.6458,482400.00
1994-05-27,15.2500,15.3800,15.2500,15.3800,0.6408,84000.00
1994-05-31,15.7500,15.7500,15.3800,15.7500,0.6563,2220000.00
1994-06-01,15.7500,15.7500,15.5000,15.5000,0.6458,144000.00
1994-06-02,15.5000,16.5000,15.5000,16.3800,0.6825,900000.00
1994-06-03,16.0000,16.8800,16.0000,16.6300,0.6929,948000.00
1994-06-06,17.0000,17.0000,16.6300,17.0000,0.7083,914400.00
1994-06-07,16.7500,16.7500,16.5000,16.7500,0.6979,520800.00
1994-06-08,17.0000,17.0000,16.5000,16.5000,0.6875,324000.00
1994-06-09,16.5000,16.5000,15.1300,15.1300,0.6304,1596000.00
1994-06-10,15.1300,15.5000,15.0000,15.2500,0.6354,765600.00
1994-06-13,15.0000,15.5000,15.0000,15.5000,0.6458,1204800.00
1994-06-14,15.5000,15.7500,15.2500,15.5000,0.6458,170400.00
1994-06-15,15.7500,15.7500,15.2500,15.7500,0.6563,326400.00
1994-06-16,15.5000,15.7500,15.2500,15.7500,0.6563,835200.00
1994-06-17,15.3100,15.3100,15.2500,15.2500,0.6354,28800.00
1994-06-20,15.7500,15.7500,15.7500,15.7500,0.6563,4800.00
1994-06-21,15.7500,15.7500,14.7500,15.0000,0.6250,1188000.00
1994-06-22,14.6300,15.0000,14.6300,15.0000,0.6250,117600.00
1994-06-23,14.7500,14.7500,14.2500,14.6300,0.6096,549600.00
1994-06-24,14.2500,14.5000,14.1300,14.2500,0.5938,501600.00
1994-06-27,14.3800,14.3800,14.1300,14.2500,0.5938,96000.00
1994-06-28,14.2500,14.8800,14.1300,14.8800,0.6200,1456800.00
1994-06-29,14.6300,14.8800,14.3800,14.8800,0.6200,998400.00
1994-06-30,14.8800,15.3800,14.7500,15.1300,0.6304,964800.00
1994-07-01,15.3800,15.3800,14.8800,15.3800,0.6408,189600.00
1994-07-05,15.1300,15.1300,14.7500,14.8800,0.6200,249600.00
1994-07-06,14.7500,14.7500,14.1300,14.6300,0.6096,748800.00
1994-07-07,14.6300,14.6300,14.6300,14.6300,0.6096,213600.00
1994-07-08,14.6200,14.6200,14.6200,14.6200,0.6092,0.00
1994-07-11,14.1300,14.5000,14.0000,14.2500,0.5938,650400.00
1994-07-12,14.2500,14.2500,14.1300,14.1300,0.5888,93600.00
1994-07-13,14.0000,14.7500,14.0000,14.7500,0.6146,2781600.00
1994-07-14,14.3800,14.7500,14.3800,14.7500,0.6146,168000.00
1994-07-15,14.6300,14.7500,14.3800,14.7500,0.6146,1142400.00
1994-07-18,14.7500,14.7500,14.7500,14.7500,0.6146,0.00
1994-07-19,14.6300,14.7500,14.6300,14.7500,0.6146,48000.00
1994-07-20,14.7500,14.7500,14.7500,14.7500,0.6146,14400.00
1994-07-21,14.7500,14.7500,14.7500,14.7500,0.6146,0.00
1994-07-22,14.6300,14.6300,14.3800,14.3800,0.5992,168000.00
1994-07-25,14.3800,14.5000,14.3800,14.5000,0.6042,396000.00
1994-07-26,14.6300,14.7500,14.3800,14.6300,0.6096,252000.00
1994-07-27,14.7500,14.7500,14.3800,14.5000,0.6042,463200.00
1994-07-28,14.6300,14.7500,14.3800,14.5000,0.6042,616800.00
1994-07-29,14.3800,14.5000,14.3800,14.5000,0.6042,132000.00
1994-08-01,14.3800,14.7500,14.3800,14.6300,0.6096,302400.00
1994-08-02,14.5000,14.6300,14.5000,14.6300,0.6096,540000.00
1994-08-03,14.7500,14.8800,14.5000,14.8800,0.6200,112800.00
1994-08-04,14.8800,14.8800,14.5000,14.5000,0.6042,208800.00
1994-08-05,14.3800,14.3800,13.8800,14.2500,0.5938,674400.00
1994-08-08,14.0000,14.2500,14.0000,14.2500,0.5938,21600.00
1994-08-09,14.2500,14.2500,14.1300,14.1300,0.5888,72000.00
1994-08-10,14.1300,14.2500,14.1300,14.1300,0.5888,240000.00
1994-08-11,14.0000,14.1300,14.0000,14.1300,0.5888,112800.00
1994-08-12,14.0000,14.2500,14.0000,14.2500,0.5938,972000.00
1994-08-15,14.0000,14.1300,14.0000,14.1300,0.5888,1104000.00
1994-08-16,14.0000,14.2500,14.0000,14.0000,0.5833,108000.00
1994-08-17,14.0000,14.2500,14.0000,14.2500,0.5938,3160800.00
1994-08-18,14.3800,14.7500,14.3800,14.5000,0.6042,1512000.00
1994-08-19,14.5000,14.7500,14.5000,14.6300,0.6096,2892000.00
1994-08-22,14.6300,14.7500,14.5000,14.6300,0.6096,1128000.00
1994-08-23,15.0000,15.0000,14.5000,14.5000,0.6042,705600.00
1994-08-24,15.0000,15.0000,14.5000,14.6300,0.6096,818400.00
1994-08-25,14.5000,14.6300,14.5000,14.6300,0.6096,331200.00
1994-08-26,14.5000,14.6300,14.5000,14.6300,0.6096,408000.00
1994-08-29,15.0000,15.6900,15.0000,15.5000,0.6458,1005600.00
1994-08-30,15.7500,15.7500,15.0000,15.1300,0.6304,2748000.00
1994-08-31,15.1300,15.5000,15.0000,15.5000,0.6458,1200000.00
1994-09-01,15.5000,15.5000,15.1300,15.1300,0.6304,823200.00
1994-09-02,15.1300,15.1300,15.1300,15.1300,0.6304,240000.00
1994-09-06,15.0000,15.2500,15.0000,15.2500,0.6354,9600.00
1994-09-07,15.5000,15.5000,15.5000,15.5000,0.6458,4800.00
1994-09-08,15.0000,15.0600,15.0000,15.0600,0.6275,777600.00
1994-09-09,15.0000,15.1300,15.0000,15.0000,0.6250,804000.00
1994-09-12,15.2500,15.2500,15.2500,15.2500,0.6354,120000.00
1994-09-13,15.0000,15.3800,15.0000,15.3800,0.6408,398400.00
1994-09-14,15.0000,15.0000,15.0000,15.0000,0.6250,199200.00
1994-09-15,15.0000,15.0000,14.6300,14.8800,0.6200,652800.00
1994-09-16,14.7500,14.7500,14.5000,14.7500,0.6146,216000.00
1994-09-19,14.5000,14.7500,14.5000,14.6300,0.6096,393600.00
1994-09-20,14.7500,14.7500,14.5000,14.6300,0.6096,60000.00
1994-09-21,14.5000,14.7500,14.5000,14.7500,0.6146,374400.00
1994-09-22,14.5000,14.7500,14.5000,14.7500,0.6146,110400.00
1994-09-23,14.5000,14.7500,14.5000,14.7500,0.6146,177600.00
1994-09-26,14.7500,14.7500,14.5000,14.6300,0.6096,28800.00
1994-09-27,14.7500,14.8800,14.5600,14.8800,0.6200,2011200.00
1994-09-28,15.0000,15.5000,15.0000,15.5000,0.6458,1809600.00
1994-09-29,15.0000,15.5000,15.0000,15.0000,0.6250,2565600.00
1994-09-30,15.5000,15.7500,15.3800,15.7500,0.6563,1492800.00
1994-10-03,15.7500,15.7500,15.2500,15.6300,0.6513,405600.00
1994-10-04,15.7500,15.7500,15.2500,15.5000,0.6458,105600.00
1994-10-05,15.2500,15.7500,15.2500,15.7500,0.6563,1480800.00
1994-10-06,15.3800,15.5000,15.3800,15.5000,0.6458,787200.00
1994-10-07,15.2500,15.2500,15.2500,15.2500,0.6354,7200.00
1994-10-10,15.2500,15.2500,15.2500,15.2500,0.6354,0.00
1994-10-11,15.5000,16.3800,15.5000,16.3800,0.6825,1608000.00
1994-10-12,16.2500,16.3800,16.0000,16.3800,0.6825,2587200.00
1994-10-13,16.1300,16.5000,16.1300,16.5000,0.6875,2546400.00
1994-10-14,16.5000,16.5000,16.2500,16.2500,0.6771,14400.00
1994-10-17,16.4400,16.5000,16.4400,16.5000,0.6875,2476800.00
1994-10-18,16.2500,16.5000,16.2500,16.5000,0.6875,79200.00
1994-10-19,16.3800,16.5000,16.2500,16.2500,0.6771,211200.00
1994-10-20,16.5000,16.7500,16.5000,16.6300,0.6929,458400.00
1994-10-21,16.7500,17.5000,16.6900,17.1300,0.7138,1231200.00
1994-10-24,17.5000,17.5000,17.3800,17.5000,0.7292,410400.00
1994-10-25,17.5000,18.0000,17.1300,17.8800,0.7450,1053600.00
1994-10-26,17.8800,18.0000,17.6300,18.0000,0.7500,1780800.00
1994-10-27,18.0000,18.6300,17.8800,18.1300,0.7554,2491200.00
1994-10-28,18.5000,18.5000,18.1300,18.1300,0.7554,52800.00
1994-10-31,18.6300,18.6300,18.0000,18.5000,0.7708,2155200.00
1994-11-01,18.6300,18.6300,18.2500,18.6300,0.7763,357600.00
1994-11-02,18.6300,18.6300,18.0000,18.0000,0.7500,811200.00
1994-11-03,17.8800,18.0000,17.5000,17.7500,0.7396,412800.00
1994-11-04,17.7500,17.7500,17.3800,17.5000,0.7292,444000.00
1994-11-07,17.2500,17.2500,16.7500,17.1300,0.7138,1082400.00
1994-11-08,17.1300,17.3800,17.0000,17.3800,0.7242,489600.00
1994-11-09,17.6300,17.6300,17.2500,17.3800,0.7242,400800.00
1994-11-10,17.1300,17.6300,17.1300,17.2500,0.7188,624000.00
1994-11-11,17.2500,17.6300,17.2500,17.6300,0.7346,230400.00
1994-11-14,17.1300,17.7500,17.1300,17.7500,0.7396,2882400.00
1994-11-15,17.5000,17.5000,17.5000,17.5000,0.7292,69600.00
1994-11-16,17.5000,17.5000,17.5000,17.5000,0.7292,69600.00
1994-11-17,17.5000,17.5000,17.5000,17.5000,0.7292,2400.00
1994-11-18,17.3800,17.6300,17.3800,17.6300,0.7346,28800.00
1994-11-21,17.7500,17.7500,17.7500,17.7500,0.7396,124800.00
1994-11-22,17.3800,17.3800,17.2500,17.3800,0.7242,444000.00
1994-11-23,17.2500,17.3800,17.0000,17.3800,0.7242,228000.00
1994-11-25,17.3800,17.3800,17.3800,17.3800,0.7242,0.00
1994-11-28,17.2500,17.2500,16.8800,16.8800,0.7033,244800.00
1994-11-29,17.2500,17.6300,17.2500,17.3800,0.7242,856800.00
1994-11-30,17.6300,17.6300,17.0000,17.3800,0.7242,631200.00
1994-12-01,17.0600,17.0600,17.0600,17.0600,0.7108,2400.00
1994-12-02,17.5000,17.5000,17.0000,17.5000,0.7292,79200.00
1994-12-05,17.5000,17.5000,17.5000,17.5000,0.7292,129600.00
1994-12-06,17.0000,17.1300,17.0000,17.1300,0.7138,43200.00
1994-12-07,17.5000,17.5000,17.5000,17.5000,0.7292,0.00
1994-12-08,17.5000,17.5000,16.7500,16.7500,0.6979,439200.00
1994-12-09,17.0000,17.0000,17.0000,17.0000,0.7083,168000.00
1994-12-12,16.8100,17.0000,16.7500,16.7500,0.6979,225600.00
1994-12-13,16.8800,17.0000,16.7500,17.0000,0.7083,112800.00
1994-12-14,17.0000,17.0000,17.0000,17.0000,0.7083,0.00
1994-12-15,17.1300,17.1300,16.5000,16.7500,0.6979,170400.00
1994-12-16,16.8800,16.8800,16.3800,16.5000,0.6875,139200.00
1994-12-19,16.5000,16.5000,16.1300,16.1300,0.6721,187200.00
1994-12-20,15.7500,15.7500,15.3800,15.5000,0.6458,2817600.00
1994-12-21,15.6300,15.7500,15.5000,15.7500,0.6563,1500000.00
1994-12-22,15.8800,15.8800,15.7500,15.8800,0.6617,110400.00
1994-12-23,15.7500,16.0600,15.7500,16.0600,0.6692,631200.00
1994-12-27,16.1300,16.3800,16.1300,16.3800,0.6825,496800.00
1994-12-28,16.5000,16.5000,16.0000,16.3800,0.6825,465600.00
1994-12-29,16.3800,16.6300,16.0000,16.6300,0.6929,398400.00
1994-12-30,16.6300,17.6300,16.6300,17.6300,0.7346,914400.00
1995-01-03,17.6300,18.0000,17.5000,17.7500,0.7396,1060800.00
1995-01-04,17.8800,17.8800,17.5000,17.6300,0.7346,376800.00
1995-01-05,17.6300,17.6300,17.5000,17.5000,0.7292,384000.00
1995-01-06,17.6300,17.6300,17.3100,17.4400,0.7267,3948000.00
