Date,Open,High,Low,Close,Adjusted_close,Volume
2004-04-01,15.0500,15.2000,15.0100,15.2000,4.3799,169100.00
2004-04-02,15.2000,15.2300,15.0500,15.1500,4.3655,116600.00
2004-04-05,15.1900,15.1900,15.0500,15.1100,4.3540,123800.00
2004-04-06,15.0500,15.1000,15.0000,15.0100,4.3252,126000.00
2004-04-07,15.0100,15.1100,15.0000,15.1000,4.3511,127700.00
2004-04-08,15.1000,15.1100,15.0100,15.0700,4.3424,108200.00
2004-04-12,15.0700,15.1000,15.0000,15.0500,4.3367,122100.00
2004-04-13,15.0600,15.0600,15.0000,15.0000,4.3223,209300.00
2004-04-14,15.0000,15.0200,15.0000,15.0000,4.3223,375200.00
2004-04-15,15.0000,15.0100,15.0000,15.0000,4.3223,416700.00
2004-04-16,15.0000,15.0100,15.0000,15.0000,4.3223,194400.00
2004-04-19,15.0000,15.0200,15.0000,15.0100,4.3252,168300.00
2004-04-20,15.0100,15.0100,15.0000,15.0000,4.3223,218900.00
2004-04-21,15.0000,15.0000,14.8000,14.8000,4.2646,1570700.00
2004-04-22,14.8000,14.8100,14.8000,14.8000,4.2646,292100.00
2004-04-23,14.8100,14.8100,14.8000,14.8000,4.2646,276000.00
2004-04-26,14.8000,14.8100,14.7500,14.7600,4.2531,876900.00
2004-04-27,14.8000,14.8000,14.8000,14.8000,4.2646,409800.00
2004-04-28,14.7500,14.7600,14.7500,14.7500,4.2502,330800.00
2004-04-29,14.7000,14.7100,14.7000,14.7000,4.2358,387400.00
2004-04-30,14.7000,14.7100,14.5500,14.5500,4.1926,325300.00
2004-05-03,14.5500,14.5600,14.5500,14.5500,4.1926,233000.00
2004-05-04,14.5000,14.5000,13.6500,13.9800,4.0284,588900.00
2004-05-05,14.0000,14.0000,13.7800,14.0000,4.0341,190800.00
2004-05-06,13.9000,13.9500,13.3000,13.4500,3.8756,329500.00
2004-05-07,13.3500,13.5900,13.1100,13.5300,3.8987,352800.00
2004-05-10,13.5300,13.5300,13.5300,13.5300,3.8987,949700.00
2004-05-11,12.7500,13.5000,12.7500,13.2000,3.8036,350200.00
2004-05-12,13.1700,13.5000,12.8500,13.5000,3.8900,261100.00
2004-05-13,13.5500,13.6000,13.2500,13.4900,3.8872,170300.00
2004-05-14,13.5900,13.9000,13.3500,13.6500,3.9333,171900.00
2004-05-17,13.5500,13.5500,13.0000,13.1000,3.7748,268300.00
2004-05-18,13.0000,13.3500,13.0000,13.2600,3.8209,256600.00
2004-05-19,13.2000,13.7800,13.0000,13.1400,3.7863,335900.00
2004-05-20,13.1500,13.2500,12.7000,13.0600,3.7633,368500.00
2004-05-21,13.0600,13.2500,13.0000,13.1800,3.7978,267700.00
2004-05-24,12.8000,13.2000,12.7600,12.9300,3.7258,475400.00
2004-05-25,12.8300,13.3500,12.7600,13.2000,3.8036,426000.00
2004-05-26,13.1500,13.5000,13.0500,13.4700,3.8814,264800.00
2004-05-27,13.4100,13.6500,13.2500,13.5500,3.9045,217800.00
2004-05-28,13.5400,13.7900,13.4500,13.7900,3.9736,154700.00
2004-06-01,13.7900,14.0000,13.5500,13.9800,4.0284,188500.00
2004-06-02,13.9900,14.0000,13.6700,13.8200,3.9823,168500.00
2004-06-03,13.9200,14.0500,13.7300,13.9500,4.0197,211000.00
2004-06-04,14.0000,14.1500,13.9500,14.0300,4.0428,148300.00
2004-06-07,14.1000,14.1600,13.7900,13.9700,4.0255,207300.00
2004-06-08,14.0400,14.1200,13.7800,14.0000,4.0341,183000.00
2004-06-09,13.9500,14.0500,13.5700,13.6700,3.9606,191300.00
2004-06-10,13.5700,13.7900,13.4000,13.5500,3.9259,211400.00
2004-06-14,13.5900,13.6000,13.3000,13.4000,3.8824,206900.00
2004-06-15,13.4000,13.6300,13.2800,13.4000,3.8824,259100.00
2004-06-16,13.3000,13.4800,13.2200,13.4000,3.8824,275900.00
2004-06-17,13.3000,13.4400,13.1500,13.3300,3.8621,262400.00
2004-06-18,13.3900,13.5000,13.1700,13.3500,3.8679,243100.00
2004-06-21,13.4500,13.4500,13.1700,13.2900,3.8505,248000.00
2004-06-22,13.1900,13.4500,12.9200,13.1500,3.8100,427700.00
2004-06-23,13.1600,13.1800,12.8600,13.0000,3.7665,385000.00
2004-06-24,13.0200,13.3900,12.9300,13.3000,3.8534,412000.00
2004-06-25,13.3000,13.3600,12.9900,13.3000,3.8534,453500.00
2004-06-28,13.2000,13.3400,13.0400,13.2400,3.8361,412000.00
2004-06-29,13.2900,13.2900,13.0000,13.1900,3.8216,317400.00
2004-06-30,13.1000,13.2500,12.9800,13.2200,3.8303,280800.00
2004-07-01,13.2000,13.2900,13.1000,13.2600,3.8419,225400.00
2004-07-02,13.2000,13.3000,13.1800,13.1900,3.8216,195500.00
2004-07-06,13.2500,13.2500,13.0900,13.1800,3.8187,237000.00
2004-07-07,13.1200,13.2900,13.0600,13.2000,3.8245,309600.00
2004-07-08,13.1500,13.1900,13.0800,13.1400,3.8071,234800.00
2004-07-09,13.0700,13.1700,13.0600,13.0600,3.7839,200900.00
2004-07-12,13.0500,13.1500,13.0400,13.1400,3.8071,236600.00
2004-07-13,13.1300,13.1300,13.0000,13.0500,3.8027,262200.00
2004-07-14,13.0200,13.0900,12.9500,12.9900,3.7853,321400.00
2004-07-15,12.9300,13.0300,12.8400,12.8600,3.7474,320800.00
2004-07-16,12.9500,12.9800,12.8200,12.9300,3.7678,304400.00
2004-07-19,12.8400,12.9600,12.8200,12.8300,3.7386,307200.00
2004-07-20,12.8300,12.9600,12.8200,12.8900,3.7561,307900.00
2004-07-21,12.9300,12.9300,12.9300,12.9300,3.7678,315700.00
2004-07-22,12.9100,13.0100,12.6700,12.9900,3.7853,390200.00
2004-07-23,12.9600,12.9900,12.6600,12.8300,3.7386,301100.00
2004-07-26,12.7600,12.8500,12.6600,12.6800,3.6949,311800.00
2004-07-27,12.6500,12.7400,12.5300,12.5900,3.6687,539100.00
2004-07-28,12.6500,12.6900,12.4000,12.6900,3.6978,397800.00
2004-07-29,12.7900,13.0200,12.7000,13.0200,3.7940,285000.00
2004-07-30,13.1000,13.2400,13.0000,13.1700,3.8377,268400.00
2004-08-02,13.1400,13.1900,13.0500,13.1000,3.8173,282300.00
2004-08-03,13.1000,13.3700,13.0700,13.3500,3.8902,525700.00
2004-08-04,13.3500,13.3500,13.2300,13.3500,3.8902,239900.00
2004-08-05,13.2700,13.3500,13.2000,13.2700,3.8668,166100.00
2004-08-06,13.1100,13.3700,13.0200,13.0700,3.8086,224300.00
2004-08-09,13.0200,13.1000,12.9000,12.9900,3.7853,303200.00
2004-08-10,12.9600,13.1700,12.9200,13.1700,3.8377,290800.00
2004-08-11,13.1000,13.1900,13.0200,13.1200,3.8231,314600.00
2004-08-12,12.9400,13.1000,12.8800,12.8900,3.7780,298100.00
2004-08-13,12.8800,12.9800,12.7300,12.7900,3.7487,336600.00
2004-08-16,12.7900,13.0100,12.7900,12.9800,3.8043,321100.00
2004-08-17,12.9900,13.0400,12.8500,12.9500,3.7956,350500.00
