Date,Open,High,Low,Close,Adjusted_close,Volume
1990-03-26,43.0000,43.5000,43.0000,43.5000,3.6743,279603.00
1990-03-27,43.0000,43.5000,43.0000,43.3700,3.6633,92403.00
1990-03-28,43.3700,43.5000,43.0000,43.5000,3.6743,16803.00
1990-03-29,43.5000,43.5000,43.5000,43.5000,3.6743,3600.00
1990-03-30,43.2500,44.0000,43.0000,43.2500,3.6532,96003.00
1990-04-02,44.0000,44.0000,43.5000,43.5000,3.6743,7803.00
1990-04-03,42.7500,42.7500,42.7500,42.7500,3.6109,75600.00
1990-04-04,42.6200,43.5000,40.0000,41.0000,3.4631,1069200.00
1990-04-05,41.0000,41.7500,41.0000,41.5000,3.5053,1159803.00
1990-04-06,41.7500,42.0000,41.2500,42.0000,3.5476,20403.00
1990-04-09,41.2500,42.2500,41.2500,42.0000,3.5476,529803.00
1990-04-10,41.2500,42.2500,41.2500,42.2500,3.5687,46800.00
1990-04-11,41.5000,42.7500,41.5000,42.7500,3.6109,180000.00
1990-04-12,42.5000,42.5000,42.1300,42.5000,3.5898,85203.00
1990-04-16,42.5000,43.5000,42.0000,42.7500,3.6109,135000.00
1990-04-17,43.2500,43.2500,42.5000,42.5000,3.5898,34200.00
1990-04-18,43.5000,43.5000,42.5000,42.5000,3.5898,9000.00
1990-04-19,43.5000,43.5000,42.5000,42.5000,3.5898,23400.00
1990-04-20,42.7500,43.5000,42.5000,43.5000,3.6743,123003.00
1990-04-23,43.5000,43.5000,42.3700,42.3700,3.5788,612000.00
1990-04-24,43.5000,43.5000,42.2500,42.7500,3.6109,69003.00
1990-04-25,42.2500,42.2500,42.2500,42.2500,3.5687,13203.00
1990-04-26,42.2500,43.5000,42.2500,43.5000,3.6743,39600.00
1990-04-27,42.2500,43.5000,42.2500,43.2500,3.6532,51003.00
1990-04-30,42.8800,42.8800,42.2500,42.2500,3.5687,22203.00
1990-05-01,43.2500,43.2500,42.2500,43.2500,3.6532,552600.00
1990-05-02,42.2500,43.2500,42.2500,43.2500,3.6532,60003.00
1990-05-03,43.2500,43.5000,42.5000,43.5000,3.6743,184203.00
1990-05-04,43.0000,43.5000,43.0000,43.5000,3.6743,12600.00
1990-05-07,43.5000,43.5000,42.5000,43.5000,3.6743,11403.00
1990-05-08,43.2500,43.5000,42.5000,42.5000,3.5898,234000.00
1990-05-09,43.2500,43.5000,43.2500,43.5000,3.6743,4203.00
1990-05-10,43.7500,44.0000,42.5000,42.5000,3.5898,214803.00
1990-05-11,42.5000,44.0000,42.5000,44.0000,3.7165,51003.00
1990-05-14,43.0000,44.0000,43.0000,44.0000,3.7165,171000.00
1990-05-15,43.2500,44.0000,43.2500,44.0000,3.7165,38403.00
1990-05-16,44.0000,44.0000,43.2500,43.5000,3.6743,31203.00
1990-05-17,44.5000,44.5000,43.5000,44.5000,3.7587,667800.00
1990-05-18,45.0000,45.0000,44.2500,44.2500,3.7376,15003.00
1990-05-21,45.0000,45.0000,44.0000,44.7500,3.7799,159003.00
1990-05-22,45.5000,45.7500,45.0000,45.0000,3.8010,34200.00
1990-05-23,45.7500,46.5000,45.2500,46.5000,3.9277,165600.00
1990-05-24,47.0000,47.0000,46.0000,47.0000,3.9699,45000.00
1990-05-25,46.2500,46.5000,46.0000,46.0000,3.8854,419400.00
1990-05-29,46.0000,47.0000,46.0000,46.1200,3.8956,97803.00
1990-05-30,46.7500,46.7500,46.0000,46.0000,3.8854,92403.00
1990-05-31,46.7500,46.7500,46.0000,46.0000,3.8854,16200.00
1990-06-01,46.0000,46.7500,46.0000,46.0000,3.8854,47403.00
1990-06-04,46.7500,46.7500,46.0000,46.7500,3.9488,86400.00
1990-06-05,46.7500,46.7500,46.3800,46.7500,3.9488,184203.00
1990-06-06,46.0000,46.7500,46.0000,46.0000,3.8854,293400.00
1990-06-07,46.0000,46.5000,46.0000,46.3800,3.9175,49203.00
1990-06-08,46.7500,46.7500,46.0000,46.1200,3.8956,56403.00
1990-06-11,46.7500,46.7500,46.0000,46.0000,3.8854,14400.00
1990-06-12,46.7500,46.7500,46.0000,46.7500,3.9488,190800.00
1990-06-13,46.0000,46.7500,46.0000,46.7500,3.9488,34200.00
1990-06-14,47.0000,47.0000,46.0000,46.0000,3.8854,9000.00
1990-06-15,47.0000,47.0000,47.0000,47.0000,3.9699,12600.00
1990-06-18,46.0000,47.0000,46.0000,46.0000,3.8854,33003.00
1990-06-19,46.2500,46.5000,46.2500,46.5000,3.9277,64800.00
1990-06-20,47.0000,47.0000,47.0000,47.0000,3.9699,1800.00
1990-06-21,47.0000,47.0000,46.0000,47.0000,3.9699,25803.00
1990-06-22,47.0000,47.5000,46.5000,47.0000,3.9699,52200.00
1990-06-25,47.6300,48.0000,47.5000,48.0000,4.0544,86400.00
