Date,Open,High,Low,Close,Adjusted_close,Volume
2003-07-01,19.0000,20.3900,18.5100,20.0000,10.0000,424600.00
2003-07-02,19.7500,22.5000,19.5000,21.5000,10.7500,590200.00
2003-07-03,22.4000,22.4000,20.0000,20.0000,10.0000,221200.00
2003-07-07,20.0000,20.5000,18.1000,18.1500,9.0750,335800.00
2003-07-08,18.0000,19.9000,17.7100,18.5900,9.2950,295000.00
2003-07-09,18.1000,18.8500,18.0200,18.1100,9.0550,430600.00
2003-07-10,18.0200,18.4290,18.0000,18.1100,9.0550,204400.00
2003-07-11,18.1000,18.9500,17.9600,17.9600,8.9800,238800.00
2003-07-14,17.8400,21.3700,17.2600,20.5500,10.2750,376000.00
2003-07-15,21.0000,21.3900,19.7500,20.6400,10.3200,483200.00
2003-07-16,20.0000,20.3100,19.1000,19.4500,9.7250,158000.00
2003-07-17,19.1300,19.7100,19.0000,19.2500,9.6250,185600.00
2003-07-18,19.2500,20.0000,18.5000,18.5600,9.2800,99400.00
2003-07-21,20.3500,20.3500,18.2500,18.4500,9.2250,288800.00
2003-07-22,19.2600,19.4000,18.5000,19.0000,9.5000,170400.00
2003-07-23,19.1500,19.8900,18.8000,19.1500,9.5750,99400.00
2003-07-24,18.7500,19.3400,18.7500,19.1000,9.5500,109200.00
2003-07-25,19.1000,19.5000,19.0000,19.1500,9.5750,77400.00
2003-07-28,19.2000,19.6590,19.1500,19.2700,9.6350,40200.00
2003-07-29,19.6600,19.9100,18.7000,19.0000,9.5000,350600.00
2003-07-30,19.4000,19.4000,19.0000,19.0100,9.5050,104000.00
2003-07-31,19.0000,19.5500,18.7000,19.2000,9.6000,83800.00
2003-08-01,18.6000,19.1200,18.0500,18.6000,9.3000,98600.00
2003-08-04,19.7300,19.7300,18.7000,19.3000,9.6500,28000.00
2003-08-05,18.8100,20.0000,18.8000,19.2500,9.6250,101200.00
2003-08-06,18.1500,19.6400,18.1500,19.1000,9.5500,54400.00
2003-08-07,19.1100,19.9900,18.6000,19.8000,9.9000,64600.00
2003-08-08,20.2500,20.2500,19.4510,19.6500,9.8250,65200.00
2003-08-11,19.7000,20.4700,19.7000,20.4000,10.2000,42000.00
2003-08-12,20.1100,20.5000,19.9900,20.2900,10.1450,86200.00
2003-08-13,20.4000,21.3000,20.3000,20.7000,10.3500,86600.00
2003-08-14,20.6000,20.6010,19.5000,19.6700,9.8350,78800.00
2003-08-15,19.6000,20.3000,19.6000,19.7000,9.8500,10200.00
2003-08-18,20.5000,20.5000,19.7000,19.9100,9.9550,6600.00
2003-08-19,19.7000,20.2500,19.7000,19.9400,9.9700,6600.00
