Date,Open,High,Low,Close,Adjusted_close,Volume
1962-01-02,37.2500,38.5000,37.2500,37.2500,0.1405,408858.00
1962-01-03,37.2500,37.8800,37.2500,37.7500,0.1424,389370.00
1962-01-04,37.7500,37.8800,37.5000,37.7500,0.1424,467127.00
1962-01-05,37.7500,38.0000,37.6300,37.8800,0.1429,467127.00
1962-01-08,37.8800,38.3800,37.0000,37.7500,0.1424,623031.00
1962-01-09,37.7500,38.5000,37.5000,38.5000,0.1452,311418.00
1962-01-10,38.5000,39.1300,38.5000,38.8700,0.1466,330906.00
1962-01-11,38.8700,40.2500,38.7500,40.0000,0.1508,992913.00
1962-01-12,40.0000,40.1300,38.2500,38.7500,0.1461,992913.00
1962-01-15,38.7500,39.0000,38.5000,38.7500,0.1461,311418.00
1962-01-16,38.5000,38.5000,37.5000,37.7500,0.1424,175197.00
1962-01-17,37.7500,37.7500,36.5000,36.5000,0.1376,194685.00
1962-01-18,36.7500,37.5000,36.7500,37.2500,0.1405,155709.00
1962-01-19,37.5000,38.0000,37.5000,38.0000,0.1433,214173.00
1962-01-22,38.2500,38.6300,38.2500,38.6300,0.1457,175197.00
1962-01-23,38.6300,39.5000,38.2500,38.5000,0.1452,584055.00
1962-01-24,38.5000,38.5000,37.5000,38.0000,0.1433,175197.00
1962-01-25,38.0000,38.1200,37.5000,37.5000,0.1414,77757.00
1962-01-26,37.5000,38.0000,37.2500,37.2500,0.1405,175197.00
1962-01-29,37.2500,37.7500,37.2500,37.2500,0.1405,116733.00
1962-01-30,37.2500,37.6300,37.0000,37.5000,0.1414,330906.00
1962-01-31,37.5000,37.6300,37.2500,37.5000,0.1414,155709.00
1962-02-01,37.5000,38.6300,37.5000,38.0000,0.1433,623031.00
1962-02-02,38.0000,38.5000,38.0000,38.0000,0.1433,311418.00
1962-02-05,38.0000,38.3800,38.0000,38.0000,0.1433,194685.00
1962-02-06,38.0000,38.2500,37.7500,37.7500,0.1424,116733.00
1962-02-07,38.0000,38.5000,38.0000,38.2500,0.1442,700788.00
1962-02-08,38.7500,39.6200,38.7500,39.2500,0.1480,1031889.00
1962-02-09,39.3800,39.7500,39.3800,39.5000,0.1490,506103.00
1962-02-12,39.5000,39.6200,39.2500,39.5000,0.1490,311418.00
1962-02-13,39.5000,39.5000,39.0000,39.5000,0.1490,311418.00
1962-02-14,39.3800,39.3800,39.0000,39.0000,0.1471,97245.00
1962-02-15,39.1300,39.3800,39.1300,39.2500,0.1480,233661.00
1962-02-16,39.5000,40.6300,39.5000,40.0000,0.1508,1849411.00
1962-02-19,40.0000,40.0000,39.3800,39.3800,0.1485,408858.00
1962-02-20,39.6200,39.7500,39.6200,39.7500,0.1499,116733.00
1962-02-21,39.5000,39.5000,39.2500,39.2500,0.1480,58464.00
1962-02-23,39.2500,39.3800,39.0000,39.0000,0.1471,214173.00
1962-02-26,38.5000,38.5000,37.5000,38.0000,0.1433,369882.00
1962-02-27,38.0000,38.5000,37.7500,37.7500,0.1424,233661.00
1962-02-28,37.7500,38.0000,37.3700,37.3700,0.1409,136221.00
1962-03-01,37.5000,38.3800,37.5000,38.3800,0.1447,214173.00
1962-03-02,38.3800,38.6300,38.1200,38.1200,0.1438,136221.00
1962-03-05,38.2500,38.8700,38.2500,38.2500,0.1442,214173.00
1962-03-06,38.2500,38.2500,37.7500,37.7500,0.1424,77757.00
1962-03-07,37.5000,37.5000,37.5000,37.5000,0.1414,58464.00
1962-03-08,37.5000,38.1200,37.3700,38.1200,0.1438,175197.00
1962-03-09,38.1200,38.5000,38.0000,38.0000,0.1433,252954.00
1962-03-12,38.1200,38.7500,38.1200,38.7500,0.1461,194685.00
1962-03-13,38.7500,39.3800,38.7500,39.3800,0.1485,175197.00
1962-03-14,39.3800,39.7500,39.0000,39.0000,0.1471,291930.00
1962-03-15,39.0000,39.5000,39.0000,39.2500,0.1480,136221.00
1962-03-16,39.2500,39.3800,39.1300,39.2500,0.1480,58464.00
1962-03-19,39.2500,39.6200,39.2500,39.2500,0.1480,272442.00
1962-03-20,39.0000,39.0000,38.7500,38.7500,0.1461,116733.00
1962-03-21,38.6300,38.6300,38.1200,38.1200,0.1438,155709.00
1962-03-22,38.0000,38.0000,37.7500,37.7500,0.1424,58464.00
1962-03-23,37.7500,38.2500,37.7500,37.7500,0.1424,214173.00
1962-03-26,37.7500,38.0000,37.5000,37.5000,0.1414,97245.00
1962-03-27,37.2500,37.2500,37.0000,37.0000,0.1395,116733.00
1962-03-28,36.8800,36.8800,36.6200,36.7500,0.1386,116733.00
1962-03-29,37.0000,37.3700,37.0000,37.3700,0.1409,155709.00
1962-03-30,37.3700,37.5000,37.1300,37.3700,0.1409,214173.00
1962-04-02,37.3700,37.7500,37.0000,37.0000,0.1395,136221.00
1962-04-03,37.0000,37.3700,36.7500,36.7500,0.1386,155709.00
1962-04-04,37.0000,37.0000,37.0000,37.0000,0.1395,77757.00
1962-04-05,37.0000,37.1300,36.7500,36.7500,0.1386,155709.00
1962-04-06,37.1300,37.7500,37.1300,37.1300,0.1400,194685.00
1962-04-09,37.1300,37.3700,37.1300,37.2500,0.1405,194685.00
1962-04-10,37.2500,37.3700,37.1300,37.1300,0.1400,58464.00
1962-04-11,37.1300,37.5000,36.7500,36.7500,0.1386,155709.00
1962-04-12,36.1300,36.1300,35.0000,35.0000,0.1320,467127.00
1962-04-13,35.0000,35.0000,34.0000,34.7500,0.1310,584055.00
1962-04-16,34.8800,35.2500,34.8800,35.2500,0.1329,291930.00
1962-04-17,35.6300,36.1300,35.6300,36.0000,0.1358,311418.00
1962-04-18,36.2500,36.7500,36.2500,36.5000,0.1376,311418.00
1962-04-19,36.5000,37.1300,36.5000,36.5000,0.1376,214173.00
1962-04-23,37.0000,37.1300,37.0000,37.0000,0.1395,291930.00
1962-04-24,37.1300,37.7500,37.1300,37.5000,0.1414,252954.00
1962-04-25,37.5000,37.8800,37.3700,37.3700,0.1409,447639.00
1962-04-26,37.2500,37.2500,36.5000,36.5000,0.1376,194685.00
1962-04-27,36.5000,36.7500,35.7500,35.7500,0.1348,175197.00
