Date,Open,High,Low,Close,Adjusted_close,Volume
2017-01-12,20.2300,20.2300,20.1499,20.1499,20.0140,1350.00
2017-01-13,20.1600,20.2900,20.1500,20.1700,20.0340,65461.00
2017-01-17,20.1300,20.1300,19.9700,19.9855,19.8508,55835.00
2017-01-18,19.9400,19.9800,19.9400,19.9600,19.8254,30950.00
2017-01-19,19.9904,20.0040,19.8505,19.9000,19.7658,91619.00
2017-01-20,19.9300,20.0000,19.8700,19.9300,19.7956,44013.00
2017-01-23,19.8700,19.9400,19.8200,19.9400,19.8056,21619.00
2017-01-24,20.0100,20.1900,20.0002,20.1800,20.0439,51241.00
2017-01-25,20.2600,20.3900,20.2422,20.3900,20.2525,17733.00
2017-01-26,20.3800,20.4000,20.3450,20.4000,20.2625,34645.00
2017-01-27,20.3600,20.3600,20.2700,20.2900,20.1532,37840.00
2017-01-30,20.0200,20.0900,20.0200,20.0505,19.9153,24150.00
2017-01-31,20.0000,20.0800,19.9900,20.0700,19.9347,36508.00
2017-02-01,20.0800,20.0800,19.9700,20.0000,19.8652,49641.00
2017-02-02,19.9800,20.0600,19.9800,20.0400,19.9049,71300.00
2017-02-03,20.1000,20.1800,20.0668,20.1700,20.0340,61970.00
2017-02-06,20.0924,20.0924,20.0100,20.0100,19.8751,35449.00
2017-02-07,19.9846,20.0100,19.8900,19.9300,19.7956,37560.00
2017-02-08,19.8600,19.9100,19.8600,19.9100,19.7758,53259.00
2017-02-09,20.0000,20.1163,20.0000,20.0900,19.9546,36880.00
2017-02-10,20.1412,20.1900,20.1400,20.1705,20.0345,37215.00
2017-02-13,20.2699,20.2800,20.2200,20.2500,20.1135,35982.00
2017-02-14,20.2280,20.3000,20.2100,20.3000,20.1631,28124.00
2017-02-15,20.3600,20.4500,20.3500,20.4500,20.3121,22777.00
2017-02-16,20.4300,20.4400,20.3300,20.4200,20.2823,19115.00
2017-02-17,20.3100,20.3900,20.2600,20.3900,20.2525,25913.00
2017-02-21,21.3000,21.3000,20.5095,20.5600,20.4214,26928.00
2017-02-22,20.4800,20.4900,20.4700,20.4700,20.3320,22118.00
2017-02-23,20.4500,20.4500,20.3800,20.4100,20.2724,23901.00
2017-02-24,20.2600,20.3400,20.2200,20.3100,20.1731,21459.00
2017-02-27,20.3700,20.4600,20.3700,20.4500,20.3121,22179.00
2017-02-28,20.4300,20.4300,20.3500,20.4199,20.2822,8651.00
2017-03-01,20.7000,20.7900,20.7000,20.7800,20.6399,17777.00
2017-03-02,20.7300,20.7300,20.5900,20.5900,20.4512,38724.00
2017-03-03,20.5800,20.6200,20.5670,20.5670,20.4283,32074.00
2017-03-06,20.4899,20.5300,20.4699,20.5300,20.3916,20650.00
2017-03-07,20.5000,20.5100,20.4900,20.4900,20.3519,19700.00
2017-03-08,20.5700,20.5700,20.3700,20.3800,20.2426,17380.00
2017-03-09,20.4300,20.4300,20.3100,20.3800,20.2426,12577.00
2017-03-10,20.4500,20.4500,20.3800,20.4200,20.2823,52059.00
2017-03-13,20.4700,20.4800,20.4595,20.4700,20.3320,7892.00
2017-03-14,20.3700,20.4200,20.3700,20.4100,20.2724,5122.00
2017-03-15,20.5200,20.6300,20.5100,20.5903,20.4515,24873.00
2017-03-16,20.6300,20.6500,20.5472,20.5600,20.4214,21666.00
2017-03-17,20.5500,20.5800,20.5000,20.5400,20.4015,19685.00
2017-03-20,20.5000,20.5000,20.4490,20.4500,20.3121,10366.00
2017-03-21,20.4100,20.4100,20.0951,20.0951,19.9596,9380.00
2017-03-22,20.0628,20.1300,20.0400,20.1300,19.9943,12280.00
2017-03-23,20.1000,20.1900,20.0700,20.0700,19.9347,13569.00
2017-03-24,20.1100,20.1300,19.9900,20.0600,19.9248,14155.00
2017-03-27,19.8200,20.0400,19.7900,20.0400,19.9049,8690.00
2017-03-28,20.0400,20.2600,20.0400,20.2516,20.1151,13568.00
2017-03-29,20.1900,20.3400,20.1900,20.3300,20.1929,14570.00
2017-03-30,20.3300,20.4000,20.3300,20.3900,20.2525,13700.00
2017-03-31,20.3500,20.3900,20.3000,20.3600,20.2227,17238.00
2017-04-03,20.3000,20.3100,20.1900,20.2900,20.1532,7076.00
2017-04-04,20.2799,20.3500,20.2699,20.3500,20.2128,8946.00
2017-04-05,20.5200,20.5200,20.2800,20.3000,20.1631,25991.00
2017-04-06,20.2700,20.3600,20.2700,20.3599,20.2226,5429.00
2017-04-07,20.2800,20.3199,20.2800,20.2900,20.1532,6984.00
2017-04-10,20.4200,20.4200,20.3300,20.3600,20.2227,4737.00
2017-04-11,20.3000,20.3200,20.1998,20.3200,20.1830,15701.00
2017-04-12,20.3100,20.3200,20.2300,20.2300,20.0936,18577.00
2017-04-13,20.2100,20.2100,20.0100,20.0100,19.8751,16644.00
2017-04-17,20.0800,20.2300,20.0700,20.2300,20.0936,17331.00
2017-04-18,20.2000,20.2000,20.0872,20.1290,19.9933,14605.00
2017-04-19,20.2200,20.2200,20.0574,20.0574,19.9222,8670.00
2017-04-20,20.1900,20.2690,20.1800,20.2500,20.1135,3965.00
2017-04-21,20.1500,20.2700,20.1500,20.2000,20.0638,10835.00
2017-04-24,20.4400,20.5000,20.4400,20.4700,20.3320,5618.00
2017-04-25,20.5900,20.6500,20.5580,20.6500,20.5108,14497.00
2017-04-26,20.6399,20.7200,20.6100,20.6100,20.4710,6401.00
2017-04-27,20.5800,20.6050,20.5000,20.5798,20.4410,7654.00
2017-04-28,20.7000,20.7000,20.5900,20.5900,20.4512,3667.00
2017-05-01,20.6300,20.6699,20.5566,20.6100,20.4710,3591.00
2017-05-02,20.6600,20.6600,20.6296,20.6400,20.5008,7637.00
2017-05-03,20.5600,20.6500,20.5600,20.6400,20.5008,9456.00
2017-05-04,20.7300,20.7300,20.5900,20.5900,20.4512,4391.00
2017-05-05,20.6450,20.7200,20.6400,20.7200,20.5803,11015.00
2017-05-08,20.7000,20.7200,20.6598,20.7200,20.5803,30284.00
2017-05-09,20.7900,20.7900,20.6900,20.7000,20.5604,8652.00
2017-05-10,20.6800,20.7399,20.6800,20.7300,20.5902,6325.00
2017-05-11,20.6700,20.6700,20.5590,20.6200,20.4810,15456.00
2017-05-12,20.6100,20.6300,20.6000,20.6100,20.4710,11165.00
2017-05-15,20.7500,20.7500,20.6964,20.7232,20.5835,6711.00
2017-05-16,20.7600,20.7700,20.6600,20.7000,20.5604,13312.00
2017-05-17,20.4800,20.4800,20.3400,20.4000,20.2625,8254.00
2017-05-18,20.3400,20.5100,20.3400,20.4900,20.3519,7836.00
2017-05-19,20.4900,20.7300,20.4900,20.7174,20.5777,8072.00
2017-05-22,20.7800,20.8068,20.7000,20.7800,20.6399,7726.00
2017-05-23,20.8000,20.8000,20.7892,20.7892,20.6490,5546.00
2017-05-24,20.8264,20.8300,20.7700,20.7700,20.6300,8599.00
2017-05-25,20.8700,20.9300,20.8200,20.8200,20.6796,9201.00
2017-05-26,20.8200,20.8600,20.8200,20.8420,20.7015,5764.00
2017-05-30,20.8100,20.8200,20.7400,20.7400,20.6002,11868.00
2017-05-31,20.5500,20.6199,20.5468,20.6120,20.4730,9450.00
2017-06-01,20.6700,20.7929,20.6700,20.7700,20.6300,6860.00
2017-06-02,20.7400,20.8499,20.7400,20.8200,20.6796,4672.00
2017-06-05,20.7800,20.8700,20.7800,20.8600,20.7194,7094.00
2017-06-06,20.8300,20.8300,20.7400,20.7794,20.6393,8326.00
2017-06-07,20.7500,20.7500,20.6930,20.7200,20.5803,5153.00
2017-06-08,20.7600,20.7998,20.7600,20.7600,20.6200,51301.00
2017-06-09,20.8900,20.8900,20.7000,20.8100,20.6697,11931.00
2017-06-12,20.7800,20.7800,20.7400,20.7400,20.6002,5056.00
2017-06-13,20.8600,20.9300,20.8600,20.9100,20.7690,4886.00
2017-06-14,20.9000,20.9000,20.7800,20.8200,20.6796,5862.00
2017-06-15,20.7200,20.7300,20.6200,20.6800,20.5406,7449.00
2017-06-16,20.7800,20.8500,20.7800,20.8300,20.6896,9959.00
2017-06-19,20.9600,21.0400,20.9600,21.0100,20.8683,10818.00
2017-06-20,20.9000,20.9000,20.8500,20.8500,20.7094,10620.00
2017-06-21,20.8340,20.8340,20.7199,20.7600,20.6200,12262.00
2017-06-22,20.7500,20.8100,20.7400,20.7701,20.6301,5090.00
2017-06-23,20.7900,20.8100,20.7500,20.7500,20.6101,9955.00
2017-06-26,20.8800,20.9060,20.8500,20.8500,20.7094,17460.00
2017-06-27,20.8900,20.8900,20.8000,20.8400,20.6995,9620.00
2017-06-28,20.8804,21.0500,20.8776,21.0400,20.8981,12461.00
2017-06-29,21.0677,21.0677,20.8800,20.9700,20.8286,12108.00
2017-06-30,20.9800,21.0400,20.9800,21.0400,20.8981,8274.00
2017-07-03,21.1900,21.2400,21.1900,21.2400,21.0968,10094.00
2017-07-05,21.1000,21.2000,21.1000,21.2000,21.0571,10459.00
2017-07-06,21.0700,21.1300,21.0200,21.0200,20.8783,10527.00
2017-07-07,21.0300,21.0600,20.9800,21.0600,20.9180,10705.00
2017-07-10,21.1399,21.2100,21.1300,21.2100,21.0670,9850.00
2017-07-11,21.1400,21.1400,21.1100,21.1150,20.9726,11194.00
2017-07-12,21.2700,21.2900,21.2700,21.2700,21.1266,10478.00
2017-07-13,21.3100,21.3300,21.2900,21.3280,21.1842,12987.00
2017-07-14,21.2700,21.3899,21.2700,21.3899,21.2457,11517.00
2017-07-17,21.4400,21.4400,21.4200,21.4200,21.2756,9333.00
2017-07-18,21.3895,21.3900,21.3797,21.3797,21.2356,11615.00
2017-07-19,21.4400,21.5800,21.4400,21.5639,21.4185,15593.00
2017-07-20,21.6200,21.6300,21.5699,21.5800,21.4345,11287.00
2017-07-21,21.6100,21.6600,21.6042,21.6500,21.5040,13282.00
2017-07-24,21.6892,21.6892,21.6372,21.6840,21.5378,12760.00
2017-07-25,21.7300,21.7800,21.6886,21.7300,21.5835,17591.00
2017-07-26,21.7300,21.7800,21.6500,21.6600,21.5140,19306.00
2017-07-27,21.6000,21.6000,21.4400,21.4900,21.3451,14122.00
2017-07-28,21.4435,21.5190,21.4388,21.5141,21.3691,10519.00
2017-07-31,21.4800,21.4900,21.4300,21.4700,21.3252,12052.00
2017-08-01,21.4900,21.5400,21.4900,21.5100,21.3650,15602.00
2017-08-02,21.4200,21.5200,21.4200,21.5064,21.3614,19411.00
2017-08-03,21.4400,21.4600,21.3800,21.4000,21.2557,22083.00
2017-08-04,21.4559,21.4800,21.4500,21.4799,21.3351,16700.00
2017-08-07,21.4500,21.4500,21.4108,21.4300,21.2855,6657.00
2017-08-08,21.4300,21.4800,21.3700,21.3700,21.2259,17856.00
2017-08-09,21.3400,21.3400,21.2700,21.3100,21.1663,26551.00
2017-08-10,21.1940,21.2000,21.0966,21.1000,20.9577,21616.00
2017-08-11,21.0900,21.1157,21.0200,21.0600,20.9180,20394.00
2017-08-14,21.2100,21.2700,21.2000,21.2000,21.0571,17661.00
