Date,Open,High,Low,Close,Adjusted_close,Volume
2003-05-01,113.5000,114.5200,113.2100,114.5200,27.6186,3600.00
2003-05-02,115.7500,116.7000,115.7000,116.7000,28.1443,5600.00
2003-05-05,117.6700,117.6700,117.6700,117.6700,28.3783,400.00
2003-05-06,117.7500,117.9500,117.7500,117.9500,28.4458,1200.00
2003-05-07,117.2500,117.2500,116.9300,116.9500,28.2046,1600.00
2003-05-08,115.6500,115.6500,115.6500,115.6500,27.8911,800.00
2003-05-09,115.7500,115.7500,115.7500,115.7500,27.9152,400.00
2003-05-12,117.8300,117.8300,117.8300,117.8300,28.4169,800.00
2003-05-13,117.8000,118.3500,117.8000,118.1100,28.4844,7200.00
2003-05-14,119.0000,119.0000,118.1500,118.3800,28.5495,1200.00
2003-05-15,118.6000,119.0000,118.6000,118.9000,28.6749,2400.00
2003-05-16,118.7300,119.2000,118.7300,119.2000,28.7473,800.00
2003-05-19,117.8500,117.8500,115.7500,115.7500,27.9152,4400.00
2003-05-20,116.1500,116.1500,114.1700,115.0500,27.7464,2800.00
2003-05-21,114.8500,114.8500,114.8500,114.8500,27.6982,400.00
2003-05-22,115.6000,117.0000,115.6000,117.0000,28.2167,1200.00
2003-05-23,116.8500,117.6500,116.8500,117.6500,28.3734,800.00
2003-05-27,119.9500,120.7000,119.9500,120.6500,29.0970,1600.00
2003-05-28,121.1000,121.6000,120.8000,121.5000,29.3019,3200.00
2003-05-29,122.6600,122.9200,122.6600,122.9200,29.6444,800.00
2003-05-30,122.9500,123.3500,122.9500,123.3500,29.7481,16800.00
2003-06-02,124.5500,125.3000,124.5500,124.7500,30.0857,1200.00
2003-06-03,123.4700,124.2500,123.4700,124.2500,29.9652,3600.00
2003-06-04,126.8500,126.8500,126.8500,126.8500,30.5922,400.00
2003-06-05,127.8500,128.5000,127.6000,128.5000,30.9901,2800.00
2003-06-06,128.3000,131.5000,128.2500,128.2500,30.9298,16000.00
2003-06-09,126.5000,126.5000,125.9000,125.9000,30.3631,1200.00
2003-06-10,125.6000,126.3500,125.6000,126.3500,30.4716,15200.00
2003-06-11,127.3000,127.3000,127.3000,127.3000,30.7007,400.00
2003-06-12,128.0600,128.0600,128.0600,128.0600,30.8840,400.00
2003-06-13,127.9500,127.9500,127.5500,127.5500,30.7610,2000.00
2003-06-16,127.0000,128.7000,127.0000,128.7000,31.0384,800.00
2003-06-17,129.0000,129.0000,129.0000,129.0000,31.1107,400.00
2003-06-18,129.1500,130.0500,129.1500,130.0500,31.3639,2000.00
2003-06-19,128.9500,128.9500,128.9500,128.9500,31.0986,400.00
2003-06-20,128.7000,128.7000,127.4000,127.4000,30.7248,800.00
2003-06-23,126.7000,126.7000,124.5000,124.5000,30.0255,3600.00
2003-06-24,124.5000,124.5000,123.2500,123.2500,29.7240,2800.00
2003-06-25,125.9500,125.9500,125.9500,125.9500,30.3751,400.00
2003-06-26,125.5000,125.5000,125.5000,125.5000,30.2666,3200.00
2003-06-27,127.7000,127.7000,125.6000,125.6000,30.2907,10000.00
2003-06-30,125.6000,125.6000,125.6000,125.6000,30.2907,3200.00
2003-07-01,123.8500,124.4000,123.8500,124.4000,30.0013,4000.00
2003-07-02,126.5000,128.4000,126.5000,128.4000,30.9660,2400.00
2003-07-03,129.2500,129.2500,129.2500,129.2500,31.1710,2800.00
2003-07-07,130.5000,131.3000,130.5000,131.3000,31.6654,3200.00
2003-07-08,132.9900,132.9900,132.9900,132.9900,32.0730,1600.00
2003-07-09,134.7000,134.7000,134.1000,134.1000,32.3407,2000.00
2003-07-10,132.4000,132.4000,132.4000,132.4000,31.9307,3200.00
2003-07-11,133.4000,133.4000,133.3000,133.3000,32.1477,4400.00
2003-07-14,135.7000,135.9000,135.1000,135.1000,32.5818,4000.00
2003-07-15,136.2500,136.2500,134.0000,134.0000,32.3165,5200.00
2003-07-16,134.0000,134.0000,133.2000,133.2000,32.1236,4000.00
2003-07-17,129.7000,130.1500,128.4000,128.4000,30.9660,32000.00
2003-07-18,129.3000,129.3000,128.8100,129.2500,31.1710,7600.00
2003-07-21,32.0000,32.0000,32.0000,32.0000,30.8695,0.00
2003-07-22,32.4500,32.4500,32.4500,32.4500,31.3036,0.00
2003-07-23,32.6000,32.6000,32.6000,32.6000,31.4483,0.00
2003-07-24,32.3500,32.3500,32.3500,32.3500,31.2072,0.00
2003-07-25,32.5800,32.5800,32.5800,32.5800,31.4290,0.00
2003-07-28,32.6800,32.6800,32.6800,32.6800,31.5255,0.00
2003-07-29,32.8500,32.8500,32.8500,32.8500,31.6895,0.00
2003-07-30,32.4000,32.4000,32.4000,32.4000,31.2554,0.00
2003-07-31,32.3800,32.3800,32.3800,32.3800,31.2361,0.00
2003-08-01,32.4600,32.4600,32.4600,32.4600,31.3133,0.00
2003-08-04,32.1200,32.1200,32.1200,32.1200,30.9853,0.00
2003-08-05,31.9600,31.9600,31.9600,31.9600,30.8310,0.00
2003-08-06,30.9500,30.9500,30.9500,30.9500,29.8566,0.00
2003-08-07,31.2400,31.2400,31.2400,31.2400,30.1364,0.00
2003-08-08,30.8000,30.8000,30.8000,30.8000,29.7119,0.00
2003-08-11,31.3500,31.3500,31.3500,31.3500,30.2425,0.00
2003-08-12,31.6000,31.6000,31.6000,31.6000,30.4837,0.00
2003-08-13,31.7000,31.7000,31.7000,31.7000,30.5801,0.00
2003-08-14,32.0000,32.0000,32.0000,32.0000,30.8695,0.00
2003-08-15,32.2000,32.2000,32.2000,32.2000,31.0625,0.00
2003-08-18,32.9800,32.9800,32.9800,32.9800,31.8149,0.00
2003-08-19,33.6500,33.6500,33.6500,33.6500,32.4613,0.00
2003-08-20,33.5500,33.5500,33.5500,33.5500,32.3648,0.00
2003-08-21,34.1000,34.1000,34.1000,34.1000,32.8954,0.00
2003-08-22,33.8800,33.8800,33.8800,33.8800,32.6831,0.00
2003-08-25,33.4000,33.4000,33.4000,33.4000,32.2201,0.00
2003-08-26,33.8000,33.8000,33.8000,33.8000,32.6060,0.00
2003-08-27,34.0900,34.0900,34.0900,34.0900,32.8857,0.00
2003-08-28,34.1500,34.1500,34.1500,34.1500,32.9436,0.00
2003-08-29,34.3600,34.3600,34.3600,34.3600,33.1462,0.00
2003-09-02,34.9100,34.9100,34.9100,34.9100,33.6767,0.00
2003-09-03,35.8500,35.8500,35.8500,35.8500,34.5835,0.00
2003-09-04,35.8500,35.8500,35.8500,35.8500,34.5835,0.00
2003-09-05,35.3500,35.3500,35.3500,35.3500,34.1012,0.00
2003-09-08,36.2000,36.2000,36.2000,36.2000,34.9212,0.00
2003-09-09,36.1800,36.1800,36.1800,36.1800,34.9019,0.00
2003-09-10,35.0500,35.0500,35.0500,35.0500,33.8118,0.00
2003-09-11,35.3000,35.3000,35.3000,35.3000,34.0530,0.00
2003-09-12,35.4500,35.4500,35.4500,35.4500,34.1977,0.00
2003-09-15,35.4000,35.4000,35.4000,35.4000,34.1494,0.00
2003-09-16,36.2500,36.2500,36.2500,36.2500,34.9694,0.00
2003-09-17,36.2800,36.2800,36.2800,36.2800,34.9983,0.00
2003-09-18,36.6500,36.6500,36.6500,36.6500,35.3553,0.00
2003-09-19,36.8500,36.8500,36.8500,36.8500,35.5482,0.00
2003-09-22,36.3700,36.3700,36.3700,36.3700,35.0852,0.00
2003-09-23,36.8000,36.8000,36.8000,36.8000,35.5000,0.00
2003-09-24,35.8900,35.8900,35.8900,35.8900,34.6221,0.00
2003-09-25,35.5800,35.5800,35.5800,35.5800,34.3231,0.00
2003-09-26,34.6500,34.6500,34.6500,34.6500,33.4259,0.00
2003-09-29,34.6700,34.6700,34.6700,34.6700,33.4452,0.00
2003-09-30,35.1100,35.1100,35.1100,35.1100,33.8697,0.00
2003-10-01,35.3300,35.3300,35.3300,35.3300,34.0819,0.00
2003-10-02,35.8500,35.8500,35.8500,35.8500,34.5835,0.00
2003-10-03,36.7600,36.7600,36.7600,36.7600,35.4614,0.00
2003-10-06,37.7500,37.7500,37.7500,37.7500,36.4164,0.00
2003-10-07,37.4500,38.2500,37.4500,37.9000,36.5611,6000.00
2003-10-08,38.4500,38.4500,37.9500,38.0000,36.6576,6000.00
2003-10-09,38.2200,38.6500,37.8000,37.8000,36.4646,5200.00
2003-10-10,38.0000,38.0000,37.7700,38.0000,36.6576,2900.00
2003-10-13,38.2200,38.5500,38.2200,38.4800,37.1206,4200.00
2003-10-14,38.4000,38.8400,38.4000,38.8400,37.4679,14000.00
