Date,Open,High,Low,Close,Adjusted_close,Volume
2012-07-19,25.3700,25.4200,24.9940,25.0500,24.5463,18831.00
2012-07-20,25.0000,25.0000,24.5765,24.6300,24.1348,63665.00
2012-07-23,24.2500,24.3100,24.0000,24.3100,23.8212,8801.00
2012-07-24,24.4500,24.4500,23.8600,23.9000,23.4195,19078.00
2012-07-25,24.2900,24.2900,24.0500,24.1100,23.6252,8503.00
2012-07-26,24.4800,24.5400,24.3400,24.3900,23.8996,2940.00
2012-07-27,25.0600,25.0800,24.5100,25.0100,24.5071,19302.00
2012-07-30,25.0000,27.4800,24.7900,24.8400,24.3406,13616.00
2012-07-31,24.9500,24.9590,24.5900,24.6300,24.1348,19332.00
2012-08-01,25.5000,25.5000,24.3300,24.4400,23.9486,5302.00
2012-08-02,23.9300,24.1500,23.9000,24.1000,23.6154,11545.00
2012-08-03,25.2900,25.2900,24.5900,24.7400,24.2426,815.00
2012-08-06,25.0000,25.0300,24.9400,24.9400,24.4385,2212.00
2012-08-07,25.1100,25.2700,25.0300,25.1600,24.6541,6698.00
2012-08-08,25.0100,25.0700,25.0000,25.0400,24.5365,39295.00
2012-08-09,25.1100,25.1900,25.0500,25.1300,24.6247,82145.00
2012-08-10,25.0400,25.0700,24.9600,25.0200,24.5169,4466.00
2012-08-13,25.0100,25.0100,24.7280,24.9799,24.4776,3920.00
2012-08-14,25.1000,25.1000,24.8956,24.9100,24.4091,57524.00
2012-08-15,25.1400,25.1400,25.0000,25.0800,24.5757,16609.00
2012-08-16,25.1200,25.4200,25.1200,25.4000,24.8893,3648.00
2012-08-17,25.5100,25.6200,25.4800,25.6200,25.1049,6902.00
2012-08-20,25.6000,25.6300,25.4400,25.5090,24.9961,3825.00
2012-08-21,25.6600,25.7900,25.2916,25.3674,24.8573,26137.00
2012-08-22,25.4500,25.4900,25.3900,25.4800,24.9677,3300.00
2012-08-23,25.2300,25.3700,25.2300,25.3700,24.8599,4825.00
2012-08-24,25.2500,25.5200,25.2500,25.4500,24.9383,1126.00
2012-08-27,25.6800,25.7300,25.4900,25.6000,25.0853,16766.00
2012-08-28,25.6400,25.7500,25.6100,25.6900,25.1735,9795.00
2012-08-29,25.7400,25.8700,25.7100,25.8700,25.3498,4497.00
2012-08-30,25.7300,25.7300,25.5900,25.6700,25.1539,11024.00
2012-08-31,25.6700,25.8100,25.4900,25.8000,25.2813,3840.00
2012-09-04,25.8600,26.5400,25.6600,26.1990,25.6722,7206.00
2012-09-05,26.2100,26.2100,26.1340,26.1790,25.6526,34672.00
2012-09-06,26.3000,26.6699,26.3000,26.6699,26.1337,1759.00
2012-09-07,26.6400,26.7400,26.5900,26.5900,26.0554,48925.00
2012-09-10,26.6400,26.6400,26.3900,26.5200,25.9868,23772.00
2012-09-11,26.5000,26.6400,26.2100,26.5100,25.9770,12928.00
2012-09-12,26.6500,26.7300,26.5400,26.6000,26.0652,8752.00
2012-09-13,26.7200,27.0965,26.4100,26.9400,26.3983,8233.00
2012-09-14,27.2200,27.2400,26.9980,27.0400,26.4963,13164.00
2012-09-17,26.9300,27.0286,26.9220,26.9600,26.4179,6619.00
2012-09-18,26.9400,27.0500,26.9000,27.0000,26.4571,7885.00
2012-09-19,27.0000,27.8400,26.8400,26.8400,26.3003,3633.00
2012-09-20,26.5800,26.7600,26.5800,26.7100,26.1730,6035.00
2012-09-21,26.9900,27.0400,26.9200,26.9200,26.3787,9747.00
2012-09-24,26.8000,26.8800,26.7800,26.8220,26.2827,1792.00
2012-09-25,26.9000,26.9000,26.5800,26.6100,26.0750,4300.00
2012-09-26,26.4400,26.4400,26.1800,26.2100,25.6830,6150.00
2012-09-27,26.3900,26.6300,26.2700,26.6300,26.0946,4915.00
2012-09-28,26.4600,26.6000,26.4600,26.5100,25.9770,3028.00
2012-10-01,26.7800,26.8000,26.4801,26.5300,25.9966,9338.00
2012-10-02,26.6420,26.6644,26.5790,26.5993,26.0645,1263.00
2012-10-03,26.8500,26.8500,26.6900,26.6900,26.1534,3274.00
2012-10-04,26.7500,26.8500,26.7500,26.8500,26.3101,1100.00
2012-10-05,27.0500,27.1700,26.7900,26.8200,26.2807,6446.00
2012-10-08,26.7400,26.7400,26.6400,26.6800,26.1436,4575.00
2012-10-09,26.6600,26.6890,25.4600,26.2800,25.7516,18884.00
2012-10-10,26.2800,26.3300,26.1700,26.2400,25.7124,6013.00
2012-10-11,26.5000,26.5100,26.2100,26.2612,25.7332,11587.00
2012-10-12,26.2800,26.3070,26.0512,26.0512,25.5274,3330.00
2012-10-15,26.1700,26.3300,26.0600,26.3300,25.8006,7077.00
2012-10-16,26.4600,26.5890,26.3900,26.4600,25.9280,22683.00
2012-10-17,26.7520,26.7520,26.5500,26.6800,26.1436,11980.00
2012-10-18,26.6800,26.7200,26.5000,26.5400,26.0064,14200.00
2012-10-19,26.2200,26.3300,25.9180,26.0400,25.5164,10491.00
2012-10-22,25.9800,25.9800,25.8500,25.8500,25.3302,8980.00
2012-10-23,25.7700,25.8990,25.5500,25.8990,25.3783,4745.00
2012-10-24,25.9600,25.9600,25.8000,25.8900,25.3694,4381.00
2012-10-25,26.6600,26.6600,25.6101,25.6900,25.1735,5610.00
2012-10-26,25.4200,25.6190,25.4200,25.6190,25.1039,2300.00
2012-10-31,25.6700,25.7800,24.8300,25.7800,25.2617,80389.00
2012-11-01,26.1600,27.7500,25.9740,27.7500,27.1920,35100.00
2012-11-02,26.1300,26.1300,25.6300,25.6300,25.1147,4414.00
2012-11-05,25.5000,25.8000,25.5000,25.8000,25.2813,17018.00
2012-11-06,25.9600,25.9920,25.7900,25.9600,25.4380,4971.00
2012-11-07,25.6600,25.7300,25.3300,25.4044,24.8936,4458.00
2012-11-08,25.4500,25.4880,25.2400,25.2400,24.7325,15675.00
2012-11-09,25.0500,25.3400,25.0000,25.1500,24.6443,8268.00
2012-11-12,25.1200,25.1800,25.1200,25.1800,24.6737,2100.00
2012-11-13,25.0000,25.1622,24.3800,25.1622,24.6563,4000.00
2012-11-14,24.7000,24.8101,24.4300,24.4600,23.9682,26687.00
2012-11-15,24.4700,24.4700,24.0700,24.2680,23.7801,10153.00
2012-11-16,24.2300,24.7000,24.2000,24.7000,24.2034,53715.00
2012-11-19,24.7000,24.7000,24.7000,24.7000,24.2034,0.00
2012-11-20,25.1200,25.2700,25.1100,25.2600,24.7521,1626.00
2012-11-21,25.4200,25.4200,25.3780,25.3780,24.8677,687.00
2012-11-23,25.4600,25.8100,25.4600,25.6600,25.1441,1543.00
2012-11-26,25.7299,25.7600,25.5966,25.7260,25.2087,6356.00
2012-11-27,25.8000,25.8820,25.7700,25.8600,25.3400,27604.00
2012-11-28,25.7967,25.9700,25.7967,25.9700,25.4478,2200.00
2012-11-29,26.2899,26.2899,26.2000,26.2700,25.7418,10095.00
2012-11-30,26.2400,26.2400,26.2000,26.2190,25.6918,490.00
2012-12-03,26.3700,26.3700,26.1081,26.1081,25.5832,3861.00
2012-12-04,26.2300,26.2300,25.9900,25.9900,25.4674,1448.00
2012-12-05,26.1500,26.1500,25.8900,25.9600,25.4380,5124.00
2012-12-06,25.9000,26.0000,25.8300,25.9300,25.4086,2470.00
2012-12-07,25.9400,25.9600,25.8400,25.9100,25.3890,1172.00
2012-12-10,26.0000,26.1100,25.9400,26.0000,25.4772,5636.00
2012-12-11,26.1693,26.2800,26.1693,26.2540,25.7261,4116.00
2012-12-12,26.2900,26.2900,26.1901,26.1901,25.6635,1487.00
2012-12-13,26.0800,26.1990,25.8701,25.8701,25.3499,611.00
2012-12-14,25.8701,25.8701,25.8701,25.8701,25.3499,0.00
2012-12-17,26.2000,26.2800,26.2000,26.2800,25.7516,1357.00
2012-12-18,26.1600,26.7199,26.1600,26.7199,26.1827,4193.00
2012-12-19,26.7500,26.8199,26.7369,26.7700,26.2317,1924.00
2012-12-20,26.6699,26.8600,26.6699,26.8400,26.3003,65949.00
2012-12-21,26.2500,26.4700,26.2500,26.4300,26.1148,4810.00
2012-12-24,26.4301,26.4301,26.4200,26.4201,26.1051,1000.00
2012-12-26,26.5200,26.5200,26.2600,26.2600,25.9469,312.00
2012-12-27,26.1800,26.2300,25.9400,26.2300,25.9172,20494.00
2012-12-28,26.1800,26.2800,26.1300,26.2500,25.9370,1550.00
2012-12-31,26.3600,26.4900,26.3400,26.4890,26.1731,2062.00
2013-01-02,27.6600,27.6600,27.3078,27.3740,27.0476,2500.00
2013-01-03,27.4400,27.7020,27.3500,27.3730,27.0466,56941.00
2013-01-04,27.5800,27.7000,27.5039,27.6100,27.2808,148370.00
2013-01-07,27.4800,27.5599,27.4170,27.4800,27.1523,9375.00
2013-01-08,27.4600,27.5700,27.3800,27.5200,27.1918,11859.00
2013-01-09,27.6700,28.0500,27.6700,27.8400,27.5080,26918.00
2013-01-10,27.9200,27.9200,27.6800,27.8600,27.5278,18780.00
2013-01-11,27.7899,27.9100,27.7899,27.8600,27.5278,6449.00
2013-01-14,27.7900,27.8900,27.7100,27.8390,27.5070,5450.00
2013-01-15,27.8800,28.1200,27.8525,28.1190,27.7837,30089.00
2013-01-16,28.0300,28.1400,27.9700,28.0200,27.6859,8002.00
2013-01-17,28.1100,28.3100,28.0710,28.2500,27.9131,53973.00
2013-01-18,28.4800,28.4800,28.2100,28.4000,28.0614,21063.00
2013-01-22,28.4400,28.6500,28.3400,28.6300,28.2886,27225.00
2013-01-23,28.8900,28.8900,28.5300,28.5900,28.2491,59912.00
2013-01-24,28.9100,28.9200,28.5772,28.6200,28.2787,17012.00
2013-01-25,29.2116,29.2116,28.6700,28.8500,28.5060,92108.00
2013-01-28,28.8500,28.8800,28.6700,28.7200,28.3775,15051.00
2013-01-29,28.7118,28.7800,28.6939,28.7488,28.4060,4910.00
2013-01-30,28.7900,28.7900,28.3975,28.4660,28.1266,46943.00
2013-01-31,28.5200,28.6500,28.4900,28.6400,28.2985,4408.00
2013-02-01,28.8500,29.1100,28.8000,28.9500,28.6048,18475.00
2013-02-04,28.8000,28.8300,28.5859,28.5859,28.2450,3949.00
2013-02-05,28.8100,29.0500,28.7934,28.9900,28.6443,21640.00
2013-02-06,28.9600,29.0800,28.8900,29.0800,28.7332,5304.00
2013-02-07,29.0300,29.0300,28.7200,28.8000,28.4566,48204.00
2013-02-08,28.9200,29.1400,28.9200,29.1100,28.7629,7337.00
2013-02-11,29.1100,29.1100,28.9680,29.0600,28.7135,3248.00
2013-02-12,29.2399,29.2800,29.1800,29.1990,28.8508,6572.00
2013-02-13,29.3700,29.4500,29.2480,29.3500,29.0000,11774.00
2013-02-14,29.4500,29.5900,29.4200,29.5500,29.1976,5686.00
2013-02-15,29.7100,29.7800,29.6200,29.6200,29.2668,8098.00
2013-02-19,29.7899,29.8365,29.7401,29.7700,29.4150,1736.00
2013-02-20,29.8820,29.9600,29.4399,29.4399,29.0889,9014.00
2013-02-21,29.0801,29.2536,28.8555,29.0300,28.6838,24668.00
2013-02-22,29.1600,29.3999,29.0901,29.3839,29.0335,10528.00
2013-02-25,29.5800,29.5800,28.8900,28.8900,28.5455,76278.00
2013-02-26,29.0300,29.0800,28.7700,29.0560,28.7095,134218.00
2013-02-27,29.1500,29.5400,29.0862,29.3600,29.0099,43575.00
2013-02-28,29.5200,29.6300,29.3000,29.4000,29.0494,21762.00
2013-03-01,29.1400,29.7700,29.0400,29.7400,29.3854,26049.00
2013-03-04,29.7700,30.0800,29.7400,30.0420,29.6838,71560.00
2013-03-05,30.3000,30.5500,30.3000,30.4700,30.1067,67148.00
2013-03-06,30.7800,30.7800,30.5100,30.5400,30.1758,117871.00
2013-03-07,30.6399,30.6900,30.5200,30.6900,30.3240,33763.00
2013-03-08,30.9500,31.0199,30.7100,30.9900,30.6205,85250.00
2013-03-11,30.9100,30.9700,30.8400,30.9300,30.5612,62530.00
2013-03-12,30.8800,31.0000,30.7064,30.7900,30.4229,19679.00
