Date,Open,High,Low,Close,Adjusted_close,Volume
2015-10-09,25.3300,25.4500,25.2900,25.3900,24.9591,9898.00
2015-10-12,25.6200,25.6200,25.3600,25.4800,25.0476,131730.00
2015-10-13,25.8600,25.8600,25.0699,25.0700,24.6446,175775.00
2015-10-14,25.1504,25.1504,24.8100,24.8396,24.4181,29090.00
2015-10-15,25.9300,25.9300,24.9499,25.4199,24.9885,32468.00
2015-10-16,25.6000,25.9800,25.4190,25.6200,25.1852,253346.00
2015-10-19,25.6400,25.8800,25.4486,25.7300,25.2934,103962.00
2015-10-20,26.1400,26.1400,25.3700,25.4900,25.0574,78610.00
2015-10-21,26.0600,26.0600,25.0499,25.2300,24.8019,139977.00
2015-10-22,25.4900,25.4900,25.1860,25.3900,24.9591,82026.00
2015-10-23,26.5300,26.5300,25.3300,25.6000,25.1656,189427.00
2015-10-26,25.6600,25.7200,25.4900,25.6200,25.1852,183977.00
2015-10-27,25.6700,25.7200,25.4900,25.6095,25.1749,106926.00
2015-10-28,25.8000,26.1450,25.5899,26.1400,25.6964,147885.00
2015-10-29,26.1400,26.1400,25.7500,25.8200,25.3818,338938.00
2015-10-30,25.9000,25.9800,25.8200,25.8400,25.4015,83789.00
2015-11-02,26.0100,26.2600,25.8640,26.2500,25.8046,174625.00
2015-11-03,26.2700,26.3600,26.0183,26.3200,25.8734,308765.00
2015-11-04,26.5000,26.5000,26.0899,26.2100,25.7652,169713.00
2015-11-05,26.2500,26.2600,26.0000,26.1700,25.7259,91528.00
2015-11-06,26.2100,26.2200,26.0000,26.2000,25.7554,217046.00
2015-11-09,26.2700,26.2700,25.8495,25.9800,25.5391,97123.00
2015-11-10,26.0600,26.1400,25.8868,26.1299,25.6865,153653.00
2015-11-11,26.2300,26.2300,25.9200,25.9200,25.4802,219329.00
2015-11-12,25.8500,25.8500,25.5400,25.5500,25.1164,176557.00
2015-11-13,25.5500,25.5500,25.2640,25.2800,24.8510,128710.00
2015-11-16,25.3700,25.3700,25.0400,25.3300,24.9002,169903.00
2015-11-17,25.4400,25.5300,25.2200,25.3300,24.9002,158310.00
2015-11-18,25.4000,25.7900,25.3500,25.7900,25.3524,42952.00
2015-11-19,25.8200,25.8200,25.6054,25.6200,25.1852,91126.00
2015-11-20,25.7600,25.8900,25.7420,25.7900,25.3524,108617.00
2015-11-23,25.8200,26.0000,25.8100,25.9200,25.4802,163342.00
2015-11-24,25.9200,26.0200,25.7100,25.9800,25.5391,145905.00
2015-11-25,26.1000,26.2400,26.0378,26.2000,25.7554,169192.00
2015-11-27,26.3100,26.3599,26.2300,26.3300,25.8832,21065.00
2015-11-30,26.5200,26.5200,25.9400,25.9400,25.4998,147400.00
2015-12-01,26.2200,26.2200,25.8980,26.1500,25.7063,108361.00
2015-12-02,26.4800,26.4800,25.9690,26.0000,25.5588,88788.00
2015-12-03,26.1000,26.1000,25.3297,25.4300,24.9985,170179.00
2015-12-04,25.5300,25.9500,25.5300,25.9500,25.5096,44143.00
2015-12-07,26.1000,26.1000,25.6101,25.7200,25.2835,87918.00
2015-12-08,25.7900,25.9500,25.5969,25.9200,25.4802,117880.00
2015-12-09,26.0700,26.0700,25.4400,25.4900,25.0574,91435.00
2015-12-10,25.7600,25.7600,25.4697,25.5900,25.1558,61123.00
2015-12-11,25.6700,25.6700,25.0000,25.0400,24.6151,48378.00
2015-12-14,25.1400,25.2500,24.7191,25.0500,24.6249,52004.00
2015-12-15,24.9900,25.4400,24.9900,25.3700,24.9395,93185.00
2015-12-16,25.7400,25.8200,25.4378,25.8100,25.3720,108571.00
2015-12-17,26.0800,26.0800,25.4700,25.4700,25.0378,230563.00
2015-12-18,25.3400,25.3400,25.0300,25.0300,24.6894,211844.00
2015-12-21,25.2120,25.2600,25.0701,25.2400,24.8965,300606.00
2015-12-22,25.1000,25.3600,25.0600,25.3100,24.9656,77216.00
2015-12-23,25.4900,25.5300,25.3305,25.5006,25.1536,129606.00
