Date,Open,High,Low,Close,Adjusted_close,Volume
1997-07-02,6.8750,7.3750,6.6250,7.1250,7.1250,1113500.00
1997-07-03,7.2500,7.5000,6.9380,6.9380,6.9380,187600.00
1997-07-07,7.0000,7.0000,6.3750,6.6250,6.6250,342200.00
1997-07-08,6.6250,7.0000,6.5000,6.7500,6.7500,99200.00
1997-07-09,7.0000,7.2500,6.7500,7.1250,7.1250,605000.00
1997-07-10,8.6250,8.8750,8.1250,8.6250,8.6250,369400.00
1997-07-11,8.6250,8.6250,8.6250,8.6250,8.6250,353500.00
1997-07-14,9.1250,9.6250,9.0000,9.6250,9.6250,329000.00
1997-07-15,9.7500,9.8750,9.4380,9.5000,9.5000,243900.00
1997-07-16,9.8750,11.5000,9.8130,11.1300,11.1300,456500.00
1997-07-17,11.2500,11.5000,11.1300,11.5000,11.5000,435500.00
1997-07-18,11.2500,11.3800,10.0000,10.5000,10.5000,298200.00
1997-07-21,10.0000,10.3800,9.6250,10.0000,10.0000,193900.00
1997-07-22,10.0000,10.2500,9.7500,10.2500,10.2500,72900.00
1997-07-23,10.3800,10.3800,10.2500,10.2500,10.2500,56700.00
1997-07-24,10.6300,11.1300,10.1300,10.8800,10.8800,80800.00
1997-07-25,10.3800,11.6300,10.3800,11.2500,11.2500,143100.00
1997-07-28,11.1900,12.2500,10.8800,11.2500,11.2500,342300.00
1997-07-29,10.7500,10.7500,10.5000,10.5600,10.5600,115000.00
1997-07-30,10.7500,10.7500,10.0000,10.2500,10.2500,125600.00
1997-07-31,9.7500,9.7500,8.8750,9.3750,9.3750,160300.00
1997-08-01,9.3750,9.3750,8.5000,9.1250,9.1250,57600.00
1997-08-04,9.1250,10.1300,8.8750,9.5000,9.5000,124900.00
1997-08-05,9.7500,10.1300,9.6250,9.8750,9.8750,108800.00
1997-08-06,10.0000,10.2500,9.6250,9.8750,9.8750,125800.00
1997-08-07,9.8750,10.0000,9.5000,9.7500,9.7500,72100.00
1997-08-08,9.7500,9.8750,9.5000,9.7500,9.7500,50500.00
1997-08-11,9.7500,9.8750,9.2500,9.5000,9.5000,71100.00
1997-08-12,9.5000,9.5000,9.0000,9.1250,9.1250,156300.00
1997-08-13,8.8750,9.1250,8.8750,9.1250,9.1250,96600.00
1997-08-14,9.1250,9.1250,8.9380,9.0000,9.0000,91200.00
1997-08-15,9.0000,9.1250,8.9380,9.0000,9.0000,82600.00
1997-08-18,9.1250,9.1250,9.0000,9.1250,9.1250,39300.00
1997-08-19,9.1250,9.1250,8.8750,9.0000,9.0000,60100.00
1997-08-20,8.9380,9.3130,8.9380,9.2500,9.2500,54000.00
1997-08-21,9.3750,9.3750,9.1250,9.1250,9.1250,19100.00
1997-08-22,8.7500,9.1250,8.6250,9.1250,9.1250,39600.00
1997-08-25,9.1250,9.3750,8.7500,9.3750,9.3750,28000.00
1997-08-26,9.3750,9.3750,8.7500,8.7500,8.7500,16900.00
1997-08-27,9.1880,9.1880,8.7500,8.8750,8.8750,13200.00
1997-08-28,9.0000,9.1880,8.8750,8.9380,8.9380,20500.00
1997-08-29,9.1880,10.6300,9.1250,10.3800,10.3800,116200.00
1997-09-02,10.8800,11.3800,10.5000,10.9400,10.9400,75700.00
