Date,Open,High,Low,Close,Adjusted_close,Volume
1999-02-12,19.0000,25.5000,14.0000,20.4700,20.4700,4515400.00
1999-02-16,25.5600,25.6300,21.1300,23.1300,23.1300,1998900.00
1999-02-17,23.3800,23.3800,20.5000,21.0000,21.0000,586000.00
1999-02-18,21.2500,21.5000,19.0000,19.8800,19.8800,514800.00
1999-02-19,19.8800,20.5000,19.3800,19.6900,19.6900,183100.00
1999-02-22,20.0000,22.0000,19.5000,20.7500,20.7500,222600.00
1999-02-23,21.3800,22.0000,20.5600,21.6300,21.6300,196900.00
1999-02-24,22.1300,23.1300,21.6300,21.6300,21.6300,239900.00
1999-02-25,21.6300,21.7500,19.7500,21.0000,21.0000,191900.00
1999-02-26,22.0000,23.0000,20.6300,21.0000,21.0000,239800.00
1999-03-01,21.3100,21.6300,19.8800,20.7500,20.7500,94100.00
1999-03-02,21.0000,23.0000,21.0000,21.3800,21.3800,361300.00
1999-03-03,21.6300,22.6300,20.8800,22.0000,22.0000,136300.00
1999-03-04,22.1300,24.0000,21.8800,22.8100,22.8100,277400.00
1999-03-05,23.1300,24.5000,23.0000,23.4400,23.4400,332600.00
1999-03-08,23.9400,29.7500,23.6300,29.0000,29.0000,886300.00
1999-03-09,29.6300,30.7500,26.5000,28.0000,28.0000,656800.00
1999-03-10,29.0600,29.8800,26.5000,29.7500,29.7500,613900.00
1999-03-11,31.2500,47.2500,31.2500,37.6300,37.6300,4188300.00
1999-03-12,42.5000,60.7500,41.0000,57.8600,57.8600,9950900.00
1999-03-15,66.8800,94.0000,65.0000,92.2500,92.2500,7038500.00
1999-03-16,97.4800,98.0000,65.0000,68.5000,68.5000,9604700.00
1999-03-17,74.0000,79.2500,70.0000,77.6300,77.6300,4704300.00
1999-03-18,71.5000,79.3800,71.0000,72.0000,72.0000,2160900.00
1999-03-19,72.0000,74.2500,63.5000,66.0000,66.0000,2073600.00
1999-03-22,66.2500,66.2500,55.0000,56.5000,56.5000,1898500.00
1999-03-23,52.1900,56.0000,47.0000,52.5000,52.5000,1851100.00
1999-03-24,52.8800,72.5000,52.7500,71.5000,71.5000,5182000.00
1999-03-25,77.5000,79.0000,64.7500,67.4400,67.4400,3560300.00
1999-03-26,62.6300,71.0000,62.2500,66.0000,66.0000,1047600.00
1999-03-29,67.0000,70.0000,63.7500,64.5000,64.5000,755100.00
1999-03-30,64.0000,64.1300,60.1300,60.8800,60.8800,622400.00
1999-03-31,61.7500,65.0000,60.2500,63.8100,63.8100,676400.00
1999-04-01,66.0000,67.2500,62.6300,64.5000,64.5000,549000.00
1999-04-05,64.7500,66.0000,60.2500,61.5000,61.5000,503600.00
1999-04-06,60.7500,65.2500,57.0000,61.0000,61.0000,990200.00
1999-04-07,63.3800,63.5000,60.0600,60.3800,60.3800,351900.00
1999-04-08,61.0000,62.8800,57.0000,60.7500,60.7500,265900.00
1999-04-09,61.8800,71.0000,61.1300,64.5000,64.5000,1639700.00
1999-04-12,64.0000,69.5000,63.0000,64.6300,64.6300,606600.00
1999-04-13,68.5000,73.2500,66.0000,68.8100,68.8100,969500.00
1999-04-14,73.8800,75.5000,60.9400,62.2500,62.2500,802400.00
1999-04-15,64.1300,64.3800,50.0000,60.0000,60.0000,610000.00
1999-04-16,60.5000,62.1300,58.6300,61.0000,61.0000,208800.00
1999-04-19,61.0000,61.8800,46.1300,47.6300,47.6300,667200.00
1999-04-20,46.0000,55.0000,42.0000,49.8800,49.8800,851100.00
1999-04-21,54.0000,61.0000,50.0000,60.8800,60.8800,791200.00
1999-04-22,62.5000,62.7500,55.5000,59.0000,59.0000,484700.00
1999-04-23,62.0000,66.5000,60.1300,61.0000,61.0000,1130200.00
1999-04-26,60.0000,60.9400,58.0000,59.0000,59.0000,380800.00
1999-04-27,61.0000,61.7500,57.0000,57.0000,57.0000,429000.00
1999-04-28,57.0000,57.7500,54.5000,54.6300,54.6300,213400.00
1999-04-29,54.6300,54.7500,52.0000,53.2500,53.2500,158300.00
1999-04-30,54.0000,58.7500,53.1300,58.5000,58.5000,501700.00
1999-05-03,59.6300,62.8800,56.5000,61.9400,61.9400,907800.00
1999-05-04,63.7500,64.8800,57.6900,57.6900,57.6900,1089100.00
1999-05-05,57.7500,61.3800,51.0000,61.0000,61.0000,469300.00
1999-05-06,56.1300,61.5000,56.0600,56.5000,56.5000,228000.00
1999-05-07,56.5000,58.5000,53.6300,55.0000,55.0000,207100.00
1999-05-10,54.6300,58.0000,54.2500,56.5000,56.5000,115300.00
1999-05-11,56.0000,58.3800,55.8100,56.6300,56.6300,151500.00
1999-05-12,56.3800,57.8800,55.7500,56.0000,56.0000,99900.00
1999-05-13,56.0000,57.0000,53.0000,53.1300,53.1300,198600.00
1999-05-14,52.0000,52.7500,49.7500,52.2500,52.2500,255400.00
1999-05-17,50.0000,52.5000,49.5000,51.0000,51.0000,90100.00
1999-05-18,51.0000,52.5000,51.0000,52.3800,52.3800,118400.00
1999-05-19,52.2500,54.0000,51.2500,51.5600,51.5600,76800.00
1999-05-20,51.6300,51.8800,48.5000,48.7500,48.7500,151300.00
1999-05-21,50.2500,50.2500,45.5000,45.8800,45.8800,274300.00
1999-05-24,45.0000,45.8800,39.0000,41.0000,41.0000,297100.00
1999-05-25,40.8800,41.0000,36.1300,37.0000,37.0000,213600.00
1999-05-26,38.2500,40.3800,32.0000,40.2500,40.2500,375700.00
1999-05-27,39.7500,40.7500,35.5000,40.3800,40.3800,198200.00
1999-05-28,40.1300,42.7500,40.0000,41.2500,41.2500,119300.00
