Date,Open,High,Low,Close,Adjusted_close,Volume
2014-09-22,4.7500,4.7500,4.1001,4.3500,4.3500,21886.00
2014-09-23,4.4500,4.4500,3.9000,4.2600,4.2600,81702.00
2014-09-24,3.7002,4.3400,3.6100,4.3400,4.3400,94422.00
2014-09-25,4.3500,4.4400,3.8000,4.0000,4.0000,29760.00
2014-09-26,4.0000,4.4000,4.0000,4.4000,4.4000,161486.00
2014-09-29,4.3899,4.3899,4.0000,4.2300,4.2300,138666.00
2014-09-30,4.1400,4.2500,4.0000,4.2100,4.2100,26059.00
2014-10-01,4.2100,4.2100,4.0300,4.1000,4.1000,105903.00
2014-10-02,4.0804,4.2700,3.7401,4.2700,4.2700,32502.00
2014-10-03,4.0000,4.2900,3.9100,4.1500,4.1500,38348.00
2014-10-06,3.9000,4.1600,3.7700,4.1300,4.1300,14260.00
2014-10-07,3.9500,4.0500,3.9400,4.0000,4.0000,15162.00
2014-10-08,4.2200,4.2600,3.9500,4.2500,4.2500,94120.00
2014-10-09,4.0600,4.1100,4.0000,4.1000,4.1000,115033.00
2014-10-10,3.9925,4.0646,3.9500,4.0000,4.0000,12245.00
2014-10-13,4.0000,4.0000,3.9000,3.9849,3.9849,16086.00
2014-10-14,4.0000,4.0200,3.7801,4.0000,4.0000,33372.00
2014-10-15,3.7500,4.0500,3.7500,4.0000,4.0000,88170.00
2014-10-16,3.8600,4.0300,3.8600,3.9600,3.9600,7600.00
2014-10-17,4.0400,4.0500,3.9433,4.0000,4.0000,11790.00
2014-10-20,3.9700,4.0800,3.9100,4.0450,4.0450,8489.00
2014-10-21,3.9200,4.0800,3.9200,4.0100,4.0100,187361.00
2014-10-22,4.0300,4.1100,3.9300,4.0600,4.0600,44358.00
2014-10-23,4.0900,4.1400,4.0400,4.0400,4.0400,41199.00
2014-10-24,4.1000,4.1000,4.0100,4.1000,4.1000,28573.00
2014-10-27,4.0400,4.2100,4.0400,4.1500,4.1500,6735.00
2014-10-28,3.9700,4.1500,3.9700,4.1500,4.1500,18153.00
2014-10-29,4.0700,4.1200,4.0400,4.0400,4.0400,2510.00
2014-10-30,4.0300,4.1500,4.0300,4.0700,4.0700,6021.00
2014-10-31,4.1500,4.1500,4.0600,4.1200,4.1200,2515.00
2014-11-03,4.1800,4.2500,4.1100,4.2400,4.2400,34832.00
2014-11-04,4.2000,4.2282,4.2000,4.2000,4.2000,39237.00
2014-11-05,4.2050,4.3000,4.2000,4.2700,4.2700,27163.00
2014-11-06,4.2460,4.2900,4.2100,4.2400,4.2400,34136.00
2014-11-07,4.2101,4.2900,4.2001,4.2400,4.2400,79440.00
2014-11-10,4.2200,4.2238,4.2000,4.2000,4.2000,2771.00
2014-11-11,4.2100,4.2800,4.2000,4.2000,4.2000,6462.00
2014-11-12,4.2200,4.3330,4.2200,4.2700,4.2700,74338.00
2014-11-13,4.2500,4.4000,4.2500,4.3100,4.3100,18909.00
2014-11-14,4.3300,4.3300,4.1100,4.3200,4.3200,21089.00
2014-11-17,4.3100,4.3100,4.2100,4.2600,4.2600,7156.00
2014-11-18,4.2700,4.3000,4.1600,4.2500,4.2500,21054.00
2014-11-19,4.1800,4.2500,4.1800,4.2000,4.2000,4904.00
2014-11-20,4.1500,4.2100,4.1500,4.2100,4.2100,4948.00
2014-11-21,4.2500,4.3000,4.1700,4.3000,4.3000,11664.00
2014-11-24,4.2400,4.3100,4.2000,4.3100,4.3100,1900.00
2014-11-25,4.3000,4.3000,4.0600,4.2200,4.2200,3211.00
2014-11-26,4.0518,4.2000,4.0200,4.1400,4.1400,9527.00
2014-11-28,4.1400,4.1400,4.1400,4.1400,4.1400,100.00
2014-12-01,4.0000,4.3100,4.0000,4.1800,4.1800,7560.00
2014-12-02,4.1700,4.2800,4.0400,4.2700,4.2700,9781.00
2014-12-03,4.0600,4.2800,4.0000,4.2800,4.2800,6440.00
2014-12-04,4.2800,4.2800,4.0800,4.2650,4.2650,23291.00
2014-12-05,4.2700,4.2700,4.1700,4.2400,4.2400,8653.00
2014-12-08,4.2000,4.2000,4.0200,4.1400,4.1400,48802.00
2014-12-09,4.2500,4.2700,4.0700,4.1100,4.1100,22362.00
2014-12-10,4.1000,4.1600,4.0500,4.0500,4.0500,16397.00
2014-12-11,4.0700,4.0900,4.0000,4.0800,4.0800,5944.00
2014-12-12,4.0500,4.0900,4.0000,4.0500,4.0500,7513.00
2014-12-15,4.0900,4.2600,3.9800,4.1500,4.1500,24693.00
2014-12-16,4.1700,4.2500,4.0600,4.2500,4.2500,19253.00
2014-12-17,4.2200,4.2400,4.0100,4.2400,4.2400,16860.00
2014-12-18,4.2500,4.3000,4.1100,4.3000,4.3000,17027.00
2014-12-19,4.3000,4.3000,4.1400,4.2400,4.2400,145407.00
2014-12-22,4.1900,4.3500,4.1900,4.3400,4.3400,123547.00
2014-12-23,4.2100,4.4000,4.2100,4.3300,4.3300,9923.00
2014-12-24,4.3200,4.3800,4.0100,4.3800,4.3800,21290.00
2014-12-26,4.3000,4.3000,4.0700,4.2100,4.2100,9078.00
2014-12-29,4.2100,4.3100,3.8000,4.2440,4.2440,13406.00
2014-12-30,4.3100,4.3100,4.0200,4.1400,4.1400,12194.00
2014-12-31,4.0300,4.1800,3.9200,4.0500,4.0500,28207.00
2015-01-02,4.2400,4.2400,3.8800,4.0400,4.0400,2153.00
2015-01-05,3.9000,4.2800,3.8800,4.2500,4.2500,15646.00
2015-01-06,4.2400,4.2500,4.0000,4.0700,4.0700,8974.00
2015-01-07,4.2400,4.2900,4.1201,4.2900,4.2900,22335.00
2015-01-08,4.2300,4.2400,4.1600,4.2000,4.2000,4448.00
2015-01-09,4.1850,4.1850,4.1850,4.1850,4.1850,100.00
2015-01-12,4.0700,4.2000,4.0700,4.2000,4.2000,5749.00
2015-01-13,4.2000,4.2000,4.0600,4.1950,4.1950,5895.00
2015-01-14,4.1711,4.1900,4.0600,4.1000,4.1000,5505.00
2015-01-15,4.0883,4.1400,3.8800,4.1300,4.1300,5250.00
2015-01-16,4.1499,4.1900,3.9200,4.1900,4.1900,8163.00
2015-01-20,3.9100,4.1900,3.8100,4.1800,4.1800,2450.00
2015-01-21,4.0200,4.0850,3.9200,4.0300,4.0300,3073.00
2015-01-22,4.1000,4.1300,4.0100,4.0100,4.0100,1628.00
2015-01-23,4.0000,4.0250,3.9300,4.0250,4.0250,13477.00
