Date,Open,High,Low,Close,Adjusted_close,Volume
2016-12-06,48.2600,48.2600,48.2600,48.2600,47.1845,103.00
2016-12-07,48.2600,48.2600,48.2600,48.2600,47.1845,0.00
2016-12-08,48.2600,48.2600,48.2600,48.2600,47.1845,0.00
2016-12-09,48.2600,48.2600,48.2600,48.2600,47.1845,50.00
2016-12-12,48.2600,48.2600,48.2600,48.2600,47.1845,0.00
2016-12-13,49.6700,49.6700,49.6700,49.6700,48.5631,154.00
2016-12-14,49.6700,49.6700,49.6700,49.6700,48.5631,1.00
2016-12-15,49.6700,49.6700,49.6700,49.6700,48.5631,0.00
2016-12-16,49.6700,49.6700,49.6700,49.6700,48.5631,0.00
2016-12-19,49.6700,49.6700,49.6700,49.6700,48.5631,0.00
2016-12-20,49.6700,49.6700,49.6700,49.6700,48.5631,0.00
2016-12-21,49.6700,49.6700,49.6700,49.6700,48.5631,0.00
2016-12-22,49.6700,49.6700,49.6700,49.6700,48.5631,1.00
2016-12-23,49.6300,49.6300,49.3100,49.3100,48.2111,302.00
2016-12-27,49.3100,49.3100,49.3100,49.3100,48.2111,0.00
2016-12-28,49.3100,49.3100,49.3100,49.3100,48.2111,0.00
2016-12-29,49.0900,49.1400,49.0900,49.1260,48.0312,4473.00
2016-12-30,49.1260,49.1260,49.1260,49.1260,48.0312,0.00
2017-01-03,49.1260,49.1260,49.1260,49.1260,48.0312,2.00
2017-01-04,49.1260,49.1260,49.1260,49.1260,48.0312,7.00
2017-01-05,49.1260,49.1260,49.1260,49.1260,48.0312,0.00
2017-01-06,49.8600,49.8600,49.8600,49.8600,48.7489,282.00
2017-01-09,49.6500,49.7300,49.6400,49.6700,48.5631,1049.00
2017-01-10,49.5800,49.7500,49.5800,49.7500,48.6413,200.00
2017-01-11,49.7500,49.7500,49.7500,49.7500,48.6413,0.00
2017-01-12,49.7500,49.7500,49.7500,49.7500,48.6413,0.00
2017-01-13,49.7500,49.7500,49.7500,49.7500,48.6413,0.00
2017-01-17,49.5600,49.5600,49.5600,49.5600,48.4555,249.00
2017-01-18,49.5600,49.5600,49.5600,49.5600,48.4555,201.00
