Date,Open,High,Low,Close,Adjusted_close,Volume
2017-06-27,15.9000,15.9000,15.0000,15.2500,15.2500,715342.00
2017-06-28,15.2200,15.2500,15.1000,15.1500,15.1500,70957.00
2017-06-29,15.1500,15.1500,14.7400,14.8600,14.8600,90184.00
2017-06-30,14.8300,15.1265,14.8300,15.0000,15.0000,31629.00
2017-07-03,15.2700,15.2700,15.0000,15.0500,15.0500,10402.00
2017-07-05,14.9000,15.2000,14.8900,15.1400,15.1400,12966.00
2017-07-06,15.2700,15.3100,14.9500,14.9500,14.9500,24422.00
2017-07-07,15.0000,15.0400,14.9700,14.9950,14.9950,8178.00
2017-07-10,15.0000,15.2100,14.7900,14.8500,14.8500,42539.00
2017-07-11,14.8500,15.0000,14.8000,14.9400,14.9400,28963.00
2017-07-12,14.7700,15.0000,14.5100,14.9000,14.9000,81366.00
2017-07-13,14.7700,15.0000,14.7700,14.9500,14.9500,53947.00
2017-07-14,14.7673,14.8108,14.6000,14.6500,14.6500,43965.00
2017-07-17,14.6560,14.6830,14.6400,14.6602,14.6602,16755.00
2017-07-18,14.6500,14.7500,14.6500,14.7000,14.7000,8236.00
2017-07-19,14.5900,14.6700,14.5500,14.6500,14.6500,51520.00
2017-07-20,14.6500,14.6773,14.6000,14.6500,14.6500,30812.00
2017-07-21,14.6500,14.7500,14.6500,14.6500,14.6500,27009.00
2017-07-24,14.6800,14.6999,14.5518,14.6500,14.6500,7160.00
2017-07-25,14.7500,14.8150,14.6000,14.7400,14.7400,63615.00
2017-07-26,14.7947,14.8900,14.5500,14.8500,14.8500,53882.00
2017-07-27,14.9100,14.9100,14.6100,14.6100,14.6100,39125.00
2017-07-28,14.7500,14.9500,14.7500,14.9000,14.9000,14962.00
2017-07-31,14.8500,14.8500,14.7000,14.7750,14.7750,24569.00
2017-08-01,14.7500,14.9500,14.7000,14.8900,14.8900,11794.00
2017-08-02,14.8100,14.8500,14.8000,14.8000,14.8000,15841.00
2017-08-03,14.9000,14.9400,14.7500,14.8200,14.8200,52740.00
2017-08-04,14.9900,15.0000,14.8400,15.0000,15.0000,22020.00
2017-08-07,15.0000,15.0500,14.9000,15.0100,15.0100,49595.00
2017-08-08,15.0470,15.1700,15.0000,15.1500,15.1500,23031.00
