Date,Open,High,Low,Close,Adjusted_close,Volume
1996-08-16,11.7500,12.5000,10.7500,11.2500,281.2500,269180.00
1996-08-19,11.5000,11.8800,10.8800,10.9400,273.5000,44150.00
1996-08-20,11.0000,11.2500,10.8800,11.0000,275.0000,24000.00
1996-08-21,11.0000,11.0000,10.5000,10.5000,262.5000,58280.00
1996-08-22,10.6300,10.6300,10.5000,10.5000,262.5000,84560.00
1996-08-23,10.5000,10.6300,10.5000,10.6300,265.7500,13660.00
1996-08-26,10.6300,10.6300,10.5000,10.5000,262.5000,7210.00
1996-08-27,10.5000,10.6300,10.5000,10.5000,262.5000,3980.00
1996-08-28,10.6300,10.6300,10.5000,10.6300,265.7500,5260.00
1996-08-29,10.6300,10.6300,10.5000,10.5300,263.2500,1420.00
1996-08-30,10.5000,10.6300,10.5000,10.5000,262.5000,1600.00
1996-09-03,10.6300,10.6300,10.4400,10.5000,262.5000,13930.00
1996-09-04,10.5000,10.6300,10.5000,10.5000,262.5000,6300.00
1996-09-05,10.6300,10.6300,10.5000,10.5000,262.5000,5400.00
1996-09-06,10.5000,10.6300,10.5000,10.5000,262.5000,4930.00
1996-09-09,10.6300,10.6300,10.5000,10.5000,262.5000,6670.00
1996-09-10,10.5000,10.6300,10.5000,10.5000,262.5000,2970.00
1996-09-11,10.6300,10.6300,8.7500,8.7500,218.7500,29380.00
1996-09-12,9.1300,9.3800,8.7500,9.1300,228.2500,19700.00
1996-09-13,9.3800,9.5000,9.0000,9.3800,234.5000,5510.00
1996-09-16,9.3800,9.3800,9.0000,9.1300,228.2500,7150.00
1996-09-17,9.1300,9.1300,8.5000,8.6300,215.7500,10180.00
1996-09-18,8.6300,8.6300,8.2500,8.3800,209.5000,10190.00
1996-09-19,8.3800,8.6300,8.2500,8.5000,212.5000,7440.00
1996-09-20,8.3800,9.6300,8.3800,9.6300,240.7500,21900.00
1996-09-23,9.6300,9.6300,9.1300,9.2500,231.2500,14500.00
1996-09-24,9.2500,9.2500,8.8800,9.1300,228.2500,8000.00
1996-09-25,9.1300,9.5000,9.0000,9.5000,237.5000,14720.00
1996-09-26,9.5000,10.7500,9.3800,10.7500,268.7500,17460.00
1996-09-27,10.7500,12.7500,10.6300,12.5000,312.5000,24590.00
1996-09-30,12.5000,13.8800,12.5000,13.1900,329.7500,21450.00
1996-10-01,13.2500,13.2500,10.8800,11.0000,275.0000,29340.00
1996-10-02,11.0000,11.1300,11.0000,11.1300,278.2500,6160.00
1996-10-03,11.1300,12.1300,11.0000,12.0000,300.0000,8260.00
1996-10-04,12.0000,12.6300,12.0000,12.3800,309.5000,8370.00
1996-10-07,12.2500,13.3800,12.1300,12.3800,309.5000,16330.00
1996-10-08,12.2500,12.3800,11.5000,11.6300,290.7500,9530.00
1996-10-09,11.7500,11.7500,11.0000,11.5000,287.5000,10730.00
1996-10-10,11.2500,12.3800,11.2500,12.2500,306.2500,12740.00
1996-10-11,12.3800,13.2500,12.2500,12.5000,312.5000,27790.00
1996-10-14,12.3800,12.5000,12.1300,12.2500,306.2500,10000.00
1996-10-15,12.2500,12.5000,11.8800,12.1300,303.2500,9030.00
1996-10-16,12.1300,12.6300,11.8800,12.2500,306.2500,10740.00
1996-10-17,12.2500,12.7500,12.1300,12.5000,312.5000,9200.00
1996-10-18,12.7500,12.7500,12.5000,12.5000,312.5000,10480.00
1996-10-21,12.7500,12.7500,12.5000,12.5000,312.5000,2740.00
1996-10-22,12.7500,12.7500,11.7500,11.7500,293.7500,6660.00
1996-10-23,11.6300,11.8800,11.3800,11.8800,297.0000,9930.00
1996-10-24,11.8800,12.0000,11.6300,11.7500,293.7500,4520.00
1996-10-25,11.7500,11.7500,11.2500,11.3100,282.7500,2050.00
1996-10-28,11.3800,11.3800,10.7500,10.8800,272.0000,9730.00
1996-10-29,10.7500,11.0000,10.7500,10.7500,268.7500,5100.00
1996-10-30,10.8800,10.8800,10.7500,10.8800,272.0000,4140.00
1996-10-31,11.1300,11.5000,11.0000,11.1300,278.2500,19500.00
1996-11-01,11.2500,11.2500,9.7500,9.8800,247.0000,11880.00
1996-11-04,9.8800,10.3800,9.6300,9.7500,243.7500,11040.00
1996-11-05,9.7500,9.8800,9.0000,9.2500,231.2500,8740.00
1996-11-06,9.2500,10.2500,9.1300,10.0000,250.0000,20740.00
1996-11-07,10.0000,10.1300,9.6300,9.6300,240.7500,8300.00
1996-11-08,9.7500,9.7500,9.3800,9.7500,243.7500,2970.00
1996-11-11,9.7500,9.7500,9.3800,9.3800,234.5000,4470.00
1996-11-12,9.3800,9.7500,8.7500,9.0000,225.0000,10050.00
1996-11-13,9.1300,9.2500,8.8800,9.0000,225.0000,6380.00
1996-11-14,9.0000,9.8800,8.8800,9.6300,240.7500,7170.00
1996-11-15,9.6300,10.0000,9.6300,9.8800,247.0000,3830.00
1996-11-18,9.8800,10.0000,9.6300,10.0000,250.0000,5110.00
1996-11-19,10.0000,10.2500,9.8800,10.1300,253.2500,6440.00
1996-11-20,10.0000,10.1300,10.0000,10.1300,253.2500,1520.00
1996-11-21,10.0000,11.0000,10.0000,10.9800,274.5000,8420.00
1996-11-22,10.8800,11.2500,10.5000,10.6300,265.7500,5740.00
1996-11-25,10.8800,11.2500,10.5000,10.7500,268.7500,4460.00
1996-11-26,11.0000,11.0000,10.6300,10.6300,265.7500,2770.00
1996-11-27,11.0000,11.0000,10.6300,10.6300,265.7500,4240.00
1996-11-29,11.0000,11.0000,10.6300,10.9400,273.5000,1090.00
1996-12-02,11.0000,11.0000,10.7500,10.7500,268.7500,1410.00
1996-12-03,10.6300,11.6300,10.1300,11.3800,284.5000,15460.00
1996-12-04,11.1300,12.7500,11.1300,11.7500,293.7500,14970.00
1996-12-05,11.8800,12.1300,11.7500,12.1300,303.2500,2860.00
1996-12-06,11.6300,11.7500,11.2500,11.5000,287.5000,4740.00
1996-12-09,11.7500,12.6300,11.5000,12.3800,309.5000,11790.00
1996-12-10,12.5000,12.5000,12.0000,12.0000,300.0000,6900.00
1996-12-11,12.0000,12.1300,11.2500,11.6300,290.7500,4170.00
1996-12-12,11.8800,11.8800,11.5000,11.8800,297.0000,1580.00
1996-12-13,11.7500,12.0000,11.5000,11.7500,293.7500,3080.00
1996-12-16,11.8800,11.8800,11.2500,11.2500,281.2500,4040.00
1996-12-17,11.2500,11.6300,11.0000,11.3800,284.5000,1360.00
1996-12-18,11.8800,11.8800,11.3800,11.3800,284.5000,8480.00
1996-12-19,11.3800,11.5000,10.8800,11.2500,281.2500,5120.00
1996-12-20,11.2500,11.2500,10.8800,11.0000,275.0000,5800.00
1996-12-23,11.2500,11.2500,11.0000,11.2500,281.2500,120.00
1996-12-24,11.1300,11.2500,11.0000,11.1300,278.2500,18000.00
1996-12-26,11.2500,11.2500,11.0000,11.1300,278.2500,660.00
1996-12-27,11.1300,11.5000,11.1300,11.2500,281.2500,1500.00
1996-12-30,11.5000,11.5000,11.1300,11.3800,284.5000,3400.00
1996-12-31,11.5000,11.5000,11.2500,11.5000,287.5000,1380.00
1997-01-02,11.2500,11.3800,11.1300,11.2500,281.2500,5500.00
1997-01-03,11.1300,11.3800,11.0000,11.1300,278.2500,3200.00
1997-01-06,11.3800,12.0000,11.1300,11.8800,297.0000,4220.00
1997-01-07,12.0000,12.3800,11.8800,12.1300,303.2500,4840.00
1997-01-08,12.1300,12.2500,11.8800,11.8800,297.0000,2260.00
1997-01-09,11.7500,12.1300,11.3800,11.5000,287.5000,2080.00
1997-01-10,11.3800,12.0000,11.2500,12.0000,300.0000,3630.00
1997-01-13,12.0000,12.2500,11.6300,12.2500,306.2500,4210.00
1997-01-14,12.0000,12.3800,11.7500,11.8800,297.0000,2110.00
1997-01-15,11.8800,12.3800,11.6300,12.2500,306.2500,4860.00
1997-01-16,12.2500,12.5000,12.2500,12.5000,312.5000,3800.00
1997-01-17,12.5000,12.8800,12.2500,12.6300,315.7500,8040.00
1997-01-20,12.6300,13.3800,12.3800,13.2500,331.2500,8700.00
1997-01-21,13.1300,16.3700,13.0000,16.3700,409.2500,49070.00
1997-01-22,17.2500,19.3700,17.1200,19.3700,484.2500,69370.00
1997-01-23,19.5000,19.7500,18.2500,18.5000,462.5000,33370.00
1997-01-24,18.3700,19.1200,18.3700,18.8700,471.7500,13750.00
1997-01-27,19.0000,19.1200,18.3700,18.5000,462.5000,9520.00
1997-01-28,18.3700,18.5000,17.0000,17.7500,443.7500,15530.00
1997-01-29,17.6200,18.0000,17.6200,17.8700,446.7500,8170.00
1997-01-30,17.8700,18.0000,17.6200,17.8700,446.7500,3410.00
1997-01-31,17.8700,18.0000,17.6200,17.6200,440.5000,2640.00
1997-02-03,17.6200,18.0000,17.6200,17.8700,446.7500,8220.00
1997-02-04,18.0000,18.0000,17.8700,18.0000,450.0000,4710.00
1997-02-05,18.0000,18.2500,17.5000,17.8700,446.7500,19170.00
1997-02-06,17.6200,18.0000,16.7500,16.8100,420.2500,10300.00
1997-02-07,16.8700,16.8700,15.2500,15.5000,387.5000,14240.00
1997-02-10,15.5000,16.0000,14.8800,14.8800,372.0000,10440.00
1997-02-11,14.6300,14.8800,13.5000,14.1300,353.2500,25810.00
1997-02-12,14.1300,15.5000,13.6300,14.7500,368.7500,25810.00
1997-02-13,15.0000,16.5000,14.7500,16.3700,409.2500,11480.00
1997-02-14,16.5000,17.6200,16.3700,16.8700,421.7500,21170.00
1997-02-18,17.0000,17.0000,15.7500,16.2500,406.2500,38880.00
1997-02-19,16.2500,18.1200,15.8800,18.0000,450.0000,33060.00
1997-02-20,18.0000,18.3700,17.7500,18.1200,453.0000,25340.00
1997-02-21,18.1200,19.3700,18.1200,19.3700,484.2500,32430.00
1997-02-24,19.0000,22.8700,18.6200,22.1900,554.7500,87240.00
1997-02-25,22.3700,22.5000,20.1200,20.1200,503.0000,57020.00
1997-02-26,20.1200,20.2500,18.5000,19.8700,496.7500,36280.00
1997-02-27,19.8700,21.8700,19.8700,21.2500,531.2500,35390.00
1997-02-28,21.5000,24.0000,21.3700,24.0000,600.0000,58320.00
1997-03-03,23.6200,26.0000,23.3700,25.2500,631.2500,42490.00
1997-03-04,25.5000,26.6200,24.1200,24.8700,621.7500,46830.00
1997-03-05,25.3700,25.7500,24.6200,25.2500,631.2500,16620.00
1997-03-06,25.2500,25.2500,23.3700,23.5000,587.5000,13320.00
1997-03-07,23.6200,25.1200,22.8700,24.8700,621.7500,21070.00
1997-03-10,25.1200,25.1200,24.1200,24.2500,606.2500,14730.00
1997-03-11,24.3700,24.6200,23.5000,23.7500,593.7500,10120.00
1997-03-12,23.0000,23.1200,21.6200,22.5600,564.0000,42700.00
1997-03-13,22.0000,22.6200,21.0000,21.6200,540.5000,16490.00
1997-03-14,21.7500,22.7500,19.7500,20.8700,521.7500,40220.00
1997-03-17,21.0000,21.2500,19.5000,20.3700,509.2500,45260.00
1997-03-18,20.2500,20.7500,19.8100,20.0000,500.0000,10190.00
1997-03-19,19.8700,20.0000,19.5000,19.6200,490.5000,9100.00
1997-03-20,19.7500,20.0000,18.5000,19.2500,481.2500,38300.00
1997-03-21,19.3700,19.3700,18.3700,19.0000,475.0000,9840.00
1997-03-24,19.0000,19.1200,17.5000,18.0600,451.5000,25140.00
1997-03-25,18.2500,18.3700,17.3700,18.2500,456.2500,20960.00
1997-03-26,18.3700,18.3700,17.8700,18.0000,450.0000,18840.00
1997-03-27,18.1200,18.2500,17.5000,17.8700,446.7500,10390.00
1997-03-31,17.5000,18.2500,17.0000,18.0000,450.0000,19630.00
1997-04-01,18.1200,19.6200,18.0000,18.6200,465.5000,30190.00
1997-04-02,18.6200,18.6200,17.5000,17.6900,442.2500,18900.00
1997-04-03,17.5000,17.7500,16.5000,17.0600,426.5000,14630.00
1997-04-04,16.2500,17.8700,15.7500,17.5000,437.5000,18340.00
1997-04-07,17.6200,19.0000,17.5000,18.6200,465.5000,19320.00
1997-04-08,18.6200,19.2500,18.5000,19.0600,476.5000,13950.00
1997-04-09,19.8700,19.8700,19.1200,19.2500,481.2500,11290.00
1997-04-10,19.2500,19.3700,18.7500,19.0000,475.0000,4570.00
1997-04-11,18.3700,18.7500,17.8700,17.8700,446.7500,8700.00
1997-04-14,18.0000,18.0000,17.5000,17.5600,439.0000,5320.00
1997-04-15,18.0000,18.3700,17.5000,17.6200,440.5000,8370.00
1997-04-16,17.6200,17.6200,17.1200,17.3700,434.2500,4180.00
1997-04-17,17.6200,17.6200,15.7500,15.9400,398.5000,31130.00
1997-04-18,15.8800,17.5000,15.7500,17.0600,426.5000,15420.00
1997-04-21,17.1200,17.7500,16.3700,16.5000,412.5000,11450.00
1997-04-22,16.3700,16.7500,16.0000,16.3700,409.2500,9740.00
1997-04-23,16.3700,16.5000,15.2500,16.3100,407.7500,21260.00
1997-04-24,17.5000,19.1200,17.3700,17.6900,442.2500,66310.00
1997-04-25,17.3700,17.3700,15.0000,15.6300,390.7500,50160.00
