Date,Open,High,Low,Close,Adjusted_close,Volume
2015-04-16,31.0000,35.7400,28.2200,30.0000,30.0000,19763334.00
2015-04-17,29.7700,30.3000,26.5100,27.5800,27.5800,3965469.00
2015-04-20,28.7700,28.9000,24.8700,24.9000,24.9000,3076216.00
2015-04-21,24.9700,26.0400,24.5600,25.7500,25.7500,2185407.00
2015-04-22,26.0000,26.2400,24.9500,25.1200,25.1200,1442915.00
2015-04-23,24.9300,25.7400,24.0800,25.6200,25.6200,1299238.00
2015-04-24,25.5500,25.7000,25.0000,25.5800,25.5800,532833.00
2015-04-27,25.7000,26.4700,25.2100,25.9000,25.9000,731504.00
2015-04-28,25.7500,25.9000,24.1800,24.4900,24.4900,954977.00
2015-04-29,24.4900,24.9686,22.3200,22.4200,22.4200,1674691.00
2015-04-30,22.6600,23.1799,21.8200,22.2400,22.2400,1221650.00
2015-05-01,22.2500,23.0000,21.2700,21.7500,21.7500,687379.00
2015-05-04,21.7500,23.2850,21.7500,23.2400,23.2400,648635.00
2015-05-05,23.2200,24.3200,21.9000,24.1500,24.1500,1065845.00
2015-05-06,24.1500,25.4196,23.0320,23.4000,23.4000,1290653.00
2015-05-07,23.4000,24.4200,22.7150,23.6900,23.6900,616890.00
2015-05-08,23.9300,24.1000,22.5000,22.7100,22.7100,784007.00
2015-05-11,20.7100,21.4900,20.0200,20.8500,20.8500,2115351.00
2015-05-12,21.2300,21.4500,20.3601,20.5700,20.5700,1140278.00
2015-05-13,20.5000,20.7800,19.5000,19.8300,19.8300,1536009.00
2015-05-14,19.8300,20.7500,19.6153,20.6000,20.6000,1044166.00
2015-05-15,20.5600,20.8199,19.5100,20.0500,20.0500,1177791.00
2015-05-18,19.5100,20.7500,19.1500,20.5600,20.5600,1211067.00
2015-05-19,20.5600,21.3100,19.6600,21.0000,21.0000,2015138.00
2015-05-20,16.9000,17.3200,15.7000,17.2000,17.2000,11105196.00
2015-05-21,17.3700,17.6900,16.9100,17.5100,17.5100,2319080.00
2015-05-22,17.8200,18.1500,17.0000,17.1700,17.1700,2012076.00
2015-05-26,16.5900,17.3000,16.1801,17.0900,17.0900,1798475.00
2015-05-27,17.0200,17.6300,16.8500,17.0600,17.0600,878589.00
2015-05-28,16.9500,17.1000,16.7200,17.0400,17.0400,489191.00
2015-05-29,17.0000,17.1000,16.5000,16.7600,16.7600,940363.00
2015-06-01,16.7600,16.7700,16.0000,16.0500,16.0500,858370.00
2015-06-02,15.9800,16.1000,15.7300,15.8600,15.8600,763034.00
2015-06-03,15.7000,15.8747,14.9600,15.3200,15.3200,1432977.00
2015-06-04,15.2500,15.6300,15.0000,15.0700,15.0700,807976.00
2015-06-05,15.1500,15.2799,14.6400,15.0300,15.0300,712415.00
2015-06-08,14.9500,15.1300,14.6800,14.8600,14.8600,503307.00
2015-06-09,15.1100,16.2500,15.0100,15.9900,15.9900,2273800.00
2015-06-10,16.0500,18.4200,16.0100,16.7800,16.7800,3384287.00
2015-06-11,17.0800,17.6831,16.7500,16.8600,16.8600,1418064.00
2015-06-12,16.7500,17.1400,16.3200,16.6400,16.6400,747291.00
2015-06-15,16.2000,17.1000,16.1400,16.3200,16.3200,1088417.00
2015-06-16,16.5100,16.8900,16.2000,16.2900,16.2900,767566.00
2015-06-17,16.3000,16.4900,15.6500,15.7700,15.7700,1427871.00
2015-06-18,15.7700,15.8700,14.9000,15.3300,15.3300,1386563.00
2015-06-19,15.2600,15.3900,14.3000,14.3100,14.3100,2590318.00
2015-06-22,14.3800,14.7200,13.7800,14.4200,14.4200,1537430.00
2015-06-23,14.4500,14.8000,14.1301,14.3400,14.3400,916859.00
2015-06-24,14.3300,14.5900,14.1700,14.3900,14.3900,842452.00
2015-06-25,14.4300,14.9600,14.2000,14.9000,14.9000,874884.00
2015-06-26,14.2800,14.5700,13.9500,14.2500,14.2500,4215946.00
2015-06-29,14.0000,14.3100,13.9100,14.2300,14.2300,1251403.00
2015-06-30,14.3000,14.4238,13.9500,14.0500,14.0500,1509222.00
2015-07-01,14.1300,14.4800,13.9600,14.0100,14.0100,1764880.00
2015-07-02,14.0000,14.2400,12.8100,13.2700,13.2700,1977538.00
2015-07-06,13.4600,13.4600,12.8000,13.4000,13.4000,1435040.00
2015-07-07,13.5100,13.5300,13.0001,13.3200,13.3200,1030716.00
2015-07-08,13.1700,14.5600,13.1005,14.5500,14.5500,961003.00
2015-07-09,14.6100,16.2500,14.6000,16.2000,16.2000,1937262.00
2015-07-10,16.2500,17.2900,15.8200,16.5300,16.5300,1260259.00
2015-07-13,16.6500,16.9000,15.6200,16.0300,16.0300,715285.00
2015-07-14,16.1000,17.0200,16.0000,16.5100,16.5100,520176.00
2015-07-15,16.5800,17.1500,16.4100,16.8200,16.8200,1070849.00
2015-07-16,16.9000,17.3000,16.3200,16.8300,16.8300,987952.00
2015-07-17,16.9400,23.4400,16.5700,21.9800,21.9800,11961130.00
2015-07-20,20.4400,20.9700,18.9200,19.5600,19.5600,3561256.00
2015-07-21,19.5500,20.3800,18.6100,18.9800,18.9800,1734628.00
2015-07-22,18.8200,19.4600,18.0200,18.4500,18.4500,869429.00
2015-07-23,18.3700,19.1397,17.7700,18.4400,18.4400,1156252.00
2015-07-24,18.3100,19.8900,18.1600,19.3100,19.3100,1292397.00
2015-07-27,19.2800,19.4700,18.1609,18.3000,18.3000,645512.00
2015-07-28,18.4700,19.1500,18.3100,18.6500,18.6500,955764.00
2015-07-29,18.7000,19.4500,18.2500,18.9800,18.9800,874734.00
2015-07-30,18.9600,21.6581,18.9024,21.2000,21.2000,2323709.00
2015-07-31,21.3000,21.9000,20.4100,20.8400,20.8400,1922560.00
2015-08-03,21.0000,21.4800,19.8500,20.5000,20.5000,1829680.00
2015-08-04,20.3600,20.5900,18.8100,19.2300,19.2300,3028649.00
2015-08-05,15.6200,16.2800,13.6300,13.7800,13.7800,4141866.00
2015-08-06,13.8200,13.9100,13.0601,13.5900,13.5900,2054276.00
2015-08-07,13.5400,13.7700,13.2100,13.4400,13.4400,1104970.00
2015-08-10,13.5200,14.3400,13.3000,14.2900,14.2900,680611.00
2015-08-11,14.1900,16.1000,13.8600,16.0100,16.0100,1201183.00
2015-08-12,16.0000,18.5700,15.5600,16.8800,16.8800,2097513.00
2015-08-13,16.9900,17.7300,16.4500,16.9900,16.9900,1288571.00
2015-08-14,17.0700,17.6500,16.6500,17.0800,17.0800,1143199.00
2015-08-17,17.5400,17.6400,16.5000,17.3500,17.3500,1132284.00
2015-08-18,17.1600,17.4700,15.7800,15.8600,15.8600,793448.00
2015-08-19,15.6800,16.0344,14.9300,14.9800,14.9800,845062.00
2015-08-20,14.6100,14.9647,13.8000,14.2500,14.2500,853919.00
2015-08-21,13.9100,14.1100,13.2500,13.4600,13.4600,1224424.00
2015-08-24,12.5800,13.6799,11.8500,12.9300,12.9300,1002612.00
2015-08-25,13.9000,14.0000,12.8400,12.8700,12.8700,638717.00
2015-08-26,13.2000,13.3000,12.6300,13.0400,13.0400,580913.00
2015-08-27,13.2500,14.3100,13.1900,14.2900,14.2900,838406.00
2015-08-28,14.2200,15.1900,14.1200,14.8200,14.8200,661493.00
2015-08-31,14.6100,14.8800,13.8800,14.3300,14.3300,782887.00
2015-09-01,13.8400,14.4500,13.8050,14.0600,14.0600,440741.00
2015-09-02,14.2300,14.5650,13.8800,14.3500,14.3500,431796.00
2015-09-03,14.2600,14.7899,13.9400,14.0200,14.0200,398438.00
2015-09-04,13.9000,14.3000,13.7100,14.2100,14.2100,297827.00
2015-09-08,14.5700,14.6500,14.0800,14.3600,14.3600,252365.00
2015-09-09,14.5400,14.6000,13.9000,13.9900,13.9900,516774.00
2015-09-10,13.8900,14.3000,13.8700,14.2300,14.2300,337045.00
2015-09-11,14.0800,14.3800,13.9600,14.3100,14.3100,270272.00
2015-09-14,14.1700,14.5000,13.9800,14.3800,14.3800,209887.00
2015-09-15,14.4800,14.7600,14.3800,14.6000,14.6000,189978.00
2015-09-16,14.5300,14.6600,14.1400,14.3900,14.3900,207256.00
2015-09-17,14.3200,15.6600,14.3200,15.6100,15.6100,643488.00
2015-09-18,15.2800,15.7000,14.9000,15.4000,15.4000,617239.00
2015-09-21,15.4400,16.7300,15.1700,15.9000,15.9000,897399.00
2015-09-22,15.5000,15.9900,15.1000,15.1800,15.1800,393386.00
2015-09-23,15.1600,15.3400,14.3400,14.6100,14.6100,341399.00
2015-09-24,14.3900,14.9900,14.1600,14.9800,14.9800,244146.00
2015-09-25,15.1300,15.2900,14.0000,14.1100,14.1100,425515.00
2015-09-28,14.1200,14.3700,13.8600,13.8800,13.8800,592046.00
2015-09-29,13.9400,14.2000,13.5200,13.8200,13.8200,540583.00
2015-09-30,14.0000,14.1899,13.3100,13.6900,13.6900,500820.00
2015-10-01,13.9100,14.3500,13.4300,14.1500,14.1500,315892.00
2015-10-02,14.0800,14.5700,13.8900,14.3200,14.3200,394217.00
2015-10-05,14.3800,15.1100,14.0501,14.6600,14.6600,261402.00
2015-10-06,14.7400,14.8800,13.6400,14.0700,14.0700,385901.00
2015-10-07,14.1000,14.7000,13.9600,14.1800,14.1800,299129.00
2015-10-08,13.2700,13.9500,13.2000,13.5700,13.5700,902394.00
2015-10-09,13.6300,14.0700,13.1500,13.8600,13.8600,290006.00
2015-10-12,13.6700,13.6700,12.2050,12.3100,12.3100,612748.00
