Date,Open,High,Low,Close,Adjusted_close,Volume
1990-08-17,14.0000,15.0000,14.0000,14.5000,1.6916,17904800.00
1990-08-20,14.5000,15.2500,14.2500,15.0000,1.7500,2821600.00
1990-08-21,14.7500,15.5000,14.5000,15.1200,1.7640,5016000.00
1990-08-22,15.7500,16.2500,15.0000,15.7500,1.8375,642400.00
1990-08-23,16.0000,16.0000,14.7500,15.0000,1.7500,2606400.00
1990-08-24,15.7500,15.7500,14.7500,15.2500,1.7791,767200.00
1990-08-27,15.7500,16.5000,15.2500,16.3800,1.9110,531200.00
1990-08-28,16.5000,16.5000,15.7500,16.1200,1.8806,600800.00
1990-08-29,16.2500,16.5000,15.7500,15.7500,1.8375,464800.00
1990-08-30,15.7500,16.1200,15.5000,16.1200,1.8806,268000.00
1990-08-31,15.5000,16.2500,15.5000,15.7500,1.8375,720800.00
1990-09-04,16.2500,16.2500,15.5000,15.5000,1.8083,196800.00
1990-09-05,15.7500,16.0000,15.7500,15.7500,1.8375,9600.00
1990-09-06,15.7500,16.7500,15.7500,16.2500,1.8958,916000.00
1990-09-07,16.2500,16.2500,16.0000,16.1200,1.8806,164000.00
1990-09-10,16.0000,16.2500,16.0000,16.2500,1.8958,365600.00
1990-09-11,16.2500,16.2500,15.7500,16.0000,1.8666,113600.00
1990-09-12,16.2500,16.2500,15.7500,15.7500,1.8375,225600.00
1990-09-13,15.7500,16.1200,15.2500,15.2500,1.7791,1839200.00
1990-09-14,15.2500,15.7500,15.2500,15.2500,1.7791,372000.00
1990-09-17,15.5000,15.5000,15.2500,15.5000,1.8083,590400.00
1990-09-18,15.2500,15.2500,15.2500,15.2500,1.7791,5600.00
1990-09-19,15.5000,16.0000,15.2500,15.5000,1.8083,165600.00
1990-09-20,15.5000,16.0000,15.5000,15.7500,1.8375,536800.00
1990-09-21,15.5000,16.2500,15.5000,16.2500,1.8958,580000.00
1990-09-24,16.0000,16.0000,15.5000,15.5000,1.8083,673600.00
1990-09-25,15.7500,16.0000,15.5000,15.6200,1.8223,1116000.00
1990-09-26,15.5000,16.0000,15.5000,15.5000,1.8083,509600.00
1990-09-27,15.5000,15.6200,15.2500,15.6200,1.8223,1263200.00
1990-09-28,15.5000,15.5000,15.2500,15.2500,1.7791,1484000.00
1990-10-01,15.0000,15.2500,15.0000,15.2500,1.7791,38400.00
1990-10-02,16.0000,17.0000,16.0000,16.8800,1.9693,1228000.00
1990-10-03,17.0000,17.0000,16.2500,16.6200,1.9390,609600.00
1990-10-04,16.2500,16.7500,16.0000,16.2500,1.8958,226400.00
1990-10-05,15.7500,16.2500,15.7500,16.0000,1.8666,186400.00
1990-10-08,16.2500,16.2500,15.7500,16.2500,1.8958,48800.00
