Date,Open,High,Low,Close,Adjusted_close,Volume
1992-08-17,6.0000,6.0000,5.7500,5.7500,1.8562,24599.00
1992-08-18,6.0000,6.0000,5.7500,5.7500,1.8562,49199.00
1992-08-19,5.7500,6.0000,5.7500,5.7500,1.8562,22799.00
1992-08-20,6.0000,6.0000,5.7500,6.0000,1.9369,93200.00
1992-08-21,5.7500,6.0000,5.7500,5.8700,1.8949,18800.00
1992-08-24,5.7500,5.7500,5.7500,5.7500,1.8562,29999.00
1992-08-25,5.8700,5.8700,5.8700,5.8700,1.8949,4199.00
1992-08-26,5.7500,5.8700,5.7500,5.7500,1.8562,48599.00
1992-08-27,5.8700,6.0000,5.7500,6.0000,1.9369,91799.00
1992-08-28,6.0000,6.0000,5.6200,5.8700,1.8949,59999.00
1992-08-31,5.6200,5.7500,5.3800,5.3800,1.7367,165599.00
1992-09-01,5.7500,5.7500,5.3800,5.7500,1.8562,38399.00
1992-09-02,5.5000,5.6200,5.5000,5.5000,1.7755,34199.00
1992-09-03,5.3800,5.3800,5.0000,5.1200,1.6528,168200.00
1992-09-04,5.3800,5.3800,5.3800,5.3800,1.7367,10400.00
1992-09-08,5.1200,5.1200,5.1200,5.1200,1.6528,8000.00
1992-09-09,5.2500,5.2500,5.0000,5.2500,1.6948,8000.00
1992-09-10,5.2500,5.3800,5.1200,5.3800,1.7367,21800.00
1992-09-11,5.1200,5.3800,5.1200,5.1200,1.6528,9599.00
1992-09-14,5.1200,5.2500,5.1200,5.1200,1.6528,17600.00
1992-09-15,5.3800,5.3800,5.1200,5.1200,1.6528,37799.00
1992-09-16,5.1200,5.2500,5.0000,5.1200,1.6528,303800.00
1992-09-17,5.2500,5.6200,5.1200,5.6200,1.8142,276200.00
1992-09-18,5.6200,5.6200,5.3800,5.6200,1.8142,86999.00
1992-09-21,5.6200,5.6200,5.3800,5.6200,1.8142,69599.00
1992-09-22,5.5000,5.5000,5.3800,5.3800,1.7367,8999.00
1992-09-23,5.6200,5.6200,5.5000,5.6200,1.8142,62999.00
1992-09-24,5.7500,5.8700,5.6200,5.6200,1.8142,32999.00
1992-09-25,5.8700,6.0000,5.6200,5.7500,1.8562,133799.00
1992-09-28,5.8700,5.8700,5.7500,5.8700,1.8949,5000.00
1992-09-29,5.7500,6.0000,5.7500,5.8700,1.8949,68399.00
1992-09-30,5.7500,5.7500,5.6200,5.6200,1.8142,5000.00
1992-10-01,5.8700,5.8700,5.8700,5.8700,1.8949,15200.00
1992-10-02,5.7500,5.7500,5.6200,5.6200,1.8142,7400.00
1992-10-05,5.6200,5.6200,5.3800,5.6200,1.8142,26000.00
1992-10-06,5.5000,5.8700,5.5000,5.8700,1.8949,56000.00
1992-10-07,5.8700,5.8700,5.6200,5.8700,1.8949,4400.00
1992-10-08,5.8700,5.8700,5.5000,5.6200,1.8142,9200.00
1992-10-09,5.6200,5.6200,5.6200,5.6200,1.8142,1400.00
1992-10-12,5.6200,5.6200,5.6200,5.6200,1.8142,599.00
1992-10-13,5.8700,5.8700,5.6200,5.6200,1.8142,21599.00
1992-10-14,5.7500,5.7500,5.7500,5.7500,1.8562,8999.00
1992-10-15,5.7500,5.8700,5.6200,5.7500,1.8562,31799.00
1992-10-16,5.7500,5.8700,5.7500,5.7500,1.8562,15800.00
1992-10-19,5.8700,5.8700,5.6200,5.7500,1.8562,68999.00
1992-10-20,5.7500,5.8700,5.7500,5.8700,1.8949,47999.00
1992-10-21,5.8700,6.1300,5.8700,6.1300,1.9788,56600.00
1992-10-22,6.0000,6.2500,5.8700,6.2500,2.0176,137600.00
1992-10-23,6.2500,6.2500,6.0000,6.2500,2.0176,12200.00
1992-10-26,6.0000,6.1300,6.0000,6.1300,1.9788,27800.00
1992-10-27,6.1300,6.1300,5.7500,5.8700,1.8949,46799.00
1992-10-28,6.1300,6.2500,5.8700,5.8700,1.8949,102800.00
1992-10-29,6.2500,6.2500,6.0000,6.2500,2.0176,78200.00
1992-10-30,6.2500,6.2500,5.8700,5.8700,1.8949,54800.00
1992-11-02,6.0000,6.1300,5.8700,5.8700,1.8949,16799.00
1992-11-03,6.2500,6.2500,5.7500,6.0000,1.9369,58400.00
1992-11-04,5.8700,6.0000,5.8700,6.0000,1.9369,49799.00
1992-11-05,5.8700,6.1300,5.8700,6.1300,1.9788,4799.00
1992-11-06,6.1300,6.1300,5.8700,5.8700,1.8949,42800.00
1992-11-09,5.7500,6.0000,5.6200,5.7500,1.8562,27599.00
1992-11-10,5.7500,5.8700,5.2500,5.2500,1.6948,116600.00
1992-11-11,5.5000,5.5000,5.0000,5.5000,1.7755,190199.00
1992-11-12,5.6200,5.6200,5.5000,5.6200,1.8142,97799.00
1992-11-13,5.6200,5.8700,5.5000,5.8700,1.8949,110600.00
1992-11-16,5.8700,5.8700,5.6200,5.7500,1.8562,49799.00
1992-11-17,5.8700,6.1300,5.7500,5.8700,1.8949,360200.00
1992-11-18,6.0000,6.2500,6.0000,6.2500,2.0176,443999.00
1992-11-19,6.2500,6.2500,6.1300,6.2500,2.0176,104999.00
1992-11-20,6.2500,6.3800,6.0000,6.0000,1.9369,320000.00
1992-11-23,6.2500,6.3800,6.0000,6.2500,2.0176,107399.00
1992-11-24,6.1300,6.5000,6.1300,6.3800,2.0595,62999.00
1992-11-25,6.2500,6.6200,6.2500,6.5000,2.0983,68600.00
1992-11-27,6.5000,6.8800,6.5000,6.8800,2.2209,86399.00
1992-11-30,6.8800,6.8800,6.8800,6.8800,2.2209,13400.00
1992-12-01,6.8800,6.8800,6.5000,6.7500,2.1790,53600.00
1992-12-02,6.8800,6.8800,6.5000,6.8800,2.2209,72200.00
1992-12-03,6.8800,7.0000,6.7500,7.0000,2.2597,82799.00
1992-12-04,6.8800,7.3700,6.8800,7.1200,2.2984,52199.00
1992-12-07,7.0000,7.3700,7.0000,7.3700,2.3791,43400.00
1992-12-08,7.2500,7.5000,7.1200,7.2500,2.3404,99200.00
1992-12-09,7.2500,7.2500,7.0000,7.0000,2.2597,39800.00
1992-12-10,7.0000,7.2500,6.8800,7.0000,2.2597,30599.00
1992-12-11,7.0000,7.2500,7.0000,7.1200,2.2984,62600.00
1992-12-14,6.8800,7.0000,6.8800,7.0000,2.2597,26999.00
1992-12-15,7.1200,7.2500,6.8800,6.8800,2.2209,81800.00
1992-12-16,7.0000,7.1200,6.7500,6.7500,2.1790,24800.00
1992-12-17,6.8800,7.0000,6.7500,7.0000,2.2597,32600.00
1992-12-18,6.8800,7.0000,6.8800,6.8800,2.2209,8999.00
