Date,Open,High,Low,Close,Adjusted_close,Volume
2007-05-10,30.0400,30.0400,30.0100,30.0100,26.0795,2000.00
2007-05-11,30.0100,30.0100,30.0100,30.0100,26.0795,1000.00
2007-05-14,30.0400,30.0400,30.0400,30.0400,26.1056,500.00
2007-05-15,30.0600,30.0600,29.8800,29.8800,25.9665,1000.00
2007-05-16,30.0100,30.0100,30.0100,30.0100,26.0795,100.00
2007-05-17,30.0600,30.0800,30.0600,30.0800,26.1403,2400.00
2007-05-18,30.2500,30.2500,30.2500,30.2500,26.2881,600.00
2007-05-21,30.2500,30.2500,30.2500,30.2500,26.2881,600.00
2007-05-22,30.2500,30.2500,30.2500,30.2500,26.2881,600.00
2007-05-23,30.2500,30.2500,30.2500,30.2500,26.2881,600.00
2007-05-24,30.3900,30.3900,30.3900,30.3900,26.4097,300.00
2007-05-25,30.3900,30.3900,30.3900,30.3900,26.4097,300.00
2007-05-29,30.1900,30.2100,30.1900,30.2100,26.2533,900.00
2007-05-30,30.1000,30.1400,30.1000,30.1400,26.1925,10500.00
2007-05-31,30.5100,30.5500,30.4600,30.5100,26.5140,7900.00
2007-06-01,30.6900,30.6900,30.6900,30.6900,26.6704,500.00
2007-06-04,30.6500,30.7100,30.6500,30.7100,26.6878,3500.00
2007-06-05,30.5800,30.5800,30.5800,30.5800,26.5748,400.00
2007-06-06,30.2600,30.2600,30.2600,30.2600,26.2968,2500.00
2007-06-07,29.8600,29.8600,29.8100,29.8100,25.9057,1100.00
2007-06-08,29.7300,29.7300,29.7300,29.7300,25.8362,800.00
2007-06-11,29.7300,29.7300,29.7300,29.7300,25.8362,1100.00
2007-06-12,29.8400,29.8900,29.7300,29.7300,25.8362,25700.00
2007-06-13,29.9400,29.9800,29.9400,29.9800,26.0534,700.00
2007-06-14,30.3300,30.3300,30.3300,30.3300,26.3576,400.00
2007-06-15,30.6000,30.6000,30.5300,30.5300,26.5314,700.00
2007-06-18,30.5900,30.5900,30.5100,30.5100,26.5140,6000.00
