Date,Open,High,Low,Close,Adjusted_close,Volume
2007-05-10,29.8000,29.9200,29.7900,29.8300,27.2185,13400.00
2007-05-11,29.8900,29.9500,29.8900,29.9100,27.2915,15400.00
2007-05-14,29.9600,29.9600,29.8600,29.8600,27.2459,12000.00
2007-05-15,29.8900,30.0000,29.8400,29.9900,27.3645,5200.00
2007-05-16,29.7700,29.7700,29.6500,29.6900,27.0908,6600.00
2007-05-17,29.9700,30.0200,29.9600,30.0100,27.3827,11000.00
2007-05-18,30.0000,30.2000,30.0000,30.2000,27.5561,8800.00
2007-05-21,30.4400,30.4400,30.4400,30.4400,27.7751,1000.00
2007-05-22,30.4700,30.5900,30.4700,30.5900,27.9120,6500.00
2007-05-23,30.5800,30.5800,30.5600,30.5600,27.8846,800.00
2007-05-24,30.3900,30.3900,29.9700,29.9700,27.3462,14700.00
2007-05-25,30.1200,30.1700,30.1200,30.1700,27.5287,12900.00
2007-05-29,30.3400,30.4401,30.2600,30.2700,27.6200,20000.00
2007-05-30,30.3400,30.4600,30.3400,30.4600,27.7933,600.00
2007-05-31,30.8100,30.8100,30.8100,30.8100,28.1127,600.00
2007-06-01,30.8100,30.8100,30.8100,30.8100,28.1127,0.00
2007-06-04,30.9800,31.0400,30.9800,31.0000,28.2861,8800.00
2007-06-05,30.9100,30.9300,30.9100,30.9300,28.2222,2100.00
2007-06-06,30.9300,30.9300,30.9300,30.9300,28.2222,200.00
2007-06-07,30.4400,30.4400,30.4400,30.4400,27.7751,300.00
2007-06-08,29.7900,29.9700,29.7900,29.9700,27.3462,11500.00
2007-06-11,29.9700,29.9700,29.9700,29.9700,27.3462,300.00
2007-06-12,30.1300,30.1300,29.8300,29.8300,27.2185,900.00
2007-06-13,29.8300,29.8300,29.8300,29.8300,27.2185,300.00
2007-06-14,30.4500,30.4500,30.4300,30.4300,27.7660,2400.00
2007-06-15,30.7200,30.7500,30.7200,30.7500,28.0580,1300.00
2007-06-18,30.6500,30.6500,30.6500,30.6500,27.9667,1100.00
2007-06-19,30.6400,30.6400,30.4800,30.6000,27.9211,600.00
2007-06-20,30.5801,30.6400,30.2300,30.6400,27.9576,1300.00
2007-06-21,30.3400,30.4800,30.3400,30.4800,27.8116,300.00
2007-06-22,30.2500,30.2800,30.2500,30.2800,27.6291,400.00
2007-06-25,30.2800,30.2800,30.2800,30.2800,27.6291,400.00
2007-06-26,29.9100,29.9100,29.9100,29.9100,27.2915,100.00
2007-06-27,29.6500,30.1800,29.6500,30.1800,27.5379,1200.00
2007-06-28,30.1800,30.1800,30.1800,30.1800,27.5379,700.00
2007-06-29,30.4200,30.4300,30.1800,30.1800,27.5379,1200.00
2007-07-02,30.4500,30.5400,30.4300,30.5000,27.8298,14700.00
2007-07-03,30.5000,30.5000,30.5000,30.5000,27.8298,8000.00
2007-07-05,30.7500,30.7500,30.5700,30.5700,27.8937,3500.00
2007-07-06,30.9500,30.9500,30.9100,30.9200,28.2131,30200.00
2007-07-09,30.9700,31.0200,30.8400,31.0100,28.2952,2700.00
2007-07-10,30.5100,30.8800,30.5100,30.5100,27.8390,600.00
2007-07-11,30.5300,30.6400,30.5300,30.6200,27.9393,2700.00
2007-07-12,30.9600,31.1500,30.9600,31.1500,28.4229,4500.00
2007-07-13,31.1300,31.1400,31.1000,31.1000,28.3773,600.00
2007-07-16,31.1300,31.1700,31.0200,31.0200,28.3043,1900.00
2007-07-17,31.0200,31.0200,31.0200,31.0200,28.3043,100.00
2007-07-18,30.7400,30.9100,30.7400,30.9100,28.2039,700.00
2007-07-19,31.0600,31.1000,31.0500,31.0600,28.3408,14300.00
2007-07-20,30.6800,31.0300,30.6800,30.6800,27.9941,900.00
2007-07-23,30.8200,30.8200,30.6700,30.6700,27.9850,1400.00
2007-07-24,30.1800,30.2400,29.8300,29.8400,27.2276,80500.00
2007-07-25,30.1400,30.1400,29.7400,29.7400,27.1364,1500.00
2007-07-26,29.1500,29.2000,28.8100,29.1500,26.5980,5400.00
