Date,Open,High,Low,Close,Adjusted_close,Volume
2014-03-06,20.0900,20.1300,19.8640,19.8640,19.4783,926428.00
2014-03-07,20.0900,20.0900,19.7000,19.8600,19.4744,499397.00
2014-03-10,19.8600,19.8600,19.6800,19.8200,19.4352,221986.00
2014-03-11,20.4900,20.4900,19.6200,19.6700,19.2881,306771.00
2014-03-12,19.6400,19.7399,19.4900,19.6900,19.3077,161988.00
2014-03-13,19.8500,19.8500,19.3200,19.3900,19.0135,417144.00
2014-03-14,19.4000,19.4800,19.3200,19.3700,18.9939,684211.00
2014-03-17,19.4100,19.6100,19.4100,19.4700,19.0919,225050.00
2014-03-18,19.6300,19.7800,19.5590,19.7780,19.3940,256417.00
2014-03-19,19.9400,19.9400,19.5336,19.6300,19.2488,319353.00
2014-03-20,19.7200,19.7200,19.5300,19.6200,19.2390,234569.00
2014-03-21,19.7800,19.8100,19.2900,19.3000,18.9252,1081145.00
2014-03-24,19.4700,19.4700,18.7200,18.9500,18.5820,443294.00
2014-03-25,19.1400,19.2000,18.7601,18.9199,18.5525,658149.00
2014-03-26,19.0600,19.0600,18.6701,18.6800,18.3173,343163.00
2014-03-27,18.7700,18.7900,18.4200,18.6800,18.3173,208570.00
2014-03-28,18.7699,18.8500,18.5000,18.5900,18.2290,243077.00
2014-03-31,18.8000,18.8900,18.6848,18.8700,18.5036,546144.00
2014-04-01,19.0200,19.1999,18.8900,19.1600,18.7880,223251.00
2014-04-02,19.3700,19.3700,19.1087,19.2100,18.8370,591766.00
2014-04-03,19.3000,19.3000,18.8000,18.9300,18.5624,212219.00
2014-04-04,19.1400,19.1400,18.3700,18.4599,18.1015,248464.00
2014-04-07,18.4500,18.5100,18.0700,18.2600,17.9054,153735.00
2014-04-08,18.3200,18.3700,18.1100,18.3300,17.9741,193697.00
2014-04-09,18.4500,18.7300,18.3900,18.7300,18.3663,540455.00
2014-04-10,18.7800,18.7800,17.9699,18.0800,17.7289,195305.00
2014-04-11,17.9500,18.1500,17.7101,17.7480,17.4034,194533.00
2014-04-14,18.0000,18.0300,17.6100,17.8400,17.4936,124904.00
2014-04-15,17.9800,18.0100,17.3900,17.9400,17.5917,829018.00
2014-04-16,18.1900,18.2300,18.0000,18.2300,17.8760,377843.00
2014-04-17,18.2500,18.3400,18.1000,18.2200,17.8662,239543.00
2014-04-21,18.3400,18.3400,18.1300,18.3400,17.9839,218035.00
2014-04-22,18.5200,18.6700,18.4000,18.6100,18.2486,710520.00
2014-04-23,18.6600,18.6600,18.4100,18.4300,18.0721,215393.00
2014-04-24,18.6700,18.6700,18.1600,18.4700,18.1114,245196.00
2014-04-25,18.4600,18.4600,18.0178,18.0500,17.6995,217516.00
2014-04-28,18.2300,18.2300,17.6810,17.9900,17.6407,176062.00
2014-04-29,18.1700,18.2300,17.9900,18.2100,17.8564,279053.00
2014-04-30,18.2400,18.3100,18.0200,18.3100,17.9545,241962.00
2014-05-01,18.2100,18.5700,18.2100,18.4140,18.0565,141985.00
2014-05-02,18.5200,18.5500,18.2800,18.3700,18.0133,225487.00
2014-05-05,18.3500,18.5100,18.1800,18.5100,18.1506,302971.00
2014-05-06,18.9900,18.9900,18.2200,18.2500,17.8956,490567.00
2014-05-07,18.3900,18.3900,17.9200,18.1700,17.8172,188295.00
2014-05-08,18.2200,18.4000,17.9900,18.0700,17.7191,158567.00
2014-05-09,18.1700,18.2700,17.9800,18.2300,17.8760,319288.00
2014-05-12,18.3800,18.6500,18.3600,18.6500,18.2879,321057.00
2014-05-13,18.7800,18.7800,18.5977,18.6000,18.2388,192674.00
2014-05-14,18.6400,18.6494,18.4600,18.5100,18.1506,169801.00
2014-05-15,18.5900,18.5900,18.1104,18.3300,17.9741,181629.00
2014-05-16,18.4500,18.4500,18.2000,18.3500,17.9937,258611.00
2014-05-19,18.3201,18.6100,18.3201,18.6100,18.2486,242595.00
2014-05-20,18.6500,18.6500,18.3200,18.4200,18.0623,184199.00
2014-05-21,18.5300,18.5400,18.4000,18.5400,18.1800,229937.00
2014-05-22,18.4700,18.7400,18.4700,18.6800,18.3173,142193.00
2014-05-23,18.7900,18.7900,18.6380,18.7800,18.4153,112712.00
2014-05-27,18.9200,18.9900,18.8485,18.9900,18.6213,284297.00
2014-05-28,19.0300,19.0600,18.8500,18.9300,18.5624,627098.00
2014-05-29,19.0600,19.0800,18.9501,19.0800,18.7095,238218.00
2014-05-30,19.1300,19.1300,18.9200,19.0400,18.6703,599120.00
2014-06-02,19.1600,19.1600,18.8955,19.0300,18.6605,269273.00
2014-06-03,19.0900,19.0900,18.9000,19.0500,18.6801,286600.00
2014-06-04,18.9300,19.1700,18.9280,19.1500,18.7782,295566.00
2014-06-05,19.2500,19.3500,19.0900,19.3100,18.9351,429422.00
2014-06-06,19.3900,19.3900,19.2800,19.3800,19.0037,655175.00
2014-06-09,19.4400,19.4900,19.3320,19.3500,18.9743,205638.00
2014-06-10,19.4400,19.4400,19.2853,19.4100,19.0331,766277.00
2014-06-11,19.4300,19.4300,19.2800,19.3400,18.9645,1320994.00
2014-06-12,19.4900,19.4900,19.2100,19.3000,18.9252,173074.00
2014-06-13,19.4500,19.4500,19.2000,19.3600,18.9841,183784.00
2014-06-16,19.4500,19.4500,19.2880,19.4200,19.0429,143409.00
2014-06-17,19.5100,19.5300,19.3900,19.5000,19.1214,527191.00
2014-06-18,19.5600,19.6900,19.4100,19.6900,19.3077,386436.00
2014-06-19,19.7500,19.7500,19.5300,19.6001,19.2195,203340.00
2014-06-20,19.8000,19.8000,19.5920,19.7000,19.3175,148147.00
2014-06-23,19.6400,19.7494,19.6400,19.6800,19.2979,152376.00
2014-06-24,19.8300,19.8782,19.6000,19.6500,19.2685,182972.00
2014-06-25,19.6100,19.7700,19.6010,19.7700,19.3861,130055.00
2014-06-26,19.8200,19.8200,19.5560,19.7300,19.3469,219215.00
2014-06-27,19.7600,19.8000,19.6618,19.8000,19.4155,124655.00
2014-06-30,19.8600,19.8600,19.7600,19.8300,19.4450,216283.00
2014-07-01,19.9000,20.1100,19.8800,20.0830,19.6930,197203.00
2014-07-02,20.1700,20.1700,20.0300,20.0800,19.6901,168468.00
2014-07-03,20.2100,20.2100,20.0899,20.1900,19.7980,137461.00
2014-07-07,20.2600,20.2600,19.9300,19.9400,19.5528,362206.00
2014-07-08,20.0200,20.0200,19.5300,19.6200,19.2390,202423.00
2014-07-09,19.7500,19.7800,19.5800,19.7200,19.3371,233717.00
2014-07-10,19.5600,19.7700,19.4000,19.6400,19.2586,376651.00
2014-07-11,19.6200,19.7900,19.6200,19.7500,19.3665,210218.00
2014-07-14,19.9400,19.9400,19.8304,19.8740,19.4881,93571.00
2014-07-15,19.9600,19.9600,19.5900,19.6700,19.2881,393394.00
2014-07-16,19.8200,19.8200,19.5601,19.5900,19.2096,254052.00
2014-07-17,19.5500,19.6199,19.2600,19.3100,18.9351,180049.00
2014-07-18,19.4500,19.6400,19.3995,19.6300,19.2488,150327.00
2014-07-21,19.6700,19.6700,19.4820,19.5700,19.1900,144756.00
2014-07-22,19.7000,19.7740,19.6100,19.7399,19.3566,119725.00
2014-07-23,19.8500,19.8950,19.7999,19.8900,19.5038,536391.00
2014-07-24,19.9634,19.9634,19.8500,19.8970,19.5107,145870.00
2014-07-25,19.8900,19.8900,19.6899,19.7300,19.3469,322554.00
2014-07-28,19.8600,19.8600,19.5900,19.6900,19.3077,199169.00
2014-07-29,19.8100,19.8411,19.7100,19.7400,19.3567,265366.00
2014-07-30,19.9300,19.9300,19.7394,19.8100,19.4253,168580.00
2014-07-31,19.7700,19.7700,19.3500,19.3800,19.0037,313710.00
2014-08-01,19.4800,19.5299,19.2200,19.4000,19.0233,355593.00
2014-08-04,19.4500,19.5999,19.3700,19.5700,19.1900,114224.00
2014-08-05,19.5900,19.6300,19.3600,19.4757,19.0975,184568.00
2014-08-06,19.2700,19.5883,19.2205,19.4800,19.1018,242312.00
2014-08-07,19.6400,19.6400,19.3001,19.3700,18.9939,191010.00
2014-08-08,19.4600,19.5500,19.3300,19.5400,19.1606,207890.00
2014-08-11,19.5600,19.7500,19.5600,19.6800,19.2979,275575.00
2014-08-12,19.6900,19.6900,19.5589,19.6400,19.2586,161574.00
2014-08-13,19.8100,19.8500,19.6200,19.8400,19.4548,226985.00
2014-08-14,19.8200,20.0100,19.8200,19.9975,19.6092,172927.00
2014-08-15,20.1300,20.1300,19.8357,20.0200,19.6313,412966.00
2014-08-18,20.2300,20.2400,20.1100,20.2000,19.8078,415609.00
2014-08-19,20.3600,20.3600,20.2200,20.3000,19.9058,453251.00
2014-08-20,20.3800,20.3800,20.2375,20.3600,19.9647,680661.00
2014-08-21,20.4200,20.4200,20.2600,20.3100,19.9156,217100.00
2014-08-22,20.3600,20.4000,20.2400,20.3600,19.9647,179588.00
2014-08-25,20.5400,20.6500,20.5400,20.6070,20.2069,426055.00
2014-08-26,20.7400,20.7400,20.6090,20.7000,20.2981,596504.00
2014-08-27,20.6400,20.7100,20.6400,20.6800,20.2785,140095.00
