Date,Open,High,Low,Close,Adjusted_close,Volume
2016-03-18,20.0900,20.1200,20.0799,20.0900,19.8225,12279.00
2016-03-21,20.0800,20.1100,20.0746,20.1100,19.8422,6013.00
2016-03-22,20.1000,20.1300,20.0500,20.1000,19.8323,14812.00
2016-03-23,20.0700,20.0700,20.0374,20.0374,19.7706,39082.00
2016-03-24,19.9800,20.0300,19.9601,20.0300,19.7633,75586.00
2016-03-28,20.0400,20.0600,20.0143,20.0400,19.7731,26073.00
2016-03-29,20.2400,20.2400,19.9785,20.2000,19.9310,66345.00
2016-03-30,20.3600,20.3600,20.1800,20.2000,19.9310,294258.00
2016-03-31,20.2900,20.2900,20.2000,20.2400,19.9705,243132.00
2016-04-01,20.2600,20.2600,20.1200,20.2400,19.9705,296060.00
2016-04-04,20.3200,20.3200,20.1300,20.1300,19.8619,281235.00
2016-04-05,20.0900,20.0900,20.0013,20.0100,19.7435,85477.00
2016-04-06,20.1500,20.1500,19.9700,20.1500,19.8817,112809.00
2016-04-07,20.2400,20.2400,19.9700,20.0300,19.7633,43072.00
2016-04-08,20.1300,20.1500,20.0600,20.0900,19.8225,44220.00
2016-04-11,20.3300,20.3300,20.0000,20.0000,19.7337,76541.00
2016-04-12,20.1300,20.3268,19.9800,20.3000,20.0297,43092.00
2016-04-13,20.5200,20.5200,20.3181,20.4400,20.1678,135982.00
2016-04-14,20.5600,20.5600,20.3367,20.3600,20.0889,295507.00
2016-04-15,20.2700,20.3600,20.2000,20.3500,20.0790,118968.00
2016-04-18,20.3300,20.5000,20.2800,20.4500,20.1777,63430.00
2016-04-19,20.6200,20.6200,20.4800,20.5600,20.2862,95570.00
2016-04-20,20.7100,20.7100,20.5000,20.5800,20.3059,75963.00
2016-04-21,20.7000,20.7000,20.3800,20.4000,20.1283,61965.00
2016-04-22,20.4900,20.5374,20.4400,20.5200,20.2467,60920.00
2016-04-25,20.5900,20.5900,20.3570,20.4200,20.1481,168533.00
2016-04-26,20.5500,20.5500,20.4400,20.5400,20.2665,137570.00
2016-04-27,20.6880,20.8000,20.6100,20.7440,20.4678,92649.00
2016-04-28,20.6000,20.8900,20.6000,20.6200,20.3454,77219.00
2016-04-29,20.6868,20.7100,20.4600,20.6400,20.3651,241395.00
2016-05-02,20.6600,20.7500,20.5980,20.7400,20.4638,39000.00
2016-05-03,20.5600,20.5600,20.3900,20.4399,20.1677,68051.00
2016-05-04,20.4200,20.4699,20.2700,20.3400,20.0691,44929.00
2016-05-05,20.4200,20.4400,20.2065,20.2500,19.9803,31900.00
2016-05-06,20.2000,20.3600,20.2000,20.3400,20.0691,17191.00
2016-05-09,20.4500,20.4500,20.2400,20.2800,20.0099,51346.00
2016-05-10,20.5000,20.5900,20.3600,20.5900,20.3158,68258.00
2016-05-11,20.6300,20.6300,20.4095,20.4500,20.1777,55267.00
2016-05-12,20.5600,20.5600,20.3070,20.4200,20.1481,95086.00
2016-05-13,20.5000,20.5000,20.2000,20.2100,19.9409,237318.00
2016-05-16,20.3600,20.3600,20.2800,20.3200,20.0494,37214.00
2016-05-17,20.3400,20.3500,20.1724,20.2030,19.9340,246493.00
2016-05-18,20.1700,20.2300,20.0200,20.0900,19.8225,76827.00
2016-05-19,20.0444,20.1090,19.9600,20.1000,19.8323,76996.00
2016-05-20,20.2300,20.2300,20.1380,20.1900,19.9211,70171.00
2016-05-23,20.2000,20.2100,20.1300,20.1400,19.8718,58299.00
2016-05-24,20.2290,20.2900,20.1968,20.2900,20.0198,26342.00
2016-05-25,20.4000,20.4100,20.2920,20.4000,20.1283,234689.00
2016-05-26,20.5000,20.5000,20.4000,20.4000,20.1283,1269405.00
2016-05-27,20.5000,20.5000,20.4000,20.4800,20.2073,238657.00
2016-05-31,20.5452,20.5600,20.4534,20.5100,20.2369,33929.00
2016-06-01,20.6900,20.6900,20.4500,20.5600,20.2862,67015.00
2016-06-02,20.5200,20.6000,20.5000,20.6000,20.3257,69348.00
2016-06-03,20.5900,20.6500,20.5201,20.5800,20.3059,248211.00
2016-06-06,20.7400,20.7400,20.6300,20.7100,20.4342,37416.00
2016-06-07,20.5500,20.8100,20.5500,20.7800,20.5033,89062.00
2016-06-08,20.8500,20.8500,20.7600,20.8000,20.5230,1056995.00
2016-06-09,20.8000,20.8000,20.7100,20.7900,20.5131,194701.00
2016-06-10,20.8000,20.8000,20.4901,20.5100,20.2369,99194.00
2016-06-13,20.4992,20.6000,20.3900,20.3900,20.1185,57811.00
2016-06-14,20.4200,20.4300,20.2399,20.3725,20.1012,41017.00
2016-06-15,20.3848,20.5980,20.3836,20.4100,20.1382,136759.00
2016-06-16,20.2500,20.3900,20.1450,20.3900,20.1185,152282.00
2016-06-17,20.5400,20.5400,20.3901,20.4600,20.1875,333142.00
2016-06-20,20.6800,20.7500,20.6400,20.6400,20.3651,46508.00
2016-06-21,20.5639,20.7600,20.5600,20.7200,20.4441,56066.00
2016-06-22,20.8400,20.8400,20.6100,20.6100,20.3355,113826.00
2016-06-23,20.8500,20.9000,20.7401,20.8901,20.6119,40989.00
2016-06-24,20.1900,20.5257,20.1900,20.2700,20.0001,103831.00
2016-06-27,20.2600,20.2600,19.7000,19.8000,19.5363,365871.00
2016-06-28,20.0000,20.1430,20.0000,20.1400,19.8718,42113.00
2016-06-29,20.3900,20.5500,20.3501,20.5100,20.2369,60605.00
2016-06-30,20.4600,20.7700,20.4600,20.7700,20.4934,486369.00
2016-07-01,20.9000,20.9530,20.8600,20.9400,20.6611,50061.00
2016-07-05,20.6383,20.6900,20.5500,20.6700,20.3947,65232.00
2016-07-06,20.5699,20.7900,20.5270,20.7800,20.5033,115563.00
2016-07-07,20.9400,20.9500,20.6259,20.7200,20.4441,268034.00
2016-07-08,20.8100,21.0899,20.8100,21.0500,20.7697,23560.00
2016-07-11,21.1320,21.1600,21.0500,21.1200,20.8388,252923.00
2016-07-12,21.4300,21.4300,21.2700,21.3200,21.0361,354790.00
2016-07-13,21.4500,21.4500,21.1800,21.2400,20.9572,61138.00
2016-07-14,21.4800,21.4800,21.2801,21.3300,21.0460,72574.00
2016-07-15,21.3368,21.3789,21.2800,21.3000,21.0164,737258.00
2016-07-18,21.2200,21.3800,21.2200,21.3699,21.0853,107936.00
2016-07-19,21.2800,21.2800,21.1978,21.2500,20.9670,48213.00
2016-07-20,21.2000,21.3700,21.1701,21.3000,21.0164,189060.00
2016-07-21,21.3490,21.4099,21.2090,21.2600,20.9769,70324.00
2016-07-22,21.1900,21.3670,21.1900,21.3500,21.0657,45334.00
2016-07-25,21.4600,21.4600,21.2634,21.3100,21.0262,9934.00
2016-07-26,21.3700,21.4399,21.2600,21.3700,21.0854,21648.00
2016-07-27,21.3699,21.3700,21.0705,21.1400,20.8585,68461.00
2016-07-28,21.1997,21.2800,21.1277,21.2600,20.9769,84294.00
2016-07-29,21.3200,21.4300,21.2158,21.4100,21.1249,55988.00
2016-08-01,21.3600,21.3600,21.2100,21.2100,20.9276,61413.00
2016-08-02,21.2500,21.2500,20.8999,21.0098,20.7300,30272.00
2016-08-03,20.9807,21.1800,20.9807,21.1800,20.8980,127355.00
2016-08-04,21.1200,21.2900,21.1200,21.2000,20.9177,19132.00
2016-08-05,21.3600,21.3969,21.3000,21.3600,21.0756,77134.00
2016-08-08,21.3100,21.4800,21.3100,21.4200,21.1348,47328.00
2016-08-09,21.5000,21.5000,21.3310,21.3700,21.0854,53096.00
2016-08-10,21.4100,21.4143,21.2701,21.3000,21.0164,38765.00
2016-08-11,21.4800,21.5000,21.4000,21.4700,21.1841,142550.00
2016-08-12,21.5400,21.5400,21.4298,21.4800,21.1940,27550.00
2016-08-15,21.5500,21.5900,21.5100,21.5100,21.2236,18617.00
2016-08-16,21.4000,21.4204,21.3200,21.3200,21.0361,944735.00
2016-08-17,21.2500,21.3507,21.1700,21.3300,21.0460,38625.00
2016-08-18,21.3800,21.5200,21.3730,21.4900,21.2038,20372.00
2016-08-19,21.4299,21.4775,21.3999,21.4600,21.1742,48911.00
