Date,Open,High,Low,Close,Adjusted_close,Volume
2016-09-21,25.0100,25.2700,24.7500,24.9700,22.4083,40442.00
2016-09-22,25.1900,25.2600,24.9300,25.1900,22.6057,91235.00
2016-09-23,25.2000,25.2900,25.2000,25.2500,22.6596,3539.00
2016-09-26,25.3000,25.5000,25.2500,25.4000,22.7942,81085.00
2016-09-27,25.3076,25.3700,25.2500,25.2600,22.6686,73468.00
2016-09-28,25.3284,25.4300,25.3284,25.4300,22.8211,28545.00
2016-09-29,25.4900,25.4900,25.0600,25.4000,22.7942,38345.00
2016-09-30,25.5099,25.5099,25.3000,25.4200,22.8122,18780.00
2016-10-03,25.5199,25.5900,25.3300,25.4900,22.8750,9732.00
2016-10-04,25.5500,25.8000,25.3200,25.5600,22.9378,37721.00
2016-10-05,25.6497,25.6900,25.3350,25.4000,22.7942,16226.00
2016-10-06,25.6673,25.6800,25.4000,25.4100,22.8032,27570.00
2016-10-07,25.5000,25.6299,25.3200,25.5020,22.8857,23479.00
2016-10-10,25.4500,25.6400,25.4010,25.6000,22.9737,3370.00
2016-10-11,25.4500,25.5000,25.4000,25.4000,22.7942,6345.00
2016-10-12,25.4100,25.4100,25.2500,25.2600,22.6686,9105.00
2016-10-13,25.3000,25.3776,25.2500,25.2800,22.6865,19506.00
2016-10-14,25.3538,25.4900,25.3538,25.3970,22.7915,2861.00
2016-10-17,25.4500,25.4500,25.3914,25.3914,22.7865,1425.00
2016-10-18,25.4700,25.4700,25.2600,25.3600,22.7583,6674.00
2016-10-19,25.3420,25.4900,25.1400,25.3800,22.9126,13023.00
2016-10-20,25.3000,25.3700,25.2201,25.3150,22.8539,4421.00
2016-10-21,25.4500,25.4700,25.2501,25.4000,22.9306,2990.00
2016-10-24,25.3000,25.3253,25.2500,25.3100,22.8494,1905.00
2016-10-25,25.4500,25.4899,25.4000,25.4000,22.9306,2240.00
2016-10-26,25.4500,25.4500,25.1800,25.2500,22.7952,12685.00
2016-10-27,25.4468,25.4500,25.2201,25.2620,22.8061,4461.00
2016-10-28,25.2252,25.5200,25.2252,25.2301,22.7773,2455.00
2016-10-31,25.2400,25.4600,25.2300,25.3250,22.8629,4842.00
2016-11-01,25.4583,25.4642,25.4530,25.4642,22.9886,1344.00
2016-11-02,25.3850,25.3916,25.2700,25.2700,22.8133,4577.00
2016-11-03,25.3813,25.3813,25.3000,25.3500,22.8855,2009.00
2016-11-04,25.2500,25.3500,25.2000,25.2852,22.8270,24332.00
2016-11-07,25.2310,25.4099,25.2300,25.3300,22.8674,16352.00
2016-11-08,25.4499,25.4499,25.3300,25.4499,22.9757,10715.00
2016-11-09,25.2500,25.5000,25.2500,25.3200,22.8584,12430.00
2016-11-10,25.2800,25.6500,25.2000,25.2378,22.7842,6695.00
2016-11-11,25.2000,25.5000,25.0000,25.4633,22.9878,4474.00
2016-11-14,25.6400,25.6500,25.1984,25.6500,23.1563,10570.00
2016-11-15,25.3050,25.3250,25.2501,25.3250,22.9805,1740.00
2016-11-16,25.2500,25.2500,25.0000,25.1580,22.8289,28446.00
2016-11-17,25.0500,25.4000,25.0500,25.4000,23.0485,757.00
2016-11-18,25.1083,25.1477,25.0994,25.1477,22.8196,4743.00
2016-11-21,25.2185,25.2500,25.0300,25.0300,22.7128,9107.00
2016-11-22,25.0501,25.1500,25.0000,25.0300,22.7128,13150.00
2016-11-23,25.0000,25.2750,25.0000,25.2700,22.9306,6717.00
2016-11-25,25.2700,25.2700,25.2700,25.2700,22.9306,0.00
2016-11-28,25.1000,25.4560,25.0999,25.4560,23.0993,4400.00
2016-11-29,25.3521,25.3521,25.1700,25.1951,22.8626,6880.00
2016-11-30,25.2000,25.3999,25.0400,25.0701,22.7492,6498.00
2016-12-01,25.1804,25.2885,25.0300,25.1206,22.7950,5804.00
2016-12-02,25.1800,25.2136,25.1800,25.2136,22.8794,203.00
2016-12-05,25.2200,25.2200,25.1000,25.1000,22.7763,2400.00
2016-12-06,25.1251,25.2000,25.1097,25.1100,22.7854,3785.00
2016-12-07,25.1100,25.1886,25.0400,25.0400,22.7219,4625.00
2016-12-08,25.3299,25.4000,25.1000,25.1000,22.7763,5637.00
2016-12-09,25.5500,25.5500,25.0501,25.1739,22.8434,1550.00
2016-12-12,25.1900,25.4360,25.1900,25.3000,22.9578,900.00
2016-12-13,25.2500,25.4589,25.1800,25.4589,23.1020,1425.00
2016-12-14,25.2100,25.2100,25.1000,25.1500,22.8217,2098.00
