Date,Open,High,Low,Close,Adjusted_close,Volume
2015-05-13,25.0000,25.2900,24.9855,25.2800,20.4282,57912.00
2015-05-14,25.2500,25.3000,25.1000,25.2500,20.4040,30330.00
2015-05-15,25.2510,25.2510,25.2000,25.2500,20.4040,15190.00
2015-05-18,25.2500,25.2500,25.1300,25.2298,20.3876,6150.00
2015-05-19,25.1300,25.2400,24.9711,25.2000,20.3636,48924.00
2015-05-20,25.1592,25.1772,25.1100,25.1772,20.3451,6432.00
2015-05-21,25.1900,25.2000,25.0000,25.0170,20.2157,11676.00
2015-05-22,25.0200,25.1600,24.9700,24.9700,20.1777,19984.00
2015-05-26,25.1100,25.1499,25.0500,25.0500,20.2423,2339.00
2015-05-27,25.1799,25.1799,25.0700,25.1300,20.3070,6125.00
2015-05-28,25.0700,25.1974,25.0700,25.1974,20.3615,2950.00
2015-05-29,25.0000,25.1000,24.9900,25.0499,20.2423,16610.00
2015-06-01,25.0500,25.1800,25.0500,25.1800,20.3474,1900.00
2015-06-02,25.1000,25.1400,24.9900,25.0500,20.2423,5170.00
2015-06-03,25.0500,25.1180,25.0500,25.1180,20.2973,225.00
2015-06-04,24.9501,25.1707,24.9500,25.0800,20.2666,5200.00
2015-06-05,25.1499,25.1499,25.1000,25.1000,20.2827,1420.00
2015-06-08,25.0499,25.0500,25.0000,25.0471,20.2400,6475.00
2015-06-09,24.9600,25.1435,24.9600,25.0000,20.2019,13210.00
2015-06-10,25.0000,25.1000,25.0000,25.0999,20.2827,3108.00
2015-06-11,25.0900,25.0999,25.0900,25.0999,20.2827,4100.00
2015-06-12,25.1400,25.2900,25.0964,25.1000,20.2827,6946.00
2015-06-15,25.0900,25.3000,25.0900,25.2906,20.4368,10833.00
2015-06-16,25.1000,25.2900,25.1000,25.2790,20.4274,5983.00
2015-06-17,25.2000,25.2000,25.0100,25.1000,20.4615,31451.00
2015-06-18,25.3000,25.3000,25.0600,25.1892,20.5342,5629.00
2015-06-19,25.2800,25.2800,25.1500,25.2300,20.5675,2160.00
2015-06-22,25.2800,25.2800,25.2300,25.2799,20.6081,2928.00
2015-06-23,25.2900,25.2900,24.8600,25.2799,20.6081,20341.00
2015-06-24,24.9400,25.2500,24.9400,25.1300,20.4859,9801.00
2015-06-25,25.2798,25.2900,25.0700,25.2900,20.6164,10503.00
2015-06-26,25.2499,25.2499,25.2499,25.2499,20.5837,750.00
2015-06-29,25.2299,25.2300,25.2000,25.2300,20.5675,7200.00
2015-06-30,25.2500,25.2500,25.2000,25.2484,20.5825,13098.00
2015-07-01,25.2800,25.2900,25.2500,25.2500,20.5838,1809.00
2015-07-02,25.3000,25.3000,25.2500,25.2500,20.5838,1100.00
