Date,Open,High,Low,Close,Adjusted_close,Volume
2014-11-13,25.2999,25.3500,25.0500,25.2440,19.7087,68364.00
2014-11-14,25.3500,25.3500,25.2700,25.3000,19.7525,13300.00
2014-11-17,25.2900,25.2900,25.2100,25.2100,19.6822,11731.00
2014-11-18,25.2899,25.2900,25.2000,25.2700,19.7290,22345.00
2014-11-19,25.3000,25.4000,25.2300,25.4000,19.8305,23708.00
2014-11-20,25.4000,25.5890,25.3935,25.4000,19.8305,7876.00
2014-11-21,25.2500,25.4999,25.2500,25.4000,19.8305,3575.00
2014-11-24,25.4900,25.5000,25.4000,25.4000,19.8305,900.00
2014-11-25,25.4900,25.4999,25.3786,25.4000,19.8305,8248.00
2014-11-26,25.5900,25.5900,25.4800,25.4953,19.9049,2810.00
2014-11-28,25.4500,25.5900,25.4200,25.5899,19.9788,2157.00
2014-12-01,25.4270,25.4900,25.3201,25.3970,19.8282,12513.00
2014-12-02,25.4000,25.4500,25.4000,25.4499,19.8695,3300.00
2014-12-03,25.4500,25.4500,25.3423,25.4499,19.8695,9450.00
2014-12-04,25.3500,25.4500,25.3500,25.4499,19.8695,3200.00
2014-12-05,25.4490,25.4490,25.2921,25.2921,19.7463,559.00
2014-12-08,25.4000,25.4000,25.2900,25.3999,19.8304,3590.00
2014-12-09,25.3892,25.3892,25.3200,25.3200,19.7681,600.00
2014-12-10,25.3900,25.4000,25.3401,25.3455,19.7880,2195.00
2014-12-11,25.2900,25.3641,25.2600,25.3000,19.7525,6425.00
2014-12-12,25.3300,25.3300,25.2600,25.2700,19.7290,3903.00
2014-12-15,25.2700,25.2700,25.2700,25.2700,19.7290,53.00
2014-12-16,25.3590,25.3590,25.3557,25.3557,19.7959,1266.00
2014-12-17,25.2500,25.2500,25.0300,25.1100,19.7798,2850.00
2014-12-18,25.2400,25.2400,25.0600,25.1500,19.8113,1810.00
2014-12-19,25.0610,25.2400,25.0600,25.2300,19.8743,3165.00
2014-12-22,25.2290,25.2290,25.2290,25.2290,19.8735,579.00
2014-12-23,25.2400,25.2400,25.0650,25.2100,19.8586,4020.00
2014-12-24,25.1900,25.1900,25.1900,25.1900,19.8428,100.00
2014-12-26,25.2100,25.2228,25.0845,25.0845,19.7597,1143.00
2014-12-29,25.1900,25.4000,25.0800,25.4000,20.0082,8377.00
2014-12-30,25.3900,25.3900,25.3000,25.3000,19.9294,1100.00
2014-12-31,25.3900,25.3900,25.3000,25.3865,19.9976,9182.00
2015-01-02,25.3301,25.3301,25.3301,25.3301,19.9532,1001.00
2015-01-05,25.4000,25.4200,25.3000,25.3000,19.9294,17489.00
2015-01-06,25.4300,25.4300,25.2900,25.4299,20.0318,1429.00
2015-01-07,25.4400,25.4400,25.3100,25.3100,19.9373,6215.00
2015-01-08,25.4900,25.5000,25.2600,25.5000,20.0870,2700.00
2015-01-09,25.4900,25.4904,25.4900,25.4904,20.0794,300.00
2015-01-12,25.4799,25.4900,25.4799,25.4900,20.0791,1200.00
2015-01-13,25.4900,25.4900,25.3510,25.4900,20.0791,1600.00
2015-01-14,25.4800,25.4900,25.2800,25.3600,19.9767,2497.00
2015-01-15,25.4800,25.4900,25.3500,25.3500,19.9688,12377.00
2015-01-16,25.4500,25.4900,25.4500,25.4800,20.0712,3262.00
2015-01-20,25.4000,25.4600,25.3500,25.3500,19.9688,7641.00
2015-01-21,25.4700,25.4700,25.4000,25.4000,20.1190,301.00
2015-01-22,25.4700,25.4700,25.2700,25.4100,20.1269,2900.00
2015-01-23,25.4400,25.4400,25.2300,25.2301,19.9844,600.00
2015-01-26,25.4200,25.4400,25.3600,25.4400,20.1507,3100.00
2015-01-27,25.3600,25.4800,25.3600,25.4774,20.1803,4330.00
2015-01-28,25.4800,25.4800,25.3700,25.4000,20.1190,4971.00
2015-01-29,25.4799,25.4799,25.4499,25.4499,20.1585,903.00
2015-01-30,25.4799,25.4899,25.4799,25.4899,20.1902,800.00
2015-02-02,25.4900,25.4900,25.4701,25.4898,20.1901,3550.00
2015-02-03,25.4100,25.4999,25.2300,25.3000,20.0398,22322.00
2015-02-04,25.3400,25.4500,25.3200,25.4000,20.1190,5900.00
2015-02-05,25.3510,25.4500,25.2600,25.2800,20.0239,11153.00
2015-02-06,25.3100,25.4499,25.2900,25.4435,20.1534,1505.00
2015-02-09,25.4200,25.4200,25.3800,25.3800,20.1032,2539.00
2015-02-10,25.4300,25.4500,25.3000,25.3000,20.0398,9448.00
