Date,Open,High,Low,Close,Adjusted_close,Volume
1995-04-10,8.0000,8.7500,8.0000,8.5000,5.2107,22061.00
1995-04-11,8.2500,9.0000,8.2500,9.0000,5.5173,81668.00
1995-04-12,8.5000,9.0000,8.5000,9.0000,5.5173,19990.00
1995-04-13,9.2500,9.2500,8.5000,8.5000,5.2107,38788.00
1995-04-17,9.5000,9.5000,9.0000,9.3800,5.7502,1450.00
1995-04-18,8.5000,9.5000,8.5000,9.5000,5.8238,10461.00
1995-04-19,9.5000,9.5000,9.5000,9.5000,5.8238,466.00
1995-04-20,9.5000,9.5000,9.5000,9.5000,5.8238,0.00
1995-04-21,9.5000,9.5000,8.5000,8.6300,5.2904,11963.00
1995-04-24,9.2500,9.2500,8.7500,8.7500,5.3640,777.00
1995-04-25,8.7500,8.7500,8.7500,8.7500,5.3640,0.00
1995-04-26,8.7500,8.7500,8.7500,8.7500,5.3640,0.00
1995-04-27,8.7500,8.7500,8.7500,8.7500,5.3640,0.00
1995-04-28,9.5000,9.5000,8.5000,8.5000,5.2107,1968.00
1995-05-01,8.5000,8.5000,8.5000,8.5000,5.2107,0.00
1995-05-02,8.5000,8.5000,8.5000,8.5000,5.2107,0.00
1995-05-03,8.5000,8.5000,8.5000,8.5000,5.2107,0.00
1995-05-04,8.5000,9.0000,8.5000,8.8700,5.4376,10979.00
1995-05-05,8.8700,8.8700,8.8700,8.8700,5.4376,0.00
1995-05-08,8.5000,8.5000,8.5000,8.5000,5.2107,259.00
1995-05-09,8.8000,9.5000,8.5600,9.0000,5.5173,16572.00
1995-05-10,9.5000,9.5000,9.0000,9.2500,5.6705,2693.00
1995-05-11,9.2500,9.2500,9.2500,9.2500,5.6705,0.00
1995-05-12,9.5000,9.5000,8.7500,8.7500,5.3640,570.00
1995-05-15,8.7500,8.7500,8.7500,8.7500,5.3640,0.00
1995-05-16,8.7500,8.7500,8.7500,8.7500,5.3640,0.00
1995-05-17,8.5000,9.1200,8.5000,9.1200,5.5908,8389.00
