Date,Open,High,Low,Close,Adjusted_close,Volume
2013-05-20,102.2500,102.5000,102.0500,102.5000,64.0524,19105.00
2013-05-21,102.5300,103.0000,102.0000,102.0000,63.7399,4400.00
2013-05-22,103.0000,103.0000,103.0000,103.0000,64.3648,200.00
2013-05-23,103.0000,103.0000,102.0000,102.0000,63.7399,1603.00
2013-05-24,102.5000,102.7500,102.2500,102.7500,64.2086,2100.00
2013-05-28,102.7750,102.7750,102.6500,102.6800,64.1648,1766.00
2013-05-29,105.0000,105.0000,103.0000,103.0000,64.3648,2576.00
2013-05-30,103.7500,103.7500,103.4877,103.4877,64.6696,414.00
2013-05-31,102.7500,102.7500,102.1400,102.5200,64.0649,3267.00
2013-06-03,102.8000,102.8000,101.7000,101.7000,63.5524,3358.00
2013-06-04,102.5000,102.5000,101.7500,101.7500,63.5837,1400.00
2013-06-05,105.0000,105.0000,101.0100,101.0100,63.1213,1475.00
2013-06-06,101.3290,101.3290,100.5200,100.5200,62.8151,5526.00
2013-06-07,101.0899,101.4000,101.0000,101.1000,63.1775,1950.00
2013-06-10,105.0000,105.0000,100.5200,101.6300,63.5087,600.00
2013-06-11,101.6000,101.6000,101.6000,101.6000,63.4899,150.00
2013-06-12,101.2500,101.2500,100.0000,100.0000,62.4901,1150.00
2013-06-13,100.2300,100.5000,100.2300,100.4750,62.7869,2130.00
2013-06-14,100.5000,101.0000,100.5000,101.0000,63.1150,650.00
2013-06-17,101.2500,101.2500,101.2000,101.2500,63.2712,2886.00
2013-06-18,104.9900,104.9900,102.4900,102.4900,64.0461,375.00
2013-06-19,102.4900,102.4900,102.4900,102.4900,64.0461,0.00
2013-06-20,102.7500,102.7500,101.5500,101.5500,63.4587,750.00
2013-06-21,101.9400,101.9400,101.8500,101.8500,63.6462,642.00
2013-06-24,101.8500,101.8500,101.8500,101.8500,63.6462,0.00
2013-06-25,100.5100,100.5100,100.0000,100.0000,62.4901,726.00
2013-06-26,100.7499,100.7499,100.3000,100.3000,62.6776,2600.00
2013-06-27,100.3000,100.3000,100.3000,100.3000,62.6776,0.00
2013-06-28,100.0301,100.1000,100.0301,100.1000,62.5526,400.00
2013-07-01,101.0000,101.4900,100.9020,101.4900,63.4212,920.00
2013-07-02,101.4900,101.4900,101.4900,101.4900,63.4212,0.00
