Date,Open,High,Low,Close,Adjusted_close,Volume
2006-10-25,25.0000,25.5000,25.0000,25.5000,9.5504,7900.00
2006-10-26,25.4900,25.4900,25.1100,25.1100,9.4044,885.00
2006-10-27,25.2500,25.5100,25.2500,25.5100,9.5542,3304.00
2006-10-30,25.5500,25.6500,25.4000,25.4000,9.5130,3000.00
2006-10-31,25.4000,25.5000,25.3600,25.5000,9.5504,1800.00
2006-11-01,25.5000,25.5000,25.4000,25.4000,9.5130,1400.00
2006-11-02,25.4000,25.4100,25.3800,25.3800,9.5055,3568.00
2006-11-03,25.4500,25.4500,25.4500,25.4500,9.5317,1400.00
2006-11-06,25.4500,25.5500,25.4500,25.5000,9.5504,3600.00
2006-11-07,25.5000,25.5000,25.4000,25.4000,9.5130,9000.00
2006-11-08,25.4500,25.4500,25.4500,25.4500,9.5317,800.00
2006-11-09,25.4500,25.4500,25.4500,25.4500,9.5317,1000.00
2006-11-10,25.5500,25.5500,25.4500,25.4500,9.5317,13200.00
2006-11-13,25.5500,25.5500,25.4500,25.4500,9.5317,1700.00
2006-11-14,25.4000,25.7400,25.4000,25.7400,9.6403,3929.00
2006-11-15,25.7400,25.7400,25.7400,25.7400,9.6403,0.00
2006-11-16,25.5000,25.6500,25.5000,25.6500,9.6066,904.00
2006-11-17,26.0000,26.0000,25.2100,25.3500,9.5040,22675.00
2006-11-20,25.4000,25.6300,25.3700,25.4600,9.5452,13319.00
2006-11-21,25.4500,25.7300,25.4400,25.6500,9.6165,9400.00
2006-11-22,25.6500,25.6500,25.6500,25.6500,9.6165,0.00
2006-11-24,25.7300,25.7300,25.7300,25.7300,9.6465,200.00
2006-11-27,25.9000,25.9000,25.3400,25.4400,9.5377,24604.00
2006-11-28,25.4400,25.4400,25.4400,25.4400,9.5377,190.00
2006-11-29,25.4400,25.4500,25.4000,25.4000,9.5227,1373.00
2006-11-30,25.4400,25.4400,25.3600,25.4400,9.5377,3215.00
2006-12-01,25.4000,25.6800,25.4000,25.4400,9.5377,5448.00
2006-12-04,25.4900,25.4900,25.4100,25.4400,9.5377,1600.00
2006-12-05,25.4400,25.4900,25.4400,25.4700,9.5490,2648.00
2006-12-06,25.4900,25.6800,25.4500,25.4500,9.5415,2550.00
2006-12-07,25.4000,25.4500,25.4000,25.4500,9.5415,2452.00
2006-12-08,25.4400,25.4400,25.4400,25.4400,9.5377,2900.00
2006-12-11,25.4400,25.4400,25.4400,25.4400,9.5377,400.00
2006-12-12,25.4000,25.6800,25.4000,25.4100,9.5265,3724.00
2006-12-13,25.4400,25.4400,25.4400,25.4400,9.5377,800.00
2006-12-14,25.4400,25.4400,25.4400,25.4400,9.5377,1000.00
2006-12-15,25.4500,25.4500,25.4500,25.4500,9.5415,720.00
2006-12-18,25.5000,25.5000,25.4100,25.4100,9.5851,2608.00
2006-12-19,25.4500,25.4500,25.3400,25.4000,9.5813,31200.00
2006-12-20,25.4000,25.4000,25.4000,25.4000,9.5813,300.00
2006-12-21,25.4000,25.4400,25.4000,25.4400,9.5964,1602.00
2006-12-22,25.3500,25.3500,25.3500,25.3500,9.5624,400.00
2006-12-26,25.4400,25.4400,25.4400,25.4400,9.5964,1000.00
2006-12-27,25.4400,25.4400,25.4400,25.4400,9.5964,900.00
2006-12-28,25.4400,25.4400,25.4400,25.4400,9.5964,1300.00
2006-12-29,25.4400,25.4400,25.4300,25.4400,9.5964,1046.00
2007-01-03,25.4300,25.4300,25.4300,25.4300,9.5926,604.00
2007-01-04,25.4100,25.4400,25.4000,25.4000,9.5813,3954.00
2007-01-05,25.4000,25.4000,25.4000,25.4000,9.5813,0.00
2007-01-08,25.4400,25.4400,25.3600,25.4400,9.5964,5165.00
2007-01-09,25.4400,25.4900,25.2100,25.2100,9.5096,4300.00
2007-01-10,25.4400,25.4400,25.4400,25.4400,9.5964,1100.00
2007-01-11,25.4400,25.4400,25.0000,25.0000,9.4304,2100.00
2007-01-12,25.4300,25.4300,25.4000,25.4000,9.5813,1400.00
2007-01-16,25.4000,25.4000,25.4000,25.4000,9.5813,0.00
2007-01-17,25.4100,25.4100,25.4000,25.4000,9.5813,2700.00
2007-01-18,25.4500,25.4500,25.4500,25.4500,9.6002,150.00
2007-01-19,25.4000,25.4000,25.3800,25.3900,9.6365,2595.00
2007-01-22,25.2600,25.4200,25.2600,25.4000,9.6403,1200.00
2007-01-23,25.4000,25.4000,25.2600,25.3000,9.6023,2500.00
2007-01-24,25.4000,25.4000,25.3000,25.3500,9.6213,4900.00
2007-01-25,25.3500,25.3500,25.3500,25.3500,9.6213,0.00
2007-01-26,25.3200,25.4800,25.3200,25.3200,9.6099,3600.00
2007-01-29,25.3200,25.4800,25.3200,25.4700,9.6668,1625.00
2007-01-30,25.3800,25.3800,25.3800,25.3800,9.6327,800.00
2007-01-31,25.3800,25.4500,25.3800,25.4000,9.6403,2303.00
2007-02-01,25.4300,25.4300,25.3100,25.3800,9.6327,2050.00
2007-02-02,25.3500,25.3800,25.2500,25.2500,9.5833,2300.00
2007-02-05,25.3000,25.3800,25.3000,25.3800,9.6327,1388.00
2007-02-06,25.4000,25.4800,25.4000,25.4800,9.6706,800.00
2007-02-07,25.4800,25.4800,25.3800,25.3800,9.6327,600.00
2007-02-08,25.3800,25.8800,25.3800,25.8800,9.8224,2000.00
2007-02-09,25.4400,25.4400,25.2500,25.4000,9.6403,2700.00
2007-02-12,25.4000,25.4000,25.4000,25.4000,9.6403,0.00
2007-02-13,25.4000,25.4000,25.4000,25.4000,9.6403,0.00
2007-02-14,25.3900,25.4500,25.3900,25.4500,9.6592,1200.00
2007-02-15,26.0000,26.0000,26.0000,26.0000,9.9273,100.00
2007-02-16,25.5000,25.5000,25.1300,25.1300,9.5951,900.00
2007-02-20,25.2300,25.2500,25.1200,25.2500,9.6409,1201.00
2007-02-21,25.2500,25.2500,25.2500,25.2500,9.6409,0.00
2007-02-22,25.2600,25.2600,25.1500,25.1500,9.6027,2620.00
2007-02-23,25.2100,25.2300,25.0500,25.0500,9.5646,2250.00
2007-02-26,25.3499,25.3499,25.1900,25.1900,9.6180,600.00
2007-02-27,25.1500,25.1500,25.0900,25.1500,9.6027,2203.00
2007-02-28,25.2400,25.2400,25.1600,25.2400,9.6371,2600.00
2007-03-01,25.2700,25.2700,25.1600,25.1600,9.6066,500.00
2007-03-02,25.1700,25.2200,25.0000,25.2200,9.6295,3699.00
2007-03-05,25.0500,25.2100,25.0500,25.2100,9.6256,1175.00
2007-03-06,25.2300,25.2300,25.0400,25.0500,9.5646,3580.00
2007-03-07,25.1600,25.1800,25.1500,25.1800,9.6142,2842.00
2007-03-08,25.1900,25.3000,25.1000,25.3000,9.6600,2200.00
2007-03-09,25.1100,25.1300,25.0100,25.1000,9.5836,8000.00
2007-03-12,25.2400,25.3000,25.2400,25.3000,9.6600,700.00
2007-03-13,25.4000,25.7400,25.3200,25.3200,9.6676,4283.00
2007-03-14,25.3300,25.3300,25.3000,25.3000,9.6600,2000.00
2007-03-15,25.3000,25.3000,25.3000,25.3000,9.6600,300.00
2007-03-16,25.3000,25.3000,25.3000,25.3000,9.6600,800.00
2007-03-19,25.3000,25.3400,25.2600,25.3000,9.6600,2200.00
2007-03-20,25.2500,25.2500,25.1500,25.2400,9.6968,12300.00
2007-03-21,25.2400,25.2400,25.1500,25.1900,9.6776,1550.00
2007-03-22,25.1600,25.1900,25.0500,25.1900,9.6776,1733.00
2007-03-23,25.2000,25.2000,25.1500,25.1500,9.6622,1945.00
2007-03-26,25.1600,25.1600,25.1600,25.1600,9.6660,400.00
2007-03-27,25.1700,25.1900,25.1700,25.1900,9.6776,1000.00
2007-03-28,25.2400,25.2400,25.0600,25.0600,9.6276,2050.00
2007-03-29,25.2300,25.2300,25.1000,25.1000,9.6430,7025.00
2007-03-30,25.1100,25.1100,25.0600,25.0600,9.6276,700.00
2007-04-02,25.1500,25.2400,25.1000,25.1400,9.6583,3870.00
2007-04-03,25.0100,25.1500,25.0100,25.1400,9.6583,2710.00
2007-04-04,25.1400,25.1400,25.1400,25.1400,9.6583,300.00
2007-04-05,25.1500,25.1500,25.1500,25.1500,9.6622,1100.00
2007-04-09,25.1500,25.1500,25.1500,25.1500,9.6622,100.00
2007-04-10,25.1500,25.3500,25.0600,25.1500,9.6622,5330.00
2007-04-11,25.1500,25.1500,25.1500,25.1500,9.6622,1195.00
2007-04-12,25.2500,25.2500,25.2500,25.2500,9.7006,400.00
2007-04-13,25.2500,25.2500,25.2500,25.2500,9.7006,700.00
2007-04-16,25.2900,25.2900,25.2900,25.2900,9.7160,200.00
2007-04-17,25.2500,25.2500,25.2500,25.2500,9.7006,1000.00
2007-04-18,25.1000,25.1000,25.1000,25.1000,9.7030,600.00
2007-04-19,25.2000,25.2500,25.2000,25.2500,9.7610,600.00
2007-04-20,25.2500,25.2500,25.2500,25.2500,9.7610,0.00
2007-04-23,25.1500,25.1500,25.1000,25.1000,9.7030,2100.00
2007-04-24,25.1000,25.1000,25.1000,25.1000,9.7030,0.00
2007-04-25,25.1200,25.2000,25.1000,25.2000,9.7417,478.00
2007-04-26,25.2000,25.2000,25.2000,25.2000,9.7417,0.00
2007-04-27,25.1000,25.1100,25.0100,25.0100,9.6682,4050.00
2007-04-30,25.0100,25.0100,25.0100,25.0100,9.6682,0.00
2007-05-01,25.0100,25.0100,25.0100,25.0100,9.6682,0.00
2007-05-02,25.1001,25.1600,25.1000,25.1600,9.7262,1080.00
2007-05-03,25.2100,25.2100,25.1500,25.1500,9.7223,400.00
2007-05-04,25.1800,25.1800,25.0500,25.0500,9.6837,1100.00
2007-05-07,25.0640,25.1900,25.0500,25.0500,9.6837,1700.00
2007-05-08,25.1000,25.1000,25.1000,25.1000,9.7030,500.00
