Date,Open,High,Low,Close,Adjusted_close,Volume
2006-09-07,25.7200,25.7200,25.7200,25.7200,9.3756,1300.00
2006-09-08,25.7200,25.7500,25.7200,25.7500,9.3866,1200.00
2006-09-11,25.7500,25.7500,25.7500,25.7500,9.3866,0.00
2006-09-12,25.7500,25.7500,25.7500,25.7500,9.3866,1000.00
2006-09-13,25.5800,25.5800,25.2500,25.5500,9.3136,4200.00
2006-09-14,25.5500,25.5500,25.5500,25.5500,9.3136,0.00
2006-09-15,25.5500,25.5500,25.5500,25.5500,9.3136,200.00
2006-09-18,25.5500,25.5500,25.5500,25.5500,9.3136,0.00
2006-09-19,25.6900,25.6900,25.6800,25.6900,9.4235,1041.00
2006-09-20,25.5500,25.5500,25.5500,25.5500,9.3722,3402.00
2006-09-21,26.4800,26.4800,25.5100,25.5100,9.3575,600.00
2006-09-22,25.5500,25.5500,25.5200,25.5200,9.3612,1300.00
2006-09-25,26.5500,26.5500,26.5500,26.5500,9.7390,1000.00
2006-09-26,25.5200,25.5200,25.5200,25.5200,9.3612,200.00
2006-09-27,25.5200,25.5200,25.5200,25.5200,9.3612,0.00
2006-09-28,25.5200,25.5200,25.3200,25.3200,9.2878,2900.00
2006-09-29,25.3200,25.3200,25.3200,25.3200,9.2878,0.00
2006-10-02,25.5000,25.5000,25.5000,25.5000,9.3538,2000.00
2006-10-03,25.5000,25.5000,25.5000,25.5000,9.3538,0.00
2006-10-04,25.4500,25.4500,25.4500,25.4500,9.3355,1100.00
2006-10-05,25.7400,25.7500,25.7400,25.7500,9.4455,833.00
2006-10-06,25.7500,25.7500,25.7500,25.7500,9.4455,0.00
2006-10-09,25.4270,25.4270,25.4270,25.4270,9.3271,1000.00
2006-10-10,25.7500,25.7500,25.7500,25.7500,9.4455,560.00
2006-10-11,25.8000,25.8000,25.7500,25.7500,9.4455,652.00
2006-10-12,25.8000,25.8000,25.8000,25.8000,9.4639,200.00
2006-10-13,25.8000,25.8000,25.8000,25.8000,9.4639,0.00
2006-10-16,26.0000,26.0000,25.5000,25.5000,9.3538,2000.00
2006-10-17,26.0000,26.0000,25.5000,25.5000,9.3538,1700.00
2006-10-18,25.5000,25.5100,25.5000,25.5100,9.3575,4906.00
2006-10-19,25.4500,25.5000,25.4500,25.5000,9.4131,2200.00
2006-10-20,25.5000,25.5000,25.5000,25.5000,9.4131,0.00
2006-10-23,25.5000,26.4700,25.5000,25.6000,9.4500,4106.00
2006-10-24,25.6000,25.6000,25.6000,25.6000,9.4500,1000.00
2006-10-25,25.6000,25.6000,25.6000,25.6000,9.4500,0.00
2006-10-26,25.6000,25.6000,25.6000,25.6000,9.4500,0.00
2006-10-27,25.6000,25.6000,25.6000,25.6000,9.4500,0.00
2006-10-30,25.6000,25.6000,25.6000,25.6000,9.4500,100.00
2006-10-31,25.3700,25.3700,25.3700,25.3700,9.3651,350.00
2006-11-01,25.6000,25.6000,25.6000,25.6000,9.4500,0.00
2006-11-02,25.6000,25.6000,25.6000,25.6000,9.4500,0.00
2006-11-03,25.6000,25.6000,25.6000,25.6000,9.4500,0.00
2006-11-06,25.5600,25.5600,25.5600,25.5600,9.4352,500.00
2006-11-07,25.5600,25.5600,25.5600,25.5600,9.4352,0.00
2006-11-08,25.5600,25.5600,25.5600,25.5600,9.4352,0.00
2006-11-09,25.5600,25.5600,25.5600,25.5600,9.4352,0.00
2006-11-10,25.5600,25.5600,25.5600,25.5600,9.4352,0.00
2006-11-13,25.6200,25.6200,25.5700,25.5700,9.4389,242.00
2006-11-14,25.5700,25.5800,25.5700,25.5800,9.4426,402.00
2006-11-15,25.8500,25.8500,25.8500,25.8500,9.5423,500.00
2006-11-16,25.8500,25.8500,25.8500,25.8500,9.5423,0.00
2006-11-17,25.5600,25.5600,25.5600,25.5600,9.4948,600.00
2006-11-20,25.5200,25.5200,25.4100,25.4900,9.4688,1400.00
2006-11-21,25.6900,25.6900,25.6900,25.6900,9.5431,200.00
2006-11-22,25.6900,25.6900,25.6900,25.6900,9.5431,2000.00
2006-11-24,25.6900,25.6900,25.6900,25.6900,9.5431,0.00
2006-11-27,25.5000,25.5000,25.3800,25.3800,9.4280,3600.00
2006-11-28,25.6900,25.6900,25.6800,25.6800,9.5394,1210.00
2006-11-29,25.4260,25.6900,25.4260,25.6900,9.5431,493.00
2006-11-30,25.3700,25.3900,25.3700,25.3900,9.4317,200.00
2006-12-01,25.3900,25.3900,25.3900,25.3900,9.4317,0.00
2006-12-04,25.3900,25.4000,25.3900,25.4000,9.4354,540.00
2006-12-05,25.7400,25.7400,25.7400,25.7400,9.5617,200.00
2006-12-06,25.7500,25.7500,25.7500,25.7500,9.5654,700.00
2006-12-07,25.7500,25.7500,25.7500,25.7500,9.5654,100.00
2006-12-08,26.0000,26.0100,26.0000,26.0100,9.6620,200.00
2006-12-11,26.7600,26.7600,25.9800,25.9800,9.6508,1400.00
2006-12-12,25.9800,25.9800,25.9800,25.9800,9.6508,0.00
2006-12-13,25.8900,25.8900,25.8900,25.8900,9.6174,100.00
2006-12-14,25.8900,25.8900,25.8900,25.8900,9.6174,500.00
2006-12-15,25.8900,25.8900,25.8900,25.8900,9.6174,0.00
2006-12-18,25.8900,25.8900,25.8900,25.8900,9.6774,0.00
2006-12-19,25.5200,25.5200,25.3200,25.3200,9.4643,800.00
2006-12-20,25.3200,25.3200,25.3200,25.3200,9.4643,0.00
2006-12-21,25.3200,25.3200,25.3200,25.3200,9.4643,0.00
2006-12-22,25.3200,25.3200,25.3200,25.3200,9.4643,0.00
2006-12-26,25.4800,25.4800,25.4800,25.4800,9.5241,802.00
2006-12-27,25.4000,25.4000,25.4000,25.4000,9.4942,150.00
2006-12-28,25.4000,25.6000,25.4000,25.4100,9.4980,1601.00
2006-12-29,25.4300,25.4300,25.4000,25.4000,9.4942,642.00
2007-01-03,25.4800,25.4800,25.4000,25.4800,9.5241,1275.00
2007-01-04,25.4800,25.4900,25.4800,25.4900,9.5279,1300.00
2007-01-05,25.4900,25.4900,25.4800,25.4800,9.5241,500.00
2007-01-08,25.4800,25.4800,25.4800,25.4800,9.5241,0.00
2007-01-09,25.4800,25.4800,25.4800,25.4800,9.5241,300.00
2007-01-10,25.4800,25.4800,25.4600,25.4600,9.5167,500.00
2007-01-11,25.4500,25.4500,25.0100,25.0100,9.3484,2700.00
2007-01-12,25.4400,25.4400,25.4400,25.4400,9.5092,200.00
2007-01-16,25.4400,25.4600,25.4400,25.4600,9.5167,806.00
2007-01-17,25.5300,25.5400,25.5300,25.5400,9.5466,500.00
