Date,Open,High,Low,Close,Adjusted_close,Volume
1999-05-04,76.0000,77.2500,70.0000,70.3800,57.8280,22320900.00
1999-05-05,69.8800,69.8800,66.2500,69.1300,56.8009,7565700.00
1999-05-06,68.0000,69.3800,67.0600,67.9400,55.8231,2905700.00
1999-05-07,67.9400,74.8800,66.7500,74.1300,60.9092,4862300.00
1999-05-10,73.3800,73.5000,70.2500,70.6900,58.0827,2589400.00
1999-05-11,70.0000,71.1900,69.5000,70.6300,58.0334,1839800.00
1999-05-12,71.0000,74.8800,69.1300,73.5000,60.3915,2659300.00
1999-05-13,73.2500,75.2500,72.5000,74.2500,61.0078,1142900.00
1999-05-14,71.2500,72.2500,69.0600,70.1900,57.6718,2058400.00
1999-05-17,69.1300,70.2500,68.0000,68.6300,56.3901,2075000.00
1999-05-18,68.2500,70.4400,68.1300,68.6300,56.3901,1407100.00
1999-05-19,69.3800,69.8100,68.7500,69.3100,56.9488,727400.00
1999-05-20,69.5600,70.1300,68.3800,68.3800,56.1846,520800.00
1999-05-21,68.1300,68.8100,67.5000,67.5000,55.4616,936200.00
1999-05-24,67.0000,67.2500,65.0000,65.3100,53.6622,1493000.00
1999-05-25,64.1300,65.9400,64.0000,64.5000,52.9966,1662400.00
1999-05-26,65.6300,66.6300,63.0600,66.0600,54.2784,1602900.00
1999-05-27,65.0000,67.7500,64.6900,67.7500,55.6670,1220500.00
1999-05-28,67.7500,68.8100,67.0000,67.9400,55.8231,901900.00
1999-06-01,66.6300,66.6300,63.5600,64.1900,52.7419,953900.00
1999-06-02,63.7500,64.0600,62.0000,63.2500,51.9696,2204300.00
1999-06-03,64.0000,64.1900,63.1300,63.6300,52.2818,852600.00
1999-06-04,64.3100,67.0000,64.3100,65.3800,53.7197,1357400.00
1999-06-07,65.1900,67.7500,65.1900,65.9400,54.1798,891900.00
1999-06-08,65.3800,65.6900,63.7500,63.7500,52.3804,571700.00
1999-06-09,64.2500,65.5000,63.6300,65.5000,53.8183,611400.00
1999-06-10,64.8800,64.9400,63.3100,63.3800,52.0764,664200.00
1999-06-11,63.9400,64.3100,62.3100,62.9400,51.7149,969300.00
1999-06-14,63.5000,64.0000,60.5000,61.2500,50.3263,821100.00
1999-06-15,62.8800,63.3800,62.2500,62.7500,51.5587,831700.00
1999-06-16,63.9400,65.4400,63.9400,65.2500,53.6129,690300.00
1999-06-17,64.5000,66.8800,64.5000,65.0000,53.4075,955700.00
1999-06-18,64.2500,64.8800,63.5000,64.8100,53.2513,613900.00
1999-06-21,66.6900,69.9400,66.5600,69.5000,57.1049,1811000.00
1999-06-22,70.1300,70.1300,67.7500,68.0000,55.8724,1165900.00
1999-06-23,67.0600,67.4400,64.8800,65.0000,53.4075,1351700.00
1999-06-24,66.0600,66.5000,64.5000,65.0600,53.4568,1408900.00
1999-06-25,65.5000,66.8100,65.3800,66.2500,54.4345,1111500.00
1999-06-28,66.4400,67.5000,65.7500,66.5600,54.6892,784600.00
1999-06-29,66.0000,68.5000,66.0000,67.7500,55.6670,629800.00
1999-06-30,68.5000,72.2500,66.1300,72.2500,59.3644,2127600.00
1999-07-01,71.3800,71.4400,69.7500,70.8100,58.1813,813600.00
1999-07-02,70.5600,71.1900,69.6900,70.9400,58.2881,536900.00
1999-07-06,70.0000,71.1900,69.2500,70.5000,57.9266,747600.00
1999-07-07,69.5600,70.0000,68.0000,68.0000,55.8724,648800.00
1999-07-08,68.0000,68.8800,67.1900,67.2500,55.2562,424400.00
1999-07-09,67.4400,68.1900,67.2500,67.2500,55.2562,312700.00
1999-07-12,68.0000,68.9400,67.8800,68.3800,56.1846,547700.00
1999-07-13,68.2500,68.6900,67.6300,67.8800,55.7738,969600.00
1999-07-14,67.3800,67.7500,67.3100,67.6300,55.5684,888200.00
1999-07-15,68.0000,68.0000,67.5000,67.9400,55.8231,864700.00
1999-07-16,67.7500,68.7500,67.7500,68.0600,55.9217,476700.00
1999-07-19,68.2500,70.7500,68.2500,69.4400,57.0556,646100.00
1999-07-20,69.1300,70.4400,67.8800,68.1300,55.9792,886100.00
1999-07-21,68.0000,68.0600,67.1300,67.8800,55.7738,626100.00
1999-07-22,68.1300,68.2500,66.5000,66.5000,54.6399,579500.00
1999-07-23,66.3800,66.3800,64.0000,64.0600,52.6351,767200.00
1999-07-26,64.2500,64.7500,63.1900,63.2500,51.9696,749500.00
1999-07-27,64.2500,65.7500,63.3100,65.5000,53.8183,592200.00
1999-07-28,65.2500,66.3800,64.0000,66.0600,54.2784,584800.00
1999-07-29,65.5000,65.5000,64.5000,65.0000,53.4075,646000.00
1999-07-30,65.0000,65.0000,63.6300,64.3100,52.8405,629600.00
1999-08-02,64.2500,64.5600,62.3800,62.8100,51.6080,566400.00
1999-08-03,62.8100,62.8100,60.7500,60.8100,49.9647,837700.00
1999-08-04,60.5600,61.5000,60.0000,60.0000,49.2992,1281600.00
1999-08-05,59.8100,60.0000,57.8100,59.2500,48.6830,1539900.00
1999-08-06,58.9400,58.9400,56.0000,56.2500,46.2180,1308500.00
1999-08-09,56.5000,57.5000,55.8100,55.8100,45.8565,1347500.00
1999-08-10,56.2500,57.1900,55.1900,57.0000,46.9328,1817400.00
1999-08-11,57.8800,61.5600,57.4400,61.5000,50.6381,1369200.00
1999-08-12,61.4400,62.1900,60.5600,60.6900,49.9711,832800.00
1999-08-13,62.4400,63.2500,62.0600,63.1300,51.9802,557400.00
1999-08-16,63.0000,63.0000,60.8800,62.8800,51.7743,762600.00
1999-08-17,63.2500,64.5000,62.6300,63.0000,51.8731,936900.00
1999-08-18,63.0000,63.0000,61.0600,62.3100,51.3050,819300.00
1999-08-19,61.6300,62.5000,60.8100,61.6900,50.7945,624600.00
1999-08-20,61.8125,62.9375,61.6250,62.3125,51.3071,439600.00
1999-08-23,62.8100,63.8100,62.6300,63.6300,52.3919,837200.00
1999-08-24,63.5600,65.0000,62.8100,63.4400,52.2354,894200.00
1999-08-25,63.1300,64.3100,62.3100,64.0000,52.6965,449900.00
1999-08-26,64.0000,64.8800,62.7500,62.7500,51.6673,378400.00
1999-08-27,63.0000,63.0000,61.5000,61.5600,50.6875,265300.00
1999-08-30,61.7500,61.7500,59.3100,59.3100,48.8348,438100.00
1999-08-31,59.5000,60.5000,58.6900,59.8100,49.2465,496600.00
1999-09-01,60.5600,60.6900,59.8100,60.3100,49.6582,560100.00
1999-09-02,59.5000,60.4400,58.8800,59.2500,48.7854,727600.00
1999-09-03,60.7500,63.1300,60.7500,63.1300,51.9802,754900.00
1999-09-07,63.0000,64.4400,62.4400,62.5000,51.4614,813600.00
1999-09-08,62.4400,63.6300,62.1300,62.5600,51.5108,732100.00
1999-09-09,62.5000,62.5600,61.0000,61.7500,50.8439,448800.00
1999-09-10,62.3800,63.0900,61.6300,63.0900,51.9472,636300.00
1999-09-13,62.1900,62.8100,62.0000,62.1300,51.1568,250700.00
1999-09-14,61.3800,61.3800,58.7500,59.3800,48.8925,1160600.00
1999-09-15,60.1300,60.1300,58.0600,58.3100,48.0115,970200.00
1999-09-16,58.5600,59.1300,57.4400,57.6900,47.5010,753200.00
1999-09-17,58.6300,60.0600,58.5000,60.0600,49.4524,1116700.00
1999-09-20,60.0600,60.7500,59.5000,60.7500,50.0205,721800.00
1999-09-21,60.5600,61.7500,58.3800,59.1300,48.6866,2369100.00
1999-09-22,59.9400,62.0000,59.0600,61.3100,50.4816,1534700.00
1999-09-23,61.7500,62.2500,60.7500,60.8100,50.0699,889800.00
1999-09-24,61.0600,62.1900,60.8800,61.9400,51.0003,831400.00
1999-09-27,62.0000,62.6300,61.2500,61.5600,50.6875,624700.00
1999-09-28,61.3100,62.2500,61.0600,62.2500,51.2556,819900.00
1999-09-29,62.3800,62.7500,61.1300,61.4400,50.5887,800900.00
1999-09-30,61.9400,62.5000,61.0000,61.0000,50.2264,1113400.00
1999-10-01,61.0000,61.2500,58.3100,59.1900,48.7360,793300.00
1999-10-04,59.5000,61.6900,59.5000,61.6900,50.7945,739400.00
1999-10-05,62.1300,63.2500,61.3800,62.2500,51.2556,1040500.00
1999-10-06,62.1300,64.0000,61.8100,64.0000,52.6965,944200.00
1999-10-07,64.0000,64.1300,63.1900,63.1900,52.0296,366300.00
1999-10-08,62.5000,63.9400,61.8800,63.9400,52.6471,488800.00
1999-10-11,63.7500,63.9400,63.5000,63.6900,52.4413,229300.00
1999-10-12,63.6900,63.7500,62.7500,62.9400,51.8237,644200.00
1999-10-13,62.3800,62.6300,60.6900,61.0000,50.2264,393000.00
1999-10-14,60.5000,62.5600,58.8800,62.0000,51.0497,1016000.00
1999-10-15,60.5000,60.6300,58.2500,59.7500,49.1971,1088000.00
1999-10-18,60.2500,60.2500,57.9400,59.2500,48.7854,732700.00
1999-10-19,59.5000,61.0000,59.5000,60.3800,49.7159,1082700.00
1999-10-20,60.5000,62.3800,60.5000,61.7500,50.8439,499800.00
1999-10-21,61.2500,61.8100,61.1300,61.8100,50.9921,281900.00
1999-10-22,62.7500,65.7500,62.6900,65.5000,54.0363,1644700.00
1999-10-25,64.9400,65.0000,63.2500,64.0000,52.7988,665000.00
1999-10-26,63.5000,64.5600,61.8100,61.8100,50.9921,650200.00
1999-10-27,62.0600,64.7500,62.0000,64.3800,53.1123,1412500.00
1999-10-28,64.5000,72.5000,64.5000,72.0000,59.3987,3983400.00
1999-10-29,72.0600,73.7500,70.1900,71.0000,58.5737,2490500.00
1999-11-01,70.5000,71.0000,69.3100,69.3800,57.2372,949300.00
1999-11-02,69.1900,71.7500,69.1300,69.7500,57.5425,543000.00
1999-11-03,69.8100,69.8800,68.3100,68.7500,56.7175,924000.00
1999-11-04,69.6900,70.7500,69.4400,70.1300,57.8560,570400.00
1999-11-05,72.0000,74.3100,71.2500,73.6900,60.7929,1304900.00
1999-11-08,73.5000,73.5000,72.5000,73.0000,60.2237,651600.00
1999-11-09,73.5000,73.5600,71.7500,71.8800,59.2997,695600.00
1999-11-10,71.0000,72.7500,70.6300,71.9400,59.3492,678700.00
1999-11-11,72.0000,73.5000,71.5600,73.3100,60.4794,574300.00
1999-11-12,73.9400,79.8100,73.7500,79.7500,65.7923,2227700.00
1999-11-15,78.7500,79.9400,77.2500,78.0000,64.3486,997100.00
1999-11-16,78.3800,83.0000,78.3800,82.8100,68.3167,1505100.00
1999-11-17,81.1300,81.3800,78.5600,79.5600,65.6355,1245400.00
1999-11-18,79.8100,81.1300,79.2500,80.1900,66.1553,1111500.00
1999-11-19,80.0000,80.8800,79.6300,79.9400,65.9490,329600.00
1999-11-22,79.5000,80.2500,78.5000,79.6900,65.7428,329900.00
1999-11-23,79.9400,80.6300,77.5000,77.7500,64.1423,656300.00
1999-11-24,77.5000,77.7500,76.7500,77.1300,63.6308,515700.00
1999-11-26,77.1900,77.7500,76.6300,77.3100,63.7793,107600.00
1999-11-29,77.2500,77.2500,74.3800,74.5000,61.4611,517900.00
1999-11-30,74.7500,77.1300,74.5000,75.1300,61.9809,925000.00
1999-12-01,74.7500,76.1900,74.7500,76.1900,62.8553,500000.00
1999-12-02,76.2500,77.6300,76.2500,77.5000,63.9361,453600.00
1999-12-03,78.5000,80.6900,78.3800,79.0600,65.2230,669500.00
1999-12-06,79.1900,79.3100,76.5600,77.0000,63.5236,295100.00
1999-12-07,77.2500,80.9400,77.2500,80.9400,66.7740,883100.00
1999-12-08,81.8100,81.8100,80.0000,80.0000,65.9985,732200.00
1999-12-09,80.7500,82.2500,79.7500,80.0000,65.9985,1205700.00
1999-12-10,80.0000,82.4400,79.5600,82.0000,67.6485,1386300.00
1999-12-13,81.5000,82.9400,81.0600,82.0600,67.6980,938500.00
