Date,Open,High,Low,Close,Adjusted_close,Volume
2015-07-07,7.5000,10.0000,7.5000,9.0000,9.0000,42466.00
2015-07-08,9.0000,9.2500,9.0000,9.2200,9.2200,15338.00
2015-07-09,10.0000,11.5000,10.0000,11.5000,11.5000,17546.00
2015-07-10,11.9500,12.4999,10.1100,10.1100,10.1100,10721.00
2015-07-13,10.0200,10.6000,8.0700,10.3800,10.3800,123468.00
2015-07-14,9.3000,10.3000,8.7500,9.8000,9.8000,28291.00
2015-07-15,9.0200,9.9900,9.0200,9.5000,9.5000,8848.00
2015-07-16,9.2500,9.5120,9.0100,9.5000,9.5000,5534.00
2015-07-17,9.5000,9.5000,9.0000,9.0000,9.0000,429.00
2015-07-20,9.0200,9.0200,9.0000,9.0000,9.0000,3000.00
2015-07-21,9.0000,9.0000,8.4500,9.0000,9.0000,22938.00
2015-07-22,9.0000,9.0000,9.0000,9.0000,9.0000,7843.00
2015-07-23,9.0000,9.7700,8.9800,9.4755,9.4755,9867.00
2015-07-24,10.0000,10.0000,10.0000,10.0000,10.0000,508.00
2015-07-27,9.5200,10.0300,9.5001,9.9900,9.9900,18559.00
2015-07-28,9.4900,9.5000,9.4900,9.5000,9.5000,1410.00
2015-07-29,9.2001,9.4100,9.0700,9.2400,9.2400,10495.00
2015-07-30,9.4999,9.4999,9.3600,9.4900,9.4900,3002.00
2015-07-31,9.5000,9.8300,9.2300,9.5500,9.5500,9397.00
2015-08-03,9.2500,9.2500,8.9000,8.9000,8.9000,1620.00
2015-08-04,8.9100,9.1600,8.9100,9.1500,9.1500,2600.00
2015-08-05,9.1000,9.4699,9.1000,9.4699,9.4699,2400.00
2015-08-06,9.5000,9.7500,9.2201,9.7100,9.7100,10164.00
2015-08-07,9.7100,9.7100,9.7100,9.7100,9.7100,0.00
2015-08-10,9.4900,9.4900,9.4900,9.4900,9.4900,2017.00
2015-08-11,9.2900,9.4900,9.2900,9.4900,9.4900,2181.00
2015-08-12,9.1700,9.2500,9.1700,9.2500,9.2500,2100.00
2015-08-13,9.4899,9.4899,9.4899,9.4899,9.4899,100.00
2015-08-14,9.4800,9.5000,9.4500,9.4600,9.4600,8211.00
2015-08-17,9.4400,9.4400,9.0100,9.0100,9.0100,766.00
2015-08-18,9.4500,9.5000,9.4500,9.4900,9.4900,1225.00
2015-08-19,9.4963,9.5000,9.4963,9.5000,9.5000,4742.00
2015-08-20,9.2990,9.7000,9.2990,9.7000,9.7000,3102.00
2015-08-21,9.6899,9.6900,9.6400,9.6800,9.6800,5000.00
2015-08-24,8.7810,9.0000,7.9900,9.0000,9.0000,2280.00
2015-08-25,7.8300,8.4500,7.3400,8.4500,8.4500,3740.00
2015-08-26,8.4500,8.4500,8.4500,8.4500,8.4500,54.00
2015-08-27,8.4000,9.0000,8.0501,9.0000,9.0000,3601.00
2015-08-28,9.0000,9.4500,9.0000,9.4500,9.4500,2521.00
2015-08-31,9.5000,9.5400,9.4600,9.4900,9.4900,5104.00
2015-09-01,9.0600,9.0600,8.9200,8.9200,8.9200,12744.00
2015-09-02,8.9000,8.9000,8.9000,8.9000,8.9000,100.00
2015-09-03,9.0000,9.0000,9.0000,9.0000,9.0000,1068.00
2015-09-04,9.0000,9.0000,9.0000,9.0000,9.0000,1.00
2015-09-08,9.1000,9.1000,9.0000,9.0001,9.0001,2010.00
2015-09-09,9.1600,9.2400,9.1600,9.2400,9.2400,5002.00
2015-09-10,9.2290,9.2290,9.2290,9.2290,9.2290,2000.00
2015-09-11,9.0920,9.0920,9.0920,9.0920,9.0920,123.00
2015-09-14,9.0920,9.0920,9.0920,9.0920,9.0920,0.00
2015-09-15,9.2000,9.2400,9.2000,9.2400,9.2400,4744.00
2015-09-16,9.2399,9.5000,9.2399,9.5000,9.5000,9023.00
2015-09-17,9.3000,9.5000,9.3000,9.4999,9.4999,6612.00
2015-09-18,9.3000,9.7000,9.3000,9.4800,9.4800,5498.00
2015-09-21,9.4899,9.4899,9.4899,9.4899,9.4899,2003.00
2015-09-22,9.4899,9.4899,9.4899,9.4899,9.4899,0.00
2015-09-23,9.4800,9.7000,9.4800,9.7000,9.7000,5162.00
2015-09-24,9.6499,9.6499,9.6499,9.6499,9.6499,3001.00
2015-09-25,9.6000,9.6000,9.6000,9.6000,9.6000,2000.00
2015-09-28,9.6490,10.0000,9.3110,10.0000,10.0000,7336.00
2015-09-29,9.3010,9.7400,9.3010,9.7000,9.7000,5159.00
2015-09-30,9.7601,9.7601,9.7601,9.7601,9.7601,105.00
2015-10-01,9.7700,9.7700,9.7500,9.7501,9.7501,4886.00
2015-10-02,9.8000,9.8000,9.7800,9.7800,9.7800,2000.00
2015-10-05,9.8000,9.8000,9.7600,9.7600,9.7600,600.00
2015-10-06,9.7000,9.7300,9.5100,9.5100,9.5100,2100.00
2015-10-07,9.5000,9.5001,9.5000,9.5001,9.5001,3200.00
2015-10-08,9.5001,9.5001,9.5001,9.5001,9.5001,0.00
2015-10-09,9.4700,9.4800,9.4700,9.4800,9.4800,3000.00
2015-10-12,9.4500,9.4600,9.4500,9.4500,9.4500,4000.00
2015-10-13,9.3000,9.3000,9.3000,9.3000,9.3000,104.00
2015-10-14,9.3000,9.3000,9.3000,9.3000,9.3000,0.00
2015-10-15,9.7000,9.7000,9.6999,9.6999,9.6999,5277.00
2015-10-16,9.6999,9.6999,9.6999,9.6999,9.6999,0.00
2015-10-19,9.8500,9.8500,9.8500,9.8500,9.8500,3000.00
2015-10-20,9.7000,9.7000,9.6999,9.6999,9.6999,3286.00
2015-10-21,9.6999,9.6999,9.6999,9.6999,9.6999,0.00
2015-10-22,9.7500,9.8000,9.7500,9.8000,9.8000,728.00
2015-10-23,9.8000,9.8000,9.3000,9.3000,9.3000,743.00
2015-10-26,9.5000,9.5300,9.3000,9.3000,9.3000,6240.00
2015-10-27,9.3000,9.3000,9.3000,9.3000,9.3000,0.00
2015-10-28,9.3010,9.8000,9.3010,9.8000,9.8000,8240.00
2015-10-29,9.8000,9.8000,9.7999,9.8000,9.8000,9284.00
2015-10-30,9.7000,9.7000,9.7000,9.7000,9.7000,5000.00
2015-11-02,9.7000,9.7000,9.7000,9.7000,9.7000,1.00
2015-11-03,9.3100,9.6999,9.3100,9.6900,9.6900,400.00
2015-11-04,9.3010,9.7500,9.3010,9.7500,9.7500,5100.00
2015-11-05,9.8000,9.8000,9.5501,9.5501,9.5501,2450.00
2015-11-06,9.7000,9.8000,9.6900,9.7000,9.7000,10765.00
2015-11-09,9.5000,9.5200,9.4400,9.4499,9.4499,4300.00
2015-11-10,9.5000,9.5000,9.5000,9.5000,9.5000,1500.00
