Date,Open,High,Low,Close,Adjusted_close,Volume
2017-03-01,17.8500,18.5000,17.7400,18.0200,17.4874,7162670.00
2017-03-02,18.0000,18.3700,17.8100,18.2100,17.6717,738219.00
2017-03-03,18.2500,18.7700,18.2500,18.7200,18.1667,415356.00
2017-03-06,18.9100,19.1800,18.4000,18.4600,17.9144,226336.00
2017-03-07,18.7800,18.7800,18.4600,18.6900,18.1376,185629.00
2017-03-08,18.5500,18.9100,18.4400,18.4900,17.9435,169591.00
2017-03-09,18.7300,18.7300,18.3000,18.4400,17.8949,104050.00
2017-03-10,18.5500,18.6900,18.3150,18.4700,17.9241,109416.00
2017-03-13,18.3100,18.9400,18.3100,18.7900,18.2346,133718.00
2017-03-14,18.5310,19.2700,18.5310,19.1500,18.5840,227704.00
2017-03-15,19.5600,19.6600,18.9600,19.0000,18.4384,437377.00
2017-03-16,19.0300,19.5300,19.0300,19.1900,18.6228,78670.00
2017-03-17,19.2400,19.6600,19.0000,19.2500,18.6810,189213.00
2017-03-20,19.2000,19.6000,19.1500,19.2500,18.6810,104278.00
2017-03-21,19.2500,19.3600,18.6301,19.2400,18.6713,101284.00
2017-03-22,19.1600,19.2500,18.5000,18.9900,18.4287,90073.00
2017-03-23,19.1100,19.1100,18.7600,19.0500,18.4869,78699.00
2017-03-24,19.0000,19.1900,18.9800,19.0300,18.4675,104952.00
2017-03-27,18.9400,18.9800,18.5100,18.8200,18.2637,113901.00
2017-03-28,18.5600,19.0200,18.5100,18.7700,18.2152,403988.00
2017-03-29,18.6200,18.9600,18.5100,18.5900,18.0405,199885.00
2017-03-30,18.5000,18.8950,18.4000,18.5400,17.9920,236485.00
2017-03-31,18.5500,19.0700,18.5400,18.6700,18.1181,463304.00
2017-04-03,18.7700,19.2600,18.0900,18.3600,17.8173,336651.00
2017-04-04,18.2300,18.6000,18.0500,18.2000,17.6620,204430.00
2017-04-05,18.2400,18.6200,17.3200,18.5500,18.0017,544647.00
2017-04-06,18.4800,18.8000,18.0700,18.5300,17.9823,236653.00
2017-04-07,18.6100,18.6800,18.2300,18.4500,17.9047,90172.00
2017-04-10,18.5500,18.6000,18.2000,18.3500,17.8076,114683.00
2017-04-11,18.2500,18.5480,18.0000,18.3000,17.7591,101060.00
2017-04-12,18.3500,18.6430,18.1555,18.3600,17.8173,712270.00
2017-04-13,18.3100,18.9100,18.1100,18.6200,18.0696,92537.00
2017-04-17,18.4900,18.8800,18.3419,18.4800,17.9338,71047.00
2017-04-18,18.4800,18.6800,18.1700,18.3900,17.8464,59464.00
2017-04-19,18.5600,18.7999,18.1700,18.4800,17.9338,111926.00
2017-04-20,18.5000,18.9700,18.3300,18.5500,18.0017,66217.00
2017-04-21,18.6900,18.8300,18.3400,18.4600,17.9144,26004.00
2017-04-24,18.5000,18.7900,18.2800,18.5400,17.9920,90083.00
2017-04-25,18.5900,18.8500,18.3500,18.6100,18.0599,59544.00
2017-04-26,18.6800,18.7700,18.3000,18.6300,18.0793,39815.00
2017-04-27,18.4700,18.7800,18.4400,18.7100,18.1570,56807.00
2017-04-28,18.6700,19.0000,18.5000,18.7200,18.1667,83433.00
2017-05-01,18.7400,19.1000,18.5000,18.9200,18.3608,26749.00
2017-05-02,18.3000,19.1000,18.3000,19.0000,18.4384,132875.00
2017-05-03,18.9500,19.2500,18.3250,18.9000,18.3413,98955.00
2017-05-04,18.9200,19.9800,18.6600,19.2900,18.7198,180517.00
2017-05-05,19.0100,19.8700,19.0000,19.3100,18.7392,169634.00
2017-05-08,19.2300,19.8600,18.7800,19.4200,18.8460,170215.00
2017-05-09,19.3400,19.8000,19.2200,19.5900,19.0110,180504.00
2017-05-10,19.4000,19.7800,19.3900,19.5000,18.9236,38705.00
2017-05-11,19.5900,20.1100,19.3200,19.7800,19.1953,90015.00
2017-05-12,19.6100,19.8300,19.4100,19.7000,19.1177,55947.00
2017-05-15,19.8800,20.1650,19.6081,19.9700,19.3797,84674.00
2017-05-16,20.0000,20.1600,19.7300,19.9900,19.3991,266508.00
2017-05-17,19.9500,20.1700,19.7900,19.8500,19.2633,49747.00
2017-05-18,19.5900,19.8100,18.8400,19.0400,18.4772,105510.00
2017-05-19,19.0000,20.0100,19.0000,19.5400,18.9624,248308.00
2017-05-22,19.5600,20.1850,19.5600,19.9900,19.3991,83629.00
2017-05-23,20.0100,20.4400,19.8950,20.0250,19.4331,43654.00
2017-05-24,19.9200,21.0400,19.9200,20.6900,20.0784,72057.00
2017-05-25,20.6390,21.1950,20.4895,20.7500,20.1367,95449.00
2017-05-26,21.1500,21.2900,20.0400,20.4500,19.8455,93140.00
2017-05-30,20.3000,20.6400,20.0100,20.2300,19.6320,72997.00
2017-05-31,20.1900,21.2500,20.0300,20.2300,19.6320,138660.00
2017-06-01,20.3000,21.0700,20.0600,20.5000,19.8941,82971.00
2017-06-02,20.7350,21.0000,20.4300,20.9900,20.3696,46268.00
2017-06-05,21.0000,21.0000,20.4600,20.9800,20.3599,38842.00
2017-06-06,21.0000,21.0000,20.1800,20.5800,19.9717,43629.00
2017-06-07,20.5100,21.0000,20.3600,20.9000,20.2822,48574.00
2017-06-08,20.6400,21.3050,20.5850,20.8900,20.2725,52919.00
2017-06-09,21.0300,21.2150,20.5900,20.7300,20.1173,84044.00
2017-06-12,21.1000,21.3700,20.0300,20.6200,20.0105,200036.00
2017-06-13,20.5500,21.0700,20.4700,20.9200,20.3016,352039.00
2017-06-14,20.8377,21.1500,20.4700,20.9700,20.3502,195123.00
2017-06-15,20.9300,21.7600,20.7700,21.5800,20.9421,195233.00
2017-06-16,21.6300,22.0000,20.6700,21.2600,20.6316,854958.00
2017-06-19,21.4400,22.0000,21.0100,21.9400,21.2915,242530.00
2017-06-20,21.8800,22.0600,21.6600,21.8100,21.1653,112505.00
2017-06-21,22.1100,22.4400,21.4250,21.6900,21.0489,157269.00
2017-06-22,21.6200,22.2170,21.3800,21.7800,21.3060,279262.00
2017-06-23,21.9100,22.0700,21.1200,21.8100,21.3354,1698271.00
2017-06-26,21.6000,22.2500,21.3500,22.0700,21.5897,212786.00
2017-06-27,22.1700,22.3000,21.5100,21.8500,21.3745,216427.00
2017-06-28,21.9600,22.1550,21.8500,21.9900,21.5115,156340.00
2017-06-29,22.1700,22.2100,21.7900,21.9500,21.4724,210828.00
2017-06-30,21.9900,22.2400,21.7500,21.9900,21.5115,146927.00
2017-07-03,22.1300,22.6900,22.1300,22.6400,22.1473,58075.00
2017-07-05,22.8200,22.8200,21.8950,22.5800,22.0886,109654.00
2017-07-06,24.0000,24.0000,21.8100,22.0700,21.5897,101588.00
2017-07-07,21.9900,22.4000,21.9514,22.1900,21.7071,144796.00
2017-07-10,22.1400,22.4100,21.8400,22.1000,21.6191,186535.00
2017-07-11,22.0400,22.2500,21.5800,21.9300,21.4528,156979.00
2017-07-12,21.9500,22.6700,21.6000,22.1100,21.6289,186685.00
2017-07-13,22.1600,22.3750,21.6600,21.9400,21.4626,108222.00
2017-07-14,21.8800,22.0950,21.7200,21.7600,21.2865,60961.00
2017-07-17,21.8900,21.8900,21.4500,21.8100,21.3354,179135.00
2017-07-18,21.7500,22.4000,21.6200,21.7900,21.3158,141814.00
2017-07-19,21.9000,22.3200,21.8600,22.2700,21.7854,125196.00
2017-07-20,22.2100,22.3800,21.8200,22.1100,21.6289,88183.00
2017-07-21,22.2900,22.4600,21.9200,22.1500,21.6680,139720.00
2017-07-24,22.1500,22.4400,21.5001,22.3800,21.8930,283460.00
2017-07-25,22.5000,23.0700,22.2000,22.9200,22.4212,116218.00
2017-07-26,22.9500,23.3000,22.6000,23.0700,22.5680,266609.00
2017-07-27,23.1300,23.3500,22.4700,22.7000,22.2060,98490.00
2017-07-28,22.6500,23.0200,22.5350,22.6300,22.1376,88219.00
2017-07-31,22.6900,22.7000,22.1100,22.4600,21.9713,94269.00
2017-08-01,22.5900,22.7500,22.1600,22.5100,22.0202,121207.00
2017-08-02,22.5500,22.8900,21.5800,21.7100,21.2376,154982.00
2017-08-03,21.6400,21.9200,21.4100,21.6600,21.1887,189198.00
2017-08-04,21.7800,22.0900,21.6000,21.7200,21.2474,162852.00
2017-08-07,21.8000,22.3400,21.5000,22.0900,21.6093,161500.00
2017-08-08,22.8500,22.8500,21.6500,22.4800,21.9908,229577.00
2017-08-09,22.6100,23.0000,22.0000,22.4800,21.9908,289441.00
2017-08-10,22.4500,22.6070,22.1000,22.3300,21.8441,125918.00
2017-08-11,22.5300,22.5300,22.0805,22.4500,21.9615,127924.00
2017-08-14,22.6300,22.9600,22.5100,22.8100,22.3136,240379.00
2017-08-15,22.9400,23.9600,22.8600,23.4500,22.9397,654255.00
2017-08-16,23.6000,23.6200,22.6200,22.9200,22.4212,298116.00
2017-08-17,22.9500,23.3000,22.2500,22.4200,21.9321,236397.00
2017-08-18,22.3300,22.8000,22.2400,22.4800,21.9908,199680.00
2017-08-21,22.5300,22.8100,22.3400,22.5500,22.0593,173807.00
2017-08-22,22.5500,22.6400,22.3700,22.5100,22.0202,138384.00
2017-08-23,22.4000,22.7000,22.3600,22.3900,21.9028,87437.00
2017-08-24,22.5500,22.8600,22.4100,22.6600,22.1669,134748.00
2017-08-25,22.7200,23.2300,21.3600,22.9200,22.4212,146247.00
2017-08-28,22.9200,23.1000,22.6300,22.8800,22.3821,218808.00
2017-08-29,22.7800,22.9900,22.5500,22.6900,22.1962,136580.00
2017-08-30,22.8200,23.1200,22.4000,23.0500,22.5484,237013.00
2017-08-31,23.0600,23.6150,23.0400,23.4400,22.9299,190277.00
2017-09-01,23.3700,23.8500,23.1950,23.4800,22.9691,154963.00
2017-09-05,23.3900,23.6400,23.0100,23.1500,22.6462,120045.00
2017-09-06,23.0800,23.2500,22.8901,23.1900,22.6854,129308.00
2017-09-07,23.1000,23.4100,22.7450,22.7900,22.2941,94551.00
2017-09-08,22.5300,23.0300,22.5100,22.5500,22.0593,68063.00
2017-09-11,22.7300,22.9600,22.6700,22.8000,22.3039,65763.00
2017-09-12,22.9100,23.0700,22.7500,23.0400,22.5386,92047.00
2017-09-13,22.9400,23.2000,22.7800,23.0200,22.5191,77250.00
2017-09-14,22.8700,23.3900,22.8121,23.3400,23.0033,118445.00
2017-09-15,23.3400,23.6500,23.0800,23.6300,23.2891,241220.00
2017-09-18,23.7600,24.1400,23.2100,23.9500,23.6045,118290.00
2017-09-19,23.8600,24.4600,23.7800,24.4200,24.0677,249057.00
2017-09-20,24.2500,25.1000,24.2500,24.8200,24.4619,359716.00
2017-09-21,24.8000,25.3300,24.5100,25.1100,24.7478,61603.00
2017-09-22,25.1000,25.4332,24.9100,25.2600,24.8956,94137.00
2017-09-25,25.8399,25.8399,25.1000,25.3100,24.9449,139281.00
2017-09-26,25.4500,26.0000,25.3500,25.5600,25.1913,164760.00
2017-09-27,25.7400,26.5800,25.7400,26.1800,25.8023,240831.00
2017-09-28,26.2900,26.4000,25.7200,26.2900,25.9107,91840.00
2017-09-29,26.4100,26.9200,26.2900,26.8500,26.4627,403886.00
2017-10-02,27.0400,27.6484,26.5300,27.3600,26.9653,461457.00
2017-10-03,27.4500,28.3400,27.2100,27.4500,27.0540,301307.00
2017-10-04,27.5600,27.6800,27.0200,27.1200,26.7288,104748.00
2017-10-05,25.6200,26.7000,25.5000,26.4600,26.0783,335057.00
2017-10-06,26.4200,28.5200,26.4200,26.6700,26.2853,121448.00
2017-10-09,26.8300,26.9599,26.5800,26.7100,26.3247,49064.00
2017-10-10,26.9200,27.3400,26.7400,27.0000,26.6105,65845.00
2017-10-11,26.9400,27.3100,26.9000,27.0000,26.6105,75042.00
2017-10-12,26.8900,27.2600,26.5600,27.1400,26.7485,68598.00
2017-10-13,27.1600,27.2500,26.8184,27.1200,26.7288,72806.00
2017-10-16,27.1000,27.3700,26.9200,27.2300,26.8372,60512.00
2017-10-17,27.2200,27.3600,26.7800,26.8300,26.4429,90509.00
2017-10-18,26.9400,27.0500,26.7000,26.9800,26.5908,71884.00
2017-10-19,26.8000,27.1900,26.5400,26.8800,26.4922,53899.00
2017-10-20,27.0800,27.2000,26.6700,27.0000,26.6105,105104.00
2017-10-23,27.1800,27.5600,26.5100,26.5600,26.1768,62123.00
2017-10-24,26.6000,27.3600,26.5500,27.1700,26.7780,109888.00
2017-10-25,27.0800,27.2300,26.5100,26.8000,26.4134,104394.00
2017-10-26,26.9300,27.3900,26.9300,27.3100,26.9160,84356.00
2017-10-27,27.4400,27.6600,27.1000,27.6000,27.2018,78810.00
2017-10-30,27.4200,27.5500,27.0000,27.5000,27.1033,135174.00
2017-10-31,27.5000,27.8800,27.4200,27.4900,27.0934,82655.00
2017-11-01,27.7600,27.7600,26.9900,27.5400,27.1427,72192.00
2017-11-02,27.5900,28.0100,26.7600,27.8000,27.3990,55023.00
2017-11-03,27.8100,28.4200,26.8800,28.1600,27.7538,85495.00
2017-11-06,28.2000,28.2650,26.9416,27.3300,26.9357,348600.00
2017-11-07,26.6000,29.1100,26.6000,28.6700,28.2564,232238.00
2017-11-08,28.9000,31.2100,28.9000,30.7200,30.2768,450212.00
2017-11-09,30.5300,31.0100,29.2810,30.7000,30.2571,144347.00
2017-11-10,30.6300,31.1500,30.6300,30.9700,30.5232,58124.00
2017-11-13,30.8200,31.2000,30.5525,31.1300,30.6809,68178.00
2017-11-14,30.9000,31.7200,30.9000,31.6100,31.1540,97244.00
2017-11-15,31.4500,32.2500,31.3600,32.1500,31.6862,189726.00
2017-11-16,32.3600,33.3300,32.2724,32.7700,32.2973,198455.00
2017-11-17,32.6700,33.0100,31.8450,32.0000,31.5384,196272.00
2017-11-20,32.1700,32.6200,32.0000,32.4700,32.0016,78920.00
2017-11-21,32.7300,33.3200,32.4300,33.2600,32.7802,162863.00
2017-11-22,33.3700,33.5450,33.0600,33.0900,32.6126,59046.00
2017-11-24,33.3000,33.4900,32.9400,33.2700,32.7900,27634.00
2017-11-27,33.2800,33.3600,32.8500,33.1400,32.6619,136774.00
2017-11-28,33.1500,34.5900,33.1400,34.2600,33.7658,315186.00
2017-11-29,34.0900,34.7906,34.0400,34.3500,33.8545,119108.00
2017-11-30,34.6200,35.1100,34.2000,34.4700,33.9727,132565.00
2017-12-01,34.5400,34.9500,33.2100,34.6400,34.1403,148981.00
2017-12-04,35.0500,35.2400,31.5600,33.7700,33.2828,123678.00
2017-12-05,33.9900,35.1000,33.8200,34.4100,33.9136,124681.00
2017-12-06,34.3400,34.6300,32.2110,34.0100,33.5194,96558.00
2017-12-07,34.0200,34.6400,33.8100,33.9600,33.4701,102714.00
2017-12-08,34.1200,35.0000,33.7250,34.6000,34.1009,77050.00
2017-12-11,34.6100,34.8400,34.4000,34.8000,34.2980,69271.00
2017-12-12,34.8500,35.1800,34.4700,34.5200,34.0220,89903.00
2017-12-13,34.5200,34.7560,33.3900,33.5300,33.0463,237458.00
2017-12-14,33.6000,34.1500,33.2400,33.4500,33.1399,192774.00
2017-12-15,33.5400,34.0250,33.5400,33.8000,33.4867,260119.00
2017-12-18,34.1100,35.1900,33.9000,34.8100,34.4873,161058.00
2017-12-19,34.8300,35.0600,34.3500,34.3800,34.0613,66720.00
2017-12-20,34.3900,34.3900,33.5400,33.9700,33.6551,88862.00
2017-12-21,34.0100,34.7400,33.5100,34.4600,34.1406,133758.00
2017-12-22,34.5200,35.3500,34.1811,34.9400,34.6161,80458.00
2017-12-26,35.0300,35.2800,34.4246,34.9600,34.6359,70753.00
2017-12-27,35.0100,35.4700,34.3700,34.4300,34.1108,148608.00
2017-12-28,34.5000,35.1900,33.9000,34.2000,33.8830,167137.00
2017-12-29,34.2800,36.0100,34.0500,35.3900,35.0619,268963.00
2018-01-02,35.4700,36.6800,35.0400,35.3800,35.0520,116497.00
2018-01-03,35.5700,36.2000,34.9000,34.9600,34.6359,114143.00
2018-01-04,35.2300,35.4400,34.6000,34.8800,34.5567,80051.00
2018-01-05,34.8200,35.9300,34.6200,35.0000,34.6756,93187.00
2018-01-08,34.9100,35.5500,34.5800,35.2800,34.9530,85631.00
2018-01-09,35.4800,37.4500,35.4800,37.0100,36.6669,209269.00
